"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB
380	1,0000000	0,3069503	0,2919587	0,0380507	0,2492812	0,9631715	0,9808078	0,8463142	0,9353301	0,9974070	0,9810075	0,0147462	0,9627084	0,6936384	0,1090902	0,4945982	0,3144090	0,2669735	0,2391203	0,6220400	0,9654622	0,1249647	0,6184050	0,9764935	0,2568765	0,3704352	0,8362854	0,9790540	0,7142729	0,9173921	0,7099823	0,6974053	0,9832517	0,9922186	0,3268263	0,9146105	0,8184236	0,8499917	0,9902533	0,2912661	0,9882227	0,7424915	0,7377803	0,9591729	0,9647811	0,9805469	0,9038174	0,9095436	0,9733148	0,5587835	0,1380157	0,7006469	0,1869520	0,9954198	0,5772492	0,6994677	0,7876251	0,8419142	0,4957891	0,9926934	0,1457680	0,5528821	0,9591245	0,5523204
400	1,0000000	0,3069503	0,2919587	0,0380507	0,2445496	0,9649603	0,9846191	0,8534353	0,9399970	0,9981484	0,9816619	0,0143134	0,9635861	0,6968152	0,1090902	0,4952416	0,3148811	0,2679489	0,2388004	0,6319024	0,9657661	0,1275124	0,6198390	0,9763019	0,2569048	0,3708930	0,8453363	0,9832920	0,7301733	0,9231467	0,7124553	0,7008497	0,9854242	0,9927030	0,3243843	0,9185802	0,8182837	0,8541847	0,9903377	0,2935223	0,9881576	0,7491391	0,7421120	0,9594017	0,9650752	0,9820209	0,9046406	0,9156878	0,9819119	0,5749127	0,1500181	0,7181493	0,1857320	0,9955326	0,5797735	0,7023094	0,7894828	0,8471982	0,4958292	0,9932022	0,1468806	0,5557343	0,9620003	0,5583602
420	1,0000000	0,3069503	0,2919587	0,0380507	0,2409023	0,9662721	0,9871702	0,8584254	0,9435905	0,9986659	0,9821449	0,0140074	0,9642173	0,6991836	0,1090902	0,4957162	0,3152830	0,2686531	0,2385671	0,6402829	0,9659854	0,1295224	0,6208927	0,9761206	0,2569348	0,3712249	0,8524222	0,9863718	0,7426080	0,9273307	0,7144067	0,7035931	0,9869971	0,9930782	0,3224354	0,9211772	0,8182355	0,8572915	0,9903950	0,2952083	0,9880984	0,7544983	0,7452818	0,9595681	0,9652791	0,9831019	0,9052982	0,9204425	0,9873730	0,5885321	0,1610030	0,7314791	0,1849067	0,9956213	0,5816305	0,7044261	0,7907670	0,8512017	0,4958551	0,9935442	0,1477432	0,5579273	0,9641339	0,5630768
440	1,0000000	0,3069503	0,2919587	0,0380507	0,2381072	0,9672329	0,9888712	0,8619140	0,9463495	0,9990261	0,9825013	0,0137901	0,9646713	0,7009421	0,1090902	0,4960656	0,3155741	0,2691660	0,2383970	0,6474209	0,9661442	0,1310913	0,6216662	0,9759638	0,2569625	0,3714657	0,8579323	0,9886105	0,7523152	0,9303864	0,7159188	0,7057555	0,9881348	0,9933674	0,3208922	0,9228877	0,8182383	0,8595689	0,9904344	0,2964639	0,9880424	0,7588482	0,7475998	0,9596888	0,9654192	0,9838937	0,9058005	0,9241400	0,9908209	0,5998234	0,1709259	0,7415474	0,1842893	0,9956905	0,5829940	0,7059987	0,7916633	0,8542206	0,4958722	0,9937747	0,1484062	0,5596080	0,9657109	0,5667363
460	1,0000000	0,3069503	0,2919587	0,0380507	0,2359763	0,9679359	0,9900019	0,8643487	0,9484628	0,9992763	0,9827641	0,0136351	0,9649981	0,7022434	0,1090902	0,4963223	0,3157599	0,2695413	0,2382730	0,6535127	0,9662595	0,1323053	0,6222332	0,9758348	0,2569863	0,3716404	0,8621918	0,9902421	0,7598934	0,9326313	0,7170754	0,7074441	0,9889574	0,9935892	0,3196788	0,9240238	0,8182667	0,8612238	0,9904618	0,2973963	0,9879917	0,7624029	0,7492940	0,9597763	0,9655155	0,9844732	0,9061746	0,9270324	0,9929882	0,6090354	0,1797993	0,7491030	0,1838035	0,9957440	0,5839939	0,7071645	0,7922931	0,8564880	0,4958837	0,9939306	0,1489120	0,5608923	0,9668730	0,5695597
480	1,0000000	0,3069503	0,2919587	0,0380507	0,2343592	0,9684499	0,9907519	0,8660459	0,9500783	0,9994497	0,9829579	0,0135242	0,9652334	0,7032038	0,1090902	0,4965106	0,3158665	0,2698165	0,2381824	0,6587202	0,9663433	0,1332378	0,6226486	0,9757319	0,2570058	0,3717672	0,8654673	0,9914370	0,7658188	0,9342925	0,7179514	0,7087518	0,9895520	0,9937588	0,3187305	0,9247854	0,8183058	0,8624178	0,9904811	0,2980870	0,9879486	0,7653266	0,7505319	0,9598395	0,9655825	0,9848971	0,9064506	0,9293103	0,9943462	0,6164463	0,1876728	0,7547439	0,1834211	0,9957852	0,5847264	0,7080270	0,7927375	0,8581850	0,4958916	0,9940365	0,1492956	0,5618710	0,9677273	0,5717274
500	1,0000000	0,3069503	0,2919587	0,0380507	0,2331370	0,9688255	0,9912487	0,8672278	0,9513109	0,9995696	0,9831007	0,0134446	0,9654030	0,7039111	0,1090902	0,4966486	0,3159227	0,2700183	0,2381163	0,6631778	0,9664042	0,1339496	0,6229526	0,9756515	0,2570215	0,3718593	0,8679742	0,9923178	0,7704650	0,9355322	0,7186103	0,7097571	0,9899819	0,9938879	0,3179937	0,9253007	0,8183468	0,8632743	0,9904948	0,2985975	0,9879143	0,7677458	0,7514362	0,9598851	0,9656299	0,9852071	0,9066543	0,9311171	0,9951956	0,6223359	0,1946169	0,7589383	0,1831291	0,9958168	0,5852624	0,7086640	0,7930520	0,8594513	0,4958971	0,9941087	0,1495850	0,5626152	0,9683541	0,5733844
520	1,0000000	0,3069503	0,2919587	0,0380507	0,2322165	0,9690997	0,9915774	0,8680504	0,9522502	0,9996525	0,9832059	0,0133873	0,9655253	0,7044310	0,1090902	0,4967495	0,3159513	0,2701661	0,2380681	0,6669978	0,9664487	0,1344901	0,6231750	0,9755896	0,2570337	0,3719262	0,8698851	0,9929725	0,7741224	0,9364656	0,7191032	0,7105250	0,9902929	0,9939860	0,3174240	0,9256524	0,8183852	0,8638859	0,9905046	0,2989742	0,9878883	0,7697584	0,7520966	0,9599180	0,9656642	0,9854338	0,9068059	0,9325611	0,9957264	0,6269672	0,2007129	0,7620470	0,1829152	0,9958408	0,5856546	0,7091337	0,7932750	0,8603937	0,4959010	0,9941583	0,1498023	0,5631798	0,9688132	0,5746464
540	1,0000000	0,3069503	0,2919587	0,0380507	0,2315255	0,9692999	0,9917949	0,8686225	0,9529649	0,9997096	0,9832834	0,0133459	0,9656136	0,7048126	0,1090902	0,4968233	0,3159674	0,2702742	0,2380328	0,6702743	0,9664811	0,1348987	0,6233377	0,9755425	0,2570431	0,3719749	0,8713360	0,9934640	0,7770151	0,9371755	0,7194703	0,7111082	0,9905179	0,9940602	0,3169855	0,9258946	0,8184191	0,8643208	0,9905116	0,2992518	0,9878696	0,7714408	0,7525788	0,9599417	0,9656894	0,9855995	0,9069197	0,9337237	0,9960582	0,6305756	0,2060450	0,7643451	0,1827650	0,9958591	0,5859412	0,7094797	0,7934335	0,8610935	0,4959037	0,9941924	0,1499649	0,5636072	0,9691492	0,5756041
560	1,0000000	0,3069503	0,2919587	0,0380507	0,2310083	0,9694459	0,9919387	0,8690204	0,9535082	0,9997489	0,9833404	0,0133160	0,9656773	0,7050924	0,1090902	0,4968772	0,3159789	0,2703533	0,2380071	0,6730868	0,9665047	0,1352063	0,6234565	0,9755069	0,2570503	0,3720103	0,8724340	0,9938370	0,7793154	0,9377206	0,7197427	0,7115489	0,9906809	0,9941163	0,3166493	0,9260624	0,8184478	0,8646293	0,9905167	0,2994560	0,9878565	0,7728533	0,7529309	0,9599587	0,9657081	0,9857207	0,9070055	0,9346667	0,9962659	0,6333647	0,2106955	0,7660402	0,1826634	0,9958729	0,5861507	0,7097343	0,7935461	0,8616120	0,4959057	0,9942160	0,1500861	0,5639303	0,9693947	0,5763288
