"Time"	hns	cspA	bolA	bglJ	leuO	cadC	stpA	nhaR	gutM	srlR	appY	caiF	gadW	gadX	rutR	nemR	gadE	rcsA	ydeO	evgA	mdtF	mdtE	cadA	cadB	bglG	bglB	bglF	yhiD	hdeA	hdeB	gadA	hdeD	gutQ	srlD	srlB	srlE	srlA	gadB	osmC	gadC	nhaA	fliC	gadY	yjjQ	nemA	dctR	slp	yjjP	ampC	pgaC	gmr	yegR	proW	leuA	leuL	hchA	ybaS	leuC	cspD	mukE	evgS	yciE	gnd	proV
380	0,2259219	0,7319349	0,0392784	0,6471751	0,0154742	0,5679064	0,5967955	0,0986417	0,4279214	0,3698229	0,4889533	0,6965789	0,5282018	0,0016276	0,3878129	0,0415492	0,4472398	0,5016420	0,0051785	0,0772094	0,7390568	0,3575650	0,6689422	0,2696450	0,3178966	0,1305664	0,1231349	0,5394389	0,5885800	0,5902783	0,2855777	0,3567824	0,3694028	0,0456746	0,1744349	0,5723033	0,5193315	0,0030696	0,2226034	0,0030697	0,8047096	0,1329936	0,4311608	0,0059517	0,2777830	0,2488791	0,6163248	0,6178794	0,7018431	0,1431832	0,5307012	0,5049574	0,5273744	0,0179983	0,4651188	0,1076455	0,0906329	0,0385420	0,5070488	0,1487030	0,0771281	0,4565261	0,2809771	0,3741766
400	0,2005139	0,7804087	0,0362073	0,6346377	0,0088624	0,6397872	0,5753250	0,1270359	0,4270538	0,4532125	0,5115176	0,6567762	0,5879539	0,0003176	0,3587527	0,1404981	0,4111182	0,3780132	0,0310281	0,0745008	0,6647388	0,2567861	0,6613783	0,4065435	0,2856681	0,1465451	0,1597974	0,4144728	0,4919550	0,7609199	0,2771216	0,3299890	0,3572157	0,0701910	0,1253907	0,5880746	0,5582477	0,0137128	0,2250494	0,0014753	0,6231527	0,1086809	0,3739450	0,0231767	0,2100846	0,1707974	0,5426563	0,6044077	0,8146231	0,1149309	0,4542352	0,5286421	0,4520555	0,0095409	0,5242940	0,1301259	0,0791980	0,0848206	0,4573474	0,1002355	0,0978220	0,5318313	0,2134099	0,4450895
420	0,2824753	0,6683345	0,0227889	0,7839608	0,0082427	0,7166896	0,4486284	0,1700425	0,4530400	0,3297433	0,4969184	0,7752756	0,6867155	0,0004321	0,3672640	0,0928675	0,3616503	0,4433843	0,0043292	0,0950393	0,5820400	0,3064711	0,7257003	0,3357953	0,3247440	0,1731451	0,0968664	0,5880248	0,6144438	0,6684088	0,2942960	0,3767161	0,3657479	0,0425293	0,1311756	0,6088814	0,4152610	0,0135185	0,2289189	0,0002535	0,6084445	0,1849891	0,4245488	0,0064515	0,2530471	0,2030118	0,6854868	0,6148514	0,7519238	0,1278733	0,4078164	0,4946462	0,4212379	0,0009417	0,6220817	0,0586836	0,0805694	0,0381349	0,7173967	0,1219321	0,0377642	0,5123600	0,1959403	0,5183652
440	0,2503919	0,6560265	0,0251798	0,7148406	0,0085959	0,5887735	0,4832268	0,1259296	0,5004553	0,3732782	0,4385832	0,5776149	0,6474542	0,0118408	0,3220538	0,0849697	0,4569420	0,3520346	0,0120244	0,0682930	0,6128951	0,2026172	0,6297761	0,3002308	0,2950178	0,1342110	0,1129676	0,4365926	0,5704824	0,5987045	0,1967723	0,3295231	0,3832209	0,0980856	0,1648992	0,5421954	0,5058434	0,0146119	0,2409087	0,0001620	0,6591175	0,1154207	0,3207353	0,0056621	0,2007777	0,2229176	0,5538003	0,6155825	0,7630869	0,1047446	0,4041622	0,4934262	0,3531466	0,0022889	0,5969309	0,1613719	0,1255098	0,0680509	0,5187667	0,1116190	0,0955070	0,4885490	0,2364181	0,3780875
460	0,2332265	0,7092365	0,0293783	0,7204350	0,0118713	0,6604113	0,4793305	0,0784461	0,5593112	0,3699631	0,4156776	0,6922158	0,6313021	0,0015143	0,2437923	0,0988805	0,3774887	0,4181756	0,0091490	0,1257699	0,6758734	0,2529029	0,6983711	0,3294518	0,2820390	0,1778668	0,1138507	0,6323072	0,6679281	0,6267337	0,2947183	0,2851713	0,4748931	0,0838432	0,1873041	0,7219480	0,5173222	0,0056498	0,2566798	0,0036415	0,6282793	0,1970012	0,3411265	0,0095270	0,1872665	0,2055550	0,6275528	0,6873402	0,6990024	0,1125244	0,3018573	0,4687252	0,4826695	0,0040934	0,5130167	0,0697120	0,0782922	0,0601022	0,5114799	0,0874652	0,0618819	0,5379779	0,3766076	0,5637788
480	0,2081977	0,6465747	0,0168210	0,7685539	0,0097031	0,7453462	0,5547568	0,0721354	0,5854960	0,4793004	0,4785206	0,6896708	0,5468603	0,0011665	0,3527980	0,0487437	0,4598726	0,4212427	0,0169352	0,0908399	0,6642403	0,3251603	0,6181934	0,3527316	0,4031493	0,1013479	0,1246559	0,5801760	0,6468527	0,6535387	0,2855174	0,2672313	0,4131668	0,0589998	0,1664330	0,6313080	0,4205086	0,0063203	0,2129443	0,0045929	0,5745057	0,2013319	0,3646629	0,0040757	0,2306985	0,2213809	0,6306632	0,5713890	0,7640549	0,1117231	0,4158595	0,4841095	0,4284118	0,0114030	0,4833044	0,0571922	0,0954488	0,0927301	0,4120343	0,1183592	0,0447532	0,5696069	0,3254022	0,4972151
500	0,2333940	0,6884089	0,0382938	0,6529719	0,0127976	0,6647561	0,5311332	0,0798089	0,5419028	0,4264387	0,3685621	0,8376649	0,6148044	0,0026497	0,4092660	0,1041891	0,4607460	0,4254779	0,0090761	0,0828873	0,5954946	0,2573628	0,6449749	0,3023674	0,2944794	0,1204474	0,1400919	0,6513036	0,7288819	0,6431540	0,2795833	0,3806536	0,4590029	0,1170289	0,1632747	0,5928088	0,5225875	0,0068590	0,1897741	0,0069149	0,6486985	0,1558548	0,4051143	0,0132244	0,2272364	0,3101657	0,6807431	0,5710568	0,7111275	0,1099242	0,5201139	0,5162539	0,3865413	0,0065355	0,4780398	0,0415338	0,0724637	0,0715337	0,4883706	0,1399933	0,0884599	0,5016832	0,2328147	0,5032015
520	0,2389845	0,6498276	0,0368491	0,7235816	0,0290137	0,6862755	0,5208188	0,1276462	0,5461054	0,4280913	0,3990333	0,8014511	0,5716792	0,0016017	0,3907670	0,1260080	0,5098803	0,2973403	0,0314618	0,1087570	0,5090858	0,2932254	0,7355217	0,3409964	0,3767662	0,0916811	0,0784449	0,5984456	0,6397551	0,7329280	0,2519347	0,2799314	0,5490207	0,0965981	0,1512542	0,6451739	0,7431746	0,0028170	0,2374928	0,0019927	0,6027355	0,1613605	0,4118997	0,0265051	0,2219152	0,2768334	0,8202868	0,5481952	0,7537142	0,1243906	0,4375739	0,6064020	0,4137198	0,0077687	0,4935244	0,0794287	0,1024432	0,0814139	0,4628505	0,1717921	0,0539313	0,3909036	0,2459359	0,3896318
540	0,1751163	0,5971622	0,0304674	0,8427246	0,0139378	0,7872043	0,4897652	0,2135558	0,4351312	0,6142391	0,4083815	0,7299863	0,5956042	0,0157038	0,3872733	0,1097998	0,4722265	0,4200800	0,0359791	0,0699595	0,6865247	0,2349744	0,7570214	0,2913035	0,3135921	0,1430675	0,1458163	0,5839381	0,6335002	0,6510789	0,2541788	0,2790087	0,4705258	0,0854872	0,1464571	0,6237223	0,5854731	0,0133160	0,1993841	0,0023751	0,6231093	0,2062929	0,3082188	0,0129825	0,1992880	0,2309581	0,6762931	0,5569686	0,7368652	0,1070546	0,4158807	0,4758599	0,4709194	0,0123720	0,4844275	0,0543101	0,1099691	0,0534701	0,4881393	0,2319834	0,0508396	0,4541134	0,2202472	0,4418931
560	0,2080441	0,6736203	0,0279577	0,7143603	0,0173962	0,7569880	0,5868561	0,1324378	0,4122521	0,5163994	0,3957768	0,7754968	0,6443340	0,0193563	0,2550680	0,0961430	0,5002257	0,5134854	0,0232610	0,0753556	0,7032882	0,2742448	0,7235988	0,3006007	0,3017770	0,1125013	0,0802932	0,5077596	0,5701502	0,6270190	0,3154596	0,4214570	0,4196612	0,0528974	0,1156725	0,6653936	0,4744111	0,0218660	0,1829380	0,0017231	0,6997806	0,1976148	0,3841932	0,0215034	0,2282243	0,1760592	0,6518806	0,5911226	0,6609782	0,1064293	0,5041722	0,5156886	0,5199825	0,0223292	0,5993348	0,0584156	0,1075129	0,0787424	0,5662600	0,1507311	0,0564537	0,5269050	0,2719348	0,4664126
