"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	yhiD	hdeB	hdeA	rutB	rutG	rutC	rutE	rutF	rutA	rutD	cadB	gadB	fadL	cadA	gadC	sra	rprA	nemA	wcaB	wza	lldP	osmB	betT	betB	wcaA	wzc	gadY	wzb	betA	lldD	bdm	treC	slp	hdeD	treB	dctR	rpoS	yjbF
380	0,5829158	0,9508051	0,4653614	0,0277490	1,0165338	0,3744800	0,3222650	0,7160778	0,8763576	0,8273780	0,7909474	0,0955113	0,9413291	0,6376911	0,9383702	0,8852114	0,9717007	0,1307015	0,4529393	0,8838449	0,9666517	0,4590142	0,1545167	0,9090462	0,1235757	0,4809846	0,9953992	1,0240645	0,5727159	0,8973837	0,0354603	0,8333188	0,8369339	0,0980651	0,6741824	0,6491937	0,9724375	0,6565733	0,3449639	0,6629487	0,2212637	0,0648993	1,0417782	0,3868601	0,9097007	0,9004232	0,8093156	1,0084566	0,0073933	0,7423902	0,8344803	0,8388019	0,5949750	0,9194537	0,4281278	0,3420552	1,0009343	0,6960085	1,0788866	0,7949338	0,6695854	0,6917021	0,4568038	1,1132725
400	0,5394312	0,9369646	0,4945596	0,0385378	0,9957593	0,3396019	0,3296879	0,6778372	0,8486304	0,7790237	0,7658475	0,0921606	0,8752756	0,6478092	0,9684490	0,8422141	0,9517195	0,1452403	0,4525923	0,8692444	1,0023133	0,5164012	0,1609057	0,9609860	0,1191934	0,4636812	0,9948840	0,9581182	0,5416480	0,9539411	0,0292383	0,9171020	0,8547338	0,0879912	0,6984053	0,7118271	0,9719011	0,6596540	0,3090214	0,7214742	0,2592925	0,0576743	1,0411297	0,3697385	0,9325257	1,0037613	0,7731481	1,0693832	0,0056623	0,7214961	0,8427459	0,8099958	0,5739294	0,9294839	0,4491349	0,3392149	1,0401513	0,6390781	1,0431771	0,8315726	0,6472280	0,6633435	0,4526012	1,1124448
420	0,5567045	0,9606557	0,4860960	0,0358515	0,9924550	0,3572262	0,3116548	0,6518108	0,8394953	0,7781260	0,8223028	0,0962574	0,8788828	0,6117864	0,9592851	0,8690370	1,0846796	0,1245563	0,4531865	0,8696041	0,9285581	0,5841819	0,1585503	0,9535991	0,1425058	0,4100961	1,0120882	0,9680072	0,4754647	0,9407038	0,0319149	0,9672032	0,8474610	0,0975350	0,6899639	0,7263426	0,9374088	0,7063300	0,3166372	0,7399049	0,2429223	0,0600441	0,9802328	0,3627213	0,9826637	1,1207638	0,7684870	1,0914554	0,0084471	0,6076241	0,8379910	0,7421189	0,5886610	0,8845122	0,5195357	0,3180166	1,0245391	0,5905044	1,0384450	0,8603290	0,5707735	0,6309866	0,4254908	1,0809127
440	0,5733718	0,9421435	0,5172494	0,0338139	0,9997875	0,3882044	0,3261301	0,6912256	0,8767628	0,7828559	0,8671879	0,0906157	0,8553889	0,6089081	1,0444905	0,8711918	1,0416854	0,1453573	0,4725812	0,7957029	0,9790665	0,5528147	0,1603263	0,8968105	0,1127791	0,4259938	1,0089230	1,0331928	0,4494097	0,9835479	0,0364129	0,9547890	0,8517555	0,0891898	0,7156885	0,6899716	0,8791053	0,7495943	0,3351485	0,7589074	0,2441697	0,0634103	0,9911621	0,3995828	0,9502312	1,0720569	0,7794734	1,0377752	0,0035777	0,5541164	0,8053907	0,7382004	0,6062337	0,8964563	0,4608266	0,2813968	1,0217490	0,5592420	1,0395624	0,9064279	0,5943473	0,6082079	0,4434653	1,0326850
460	0,6005876	0,9482241	0,4724341	0,0581053	1,0410543	0,3789435	0,2737848	0,6691831	0,9545491	0,8036214	0,8268684	0,0978782	0,8668740	0,6104227	0,9957491	0,8471984	1,0273564	0,1430058	0,4159520	0,8494342	0,9258919	0,5187041	0,1379380	0,9238076	0,0920994	0,4463059	1,0096625	0,9305068	0,4819715	0,8848231	0,0345160	0,9631889	0,8503646	0,1166707	0,7114692	0,6672892	0,8827685	0,7267578	0,3286076	0,7272102	0,2523285	0,0470123	0,9364453	0,4430050	0,9282320	1,0264589	0,7628093	1,0411633	0,0049652	0,4854941	0,7828816	0,7599624	0,5966601	0,9666391	0,4397741	0,2332599	0,9613199	0,6060351	1,0180725	0,9346571	0,6523288	0,5945067	0,4957794	0,9520758
480	0,5650215	0,9538291	0,4486718	0,0342640	1,0311486	0,3966761	0,3553851	0,6758136	0,9207106	0,7860828	0,8170116	0,0799995	0,9092912	0,5876189	0,9863957	0,8832133	1,0345498	0,1245339	0,4189206	0,8736524	0,9050666	0,5171398	0,1630319	0,8996408	0,1011853	0,4936127	1,0467683	0,9719623	0,4944916	0,9302126	0,0400341	0,8652973	0,9168970	0,0977270	0,6734946	0,6876990	0,8313222	0,7630081	0,2920236	0,7207875	0,2578390	0,0565437	0,8805934	0,4030424	0,8425792	0,9778579	0,7632356	1,0528311	0,0036694	0,5019468	0,7562205	0,8737139	0,6258416	0,9826695	0,3774657	0,2404822	0,9224058	0,6224223	1,0285002	0,8824878	0,7309231	0,6187062	0,4483386	0,9779277
500	0,5811471	0,9916856	0,4432075	0,0472528	1,0190871	0,3924717	0,3328685	0,7074400	0,8557138	0,7771827	0,8354449	0,0881230	0,9021640	0,5297340	1,0344911	0,8659162	1,0384186	0,1111788	0,3999608	0,8581075	0,8741026	0,5143490	0,1339696	0,9614745	0,1207554	0,4863027	0,9931780	1,0088322	0,4725887	0,9379079	0,0410528	0,8212493	0,9638556	0,0896282	0,6596452	0,7199465	0,9452181	0,7326387	0,2554469	0,6986244	0,2830476	0,0575285	0,9161255	0,3751420	0,9215888	1,0210925	0,7585470	1,0722248	0,0011224	0,5315891	0,7521190	0,7745218	0,5973745	0,9717218	0,3558622	0,2264778	0,9484077	0,6922856	0,9280090	0,9113413	0,7201993	0,5922514	0,4699101	0,9748635
520	0,5228277	0,9851367	0,4183412	0,0456074	0,9421554	0,3853694	0,3138620	0,6838063	0,8091444	0,8384447	0,7755730	0,0895220	0,8788805	0,5459423	1,0561572	0,7441494	1,0282936	0,0906679	0,4338141	0,9214931	0,9403489	0,4730299	0,1115009	0,9214550	0,0910228	0,4516485	1,0248094	0,8654509	0,4928019	0,9425093	0,0385590	0,8291008	0,9303582	0,1090789	0,7070385	0,7351433	0,8750710	0,7692157	0,2714326	0,6587149	0,2726751	0,0379850	0,9790460	0,3712113	0,9272575	0,9733272	0,7503977	1,0004149	0,0002393	0,5455523	0,7551948	0,7852557	0,6060455	0,9575402	0,3296054	0,1952264	1,0055383	0,6536830	1,0227564	0,8527891	0,7079080	0,6114084	0,4248795	0,9552551
540	0,5320150	1,0357350	0,4093549	0,0331972	0,9204189	0,3827211	0,2721086	0,6813244	0,8469737	0,7803058	0,7259984	0,0771909	0,9323093	0,5075922	1,0245833	0,7449595	1,0333849	0,1428962	0,3798223	0,8819588	0,9626086	0,4662737	0,1284954	0,9396223	0,0800481	0,4293033	1,0402828	0,9119934	0,5529296	1,0149047	0,0408087	0,8661203	0,8822841	0,1105664	0,6822402	0,7000594	0,9494967	0,8116883	0,2638612	0,6156663	0,2717597	0,0541041	0,9539842	0,3581338	0,9666107	1,0071676	0,7296312	0,9203457	0,0014901	0,5984678	0,7877223	0,8388058	0,5938771	0,9574912	0,3435485	0,2022807	0,9732028	0,6528656	1,0424137	0,8222344	0,6613970	0,5887403	0,4540392	1,0545082
560	0,5426697	1,0273678	0,3914818	0,0391946	0,9294163	0,3921690	0,2474247	0,7066112	0,8372009	0,8401879	0,6981876	0,0744350	0,9144332	0,5400910	0,9329116	0,7803577	1,0073978	0,1301165	0,3540326	0,8572319	0,9279984	0,4340750	0,1448514	0,8866841	0,0817778	0,4429209	1,0362437	0,9037521	0,5016999	1,0093395	0,0346672	0,8742300	0,8369356	0,0881837	0,6391344	0,7086652	1,0085134	0,7958327	0,2487227	0,6486707	0,2793002	0,0580938	0,9460163	0,4079503	0,9120309	1,1531338	0,7557002	0,9001191	0,0011525	0,6588499	0,7932422	0,8376271	0,5220312	1,0289775	0,3400025	0,2612059	0,9819853	0,6514060	1,0141567	0,8464371	0,6647232	0,5709561	0,4636697	0,9814699
