"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	yhiD	hdeB	hdeA	rutB	rutG	rutC	rutE	rutF	rutA	rutD	cadB	gadB	fadL	cadA	gadC	sra	rprA	nemA	wcaB	wza	lldP	osmB	betT	betB	wcaA	wzc	gadY	wzb	betA	lldD	bdm	treC	slp	hdeD	treB	dctR	rpoS	yjbF
380	0,4131052	0,8242888	0,2446003	0,0101531	0,6976687	0,2710852	0,2363318	0,4427627	0,6193800	0,5367833	0,5283281	0,0452896	0,5761058	0,3665036	0,6838487	0,7118707	0,7176930	0,0894377	0,2564054	0,5338687	0,6506603	0,4535298	0,1035063	0,6563877	0,0722162	0,3696492	0,8683386	0,7910228	0,3301881	0,5542428	0,0173497	0,5625748	0,5542642	0,1107998	0,6725364	0,4745832	0,6105309	0,6419490	0,2655616	0,4312356	0,1288968	0,0398206	0,7243739	0,2224623	0,6893784	0,7012679	0,6383234	0,6303142	0,0027340	0,5305433	0,6829989	0,7962339	0,4828796	0,5736604	0,3262360	0,1714013	0,7716536	0,5358477	0,6142821	0,6075363	0,4723169	0,5215731	0,3410097	0,7615984
400	0,4294327	0,7198102	0,2199000	0,0343423	0,7536906	0,3426151	0,2194107	0,5619411	0,6996395	0,5052831	0,5379525	0,0644414	0,5766583	0,5298523	0,6963731	0,6316612	0,6950460	0,1132205	0,2624639	0,7140708	0,6172501	0,3217899	0,0644660	0,5813221	0,0727003	0,3071735	0,7740377	0,7599914	0,4537180	0,6159773	0,0257025	0,5931789	0,5560656	0,0644290	0,4592549	0,4863158	0,6961608	0,5361258	0,3645263	0,5214572	0,1977269	0,0211523	0,7271210	0,2007610	0,6058813	0,6279060	0,5272477	0,7160962	0,0049605	0,4288645	0,6047836	0,6447995	0,3950293	0,6286861	0,3377884	0,1986166	0,7518129	0,4290477	0,6927803	0,5509187	0,5116898	0,4494789	0,3902702	0,7057139
420	0,3859961	0,5989637	0,2348098	0,0355310	0,7877518	0,2895721	0,2550736	0,4987951	0,7046497	0,5148484	0,6063130	0,0826452	0,6003068	0,4592079	0,6472914	0,6502350	0,6686185	0,1788749	0,3634053	0,5901261	0,6462370	0,3248207	0,1359166	0,6968384	0,0686667	0,2480593	0,7099482	0,6166318	0,3906904	0,6018133	0,0193537	0,7153916	0,7377807	0,1337504	0,5088011	0,5451100	0,6812072	0,4809933	0,2276112	0,5861572	0,2148206	0,0261328	0,6072427	0,3760448	0,5675826	0,7074542	0,5086379	0,6594929	0,0009482	0,4982037	0,6372045	0,6486613	0,5092273	0,5079548	0,2835401	0,1711308	0,6550918	0,4508783	0,7661715	0,6771036	0,4307415	0,4390427	0,2795837	0,7415158
440	0,3778967	0,6285748	0,3127948	0,0227001	0,6250863	0,2490562	0,2281905	0,4623870	0,6233689	0,4386246	0,6817423	0,0775933	0,6971593	0,5150791	0,7323467	0,6381825	0,8201921	0,1265502	0,3879171	0,6581604	0,7110845	0,3579951	0,1355533	0,6062646	0,1014352	0,2337592	0,7160497	0,7726697	0,3553995	0,7542213	0,0177690	0,5632206	0,6242980	0,0933106	0,4403411	0,4969445	0,7742519	0,5963872	0,1826335	0,5765049	0,1747204	0,0185874	0,5905243	0,2553975	0,6718964	0,7524425	0,5109244	0,7011290	0,0018442	0,4291130	0,7675490	0,7010323	0,4224641	0,6548617	0,3813901	0,1914691	0,5648848	0,4601467	0,7144145	0,5383198	0,4097214	0,5271253	0,3370636	0,8698421
460	0,3972113	0,8469525	0,3206372	0,0298133	0,6235711	0,2286583	0,2394137	0,5027951	0,5304762	0,5337759	0,5428109	0,0424794	0,6754832	0,4132378	0,6115669	0,6836569	0,7782741	0,1463153	0,4290653	0,6791864	0,8040937	0,4447968	0,1556588	0,6301225	0,0765975	0,3239773	0,7488663	0,8106106	0,3298140	0,6921690	0,0272361	0,7890517	0,5595103	0,0343703	0,4855521	0,4025346	0,6523564	0,5374290	0,2122965	0,5958956	0,1448255	0,0404399	0,6741224	0,3025259	0,6730624	0,7544179	0,5037719	0,7511044	0,0012880	0,4420243	0,6022966	0,6390697	0,3681145	0,6735524	0,3093864	0,1540730	0,7021222	0,4837078	0,7072277	0,7949206	0,4905546	0,5399355	0,2957109	0,7026884
480	0,3948974	0,7698005	0,3124085	0,0482168	0,7211335	0,3612545	0,2555821	0,4553197	0,7684838	0,5716245	0,5768955	0,0698579	0,6306485	0,5102721	0,7801663	0,6178762	0,6536405	0,0993203	0,3243577	0,5846057	0,6621955	0,3212795	0,1076842	0,4782863	0,0700052	0,4572582	0,7917318	0,6670062	0,4438697	0,6582782	0,0342005	0,8636003	0,6142904	0,0558780	0,5133646	0,3610287	0,6349778	0,5490755	0,3302518	0,5113544	0,1002935	0,0574219	0,7320297	0,3490021	0,6329511	0,6926294	0,5539361	0,6781849	0,0001829	0,4028635	0,5931431	0,5589021	0,4174889	0,6154097	0,3743817	0,2049572	0,6620903	0,4468105	0,6401949	0,6970690	0,5207892	0,4345882	0,3372793	0,7828030
500	0,3931005	0,7597002	0,3267893	0,0194243	0,7405996	0,2899690	0,2038755	0,5604936	0,6132839	0,6334481	0,5088798	0,0245580	0,5838390	0,4367295	0,7554950	0,6381150	0,7516340	0,1022642	0,3206232	0,5506773	0,6857691	0,3888119	0,1178179	0,6528924	0,0740352	0,2533737	0,7416522	0,7378326	0,2675836	0,6296756	0,0478774	0,8548242	0,5642955	0,0713734	0,4865398	0,5515890	0,6612278	0,4300954	0,2095966	0,4625203	0,2134282	0,0240976	0,6095944	0,2864605	0,5973681	0,7578849	0,5178498	0,7074019	0,0008747	0,4112263	0,6542007	0,5577907	0,4459318	0,6847135	0,2192443	0,2190576	0,7609096	0,4399340	0,6090048	0,7011108	0,5415726	0,4966740	0,3571395	0,7600928
520	0,3973440	0,9013134	0,2762200	0,0337932	0,5747364	0,2142680	0,2166532	0,4566852	0,6570583	0,6436085	0,6036759	0,0394971	0,6768302	0,3213316	0,7399561	0,6349466	0,7236127	0,0945316	0,3595640	0,5714273	0,6242956	0,3100641	0,1137102	0,6116464	0,0530954	0,3120969	0,7800958	0,7624739	0,3689892	0,5605768	0,0353689	0,7294150	0,7299622	0,0859666	0,5434075	0,4714697	0,5916845	0,5638027	0,1803698	0,5570385	0,1196576	0,0231203	0,6596737	0,3379987	0,7258353	0,7924947	0,5720305	0,6507054	0,0013502	0,4280394	0,5289068	0,4770446	0,5143897	0,7214931	0,2333802	0,1792586	0,7126059	0,4828299	0,6977134	0,6613426	0,5241229	0,4030012	0,2521571	0,6977384
540	0,4155899	0,7737842	0,3233588	0,0300757	0,6899761	0,3113645	0,2555615	0,3936392	0,6400693	0,6133811	0,5328892	0,0656628	0,7356419	0,3331145	0,8514270	0,6006225	0,6891586	0,0824117	0,3410680	0,5589096	0,8101799	0,2709960	0,0817723	0,7308717	0,0517872	0,4227017	0,6398606	0,6987963	0,4173103	0,7661047	0,0243726	0,5948859	0,6542955	0,0682423	0,5964827	0,4872430	0,6022517	0,6059364	0,2159832	0,5445205	0,1802170	0,0760598	0,6936325	0,3186729	0,6020672	0,8001711	0,4821528	0,7113748	0,0001913	0,3989174	0,4784007	0,5140200	0,4322277	0,7388312	0,3002118	0,1878483	0,8575561	0,3881816	0,7438931	0,6775062	0,5299006	0,4140838	0,2906088	0,6159890
560	0,3720704	0,6607884	0,3050001	0,0228836	0,5720076	0,2715665	0,1902208	0,5186645	0,5292069	0,5930405	0,4596815	0,0505979	0,7935389	0,3514511	0,7124102	0,5372122	0,6824109	0,1048057	0,3331217	0,5744709	0,8135077	0,3124357	0,0539600	0,6873033	0,0840468	0,2627786	0,6626954	0,5834270	0,3049567	0,6365827	0,0238063	0,5919398	0,5670136	0,0981760	0,4603778	0,4699272	0,7717783	0,5961364	0,1997345	0,5798585	0,1703453	0,0640911	0,7438475	0,3369014	0,5841583	0,7711747	0,5234014	0,6613896	0,0000461	0,3790382	0,4803888	0,5169746	0,4776925	0,7255762	0,3430456	0,1430314	0,8375229	0,4600253	0,7168185	0,6380762	0,4079785	0,3944073	0,3465358	0,7107472
