"Time"	flhD	hdfR	qseB	lrhA	flhC	ompR	rcsB	rcsA	csgD	bolA	rstA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtF	mdtE	csgF	csgG	csgE	yhiD	hdeB	hdeA	gadA	gadB	gadC	sra	flgM	flgJ	fliR	rprA	wcaB	flhE	fliQ	fliM	fliH	flgE	flgN	wzc	flgH	fliK	gltI	yhjH	osmB	flhB	fliN	recC	flgD	flgI	fliG	fliF	fliT	fliD	bdm	flhA	ppdC	gadY	flgA	flgG
380	0,6169953	0,2870889	0,0319752	0,0396997	0,3411182	0,9748490	0,3705905	0,8214032	0,6196243	0,0075774	0,8228126	0,8261256	0,7980293	0,9761685	0,8814561	0,7052894	0,2286106	0,3961858	0,4255301	1,0038776	0,9069624	0,7266151	0,9498643	0,3480954	0,4925801	0,6174775	0,7949727	0,6992169	0,8553512	0,4943611	0,7644573	0,5665661	0,8491560	0,1739246	0,9599455	0,2289668	0,1471172	0,7576854	0,4318600	0,3258067	0,7226555	0,5061778	0,2874240	0,0963641	0,0918866	0,6654461	0,7456797	0,4846202	0,7896100	0,7403357	1,0339349	0,9340355	0,7428627	0,1079464	0,8701024	0,9776963	0,8578392	0,7866062	0,3410368	0,0842272	0,3358537	0,9934465	0,6067890	0,5231917
400	0,6338736	0,2858138	0,0384862	0,0363003	0,3926468	0,9825300	0,3541932	0,8262457	0,5487823	0,0081013	0,8391855	0,7990572	0,8811592	0,9448570	0,8843302	0,7147998	0,3154739	0,4331724	0,4322633	0,9907680	0,8747758	0,8162387	0,9517912	0,3198718	0,4665335	0,6945726	0,7989475	0,7677485	0,8500724	0,4633370	0,7380995	0,5700526	0,8380237	0,1897689	0,9825690	0,2674290	0,1695289	0,7444798	0,4669393	0,3226788	0,7177983	0,4405992	0,2561815	0,1017622	0,1003190	0,6526549	0,7215665	0,4432377	0,7845700	0,7239310	1,1071064	0,9310565	0,7024756	0,0925439	0,9317131	1,0021814	0,8892726	0,7325113	0,3251491	0,0616348	0,3491512	0,9444236	0,5279317	0,5290207
420	0,6503593	0,2575766	0,0416284	0,0378023	0,4031182	0,9037819	0,4065550	0,7574806	0,5965740	0,0028597	0,8352987	0,8346830	0,8479790	0,9953820	0,8329349	0,7478917	0,2668492	0,3808368	0,4349988	0,9545505	0,8342264	0,7698311	0,9670787	0,2669233	0,4844516	0,6937239	0,8101069	0,7404279	0,8542874	0,4000347	0,7363999	0,5853666	0,7977448	0,1489544	0,9465699	0,2326621	0,1525245	0,7170323	0,4084565	0,3169179	0,7117317	0,4217738	0,2794850	0,1294312	0,1025218	0,6223684	0,6691133	0,3871151	0,7857689	0,7150095	1,0190746	0,9045562	0,7222176	0,0944225	0,9847201	0,9909499	0,8998823	0,7070706	0,3181766	0,0660575	0,3646965	0,9431599	0,4930347	0,4651613
440	0,6051043	0,2869464	0,0224792	0,0255119	0,3843867	1,0294269	0,3939336	0,6903241	0,6006086	0,0065229	0,8706346	0,7922314	0,8482011	0,9911169	0,8858066	0,7613634	0,2545020	0,3737379	0,4391960	0,9397754	0,8824626	0,7854299	1,0378252	0,2748656	0,4580082	0,6692382	0,8048996	0,7447670	0,8393100	0,4038875	0,7211260	0,5903244	0,7923544	0,1747474	0,9518190	0,2538207	0,1292479	0,7863874	0,4001822	0,2928726	0,7556907	0,3926885	0,2443135	0,1101560	0,0987418	0,5700265	0,5667771	0,3724822	0,8112562	0,6808248	1,0274505	0,9432309	0,7251455	0,1007976	0,9892069	0,9515057	0,9021380	0,6914924	0,3429499	0,0610005	0,3777049	1,0133108	0,5080797	0,4318232
460	0,6094872	0,2791951	0,0268723	0,0264190	0,4083609	1,0390296	0,4015133	0,7762188	0,6691098	0,0013087	0,8414191	0,8003745	0,8424107	1,0308544	0,9317114	0,7593584	0,3001543	0,3753624	0,4572517	0,9375613	0,8990322	0,7812291	1,0176461	0,3315440	0,4671755	0,6366939	0,8174860	0,7034558	0,8038698	0,4105263	0,8085149	0,5894431	0,8759288	0,1951031	0,9877030	0,2154891	0,1382141	0,8144738	0,3835291	0,2982631	0,7825604	0,4310918	0,3118490	0,0824013	0,1054575	0,5419585	0,6546884	0,4446100	0,8234463	0,6767639	0,9581845	0,9434142	0,6922412	0,0820113	0,9187548	0,9602092	0,8844055	0,7382199	0,3213417	0,0452510	0,3988684	0,9839454	0,4909980	0,4292189
480	0,6382301	0,3051000	0,0219725	0,0155436	0,4090653	1,0382151	0,4370502	0,7554724	0,6397366	0,0029804	0,8396223	0,7280423	0,8043504	1,0573269	0,9072657	0,7532823	0,2892519	0,3714153	0,4478665	0,9559574	0,9181122	0,7635306	1,0138493	0,3550153	0,5207447	0,6221593	0,7856175	0,6835615	0,7962512	0,4339642	0,8407590	0,6113876	0,8174330	0,1876532	1,0959035	0,1915809	0,1543093	0,8636577	0,4636458	0,3059641	0,7811244	0,3922576	0,3466028	0,0857179	0,1092990	0,5789635	0,6638367	0,4971951	0,8454854	0,7198271	1,0479580	0,9554386	0,7337593	0,0739899	0,9444673	1,0160399	0,8460286	0,7173596	0,3108453	0,0617826	0,4193518	0,9843400	0,4757406	0,4378544
500	0,6045874	0,3007701	0,0382786	0,0279571	0,4027890	1,0095097	0,4234721	0,7554091	0,5900530	0,0009035	0,8318655	0,7503348	0,8109666	1,0514158	0,9091120	0,6799953	0,2421399	0,3182664	0,4146466	0,9389234	0,8939531	0,7381073	0,9344319	0,2559550	0,4581065	0,7119427	0,7285516	0,7096361	0,8301025	0,4195456	0,8834546	0,6259452	0,8187556	0,2051177	1,0130740	0,2234640	0,1613703	0,8230597	0,4549572	0,2759466	0,7566820	0,3769576	0,3293207	0,1090375	0,1202690	0,5662546	0,6823237	0,5167796	0,8682643	0,6987208	1,0033261	0,9912766	0,7197148	0,0987750	0,9576968	0,9904462	0,8699593	0,6909177	0,3281590	0,0615713	0,4171307	0,9969327	0,4808071	0,4955364
520	0,6577196	0,3096262	0,0464615	0,0341770	0,3673779	0,9747034	0,4008810	0,7621625	0,6155303	0,0013777	0,8243687	0,7053113	0,8654120	1,1040883	0,9540507	0,7363441	0,2715678	0,3668761	0,4390806	0,9015029	0,8543409	0,7695619	1,0277287	0,2775412	0,4426308	0,6355976	0,7600590	0,7526484	0,8387892	0,4205400	0,8417189	0,6183857	0,8114513	0,1968781	0,9584854	0,2019623	0,1537957	0,8189980	0,4321969	0,2657809	0,7627845	0,3948511	0,3170439	0,0826843	0,1290346	0,6069226	0,6849904	0,4866413	0,7996798	0,6885095	1,0536940	1,0164433	0,6930194	0,0942911	0,9188192	1,0296662	0,9476180	0,6630638	0,3383006	0,0423264	0,4090661	1,0346807	0,5114507	0,4876122
540	0,6368957	0,3053298	0,0375457	0,0256774	0,3431361	1,0595594	0,3797682	0,8090274	0,6454627	0,0000836	0,7235181	0,7059684	0,8412739	1,0268542	0,8992482	0,7121583	0,2604157	0,3881166	0,4520008	0,9618544	0,8713495	0,7769736	1,0280003	0,3189294	0,4400522	0,6294133	0,7243511	0,6955282	0,8485331	0,4644481	0,8297065	0,6319983	0,8211432	0,1827504	1,0236067	0,2194375	0,1636442	0,8097819	0,3850875	0,3016313	0,7470856	0,3972416	0,3341723	0,0840090	0,1196792	0,5908997	0,6342179	0,4480364	0,8116877	0,6456555	1,0387154	0,9624970	0,7495113	0,0734375	0,9560365	0,9621342	0,9586868	0,7645060	0,3162129	0,0466727	0,4006206	1,0261508	0,4847025	0,4653041
560	0,6552153	0,3057627	0,0362934	0,0479886	0,3877357	1,0994392	0,3559274	0,8021652	0,6040347	0,0008180	0,7288765	0,6929896	0,7950112	1,0131560	0,9304573	0,7564712	0,2872418	0,3578757	0,4194847	0,9708277	0,9388961	0,7489220	1,0664550	0,3326108	0,4648988	0,7354776	0,7411305	0,7419540	0,8082194	0,4454371	0,7084639	0,6124972	0,8162478	0,2020416	1,0773606	0,2033195	0,1782442	0,7831486	0,4812966	0,3252247	0,7324019	0,4114491	0,3402693	0,0804770	0,1240754	0,6148384	0,7013812	0,4183459	0,8172545	0,6834837	1,0747654	0,8989840	0,7483479	0,0874304	0,9300783	1,0274987	0,9039812	0,7637877	0,3064927	0,0473462	0,3991125	0,9842566	0,5086180	0,5082736
580	0,7643511	0,6664979	0,0311389	0,0430159	0,3613625	1,0801260	0,5381355	0,7221127	0,5651187	0,0278302	0,7310481	0,7802980	0,8002505	0,9983441	0,8986538	0,7129566	0,3565048	0,4147946	0,6410521	0,9247366	0,8763897	0,5050024	1,0974425	0,2922299	0,4719941	0,7453975	0,7334627	0,7528617	0,7247298	0,4526577	0,5300232	0,5365556	0,8246164	0,1909194	1,0509404	0,1976377	0,2115983	0,7800507	0,4820114	0,3030297	0,7768215	0,4244236	0,3870267	0,0817717	0,0996459	0,7240317	0,7198250	0,4412183	0,8243567	0,6028978	1,0333525	0,9034609	0,5674405	0,0849332	0,9752975	1,0461267	0,5088715	0,8151816	0,3066724	0,0512604	0,4138602	0,9803689	0,5193422	0,5045370
600	0,8800018	0,8111775	0,0306892	0,0317376	0,2763560	1,0891968	0,6404292	0,7012727	0,5358203	0,0761556	0,7949491	0,7501935	0,8850221	0,9771094	0,9162715	0,7158279	0,3835117	0,4508204	0,7251875	0,9247739	0,8556292	0,3629987	0,9968128	0,2843634	0,4732420	0,6966205	0,7301990	0,7313491	0,6579591	0,4379029	0,4554948	0,5557498	0,8572618	0,1970834	0,9999330	0,2028748	0,1973984	0,8623361	0,4799854	0,3432910	0,7755275	0,4198578	0,3825694	0,0784029	0,0909271	0,6724127	0,7319231	0,4138675	0,8144558	0,4900086	1,0229492	0,8809085	0,5057349	0,0823776	0,9519511	1,0467056	0,3247357	0,8465615	0,3344811	0,0657369	0,3815167	0,9793406	0,5983977	0,5664098
