"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI
380	1,0000000	0,3710371	0,0000650	0,4192602	0,9999307	0,4929332	0,8435709	0,3192519	0,3813083	0,6303153	0,9979821	0,9923162	0,9866539	1,0000000	0,0052657	0,1461609	0,9963015	0,2765017	0,1099295	0,2585210	0,9381274	0,9932758	0,2913887	0,5122580	0,7016550	0,3242572	0,0188962	0,2732347	0,3089162	0,5026373	0,9771251	0,9762481	0,6215086	0,4432127	0,3258477	0,9984275	0,5420787	0,3632662	0,4796532	0,9530654	0,9965774	0,7987017	0,0001335	0,8318725	0,8035145	0,8501292	0,4953034	0,2777953	0,5688100	0,9404232	0,2023886	0,8300696	0,5549802	0,0416134	0,2374361	0,9662949	0,9415551	0,1515451	0,0783329	0,9948890	0,0153045	0,9989207	0,9141537	0,6452575
400	1,0000000	0,3710371	0,0000638	0,4192602	0,9999301	0,4927980	0,8427785	0,3192214	0,3811705	0,6303153	0,9980070	0,9929371	0,9900329	1,0000000	0,0052958	0,1461237	0,9968323	0,2765017	0,1099311	0,2504853	0,9409604	0,9936801	0,2934349	0,5122898	0,7017072	0,3242572	0,0188962	0,2733694	0,3105481	0,5032811	0,9785890	0,9764980	0,6215088	0,4432916	0,3261451	0,9987787	0,5284410	0,3629647	0,4718220	0,9530109	0,9965647	0,7971948	0,0001316	0,8337466	0,7788593	0,8505229	0,5088111	0,2778542	0,5705131	0,9451330	0,2036144	0,8310424	0,5534329	0,0416624	0,2382801	0,9662221	0,9417028	0,1397539	0,0783329	0,9959323	0,0153045	0,9992679	0,9277395	0,6450011
420	1,0000000	0,3710371	0,0000630	0,4192602	0,9999297	0,4927085	0,8422027	0,3192013	0,3810740	0,6303153	0,9980226	0,9933709	0,9925081	1,0000000	0,0053184	0,1461016	0,9972146	0,2765017	0,1099323	0,2441480	0,9430169	0,9939555	0,2949726	0,5123124	0,7017417	0,3242572	0,0188962	0,2734704	0,3117581	0,5037377	0,9796427	0,9766620	0,6215090	0,4433494	0,3263695	0,9990320	0,5169731	0,3627562	0,4651603	0,9529728	0,9965552	0,7960518	0,0001305	0,8350463	0,7553037	0,8508336	0,5192909	0,2778923	0,5717200	0,9484708	0,2045003	0,8317201	0,5523416	0,0417011	0,2389091	0,9661643	0,9418061	0,1296384	0,0783329	0,9966722	0,0153045	0,9995032	0,9386370	0,6448285
440	1,0000000	0,3710371	0,0000624	0,4192602	0,9999293	0,4926492	0,8417876	0,3191880	0,3810067	0,6303153	0,9980325	0,9936743	0,9943186	1,0000000	0,0053352	0,1460884	0,9974892	0,2765017	0,1099331	0,2391936	0,9445087	0,9941432	0,2961213	0,5123284	0,7017646	0,3242572	0,0188962	0,2735457	0,3126512	0,5040609	0,9804001	0,9767694	0,6215091	0,4433914	0,3265375	0,9992146	0,5074787	0,3626121	0,4595574	0,9529462	0,9965482	0,7951911	0,0001299	0,8359432	0,7334640	0,8510757	0,5273509	0,2779170	0,5725697	0,9508354	0,2051365	0,8321903	0,5515759	0,0417316	0,2393751	0,9661191	0,9418780	0,1210681	0,0783329	0,9971967	0,0153045	0,9996626	0,9472841	0,6447128
460	1,0000000	0,3710371	0,0000621	0,4192602	0,9999291	0,4926099	0,8414904	0,3191792	0,3809602	0,6303153	0,9980388	0,9938868	0,9956414	1,0000000	0,0053475	0,1460805	0,9976858	0,2765017	0,1099337	0,2353485	0,9455902	0,9942716	0,2969750	0,5123396	0,7017795	0,3242572	0,0188962	0,2736016	0,3133078	0,5042891	0,9809439	0,9768395	0,6215092	0,4434219	0,3266625	0,9993460	0,4997238	0,3625125	0,4548927	0,9529278	0,9965430	0,7945471	0,0001296	0,8365594	0,7137546	0,8512623	0,5335047	0,2779330	0,5731645	0,9525109	0,2055910	0,8325153	0,5510410	0,0417554	0,2397186	0,9660840	0,9419278	0,1138894	0,0783329	0,9975682	0,0153045	0,9997707	0,9540834	0,6446354
480	1,0000000	0,3710371	0,0000619	0,4192602	0,9999290	0,4925839	0,8412788	0,3191733	0,3809281	0,6303153	0,9980429	0,9940356	0,9966068	1,0000000	0,0053565	0,1460759	0,9978262	0,2765017	0,1099342	0,2323822	0,9463740	0,9943595	0,2976064	0,5123475	0,7017893	0,3242572	0,0188962	0,2736429	0,3137889	0,5044501	0,9813340	0,9768854	0,6215092	0,4434438	0,3267549	0,9994404	0,4934636	0,3624436	0,4510444	0,9529150	0,9965392	0,7940681	0,0001295	0,8369813	0,6963900	0,8514045	0,5381740	0,2779433	0,5735787	0,9536990	0,2059140	0,8327392	0,5506689	0,0417739	0,2399707	0,9660572	0,9419622	0,1079384	0,0783329	0,9978314	0,0153045	0,9998439	0,9593894	0,6445837
500	1,0000000	0,3710371	0,0000617	0,4192602	0,9999289	0,4925667	0,8411291	0,3191694	0,3809060	0,6303153	0,9980455	0,9941400	0,9973110	1,0000000	0,0053631	0,1460731	0,9979264	0,2765017	0,1099345	0,2301049	0,9469419	0,9944199	0,2980714	0,5123529	0,7017957	0,3242572	0,0188962	0,2736733	0,3141404	0,5045634	0,9816135	0,9769152	0,6215093	0,4434596	0,3268229	0,9995083	0,4884608	0,3623960	0,4478952	0,9529063	0,9965365	0,7937136	0,0001294	0,8372691	0,6814119	0,8515120	0,5416982	0,2779500	0,5738659	0,9545424	0,2061427	0,8328930	0,5504109	0,0417881	0,2401550	0,9660368	0,9419859	0,1030513	0,0783329	0,9980178	0,0153045	0,9998935	0,9635039	0,6445492
520	1,0000000	0,3710371	0,0000616	0,4192602	0,9999288	0,4925553	0,8410237	0,3191669	0,3808909	0,6303153	0,9980473	0,9942133	0,9978242	1,0000000	0,0053679	0,1460715	0,9979976	0,2765017	0,1099347	0,2283637	0,9473532	0,9944614	0,2984125	0,5123567	0,7017998	0,3242572	0,0188962	0,2736955	0,3143965	0,5046431	0,9818136	0,9769346	0,6215094	0,4434710	0,3268727	0,9995571	0,4844975	0,3623631	0,4453368	0,9529003	0,9965345	0,7934525	0,0001294	0,8374648	0,6687303	0,8515925	0,5443462	0,2779543	0,5740641	0,9551419	0,2063041	0,8329984	0,5502325	0,0417990	0,2402892	0,9660216	0,9420022	0,0990719	0,0783329	0,9981498	0,0153045	0,9999271	0,9666778	0,6445263
540	1,0000000	0,3710371	0,0000615	0,4192602	0,9999287	0,4925477	0,8409498	0,3191652	0,3808806	0,6303153	0,9980484	0,9942648	0,9981981	1,0000000	0,0053713	0,1460705	0,9980482	0,2765017	0,1099348	0,2270366	0,9476510	0,9944901	0,2986619	0,5123593	0,7018024	0,3242572	0,0188962	0,2737117	0,3145829	0,5046990	0,9819568	0,9769473	0,6215094	0,4434791	0,3269091	0,9995921	0,4813812	0,3623403	0,4432718	0,9528962	0,9965330	0,7932610	0,0001294	0,8375976	0,6581659	0,8516524	0,5463280	0,2779571	0,5742005	0,9555686	0,2064175	0,8330704	0,5501096	0,0418074	0,2403867	0,9660102	0,9420133	0,0958562	0,0783329	0,9982432	0,0153045	0,9999499	0,9691158	0,6445110
560	1,0000000	0,3710371	0,0000615	0,4192602	0,9999287	0,4925427	0,8408982	0,3191641	0,3808736	0,6303153	0,9980492	0,9943011	0,9984704	1,0000000	0,0053738	0,1460700	0,9980841	0,2765017	0,1099349	0,2260278	0,9478666	0,9945100	0,2988436	0,5123611	0,7018040	0,3242572	0,0188962	0,2737235	0,3147181	0,5047383	0,9820592	0,9769555	0,6215094	0,4434849	0,3269355	0,9996172	0,4789465	0,3623245	0,4416148	0,9528934	0,9965320	0,7931212	0,0001294	0,8376875	0,6494887	0,8516966	0,5478062	0,2779590	0,5742940	0,9558728	0,2064970	0,8331196	0,5500251	0,0418137	0,2404574	0,9660017	0,9420209	0,0932757	0,0783329	0,9983094	0,0153045	0,9999654	0,9709818	0,6445008
