"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI
380	0,7445898	0,3804760	0,0000000	0,2517921	0,7957191	0,3466855	0,5872516	0,2418090	0,2554041	0,4801360	0,7591860	0,7154986	0,5656651	0,7468150	0,0065799	0,1309295	0,8142338	0,1575377	0,0842975	0,2084607	0,5244884	0,6084994	0,1967666	0,3668712	0,4331711	0,2041938	0,0205445	0,1976785	0,2289666	0,3384696	0,7139063	0,7102505	0,5266956	0,3127968	0,1855283	0,8478141	0,4368921	0,2578682	0,3479853	0,5760901	0,7570010	0,6649241	0,0001993	0,6450459	0,6482247	0,6272303	0,2696983	0,2232728	0,4257981	0,5974864	0,1279582	0,5818055	0,4301576	0,0407357	0,1815980	0,7438777	0,6303618	0,1109636	0,0740451	0,5905711	0,0136603	0,7647986	0,6546341	0,3868217
400	0,6502671	0,3748182	0,0016441	0,3240380	0,7261808	0,2779633	0,5095047	0,2249358	0,2801413	0,4550130	0,6113855	0,7740024	0,6639936	0,6699287	0,0079741	0,0847493	0,6565678	0,2048031	0,0706445	0,1549987	0,8375887	0,6531925	0,2334863	0,2443663	0,4317679	0,2608963	0,0110887	0,1783737	0,2524985	0,3073546	0,7175111	0,6541444	0,5351016	0,3139351	0,2344976	0,8038671	0,3663800	0,2608532	0,4545359	0,5588903	0,7000416	0,5027182	0,0045814	0,6552464	0,5472308	0,6405865	0,2408016	0,1582245	0,3901148	0,6984927	0,1721377	0,7009385	0,3810642	0,0190264	0,1832177	0,8148073	0,7337738	0,1063335	0,0420026	0,6671800	0,0042542	0,6508347	0,6422036	0,3973381
420	0,6768745	0,2942555	0,0001609	0,3140611	0,7753545	0,2855683	0,5970473	0,2539302	0,2868914	0,5098343	0,7526714	0,7384584	0,8151312	0,6397923	0,0123516	0,1598253	0,6639475	0,1641274	0,0598817	0,1550474	0,7051894	0,7209815	0,1875513	0,4672807	0,4917531	0,1783082	0,0290981	0,1457053	0,2721118	0,3621138	0,6723210	0,6276176	0,4653251	0,3808960	0,2773378	0,7272565	0,4117097	0,3247566	0,4049909	0,7104713	0,7499242	0,5628811	0,0030492	0,6836677	0,5935938	0,6311200	0,2521843	0,1561590	0,3770833	0,6107773	0,1877750	0,7317823	0,3533091	0,0191481	0,1531514	0,8276795	0,7785332	0,1234126	0,0523530	0,7298213	0,0041342	0,7522530	0,6460575	0,4815211
440	0,7145974	0,3633303	0,0061371	0,3537799	0,7326040	0,4074002	0,6103629	0,2640826	0,2121208	0,4648717	0,7001518	0,7988447	0,8425987	0,6246063	0,0134766	0,1133829	0,7835939	0,2034014	0,0869177	0,2083355	0,7186874	0,8224789	0,1620636	0,3399529	0,4039381	0,3501464	0,0324657	0,2097093	0,2151329	0,2852946	0,7023545	0,7088859	0,5224739	0,2508597	0,1924369	0,7208678	0,4901626	0,2779788	0,3352199	0,7333167	0,7250674	0,5962659	0,0007060	0,7075671	0,6900370	0,8103778	0,3579039	0,2049733	0,4273330	0,6059865	0,1919805	0,6045537	0,3125951	0,0217535	0,1339092	0,9064986	0,7571231	0,1040434	0,0318310	0,8383290	0,0049281	0,6800332	0,5691707	0,3901396
460	0,7535372	0,3305074	0,0016792	0,3679559	0,5604358	0,3214236	0,5825087	0,2909716	0,2414213	0,4891138	0,7238613	0,7257043	0,7981482	0,6612617	0,0135414	0,1359642	0,8233111	0,2052702	0,1014146	0,2153792	0,4961450	0,7840397	0,2601754	0,4286648	0,4539228	0,2330837	0,0104104	0,2223371	0,2508010	0,3317527	0,6901823	0,7596732	0,4267314	0,3529923	0,2975857	0,6681426	0,4761365	0,2948501	0,3178343	0,6580248	0,8509347	0,4652230	0,0040200	0,6614979	0,6543205	0,7172966	0,4054898	0,1623649	0,5026572	0,6706629	0,1712465	0,6677282	0,3221775	0,0660538	0,1359477	0,7485535	0,6518112	0,0807248	0,0411357	0,9003030	0,0046370	0,7812463	0,7615342	0,4216297
480	0,6415836	0,2374868	0,0008417	0,3226779	0,6268027	0,3376201	0,5792593	0,2337457	0,3068757	0,5200563	0,8594853	0,7343926	0,5578780	0,7083251	0,0032661	0,1279411	0,7665431	0,1669081	0,0696391	0,1995143	0,5329337	0,7174563	0,1959364	0,3656550	0,4467314	0,2805534	0,0234252	0,3257696	0,2602122	0,3053490	0,6323172	0,6466757	0,4422071	0,4813871	0,2470682	0,7005147	0,3503820	0,2503266	0,3223763	0,7170163	0,7204312	0,5284169	0,0045250	0,6191434	0,5588528	0,6426371	0,4104401	0,1294956	0,4489274	0,6505017	0,1815285	0,6382846	0,3664235	0,0435552	0,1914753	0,7590643	0,6256438	0,1444212	0,0591632	0,8072938	0,0021376	0,7909067	0,6397519	0,4720670
500	0,6247957	0,3068379	0,0011794	0,3389956	0,6837947	0,2673603	0,6234928	0,1330069	0,1874513	0,4729105	0,8828257	0,8109102	0,6073058	0,7159094	0,0201982	0,0863161	0,6818417	0,2371798	0,0673040	0,1498569	0,6322134	0,7338558	0,1951920	0,4200123	0,5608698	0,1938217	0,0141679	0,2345826	0,2631827	0,3448202	0,6983229	0,6463356	0,5157057	0,3056688	0,2534981	0,8202296	0,3276544	0,2572966	0,3426692	0,6331498	0,7388539	0,5742387	0,0030920	0,7475466	0,6426523	0,6830762	0,4087268	0,1953623	0,4687024	0,6071436	0,2081667	0,5169325	0,3191120	0,0524726	0,1589078	0,6236367	0,7683158	0,0446423	0,0667801	0,7303056	0,0014395	0,6439182	0,7515814	0,5064376
520	0,7304713	0,2713921	0,0000952	0,2903784	0,5951789	0,2801533	0,6418846	0,1901700	0,1993835	0,5500668	0,7362108	0,6682276	0,5441444	0,8027590	0,0065213	0,1150553	0,7120220	0,2081370	0,0969036	0,1670590	0,5616725	0,6570680	0,2070346	0,3504912	0,5794102	0,2102286	0,0169873	0,1995685	0,2247530	0,4005558	0,6775084	0,6396120	0,3360804	0,3073808	0,2934641	0,8696367	0,3308841	0,2667248	0,3652316	0,6153516	0,6213051	0,5530756	0,0070647	0,7514624	0,5116738	0,6496127	0,4241209	0,1973192	0,4777454	0,6599538	0,2738409	0,5335162	0,3181894	0,0297750	0,2346584	0,8001193	0,7385923	0,0805896	0,0791686	0,7014932	0,0036871	0,6932008	0,8865976	0,4275521
540	0,7226290	0,3005542	0,0046281	0,2888510	0,7684241	0,2715464	0,5664061	0,2257217	0,2580115	0,4687597	0,7478842	0,8419035	0,7370519	0,7296378	0,0013020	0,1480677	0,6440232	0,2140610	0,0577744	0,1552812	0,7893362	0,6264085	0,2992625	0,3866345	0,4989872	0,2879591	0,0124441	0,1964341	0,2487615	0,3765772	0,7098663	0,6003179	0,3864062	0,2411528	0,2427322	0,7313813	0,4205454	0,2203770	0,3104958	0,6992690	0,6423613	0,5140916	0,0009279	0,6378570	0,4989555	0,5388755	0,3801558	0,2695411	0,4277613	0,7214695	0,2819598	0,5018166	0,3018198	0,0449487	0,2142744	0,6800320	0,7027151	0,0574152	0,0758341	0,7289705	0,0060884	0,6280872	0,8087349	0,4002572
560	0,6178749	0,3052779	0,0066334	0,2823004	0,6985829	0,4016081	0,5778552	0,2546996	0,2467135	0,3631913	0,6091818	0,8013583	0,8833903	0,7353658	0,0004049	0,1382460	0,7396445	0,2490739	0,0489692	0,1771878	0,6999683	0,6715027	0,2519690	0,3744546	0,4638532	0,2607954	0,0052440	0,1288426	0,2086507	0,4354326	0,8301428	0,7177787	0,4391823	0,3445869	0,3304560	0,7588679	0,3700675	0,2716129	0,4050328	0,7126863	0,7000310	0,5675420	0,0005325	0,7039326	0,6758088	0,6249717	0,4587291	0,2116571	0,5027481	0,6363590	0,2481381	0,6297022	0,3402354	0,0579609	0,2528395	0,6161030	0,6127663	0,0696431	0,0528555	0,8023435	0,0223043	0,8223652	0,6627256	0,3957495
