"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB
420	1,0000000	0,3069503	0,2919587	0,0380507	0,2331270	0,9692776	0,9912458	0,8657612	0,9515921	0,9997367	0,9826444	0,0136112	0,9654062	0,7029914	0,1090902	0,4962221	0,3164036	0,2697437	0,2383456	0,6610648	0,9661756	0,1328299	0,6224658	0,9758455	0,2570009	0,3717280	0,8657002	0,9912418	0,7653726	0,9343743	0,7177416	0,7079427	0,9895335	0,9940304	0,3179209	0,9243962	0,8181942	0,8619479	0,9904662	0,2978402	0,9879726	0,7608589	0,7500267	0,9597514	0,9656146	0,9852408	0,9063186	0,9272757	0,9952841	0,6149870	0,1793943	0,7499922	0,1835249	0,9958372	0,5846780	0,7084940	0,7914398	0,8590452	0,4958818	0,9941013	0,1493349	0,5637249	0,9679778	0,5746256
440	1,0000000	0,3069503	0,2919587	0,0380507	0,2321656	0,9694331	0,9915839	0,8670375	0,9524851	0,9997706	0,9828697	0,0135081	0,9655268	0,7037641	0,1090902	0,4964376	0,3163302	0,2699627	0,2382355	0,6651407	0,9662821	0,1336607	0,6228200	0,9757329	0,2570209	0,3718307	0,8682245	0,9921542	0,7700820	0,9355453	0,7184837	0,7091666	0,9899689	0,9940994	0,3173309	0,9250169	0,8182829	0,8629655	0,9904837	0,2984209	0,9879253	0,7640292	0,7510685	0,9598217	0,9656493	0,9854596	0,9065675	0,9294694	0,9958025	0,6215672	0,1874467	0,7554796	0,1832178	0,9958582	0,5852301	0,7090173	0,7921348	0,8601222	0,4958900	0,9941508	0,1496246	0,5640442	0,9685472	0,5756693
460	1,0000000	0,3069503	0,2919587	0,0380507	0,2314578	0,9695451	0,9918028	0,8679220	0,9531571	0,9997927	0,9830357	0,0134336	0,9656139	0,7043287	0,1090902	0,4965954	0,3162143	0,2701251	0,2381551	0,6686490	0,9663597	0,1342854	0,6230788	0,9756482	0,2570352	0,3719053	0,8701253	0,9928304	0,7737716	0,9364351	0,7190262	0,7100958	0,9902832	0,9941497	0,3168878	0,9254449	0,8183512	0,8636821	0,9904963	0,2988475	0,9878889	0,7666512	0,7518288	0,9598724	0,9656744	0,9856189	0,9067417	0,9312155	0,9961135	0,6266410	0,1945095	0,7595280	0,1829545	0,9958734	0,5856326	0,7093997	0,7926252	0,8609119	0,4958958	0,9941856	0,1498385	0,5642773	0,9689603	0,5764334
480	1,0000000	0,3069503	0,2919587	0,0380507	0,2309377	0,9696260	0,9919454	0,8685353	0,9536632	0,9998073	0,9831581	0,0133798	0,9656771	0,7047410	0,1090902	0,4967108	0,3161139	0,2702447	0,2380964	0,6716689	0,9664161	0,1347535	0,6232677	0,9755849	0,2570454	0,3719595	0,8715525	0,9933384	0,7766840	0,9371193	0,7194232	0,7107972	0,9905105	0,9941863	0,3165562	0,9257428	0,8184031	0,8641857	0,9905055	0,2991607	0,9878642	0,7688319	0,7523838	0,9599089	0,9656940	0,9857351	0,9068685	0,9326167	0,9963022	0,6305163	0,2006818	0,7625095	0,1827612	0,9958845	0,5859262	0,7096791	0,7929722	0,8614906	0,4959000	0,9942101	0,1499961	0,5644476	0,9692600	0,5769923
500	1,0000000	0,3069503	0,2919587	0,0380507	0,2305560	0,9696845	0,9920387	0,8689608	0,9540443	0,9998168	0,9832482	0,0133407	0,9657228	0,7050419	0,1090902	0,4967951	0,3160489	0,2703321	0,2380535	0,6742687	0,9664573	0,1351033	0,6234056	0,9755376	0,2570527	0,3719990	0,8726213	0,9937253	0,7790005	0,9376513	0,7197139	0,7113241	0,9906750	0,9942130	0,3163086	0,9259516	0,8184422	0,8645392	0,9905122	0,2993905	0,9878490	0,7706546	0,7527888	0,9599352	0,9657098	0,9858198	0,9069640	0,9337500	0,9964182	0,6334535	0,2060610	0,7647020	0,1826356	0,9958926	0,5861403	0,7098832	0,7932183	0,8619143	0,4959030	0,9942274	0,1501121	0,5645719	0,9694777	0,5774009
520	1,0000000	0,3069503	0,2919587	0,0380507	0,2302762	0,9697268	0,9921001	0,8692561	0,9543313	0,9998230	0,9833146	0,0133124	0,9657561	0,7052616	0,1090902	0,4968567	0,3160174	0,2703959	0,2380222	0,6765069	0,9664873	0,1353640	0,6235063	0,9755025	0,2570579	0,3720278	0,8734198	0,9940240	0,7808572	0,9380695	0,7199266	0,7117182	0,9907944	0,9942324	0,3161242	0,9260988	0,8184715	0,8647871	0,9905171	0,2995588	0,9878403	0,7721846	0,7530844	0,9599541	0,9657225	0,9858818	0,9070374	0,9346734	0,9964905	0,6356659	0,2107391	0,7663126	0,1825619	0,9958985	0,5862965	0,7100323	0,7933931	0,8622245	0,4959051	0,9942398	0,1501974	0,5646626	0,9696357	0,5776994
540	1,0000000	0,3069503	0,2919587	0,0380507	0,2300712	0,9697575	0,9921406	0,8694611	0,9545477	0,9998271	0,9833634	0,0132918	0,9657802	0,7054218	0,1090902	0,4969016	0,3160090	0,2704422	0,2379994	0,6784340	0,9665093	0,1355579	0,6235799	0,9754764	0,2570617	0,3720487	0,8740151	0,9942577	0,7823563	0,9384014	0,7200824	0,7120119	0,9908810	0,9942466	0,3159873	0,9262030	0,8184934	0,8649607	0,9905206	0,2996821	0,9878355	0,7734737	0,7533000	0,9599676	0,9657325	0,9859270	0,9070939	0,9354310	0,9965361	0,6373236	0,2148008	0,7674944	0,1825222	0,9959028	0,5864104	0,7101411	0,7935174	0,8624514	0,4959067	0,9942487	0,1502600	0,5647289	0,9697505	0,5779175
560	1,0000000	0,3069503	0,2919587	0,0380507	0,2299212	0,9697798	0,9921676	0,8696034	0,9547107	0,9998298	0,9833994	0,0132769	0,9657978	0,7055387	0,1090902	0,4969344	0,3160126	0,2704760	0,2379827	0,6800933	0,9665252	0,1357017	0,6236336	0,9754571	0,2570645	0,3720640	0,8744581	0,9944429	0,7835754	0,9386673	0,7201962	0,7122301	0,9909440	0,9942569	0,3158858	0,9262770	0,8185096	0,8650823	0,9905232	0,2997724	0,9878328	0,7745633	0,7534574	0,9599774	0,9657400	0,9859601	0,9071371	0,9360565	0,9965652	0,6385606	0,2183227	0,7683610	0,1825015	0,9959059	0,5864936	0,7102205	0,7936058	0,8626174	0,4959078	0,9942551	0,1503058	0,5647772	0,9698340	0,5780767
580	1,0000000	0,3069503	0,2919587	0,0380507	0,3544366	0,9100303	0,9921500	0,8696570	0,9244653	0,9998305	0,9833990	0,1647802	0,9657353	0,7046176	0,1090902	0,5503079	0,3155825	0,4946788	0,2382980	0,6812025	0,8108625	0,1908509	0,6861304	0,9733073	0,5475141	0,5949662	0,8660432	0,9945911	0,7843732	0,9385335	0,7191418	0,7123747	0,9664714	0,9942639	0,4390845	0,9259352	0,8186889	0,8650403	0,9905039	0,2994382	0,9878279	0,7700139	0,7519097	0,9599548	0,9655942	0,9859645	0,8167455	0,9365168	0,9965707	0,6027099	0,2213686	0,7677047	0,1822996	0,9959158	0,6345977	0,7096995	0,7821382	0,8622100	0,7484518	0,9942490	0,3861217	0,6950890	0,9697191	0,4554775
600	1,0000000	0,3069503	0,2919587	0,0380507	0,4331790	0,8703854	0,9919851	0,8695040	0,9032922	0,9998260	0,9832795	0,2356007	0,9653731	0,6999452	0,1090902	0,5669541	0,3135055	0,5798457	0,2398479	0,6807925	0,7496657	0,2470392	0,7146678	0,9611349	0,7238548	0,7300413	0,8595121	0,9947085	0,7841762	0,9369643	0,7139706	0,7123448	0,9484177	0,9942600	0,5209637	0,9241253	0,8194479	0,8644972	0,9904046	0,2975166	0,9878256	0,7662896	0,7443464	0,9598156	0,9649673	0,9858724	0,7650619	0,9366416	0,9965177	0,5404617	0,2239144	0,7616059	0,1814917	0,9959466	0,6618390	0,7070514	0,7755238	0,8596239	0,8739876	0,9941919	0,5251284	0,7376551	0,9688476	0,3863535
