"Time"	rhaR	rhaS	crp	feaR	melR	zraR	malI	mtlR	prpR	ascG	rbsR	marR	fucR	chbR	nagC	srlR	gutM	idnR	xylR	uxuR	chbB	chbF	chbG	chbA	chbC	gutQ	srlE	srlD	srlA	srlB	zraS	rhaB	prpE	prpD	rbsC	rbsA	melB	nagE	fucO	rhaD	ascF	prpB	rbsB	fucU	rhaA	fucA	prpC	fucI	nagD	ascB	rbsK	fucP	malX	rbsD	gntP	melA	malY	nagB	fucK	xylF	uxuA	uxuB	rhaT	xylH
380	0,0045831	0,9457961	0,8542986	0,9833934	0,9998646	0,0280964	0,4239626	0,9624294	0,6719165	0,6513928	0,9978087	0,9814156	0,9994462	0,9219353	0,0429346	0,8902866	0,6155717	0,9749472	0,9865964	0,5937818	0,7084360	0,8657309	0,6546484	0,9985676	0,4382972	0,6634259	0,8397751	0,5550778	0,5337493	0,7272606	0,6992024	0,5102113	0,7761675	0,6738724	0,0547923	0,5330529	0,9236193	0,9999098	0,9750346	0,8422612	0,8824182	0,4599703	0,1599261	0,1881665	0,9537846	0,9998180	0,7615763	0,9982276	0,9848472	0,1535691	0,3893640	0,9357736	0,0027373	0,1500202	0,8718015	0,6850366	0,4332284	0,9269977	0,9975438	0,5331084	0,5414556	0,8429635	0,9999080	0,5362309
400	0,0046168	0,9460985	0,8551755	0,9838667	0,9998944	0,0285306	0,4265397	0,9624763	0,6724048	0,6513928	0,9980839	0,9820368	0,9994695	0,9239127	0,0424785	0,8917580	0,6158417	0,9756766	0,9870785	0,5950087	0,7084147	0,8664205	0,6635915	0,9986629	0,4546688	0,6636620	0,8408492	0,5555012	0,5340074	0,7277415	0,7000406	0,5123564	0,7862584	0,6749330	0,0550567	0,5336032	0,9238034	0,9999328	0,9752427	0,8463993	0,8824398	0,4615409	0,1600901	0,1926512	0,9541896	0,9998268	0,7670339	0,9982296	0,9854431	0,1551295	0,3896712	0,9362808	0,0024704	0,1508880	0,8747654	0,6874351	0,4282278	0,9307259	0,9979859	0,5375028	0,5471073	0,8434071	0,9999101	0,5411528
420	0,0046454	0,9463333	0,8558586	0,9842144	0,9999125	0,0289432	0,4285953	0,9625103	0,6727865	0,6513928	0,9982758	0,9824982	0,9994851	0,9254365	0,0421280	0,8928702	0,6160233	0,9761997	0,9874320	0,5959776	0,7083903	0,8668961	0,6701907	0,9987252	0,4673135	0,6638419	0,8417284	0,5558340	0,5341964	0,7280838	0,7008258	0,5140247	0,7941205	0,6757572	0,0552984	0,5340081	0,9239223	0,9999498	0,9754020	0,8495041	0,8824555	0,4627528	0,1602387	0,1962679	0,9544931	0,9998322	0,7712675	0,9982311	0,9858839	0,1563472	0,3899369	0,9366764	0,0022799	0,1515960	0,8770299	0,6892968	0,4241749	0,9335406	0,9983137	0,5409234	0,5513830	0,8437438	0,9999115	0,5450248
440	0,0046698	0,9465160	0,8563912	0,9844712	0,9999236	0,0293345	0,4302285	0,9625354	0,6730849	0,6513928	0,9984099	0,9828427	0,9994957	0,9266095	0,0418577	0,8937132	0,6161468	0,9765773	0,9876932	0,5967412	0,7083663	0,8672255	0,6750596	0,9987666	0,4770143	0,6639830	0,8424432	0,5561000	0,5343358	0,7283270	0,7015624	0,5153234	0,8002406	0,6763985	0,0555112	0,5343101	0,9239989	0,9999625	0,9755243	0,8518484	0,8824671	0,4636903	0,1603699	0,1991696	0,9547223	0,9998356	0,7745519	0,9982320	0,9862124	0,1572967	0,3901630	0,9369850	0,0021425	0,1521693	0,8787630	0,6907436	0,4209081	0,9356663	0,9985567	0,5435854	0,5546315	0,8440008	0,9999125	0,5480665
460	0,0046903	0,9466582	0,8568066	0,9846615	0,9999303	0,0297051	0,4315220	0,9625542	0,6733182	0,6513928	0,9985037	0,9831013	0,9995030	0,9275123	0,0416486	0,8943539	0,6162322	0,9768516	0,9878876	0,5973419	0,7083444	0,8674550	0,6786572	0,9987948	0,4844310	0,6640964	0,8430215	0,5563149	0,5344394	0,7284994	0,7022537	0,5163352	0,8050021	0,6768979	0,0556940	0,5345376	0,9240482	0,9999718	0,9756186	0,8536286	0,8824758	0,4644170	0,1604836	0,2014880	0,9548964	0,9998379	0,7771007	0,9982328	0,9864586	0,1580368	0,3903531	0,9372255	0,0020424	0,1526310	0,8800916	0,6918692	0,4182876	0,9372732	0,9987369	0,5456570	0,5571098	0,8441977	0,9999132	0,5504533
480	0,0047077	0,9467690	0,8571308	0,9848033	0,9999345	0,0300558	0,4325440	0,9625684	0,6735006	0,6513928	0,9985696	0,9832961	0,9995081	0,9282075	0,0414866	0,8948421	0,6162923	0,9770521	0,9880334	0,5978138	0,7083252	0,8676161	0,6813226	0,9988142	0,4900946	0,6641888	0,8434872	0,5564893	0,5345170	0,7286212	0,7029028	0,5171239	0,8087056	0,6772872	0,0558482	0,5347106	0,9240798	0,9999787	0,9756914	0,8549871	0,8824824	0,4649813	0,1605804	0,2033338	0,9550294	0,9998395	0,7790795	0,9982333	0,9866444	0,1586135	0,3905111	0,9374131	0,0019686	0,1530011	0,8811121	0,6927457	0,4161942	0,9384901	0,9988705	0,5472694	0,5590078	0,8443491	0,9999137	0,5523245
500	0,0047223	0,9468555	0,8573839	0,9849093	0,9999371	0,0303875	0,4333496	0,9625792	0,6736431	0,6513928	0,9986159	0,9834436	0,9995117	0,9287432	0,0413608	0,8952152	0,6163357	0,9771996	0,9881433	0,5981841	0,7083089	0,8677301	0,6833041	0,9988279	0,4944210	0,6642650	0,8438610	0,5566312	0,5345754	0,7287071	0,7035125	0,5177391	0,8115859	0,6775908	0,0559764	0,5348432	0,9241000	0,9999839	0,9757478	0,8560284	0,8824874	0,4654200	0,1606619	0,2047991	0,9551313	0,9998406	0,7806165	0,9982336	0,9867853	0,1590629	0,3906413	0,9375593	0,0019139	0,1532967	0,8818972	0,6934287	0,4145279	0,9394135	0,9989697	0,5485248	0,5604664	0,8444659	0,9999141	0,5537906
520	0,0047346	0,9469229	0,8575815	0,9849889	0,9999387	0,0307010	0,4339837	0,9625875	0,6737545	0,6513928	0,9986485	0,9835557	0,9995142	0,9291565	0,0412630	0,8955010	0,6163677	0,9773086	0,9882266	0,5984744	0,7082953	0,8678116	0,6847831	0,9988376	0,4977301	0,6643281	0,8441601	0,5567465	0,5346197	0,7287674	0,7040854	0,5182191	0,8138262	0,6778277	0,0560819	0,5349453	0,9241130	0,9999877	0,9757915	0,8568293	0,8824912	0,4657615	0,1607297	0,2059595	0,9552098	0,9998414	0,7818109	0,9982339	0,9868928	0,1594131	0,3907478	0,9376734	0,0018729	0,1535321	0,8825023	0,6939613	0,4132056	0,9401158	0,9990433	0,5495024	0,5615906	0,8445562	0,9999144	0,5549386
540	0,0047449	0,9469755	0,8577358	0,9850489	0,9999397	0,0309973	0,4344821	0,9625938	0,6738416	0,6513928	0,9986716	0,9836412	0,9995161	0,9294757	0,0411868	0,8957204	0,6163918	0,9773897	0,9882901	0,5987020	0,7082842	0,8678704	0,6858918	0,9988448	0,5002657	0,6643805	0,8443989	0,5568401	0,5346536	0,7288097	0,7046241	0,5185939	0,8155689	0,6780126	0,0561680	0,5350242	0,9241212	0,9999905	0,9758254	0,8574473	0,8824942	0,4660276	0,1607855	0,2068765	0,9552704	0,9998420	0,7827395	0,9982341	0,9869751	0,1596861	0,3908344	0,9377623	0,0018420	0,1537191	0,8829693	0,6943768	0,4121590	0,9406512	0,9990979	0,5502641	0,5624593	0,8446262	0,9999146	0,5558372
560	0,0047536	0,9470166	0,8578564	0,9850942	0,9999404	0,0312774	0,4348734	0,9625987	0,6739096	0,6513928	0,9986880	0,9837066	0,9995174	0,9297226	0,0411275	0,8958893	0,6164105	0,9774503	0,9883387	0,5988801	0,7082753	0,8679132	0,6867264	0,9988500	0,5022127	0,6644239	0,8445892	0,5569160	0,5346795	0,7288391	0,7051310	0,5188864	0,8169248	0,6781569	0,0562378	0,5350855	0,9241265	0,9999926	0,9758518	0,8579253	0,8824965	0,4662351	0,1608312	0,2075999	0,9553173	0,9998425	0,7834618	0,9982342	0,9870383	0,1598989	0,3909045	0,9378317	0,0018186	0,1538674	0,8833303	0,6947011	0,4113324	0,9410604	0,9991384	0,5508577	0,5631321	0,8446806	0,9999148	0,5565403
