"Time"	bolA	ompR	csgD	rstA	rcsB	rcsA	flhD	hdfR	flhC	qseB	lrhA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtE	mdtF	csgF	csgE	csgG	hdeA	hdeB	yhiD	gadA	gadB	gadC	sra	flgH	fliM	ppdA	flgM	fliT	fliF	osmB	fliK	wcaB	ygdB	gltJ	flgA	flgE	wzb	fliJ	flgG	wzc	wcaA	fliQ	fliE	fliG	recC	flgC	fliO	flgD	ygbK	fliR	fliN	yhjH	fliP	gltI	flgF
380	0,0662709	0,6757285	0,0957536	0,0310021	0,6809544	0,5859210	0,0117887	0,6416100	0,0515039	0,0283587	0,0722845	0,2763719	0,0166867	0,0063252	0,6119663	0,2167284	0,1357489	0,6830965	0,3323487	0,1168959	0,3246647	0,0184925	0,0109022	0,5931345	0,6961060	0,4601733	0,2832356	0,4831535	0,1535143	0,1475679	0,3651999	0,4471718	0,0093077	0,6344742	0,0358529	0,0034039	0,0351724	0,0347182	0,9071815	0,4148462	0,6119086	0,0983295	0,0001210	0,0367997	0,0286283	0,7702084	0,2151855	0,0294950	0,7407974	0,7340515	0,0646410	0,0109085	0,0035575	0,0014739	0,0163326	0,0054108	0,0311095	0,7432101	0,0016524	0,0036066	0,0700949	0,0954463	0,0232528	0,0425748
400	0,0507637	0,8464947	0,0793342	0,0516045	0,7334011	0,6177250	0,0124768	0,5743351	0,1277088	0,0144023	0,0589458	0,2591838	0,0136259	0,0043826	0,6125922	0,2552007	0,1373463	0,6713968	0,3522809	0,1552312	0,3424961	0,0275276	0,0141658	0,5742988	0,8171862	0,5283826	0,4152140	0,6320075	0,1900758	0,1646025	0,3870908	0,4793886	0,0032539	0,5445300	0,0257147	0,0045706	0,0299548	0,0474571	0,7288552	0,3831497	0,4148243	0,0961492	0,0003186	0,0397891	0,0319834	0,6724823	0,2244230	0,0679012	0,6050166	0,6309617	0,0314810	0,0053551	0,0157012	0,0051952	0,0074273	0,0089993	0,0305327	0,7334594	0,0020115	0,0086684	0,0369393	0,0884168	0,0131234	0,0567216
420	0,0349365	0,7612150	0,0923185	0,0582065	0,6157316	0,6681802	0,0111981	0,6210937	0,0493912	0,0289726	0,0866007	0,3101682	0,0139132	0,0064613	0,6591266	0,3661190	0,1324181	0,6616787	0,3035389	0,1203932	0,3318854	0,0341348	0,0212620	0,6507391	0,6836076	0,5371540	0,3931615	0,6883215	0,2352774	0,1778740	0,4351937	0,4307350	0,0050648	0,5771952	0,0305863	0,0095664	0,0280227	0,0487838	0,6938818	0,3977169	0,4233940	0,0627703	0,0000947	0,0462273	0,0261907	0,7516693	0,2084305	0,0586196	0,6399613	0,7028995	0,0749713	0,0033173	0,0068727	0,0008435	0,0150814	0,0195672	0,0324592	0,5604775	0,0070087	0,0063251	0,0601585	0,0833411	0,0196715	0,0444220
440	0,0381250	0,8743599	0,0998123	0,0577272	0,7076985	0,5824295	0,0083082	0,5584740	0,0713474	0,0228051	0,1005150	0,2805784	0,0102464	0,0092974	0,5812805	0,2809179	0,1653270	0,6714084	0,3817578	0,0672855	0,3451009	0,0416692	0,0156990	0,5614249	0,6847641	0,5456094	0,5054622	0,5497636	0,1861172	0,1900643	0,3402388	0,5843572	0,0088081	0,4803725	0,0178201	0,0073249	0,0486684	0,0431138	0,7357207	0,4357742	0,4760667	0,0686152	0,0003394	0,0496788	0,0545300	0,6750844	0,2331654	0,0752563	0,6399403	0,5908427	0,0441795	0,0193521	0,0096323	0,0047105	0,0316474	0,0158618	0,0147888	0,7125135	0,0035387	0,0088771	0,0511291	0,0734526	0,0334391	0,0611555
460	0,0842917	0,6703224	0,1396701	0,0368323	0,6648755	0,6442849	0,0063441	0,6482757	0,0557476	0,0198447	0,0760967	0,3332783	0,0108239	0,0064596	0,5695674	0,3231259	0,1724967	0,6452663	0,3142903	0,0665330	0,3754445	0,0477529	0,0487606	0,4807597	0,6832433	0,4331872	0,2907864	0,5781595	0,2168931	0,2363729	0,3477712	0,3860655	0,0072888	0,5905936	0,0272281	0,0179441	0,0189389	0,0200963	0,7347130	0,3842841	0,4937033	0,1021199	0,0000570	0,0427654	0,0133508	0,7465650	0,2123132	0,0557733	0,6416151	0,6577015	0,0737000	0,0046903	0,0042564	0,0023430	0,0113992	0,0135412	0,0251817	0,6416471	0,0022568	0,0179304	0,0557874	0,1600394	0,0751286	0,0662265
480	0,0633912	0,7069648	0,1069601	0,0506669	0,6795909	0,6588192	0,0289139	0,6824165	0,0429004	0,0101321	0,0637033	0,3384991	0,0045924	0,0130247	0,5565038	0,2390237	0,1551510	0,7507186	0,3133371	0,1006425	0,4561224	0,0270378	0,0098106	0,5081683	0,6561447	0,5405269	0,3923043	0,6752927	0,1805494	0,1539017	0,3866126	0,5667262	0,0093171	0,5943108	0,0303886	0,0045815	0,0330399	0,0332542	0,7960238	0,3866197	0,4638913	0,0799857	0,0004485	0,0326585	0,0419927	0,7783637	0,1511927	0,0743972	0,6226833	0,5924333	0,0330582	0,0082770	0,0063287	0,0055135	0,0079195	0,0247227	0,0144649	0,6797823	0,0166842	0,0113893	0,0743921	0,0990383	0,0447374	0,0333230
500	0,0372994	0,7106135	0,0799842	0,0640054	0,6270509	0,7346558	0,0037776	0,6821592	0,0307998	0,0132306	0,0778199	0,3066397	0,0109986	0,0093864	0,7455952	0,2097976	0,1730676	0,7535197	0,3057251	0,0895091	0,5150756	0,0302047	0,0296227	0,4577744	0,7477429	0,4821926	0,3791314	0,6890213	0,1727009	0,1579822	0,3540133	0,3845318	0,0089546	0,4988346	0,0123461	0,0047191	0,0472660	0,0209758	0,6041881	0,3880836	0,5139216	0,0667669	0,0005819	0,0402271	0,0322647	0,6799996	0,2187721	0,0329705	0,6208753	0,6649872	0,0391707	0,0044704	0,0033788	0,0016762	0,0194395	0,0326377	0,0203535	0,6954176	0,0069118	0,0139743	0,0567548	0,1302468	0,0434069	0,0377875
520	0,0188950	0,7979517	0,0984667	0,0438616	0,6874342	0,5740978	0,0019609	0,6199524	0,0249748	0,0086658	0,0470236	0,2903404	0,0142626	0,0019490	0,5787648	0,2442725	0,1000042	0,7721610	0,3158329	0,0991956	0,3473432	0,0481020	0,0048685	0,4762886	0,7209828	0,4988217	0,3458551	0,6406376	0,1951514	0,1553809	0,3886665	0,4924805	0,0166677	0,4753182	0,0250051	0,0047297	0,0287461	0,0140957	0,6594222	0,5103755	0,4827643	0,0864353	0,0020954	0,0193904	0,0286574	0,7368218	0,1205877	0,0668799	0,6544024	0,6733159	0,0425051	0,0041351	0,0087868	0,0018890	0,0091593	0,0103725	0,0188572	0,7193884	0,0067246	0,0110354	0,0345187	0,1148315	0,0281653	0,0448571
540	0,0538656	0,7626787	0,1213829	0,0209331	0,6638014	0,7404364	0,0060725	0,4268954	0,0346084	0,0249389	0,0849573	0,2541336	0,0070546	0,0078501	0,6468384	0,2228482	0,1280909	0,7914406	0,3308220	0,0730563	0,3464207	0,0341918	0,0059730	0,4916455	0,7358235	0,4391069	0,4116513	0,6735611	0,2578736	0,2135517	0,4149791	0,5125309	0,0073169	0,6713667	0,0181191	0,0018922	0,0185424	0,0154008	0,6720320	0,4092729	0,5246819	0,0781854	0,0003546	0,0220397	0,0458047	0,8151365	0,1778953	0,0262174	0,6743040	0,6099706	0,0610553	0,0027466	0,0055881	0,0019135	0,0058206	0,0048038	0,0460612	0,5997221	0,0285321	0,0102296	0,0725051	0,1107723	0,0244434	0,0699017
560	0,0345324	0,6187346	0,0789466	0,0335871	0,6073736	0,6168903	0,0068067	0,6286977	0,0436995	0,0422116	0,0449521	0,2333232	0,0073418	0,0116151	0,6573211	0,2487103	0,1185129	0,6712752	0,3672144	0,0970015	0,3663470	0,0262678	0,0187560	0,4927440	0,8033225	0,5961133	0,3762782	0,6662274	0,2269833	0,1522623	0,3818084	0,4276078	0,0050957	0,5487780	0,0289486	0,0018304	0,0459113	0,0283353	0,7193560	0,4132156	0,5186335	0,1551993	0,0025350	0,0252253	0,0414929	0,7283488	0,1753600	0,0399522	0,7332806	0,4925425	0,0802083	0,0046678	0,0056467	0,0003019	0,0414221	0,0053047	0,0084714	0,7574453	0,0036304	0,0011198	0,0569647	0,1179170	0,0122368	0,0809779
