"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB
380	0,9677450	0,3030067	0,2916466	0,0356018	0,2339495	0,9578023	0,9472815	0,7906806	0,9766641	1,0071262	0,9819709	0,0224653	0,9453614	0,7017701	0,1030330	0,4403775	0,3945534	0,2662493	0,2665586	0,5508520	0,9898145	0,1177313	0,6472023	0,9224008	0,2357990	0,3672171	0,8088197	1,0999261	0,7102867	0,8909825	0,7118849	0,7158540	0,9040790	0,9886546	0,3313095	0,9008641	0,8081820	0,8841273	0,9938797	0,3031044	1,0735019	0,7947496	0,7025288	0,9857109	0,9035400	1,0037487	0,8151785	0,9154001	0,9352922	0,5283351	0,0970394	0,7381754	0,2103402	1,0112687	0,6680067	0,7066617	0,8624254	0,8590280	0,4336833	0,9947701	0,1646374	0,4906446	1,0303376	0,5652332
400	0,9977944	0,2638035	0,2968344	0,0286102	0,2046478	0,9639077	1,0149255	0,8667925	0,9441967	0,9893302	0,9886027	0,0177891	0,9383871	0,6848009	0,1237390	0,4600238	0,3710974	0,2420331	0,2397641	0,6214587	1,0856078	0,1077294	0,6797987	1,0142813	0,2713215	0,3949027	0,8628467	1,0437615	0,7298612	0,9024321	0,7013380	0,7571810	0,9205814	0,9384278	0,3243286	0,8763546	0,7909254	0,8944814	1,0181032	0,3044668	1,0006354	0,7354097	0,8007015	0,9448050	0,8839617	1,0362409	0,7811237	0,9796693	0,9592870	0,5273960	0,1145870	0,7247087	0,2663003	0,9708467	0,6517673	0,6437833	0,8298000	0,8913336	0,5126971	0,9583231	0,1365311	0,5700664	1,0081011	0,5494217
420	1,0011811	0,3323143	0,2480655	0,0376797	0,2037227	0,9726631	1,0107481	0,8761706	1,0051588	0,9651062	0,9883933	0,0158766	0,9687239	0,7061773	0,1224262	0,5599686	0,4106065	0,2827305	0,2346418	0,6044415	0,9708968	0,1071131	0,7221494	1,0126022	0,2473972	0,4007455	0,8751065	1,0624117	0,7489375	0,9377674	0,6807224	0,8138535	0,9641007	0,9389967	0,3095475	0,9545364	0,8110140	0,9696322	0,9964092	0,3389781	0,9807428	0,7228537	0,7678094	0,9657303	0,9178034	1,0139254	0,8444238	1,0018138	0,9947570	0,5365506	0,1722644	0,8072722	0,2453782	0,9239994	0,6089000	0,7055041	0,8944628	0,8577375	0,5259316	0,9028874	0,1351334	0,5753899	1,0152158	0,4848360
440	1,0072296	0,2804026	0,2851297	0,0445939	0,2391389	0,8773237	1,0223066	0,8882444	1,0203164	0,9942271	1,0626084	0,0232234	0,9722724	0,6928106	0,0985447	0,5537450	0,3519418	0,2491044	0,2471928	0,6701331	0,8875825	0,1270794	0,6983384	1,0397472	0,3039686	0,4137182	0,8897407	1,0718177	0,7776409	0,8933121	0,6559092	0,7504413	0,9568791	0,9145915	0,2944111	0,8635835	0,9208164	0,8828533	1,0198513	0,3397117	0,8339091	0,7160257	0,7811648	0,9808065	0,9659018	0,9835567	0,8351013	0,9417359	0,9808302	0,5420007	0,1720251	0,7823997	0,2020848	0,9498610	0,6120617	0,6963379	0,7759042	0,8170495	0,4947297	0,8921169	0,1461686	0,6248336	0,9614750	0,4789715
460	1,0708136	0,2708642	0,3466068	0,0409580	0,2335160	0,8598367	0,9720790	0,8781612	1,0383234	1,0197977	0,9805713	0,0244389	0,9808395	0,6693270	0,1034595	0,5072568	0,2796518	0,2583123	0,2430350	0,7381172	0,8874617	0,1389299	0,6842046	1,0779897	0,2428987	0,4157947	0,8340005	1,0911327	0,7790160	1,0269650	0,6631528	0,7669312	0,9602891	0,9232082	0,3046547	0,8433181	0,9097493	0,9654997	0,9985916	0,3261161	0,9313517	0,7687812	0,7943502	1,0187899	0,9997369	0,9741667	0,8812832	0,9389931	0,9599944	0,5406621	0,2011449	0,7735526	0,1881909	0,9876413	0,6332196	0,6728841	0,7854386	0,8268251	0,4714138	0,9280597	0,1328451	0,5747242	0,9600528	0,5399728
480	1,1042411	0,2409965	0,2799040	0,0553227	0,2141814	0,8756599	1,0208049	0,8973067	1,0657967	0,9842833	0,9459555	0,0252634	0,9925657	0,6537802	0,0801879	0,4539539	0,2756622	0,2583065	0,2345304	0,6478296	0,9269526	0,1288248	0,6015923	1,0961356	0,2943520	0,3727062	0,8257307	1,0205231	0,8318305	0,9580890	0,6614687	0,7546988	0,9320001	0,9578851	0,3219194	0,9063963	0,7994625	0,8818247	0,9866163	0,3136124	0,9120462	0,7662818	0,7592210	0,9879451	1,0143483	0,9172881	0,9362870	0,8785073	0,9854249	0,5629826	0,2430434	0,6813456	0,1740446	0,9989177	0,5824555	0,6527316	0,7864428	0,8052174	0,5018079	0,9722743	0,1443707	0,5671906	1,0189798	0,5555128
500	1,0305927	0,2171352	0,2442274	0,0524284	0,2021673	0,9279902	1,0048532	0,8887967	1,0269373	0,9608129	1,0007634	0,0174557	0,9510552	0,7419881	0,1052440	0,3950459	0,3002836	0,2348183	0,2473125	0,6039011	1,0197964	0,1533915	0,6594158	0,9747000	0,2924031	0,3849365	0,8543930	0,9869519	0,8303276	0,9540714	0,6296909	0,7307160	0,9721349	0,9749367	0,3363880	0,9223943	0,7963815	0,8142976	0,9790041	0,2966443	0,9330032	0,7106323	0,8048895	0,9660823	0,9430656	1,0094012	0,9805557	0,8475212	0,9447981	0,5905282	0,2363697	0,6685624	0,1646913	1,0336837	0,6365418	0,6807318	0,8345121	0,7953923	0,5025409	0,9664193	0,1480580	0,6273445	1,0049746	0,5580184
520	1,0314529	0,2656676	0,2617409	0,0335415	0,2338905	0,9182662	0,9191832	0,9631193	0,9299858	0,9372571	0,9580989	0,0189043	0,9723624	0,6876569	0,1620581	0,4663291	0,3308477	0,2117031	0,2393269	0,5999830	1,0205406	0,1804179	0,6204429	0,9493832	0,2782110	0,3710055	0,8270121	0,9903190	0,7796467	0,9665097	0,7312035	0,7454803	1,0043417	0,9799600	0,3033188	0,9366464	0,7971986	0,8065006	0,9935284	0,3393539	0,9230998	0,8232300	0,7424684	0,9434563	0,8655054	0,9216908	0,9020819	0,9386891	0,9074032	0,5582539	0,2563829	0,7600068	0,2070360	1,0042941	0,6362624	0,6743775	0,7561307	0,7739205	0,4833116	0,9764289	0,1472099	0,5630222	0,9283897	0,5555921
540	1,0297345	0,2315025	0,2974249	0,0277614	0,2340058	0,9526816	0,9508127	0,9314590	0,8995473	0,9683501	0,9499543	0,0135167	0,9722948	0,7265854	0,1501189	0,4892953	0,2988480	0,2310083	0,2397603	0,5987464	1,0776209	0,1706024	0,6000543	1,0206507	0,2594471	0,3454231	0,8047039	0,9809449	0,7532321	0,9078170	0,7912546	0,7212499	0,9615370	1,0011591	0,3513044	0,9447961	0,8133168	0,8270046	1,0149410	0,3272865	1,0461024	0,8767679	0,7074770	0,9597050	0,8931417	0,9496830	0,9344631	0,8847445	0,9273999	0,6165314	0,2384459	0,8016792	0,1939130	1,0448756	0,6542251	0,6616734	0,6874308	0,7724083	0,4776451	0,9899473	0,1490184	0,5375680	0,9813337	0,5131747
560	0,9942608	0,3069632	0,2858970	0,0364193	0,2474814	0,9291296	0,9426826	0,9270626	0,9157528	0,9265874	0,9274178	0,0130290	0,9936496	0,6805704	0,1411077	0,5014776	0,2920624	0,2437680	0,2460103	0,6483983	0,9629941	0,1389432	0,6188100	0,9091118	0,2536363	0,3555999	0,8326194	1,0520177	0,7242315	0,9265894	0,7646044	0,7632021	0,9602507	1,0042670	0,3811444	0,9617964	0,7946174	0,8133136	0,9947064	0,3193865	0,9694362	0,8318718	0,7129411	0,9902793	0,9609403	1,0159811	0,9433765	0,8904710	0,9250120	0,7070444	0,1936603	0,7575126	0,2182497	0,9774786	0,6610451	0,6616425	0,8032216	0,7641811	0,4727085	0,9398501	0,1436211	0,4926178	0,9939081	0,4595837
580	1,0117981	0,3484776	0,3118980	0,0311368	0,4183792	0,9117182	0,9079551	0,9493793	0,8404968	0,9421628	0,9066999	0,1757516	1,0086141	0,6143345	0,1108267	0,5971299	0,2664852	0,4360451	0,2283038	0,6318085	0,7488850	0,1984092	0,7020040	0,9638565	0,5249414	0,5761030	0,8311627	1,0190506	0,7543369	0,8470099	0,6833699	0,7230872	0,9456773	1,0214814	0,4904276	0,9186740	0,8423367	0,8890730	0,9662044	0,3076122	1,0664024	0,7490011	0,6620010	0,9498848	0,9995317	1,0092730	0,8720961	0,8758382	0,9341793	0,6918016	0,2101739	0,7443313	0,1810255	1,0109623	0,6400728	0,7357219	0,7916987	0,7275074	0,7412385	0,9546437	0,3314484	0,6891550	1,0111136	0,3511551
600	0,9759555	0,3302737	0,3170295	0,0315351	0,5356041	0,8341933	0,9491688	0,8959198	0,7833485	0,9351742	0,8933711	0,2286578	0,9859835	0,6925127	0,0897687	0,5874727	0,2436596	0,5581750	0,2331875	0,6495536	0,7382736	0,2223461	0,6963649	1,0020265	0,7776002	0,7793278	0,8060591	0,9627817	0,7191426	0,8629921	0,6378547	0,7102170	0,9276859	0,9412779	0,5745848	0,8654749	0,7775351	0,8336276	0,9876602	0,3182499	1,0185647	0,6835532	0,6309831	0,9327431	0,9963600	1,0167695	0,7684058	0,9380491	0,9132112	0,6036072	0,2138935	0,7350367	0,2085354	1,0429088	0,6553256	0,6867581	0,7767618	0,7695896	0,8503428	0,9747181	0,4758142	0,7329591	0,9053253	0,2937504
620	0,9841148	0,3566107	0,3292818	0,0269048	0,5174407	0,9603341	1,0317632	0,8911963	0,8432014	1,0716110	0,9378801	0,2897916	1,0107908	0,6190620	0,0976524	0,5446687	0,3181265	0,5368052	0,2534778	0,6417496	0,7284048	0,2676497	0,7295723	0,8879462	0,8162857	0,8268124	0,8538974	0,9219921	0,7448765	0,8768172	0,6054621	0,6375150	0,8616825	0,9439499	0,6157574	0,8162400	0,7899499	0,8325723	0,9859000	0,2815298	0,9694844	0,6005697	0,6555618	0,8990980	0,9721276	1,0376683	0,6979245	0,9753652	0,9719993	0,5647215	0,2307835	0,7590573	0,1929683	1,0099150	0,6143620	0,6818671	0,7669474	0,8483643	0,8981970	0,9693874	0,5820259	0,6724837	0,9047982	0,2507205
