"Time"	hupB	fis	mtlR	marR	marA	rob	putA	xylR	glcC	hupA	soxS	soxR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	marB	mdtE	mdtF	hdeB	yhiD	hdeA	gadA	micF	gadB	fumC	gadC	zwf	dctR	slp	inaA	nfo	ygiA	ygiC	ygiB	tolC	acrA	acrB	sodA	fpr	gadY	rfaY	poxB	rfaZ	seqA	pqiB	pgm	nemA	pqiA	xylH	hdeD	purA	xylG	xylF	mtlA	mtlD	cadB	cadA	tyrP	ptsG
380	0,1358361	0,4444802	0,3815352	0,5269339	0,5902787	0,3819904	0,2794824	0,5778907	0,4479824	0,1982750	0,0352278	0,0810491	0,5381308	0,2009826	0,5114874	0,0217711	0,3638529	0,0452183	0,1087753	0,0628378	0,0834758	0,5712794	0,3403743	0,2508668	0,2946028	0,1953692	0,6653975	0,1496725	0,0884698	0,1238805	0,4491701	0,2995105	0,1826776	0,1322163	0,2974084	0,0224635	0,2472724	0,1820837	0,5885318	0,0571764	0,4795347	0,2401214	0,6737848	0,1442009	0,0191716	0,4054387	0,4402844	0,6727787	0,3205163	0,2103655	0,6670759	0,0533998	0,4733241	0,3802937	0,7642542	0,0266757	0,1573566	0,1532793	0,4469119	0,5732077	0,2862963	0,5598468	0,2848656	0,2450487
400	0,0715940	0,4510266	0,4370467	0,4736135	0,7475403	0,3555949	0,3013867	0,6022770	0,3337282	0,2323608	0,0193632	0,0955181	0,5608056	0,1632230	0,4786758	0,0542555	0,4141135	0,0305525	0,0645626	0,0729842	0,0734290	0,6924548	0,3046637	0,1811725	0,3210399	0,2214431	0,7961124	0,1902226	0,1031147	0,1787609	0,3509767	0,3229241	0,1847472	0,1915490	0,2942627	0,0244353	0,3138437	0,1809010	0,6444351	0,0449849	0,4760172	0,3072783	0,6961749	0,1393414	0,0223690	0,3103422	0,3846538	0,6674993	0,2376895	0,2388063	0,7594577	0,0824005	0,4684791	0,2608373	0,7015316	0,0292717	0,1937808	0,1746731	0,4527810	0,7232674	0,2759999	0,5903132	0,4029772	0,2339428
420	0,1284868	0,4253094	0,3883557	0,4348363	0,5744268	0,3750811	0,2981558	0,6133074	0,4538526	0,2555511	0,0136459	0,1218384	0,5096881	0,2338142	0,5163281	0,0306325	0,4086510	0,0301039	0,0776911	0,0831494	0,0568023	0,6656403	0,4254733	0,1506081	0,3316402	0,2342761	0,7604995	0,1661037	0,0777222	0,1302337	0,3367319	0,3294604	0,1275865	0,1369734	0,2909742	0,0198228	0,2561971	0,1935632	0,6198776	0,0755748	0,4332860	0,3263229	0,6258232	0,1072595	0,0269694	0,3131260	0,3459043	0,6463107	0,2675956	0,1650073	0,6524839	0,0312077	0,5819689	0,2414903	0,6830296	0,0154798	0,1407595	0,1570793	0,4334250	0,7308482	0,2811584	0,5539079	0,2589752	0,2415443
440	0,0835018	0,4380089	0,4164206	0,3879191	0,6107070	0,3811584	0,3109604	0,5994516	0,3923478	0,1923341	0,0117526	0,0726693	0,4302710	0,1750907	0,3973352	0,0365922	0,4175141	0,0242654	0,0885694	0,0477534	0,0713764	0,6353206	0,4029678	0,2052746	0,3119622	0,2080497	0,6841624	0,1415144	0,0895101	0,1166142	0,2955631	0,3577669	0,1505631	0,1366035	0,3504781	0,0223202	0,3400465	0,1690700	0,7441832	0,1324417	0,5452341	0,3667776	0,6896125	0,1378354	0,0247433	0,4293284	0,3197203	0,6947826	0,3074874	0,1952743	0,6752387	0,0481714	0,5831787	0,2501873	0,6132708	0,0120432	0,1720042	0,1834151	0,4013131	0,7344083	0,2960241	0,5536524	0,2920824	0,2248596
460	0,1105235	0,5241586	0,3864989	0,3215615	0,6459556	0,4076713	0,3225875	0,6181294	0,2907167	0,1722153	0,0168350	0,1320219	0,4086622	0,1273408	0,4750145	0,0747929	0,4377287	0,0233780	0,0984463	0,0462632	0,0734099	0,5865952	0,3850646	0,1855518	0,3968455	0,2062582	0,7957744	0,1657588	0,0712834	0,1063189	0,4307851	0,3864022	0,1566592	0,1818927	0,3122208	0,0211918	0,2377197	0,1800687	0,6195803	0,1033219	0,5044466	0,3326291	0,6436928	0,1193795	0,0191238	0,4012600	0,3776755	0,7327575	0,2723834	0,2156505	0,6422263	0,0417735	0,6092872	0,3510817	0,6849658	0,0218662	0,2325016	0,1659604	0,4026342	0,7843420	0,3230750	0,4311639	0,4716126	0,2274196
480	0,1093090	0,4025234	0,4128448	0,4026545	0,6391045	0,2505971	0,3886636	0,5180309	0,4359525	0,2442090	0,0568887	0,1359625	0,4257252	0,1419569	0,4797126	0,0625060	0,3190696	0,0481639	0,0673666	0,0953014	0,0831120	0,5894957	0,3997876	0,2049320	0,3283210	0,4105758	0,6565497	0,1931390	0,0450254	0,1312528	0,3629106	0,3619449	0,1440241	0,2046400	0,2306917	0,0401027	0,3099763	0,1109421	0,6103606	0,0538433	0,5269615	0,3464198	0,6408082	0,1236051	0,0213033	0,3568897	0,3471746	0,6106555	0,2801668	0,1809993	0,7627282	0,0254130	0,5438186	0,2072951	0,6906343	0,0244890	0,2161145	0,1662148	0,3971255	0,6813144	0,2968703	0,3678685	0,3833720	0,2375090
500	0,0691230	0,5024020	0,4186559	0,4214670	0,7110344	0,3677105	0,4869747	0,5234627	0,3331947	0,1984502	0,0339406	0,1215524	0,5071845	0,0813197	0,5670560	0,0334225	0,4490381	0,0274470	0,0662484	0,0796544	0,0544111	0,6876464	0,4492645	0,2325899	0,3027914	0,3427717	0,7838182	0,1793568	0,0516114	0,1911281	0,3571622	0,3963662	0,1991555	0,1180883	0,2977647	0,0225776	0,2787463	0,1196010	0,8242003	0,0373512	0,5510669	0,3274852	0,7009826	0,2108977	0,0214765	0,3319861	0,4257688	0,7210943	0,3217451	0,1764303	0,8568832	0,0853764	0,4967485	0,2767574	0,6990469	0,0155172	0,1717109	0,1413847	0,4428495	0,6425209	0,3290577	0,4235752	0,2785554	0,2724808
520	0,1169093	0,4575736	0,3839276	0,5367208	0,5252214	0,3494727	0,3809924	0,4950837	0,3487293	0,2941231	0,0234784	0,0672348	0,4708561	0,1959320	0,3668452	0,0321710	0,4481161	0,0459295	0,0910686	0,1114424	0,0575913	0,4597064	0,3304197	0,1741399	0,2678286	0,3647086	0,7256565	0,1830370	0,0867174	0,1407048	0,3644580	0,2619871	0,1032812	0,1781152	0,2488194	0,0132989	0,3002240	0,1037244	0,7715879	0,0889684	0,5989235	0,3446071	0,6928967	0,1065212	0,0230708	0,4071731	0,3694632	0,6546158	0,3895821	0,1457296	0,6398124	0,0488919	0,5217710	0,2557006	0,6186824	0,0495993	0,1569425	0,1469027	0,4202330	0,8015514	0,2941230	0,3662035	0,3506827	0,2103156
540	0,0874338	0,4694330	0,3272396	0,4164695	0,5305711	0,2992653	0,3767232	0,5496511	0,3096866	0,3713451	0,0404941	0,0786563	0,3749628	0,1899063	0,5176943	0,0358337	0,4605350	0,0381901	0,1095067	0,0956373	0,0744978	0,6948435	0,3086554	0,1461905	0,2607462	0,2706291	0,6750529	0,1909246	0,1251361	0,1536733	0,4252632	0,3307157	0,1033899	0,0925128	0,2457621	0,0155003	0,4048117	0,1451420	0,6998575	0,0379176	0,5189528	0,3214717	0,6777583	0,1691917	0,0322983	0,5215560	0,3971499	0,5918558	0,2164728	0,1610593	0,6687841	0,0498888	0,4686519	0,2439252	0,5782601	0,0261860	0,1941863	0,1298404	0,3574959	0,8008642	0,2544447	0,3660927	0,3463878	0,2434341
560	0,1150301	0,4091129	0,3007475	0,4588281	0,5893142	0,4494268	0,3719685	0,5257741	0,3767540	0,3903760	0,0386495	0,1283879	0,3545905	0,1860486	0,4241055	0,0759243	0,3304215	0,0872566	0,0817302	0,0542338	0,0506941	0,7023451	0,3105362	0,1667253	0,3511739	0,3516644	0,6423784	0,1252155	0,0809852	0,1386798	0,4281045	0,3018889	0,1099246	0,1462765	0,2398547	0,0506856	0,3368034	0,2029625	0,5634467	0,0580285	0,5089348	0,3536419	0,6858350	0,0987590	0,0078008	0,3542397	0,5429735	0,6626658	0,3614222	0,1062087	0,8010091	0,0753142	0,5262312	0,2625961	0,6435134	0,0132199	0,1989128	0,2248313	0,4222392	0,5866099	0,2842968	0,2799138	0,2747376	0,1971172
