"Time"	betI	arcA	lldR	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	hdeA	yhiD	hdeB	rutF	rutE	rutA	rutG	rutD	rutB	rutC	gadC	cadA	gadB	fadL	cadB	sra	wza	wcaA	wzb	wzc	osmB	nemA	lldP	wcaB	betA	betB	lldD	rprA	bdm	betT	gadY	treB	hdeD	slp	treC	dctR	yjbE	yjbF
380	0,0000918	0,5940920	0,3504871	0,2830832	0,6242706	0,3553397	0,1828975	0,5030693	0,4214508	0,7803599	0,6536631	0,7587989	0,7232074	0,0146632	0,6775601	0,7767578	0,6708656	0,2375456	0,4818488	0,4070948	0,6176059	0,7547230	0,3836351	0,1864058	0,0200387	0,5380399	0,5911764	0,0320313	0,4772187	0,5105192	0,5944919	0,5090758	0,5087843	0,7065352	0,6297278	0,6923069	0,3500165	0,1420903	0,6768749	0,1224553	0,5417194	0,5625532	0,4740686	0,3125418	0,6079070	0,6041953	0,7864593	0,7130617	0,3213927	0,4917151	0,4411887	0,3015999	0,2625528	0,7825697	0,3788194	0,6169506	0,6279354	0,4845515	0,6558730	0,4740552	0,2048038	0,2775774	0,6867987	0,6917603
400	0,0009473	0,7601952	0,2393861	0,3258299	0,7323345	0,3733211	0,1417331	0,4402360	0,4309945	0,6433124	0,6618391	0,6998480	0,6713281	0,0215511	0,6275408	0,6742845	0,7950327	0,1939074	0,5197973	0,4858219	0,7682725	0,6513199	0,3794811	0,1882177	0,0179410	0,5174888	0,6110587	0,0348086	0,5768474	0,5288313	0,7219554	0,4834154	0,5068772	0,6882014	0,6020331	0,7363646	0,2889258	0,1971406	0,5987710	0,1347470	0,5787889	0,5410003	0,5267446	0,2689239	0,6038474	0,5790784	0,8611182	0,7304786	0,3611885	0,3984499	0,4800571	0,2410125	0,1841398	0,6996405	0,4739762	0,6523680	0,5670769	0,4531462	0,6585442	0,4591837	0,1704353	0,4339132	0,7358078	0,5981795
420	0,0008289	0,6388989	0,2446443	0,3130437	0,6450995	0,3377315	0,2082387	0,4101235	0,5161049	0,5722491	0,5450379	0,6479888	0,7289522	0,0109355	0,6508003	0,7068275	0,7588796	0,2043070	0,4984751	0,4928450	0,6978369	0,7644527	0,4523301	0,1779839	0,0266891	0,4545535	0,6417996	0,0090866	0,6599433	0,7004430	0,6912348	0,5603152	0,6436533	0,6458680	0,6411532	0,6695139	0,2694128	0,1801858	0,6224613	0,1162443	0,6247176	0,5989907	0,4795895	0,2661163	0,7314016	0,6167893	0,6044565	0,8206019	0,2949577	0,4679152	0,2337004	0,3009170	0,2861511	0,7212392	0,4227642	0,6445914	0,7051568	0,3448479	0,5653006	0,4025717	0,1425211	0,3811148	0,7777418	0,5765247
440	0,0068047	0,7054541	0,3527659	0,3309134	0,6700038	0,4862418	0,1360546	0,4043759	0,4433546	0,5727213	0,7128156	0,8023635	0,6587958	0,0592850	0,5962033	0,6909542	0,7728380	0,1773022	0,5252006	0,4913942	0,7111428	0,5916850	0,5074357	0,1938254	0,0268852	0,4811869	0,4702135	0,0156821	0,5839893	0,5723669	0,6589521	0,6434589	0,4796145	0,7307771	0,6727407	0,6970023	0,3393805	0,2149720	0,7019008	0,1788826	0,5574302	0,6800597	0,4156999	0,2238873	0,6362816	0,5927608	0,7599236	0,7096840	0,2846604	0,5075235	0,1666953	0,2362674	0,1713877	0,7382415	0,3944269	0,6366057	0,5756568	0,4532527	0,7346969	0,6076926	0,1716193	0,4026931	0,7092857	0,6244805
460	0,0002042	0,8654610	0,3532213	0,3254122	0,6907077	0,3897135	0,2146629	0,4262517	0,4425392	0,6072108	0,7242348	0,5389345	0,5973015	0,0160573	0,5474076	0,6405164	0,7600937	0,1505391	0,5467325	0,4173653	0,6715197	0,5563389	0,3860590	0,2203138	0,0120945	0,4477115	0,6134550	0,0537648	0,6726953	0,6543227	0,6921778	0,8527204	0,5295393	0,6741957	0,6599742	0,6307836	0,2737212	0,2480393	0,7514752	0,1181013	0,5573198	0,6401364	0,4461210	0,2348773	0,6017459	0,6229540	0,8427717	0,8094147	0,3403011	0,4952610	0,1467721	0,3547010	0,3135858	0,7197382	0,3923389	0,6334945	0,6599490	0,4044125	0,6099900	0,5007246	0,1538543	0,4286821	0,7175417	0,5602658
480	0,0004269	0,7842683	0,3189137	0,2502586	0,7141613	0,5508308	0,1761387	0,3947273	0,4663077	0,6601850	0,6435076	0,6878845	0,7225173	0,0285092	0,6361893	0,7421155	0,6235640	0,1246826	0,4528754	0,4859374	0,7765691	0,5701540	0,3852683	0,2750359	0,0369533	0,4227387	0,5484376	0,0490081	0,6412288	0,5881167	0,6589759	0,5599149	0,5734808	0,5560904	0,7772417	0,5947199	0,2841350	0,1234638	0,5683587	0,1800465	0,4812203	0,4617011	0,4504009	0,2205564	0,7311357	0,5656769	0,7267828	0,7314494	0,4453625	0,4053080	0,2309970	0,2829184	0,2723107	0,7468160	0,3994740	0,7423735	0,6901379	0,3646237	0,6677110	0,4599728	0,1756251	0,2595484	0,7367198	0,5919482
500	0,0000198	0,6376453	0,3575538	0,3382148	0,7192730	0,3996969	0,1481389	0,5466650	0,5010234	0,6061435	0,6388657	0,7390027	0,6403694	0,0349275	0,5354738	0,7470333	0,7050924	0,1547866	0,3809591	0,3808318	0,6529296	0,5081393	0,4633664	0,2405041	0,0286509	0,4999372	0,5438003	0,0328637	0,6041379	0,5892258	0,6394993	0,5832998	0,5704457	0,5679428	0,6880736	0,5985728	0,3021454	0,0879044	0,6655569	0,1524175	0,5805819	0,6562005	0,4329883	0,2380344	0,6244416	0,5859536	0,7331729	0,8004771	0,4059765	0,4171963	0,2339464	0,2924026	0,1942898	0,7201178	0,3138121	0,8981932	0,5219229	0,4005964	0,5250928	0,4977970	0,1326642	0,4377910	0,7475074	0,5956776
520	0,0000103	0,6699020	0,3337351	0,3106757	0,6438200	0,4059146	0,1896642	0,4948821	0,4696392	0,7226582	0,6556196	0,7895422	0,6250917	0,0190374	0,5364470	0,7391671	0,8631371	0,2220650	0,4820486	0,4397992	0,6787683	0,5896782	0,3361848	0,2202704	0,0318423	0,5256478	0,5483488	0,0458001	0,5289293	0,5765009	0,6639274	0,5285606	0,6432502	0,6060383	0,6602027	0,6998720	0,3042124	0,1809346	0,6433539	0,1408728	0,6052913	0,7409372	0,4146666	0,2577457	0,6874244	0,6391874	0,6590297	0,6733843	0,4016101	0,3777347	0,2325218	0,3005802	0,2165556	0,7828178	0,3791609	0,7002078	0,4710354	0,4929097	0,5964832	0,5135310	0,1498969	0,2783545	0,6886883	0,7381888
540	0,0000110	0,6332811	0,2898760	0,3051676	0,7025876	0,3210884	0,2098093	0,3943818	0,5667094	0,6998540	0,5555358	0,7903341	0,7096299	0,0548806	0,6067094	0,8081473	0,6682183	0,1654742	0,5795226	0,3814313	0,6405961	0,5274212	0,3357422	0,2125348	0,0179362	0,5720896	0,5464934	0,0202521	0,5924789	0,5170464	0,7398927	0,5279794	0,6132978	0,5714161	0,7326005	0,5725589	0,2010958	0,1460780	0,6004949	0,1505239	0,5009141	0,6276525	0,3654144	0,1944528	0,5870085	0,5803910	0,7256966	0,7526145	0,3297179	0,4923461	0,3493084	0,2796231	0,2200666	0,6222992	0,3586380	0,6591095	0,6082714	0,3817324	0,6179002	0,3975003	0,1600764	0,3849597	0,7609512	0,6309504
560	0,0000000	0,7062794	0,3134943	0,2574009	0,7668658	0,3700832	0,1412480	0,3880201	0,5403996	0,4639868	0,5508201	0,7095652	0,6565193	0,0238340	0,5915396	0,7313001	0,7225606	0,1725149	0,4426134	0,4267709	0,6734679	0,7025604	0,3362095	0,2313488	0,0416457	0,4718153	0,5215228	0,0247362	0,5706439	0,4972385	0,6661030	0,5518181	0,5197881	0,5531700	0,6442824	0,7103345	0,2444926	0,1492249	0,5331576	0,1361447	0,6269460	0,5560426	0,5235880	0,1875196	0,7994015	0,6404128	0,6889090	0,7869877	0,4155708	0,3667838	0,2508710	0,2780664	0,1941322	0,6889806	0,3898078	0,6407666	0,6001209	0,4288939	0,5995813	0,4350616	0,1277388	0,2988102	0,7126688	0,6404581
