"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI
380	0,6307988	0,2971091	0,0000565	0,4045751	0,7900122	0,3640226	0,6290075	0,1858707	0,2959812	0,5599527	0,6685360	0,6905235	0,7491516	0,7435983	0,0041097	0,0789846	0,7184377	0,1883124	0,0972801	0,2138320	0,7667471	0,6485339	0,1750367	0,3618840	0,4314174	0,2775277	0,0297195	0,1646423	0,2898383	0,3706487	0,8997876	0,7148220	0,5874794	0,2367087	0,2245841	0,8011682	0,3983576	0,2267352	0,2878172	0,5987672	0,8311702	0,4882282	0,0019924	0,6730171	0,7259176	0,5852405	0,3560201	0,2470838	0,3133962	0,5494133	0,1922277	0,7462348	0,3947451	0,0369001	0,1151378	0,8808601	0,6645331	0,0819498	0,0303983	0,6057274	0,0171691	0,6391653	0,8350792	0,4632860
400	0,6872182	0,2889467	0,0001541	0,3223899	0,7244068	0,3258465	0,6184188	0,2075701	0,2653817	0,5002113	0,7486032	0,6949884	0,7433978	0,7179957	0,0100139	0,0648116	0,6604342	0,1472315	0,0858731	0,2196854	0,7414114	0,5932160	0,2304578	0,4626773	0,4475176	0,2702750	0,0349530	0,2041650	0,2305601	0,3869818	0,6502711	0,6267281	0,4364808	0,2691133	0,2465732	0,7783420	0,4057777	0,2503133	0,3396991	0,6932313	0,7585359	0,4633555	0,0013708	0,5864892	0,4857413	0,6442500	0,3500160	0,2793580	0,3632366	0,6274612	0,1631272	0,5786039	0,3498161	0,0223488	0,1530553	0,8151257	0,7103691	0,0654417	0,0563242	0,7072481	0,0076321	0,5691895	0,8007205	0,4982571
420	0,7054130	0,3797277	0,0050376	0,2834186	0,6701984	0,3342679	0,5736347	0,2358050	0,2926807	0,4708876	0,7186738	0,7004287	0,8542394	0,7115381	0,0076957	0,0951194	0,7608841	0,2107068	0,0998821	0,1551241	0,7409007	0,7039436	0,1645978	0,3857331	0,4284161	0,2912124	0,0329246	0,2150437	0,3182865	0,3184000	0,8213547	0,8154513	0,4963298	0,3276138	0,2258676	0,8229465	0,3680447	0,2457625	0,3404069	0,7579568	0,7895704	0,5157520	0,0003256	0,6406050	0,5457808	0,6871685	0,3688533	0,2614079	0,3763686	0,6903813	0,1797860	0,6016740	0,3765744	0,0662604	0,1878516	0,7354704	0,7273980	0,0708844	0,0355470	0,7598150	0,0044236	0,6832405	0,6464210	0,4673306
440	0,7684521	0,3167310	0,0001608	0,2846165	0,6669976	0,3533695	0,6457758	0,1854091	0,2755249	0,5207462	0,8003423	0,6481930	0,7186897	0,7366433	0,0122475	0,0879075	0,8414815	0,1854105	0,1123521	0,1597427	0,6346372	0,7121102	0,2082732	0,4094961	0,4778622	0,2712208	0,0153910	0,2026109	0,3002629	0,3487439	0,7108902	0,5726461	0,5511548	0,3136936	0,3685665	0,7527640	0,3324788	0,3213196	0,3697374	0,5545210	0,8554955	0,5121325	0,0000000	0,5761356	0,6668836	0,6654390	0,4140839	0,2103685	0,4757699	0,6611797	0,2459122	0,5263682	0,3264715	0,1017973	0,2246961	0,7712396	0,7187448	0,1185155	0,0453796	0,7028370	0,0220955	0,8380603	0,6398976	0,4039768
460	0,7323377	0,3562287	0,0000000	0,3093144	0,6864699	0,4023021	0,6198447	0,1751493	0,2571757	0,3711864	0,8199651	0,7713884	0,6192101	0,7270789	0,0044276	0,0772034	0,6821492	0,1725929	0,0970430	0,1126401	0,6671560	0,6761000	0,2017369	0,3186630	0,4298553	0,2389303	0,0137252	0,2498449	0,2899557	0,3695914	0,7651464	0,6947390	0,4401790	0,3510740	0,2972256	0,7786510	0,5150276	0,2414640	0,3213885	0,6043530	0,8164283	0,5169627	0,0004859	0,6006775	0,4214099	0,6354349	0,4660097	0,2107712	0,4408437	0,6043647	0,2298942	0,6634820	0,3603159	0,0623305	0,1764328	0,6709306	0,7928322	0,0971722	0,0457295	0,7190914	0,0081707	0,6645710	0,6646221	0,4376485
480	0,6981864	0,2464712	0,0000000	0,3040969	0,7240706	0,2730147	0,5743549	0,2619116	0,2136126	0,3743149	0,7802889	0,7805347	0,5616988	0,6978703	0,0031576	0,1182389	0,8325610	0,1303266	0,0825932	0,1416261	0,6682862	0,6886297	0,1959538	0,3831595	0,4697492	0,2962159	0,0220215	0,2739649	0,1837361	0,3733632	0,6537015	0,7363023	0,5199924	0,2376400	0,3573118	0,7878780	0,3482137	0,2028591	0,3399961	0,7173548	0,7831219	0,4764558	0,0000000	0,6283656	0,6011874	0,7058203	0,3720384	0,2753896	0,4559202	0,7189004	0,1734159	0,6009370	0,3266641	0,0238015	0,1876921	0,6518588	0,6253552	0,0597728	0,0659087	0,7014161	0,0279724	0,6372684	0,7105048	0,4580178
500	0,7036515	0,2849944	0,0008926	0,3057874	0,8915841	0,3225312	0,4487762	0,1493758	0,2571547	0,4137373	0,6438838	0,7787827	0,6474104	0,6772579	0,0005175	0,1564705	0,8538662	0,2025458	0,0674286	0,2073233	0,5970230	0,8606999	0,2240310	0,4562442	0,4716286	0,2262076	0,0280242	0,2866091	0,2537572	0,3892664	0,7180023	0,8521820	0,5139771	0,3244835	0,2687746	0,7759170	0,3654826	0,2067776	0,3244003	0,6267510	0,7632101	0,5037669	0,0000000	0,6316531	0,5502899	0,7269303	0,3599820	0,2288935	0,4620538	0,7446697	0,2216012	0,5827803	0,2472152	0,0247164	0,1681774	0,7476884	0,8119878	0,0550102	0,1327948	0,7423036	0,0145069	0,6772952	0,7718580	0,3841380
520	0,6430145	0,2945672	0,0003371	0,2959992	0,6909695	0,3207669	0,6906548	0,2942987	0,2632834	0,4898893	0,6913967	0,7755661	0,7707859	0,6373172	0,0009562	0,1350176	0,6313058	0,2069203	0,0697592	0,1340073	0,5992769	0,6373952	0,1431359	0,4157661	0,5360856	0,2582200	0,0082766	0,1981483	0,2123870	0,4125867	0,7479370	0,8242722	0,4691107	0,3222731	0,2326048	0,6583649	0,3943781	0,2264096	0,3764328	0,5896306	0,7204061	0,4442154	0,0001367	0,6248492	0,4856452	0,6276531	0,3354207	0,2201469	0,4645745	0,6249350	0,3197288	0,6038392	0,2889534	0,0330258	0,1772061	0,7680258	0,7469138	0,0706602	0,0555238	0,7642531	0,0044203	0,7426191	0,6948448	0,4175662
540	0,7940177	0,2735333	0,0002039	0,1961926	0,8179440	0,4068665	0,7093986	0,2502778	0,1859071	0,4783290	0,6415277	0,7907230	0,6854843	0,7063240	0,0000250	0,1131421	0,7315140	0,1772337	0,0800689	0,1294353	0,6911194	0,7078854	0,2183054	0,4464103	0,5144566	0,3061692	0,0058639	0,2244721	0,3330725	0,3628426	0,7306271	0,6267533	0,5147992	0,2821122	0,2496146	0,7476655	0,3308685	0,2155703	0,2791637	0,6320169	0,8096107	0,5862003	0,0002741	0,6679272	0,4876560	0,5910196	0,4294253	0,2876476	0,4922236	0,7306505	0,3234307	0,6072176	0,3692470	0,0365413	0,2058760	0,7947586	0,6522036	0,0558019	0,0767669	0,7670284	0,0099739	0,7933424	0,8045200	0,5335390
560	0,7526830	0,2501260	0,0009890	0,2865407	0,7428702	0,3082663	0,6513492	0,2515901	0,2104174	0,4779148	0,8257945	0,7536093	0,6625474	0,8466583	0,0010436	0,0989051	0,7356470	0,1274070	0,0731538	0,1733772	0,6885104	0,6771782	0,2313484	0,3952813	0,4398833	0,2627677	0,0072612	0,1985205	0,2773912	0,2855780	0,7190569	0,6424075	0,5055604	0,3291661	0,3064883	0,6010808	0,3868230	0,2505965	0,2385490	0,6894965	0,7559020	0,5222202	0,0003508	0,7781278	0,5585766	0,6022466	0,4065107	0,1717988	0,6247927	0,6592462	0,1928663	0,7625569	0,3652406	0,0286816	0,2285320	0,6376525	0,5849778	0,0496625	0,0576392	0,8506596	0,0502937	0,6417179	0,7435322	0,3880803
