"Time"	glrR	glmY	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	rstA	rcsB	rcsA	fhlA	hyfR	gadE	ydeO	evgA	csgE	csgG	csgF	sra	yjbE	yjbF	yjbG	yjbH	tdcB	tdcC	mdtF	tdcF	tdcE	mdtE	tdcD	tdcG	ompF	osmB	wzb	rprA	wzc	wcaB	wza	wcaA	bdm	hyfA	sgbE	yiaO	yiaK	hyfI	hyfJ	ftsZ	focB	hyfG	yiaL	yiaN	hyfE	hyfB	sgbU	ftsA	hyfD	hyfC	lyxK	sgbH
380	0,7095253	0,2094016	0,6225824	0,4200943	0,0058055	0,9654050	0,5215082	1,0241000	0,5911616	0,2690003	0,6248943	0,8837194	0,4201239	0,6686048	0,3750179	0,9425634	0,9206115	1,0039817	0,7484219	1,0083221	0,7012106	0,5945976	0,6706653	0,0707881	0,7824218	1,0349290	1,0404921	1,0767091	0,8033214	0,6400188	0,9953782	1,0793377	0,7759205	0,7880183	1,0058329	0,5463751	0,4107312	0,1171185	0,4401345	0,9658991	0,6050512	0,7465513	0,4847775	0,0831524	1,0702675	0,9036315	0,9881255	0,4191944	0,4046193	0,9884013	0,8166069	0,6585105	0,6921795	0,9331187	0,2671939	0,8371508	0,8498693	0,8849686	0,3930125	0,9695885	0,6301471	1,0316498	0,6223997	0,8057009
400	0,7193293	0,1683575	0,6146066	0,4228575	0,0056410	1,0311197	0,4997850	0,9782499	0,6446040	0,2930468	0,5852555	0,8688511	0,3962633	0,7186814	0,3764195	0,9475531	0,8999800	0,9922143	0,7842434	0,9722783	0,6703720	0,6076904	0,6558738	0,0680358	0,7840354	0,9944548	1,0422503	1,1022835	0,8316564	0,6097914	1,0182320	1,0363938	0,7554351	0,8760623	0,9826720	0,5574459	0,3792782	0,1042528	0,4164227	0,9347751	0,6396662	0,7641309	0,5815424	0,0696739	1,0343944	0,9038120	1,0065855	0,4369780	0,4116299	0,9822250	0,7499899	0,6987565	0,6235019	0,9505609	0,2601312	0,8204396	0,9138152	0,8998742	0,4103725	0,9771904	0,6169835	1,0622900	0,6264990	0,8860302
420	0,7514498	0,1527380	0,6109460	0,4419419	0,0026051	0,9867313	0,5250559	1,0098931	0,6549408	0,2723930	0,5900689	0,8648587	0,3884191	0,7383266	0,3521933	0,9746064	0,8404155	1,0079710	0,7549684	1,0455335	0,6702958	0,5992875	0,6242473	0,0620335	0,7860521	0,9510430	1,0401130	1,0685128	0,7934155	0,6083799	1,0401955	1,0682433	0,7337011	0,8214664	0,9670718	0,5537412	0,4339537	0,0993107	0,4025734	0,9224237	0,6089937	0,6963496	0,5170478	0,0590427	0,9787373	0,9572516	1,0051413	0,4706071	0,3453128	1,0435457	0,8721529	0,6784372	0,6785623	0,9867150	0,2643627	0,7442748	0,9058268	0,9083613	0,3863946	1,0381336	0,6631472	1,0187153	0,6101798	0,8833784
440	0,6681596	0,1597731	0,5775271	0,4270667	0,0014805	0,9829295	0,5169872	1,0727595	0,6579765	0,2407641	0,5494050	0,8544801	0,3660357	0,6892178	0,3842174	0,9808038	0,8798923	1,0543947	0,7848081	0,9785422	0,6789639	0,6003032	0,6365969	0,0748574	0,8079950	0,9607727	1,0420160	0,9992604	0,7947404	0,6427005	1,0547906	1,0103683	0,7014309	0,8453061	0,9141734	0,5950878	0,4627433	0,0976120	0,3741431	0,9459864	0,6176125	0,6936698	0,4717897	0,0809350	0,9576554	0,8943418	0,9470018	0,4025943	0,3643460	1,0280728	0,9384976	0,6547828	0,6635828	1,0758620	0,2700816	0,7924682	0,7886308	0,8808618	0,3519157	0,9445299	0,6256427	1,0106752	0,5642065	0,9179592
460	0,6453436	0,1564508	0,6102342	0,4212621	0,0003604	1,0681167	0,5227177	0,9925145	0,6416209	0,2471213	0,6072543	0,8175277	0,3828836	0,6459016	0,3940379	1,0217948	0,9017593	0,9743244	0,7954878	1,0355011	0,6926972	0,5755627	0,6424143	0,0795466	0,7506986	1,0641123	1,0494620	1,0712786	0,8418373	0,6246444	1,0169316	0,9534729	0,7710668	0,7886147	0,9052969	0,6635523	0,4701662	0,0944870	0,3477862	0,9277541	0,5940681	0,7426835	0,4505261	0,0642380	0,9922791	0,9168300	0,9788730	0,3621534	0,3794015	1,0197353	0,8203897	0,6193523	0,5681934	1,0428231	0,3113825	0,8521041	0,8783648	0,8903627	0,3504651	0,9217869	0,6451527	0,9678619	0,5892957	0,9192281
480	0,6493739	0,1360439	0,6532257	0,5371189	0,0000088	1,0615820	0,5388521	0,9948169	0,6443424	0,2547263	0,6033467	0,8218790	0,3559283	0,7179551	0,3797615	0,9366142	0,8519500	0,9321913	0,7746266	1,0045961	0,6548919	0,6119465	0,6596240	0,0776765	0,6695065	1,1113378	1,0622059	1,0132158	0,8474842	0,6351431	1,0516024	1,0239752	0,7368531	0,7908399	1,0158125	0,5791209	0,4636573	0,1035833	0,3092140	0,9402727	0,5643101	0,7354922	0,4921979	0,0701700	0,9463894	0,9773599	0,8928804	0,3604850	0,4046159	0,9998193	0,7222829	0,7011754	0,5333577	1,0822568	0,2902472	0,8263380	0,9529090	0,8977834	0,3661084	0,9607178	0,6642889	0,9318114	0,5719520	0,8281865
500	0,6992444	0,1581046	0,6322586	0,5160021	0,0002365	1,0641240	0,5462082	0,9533943	0,6304575	0,2659941	0,5685738	0,7867870	0,3848869	0,7296720	0,4409061	0,9199791	0,8257652	0,9533019	0,7900609	1,0255581	0,6809578	0,6064478	0,7047017	0,0809406	0,6741582	1,0883510	1,0555603	0,9980627	0,8548165	0,6670225	1,1306345	1,0933993	0,7927464	0,8039848	0,8811427	0,5569953	0,4500513	0,1041157	0,3241964	0,9845590	0,5597083	0,7278140	0,4803682	0,0717892	0,9862831	0,9528721	0,8870265	0,3980746	0,3547640	0,9738398	0,7849165	0,6784431	0,5778449	1,1145110	0,2889711	0,8626528	0,9253121	0,9821612	0,3704387	0,9167177	0,7246229	0,9603802	0,5365709	0,7978145
520	0,6613274	0,1707213	0,5491380	0,4850929	0,0005118	0,9912149	0,5748653	0,9158565	0,6152517	0,2445173	0,6262795	0,8323618	0,3525077	0,7520439	0,4107825	1,0296183	0,8341010	0,9770236	0,7518243	1,0278148	0,6782160	0,6504416	0,6731963	0,1011556	0,7146507	1,0497881	1,0203474	1,0345236	0,8904491	0,7022936	1,1375099	1,0445112	0,8513649	0,7598411	0,8420230	0,6143502	0,4103660	0,1136238	0,3310742	1,0470269	0,5993516	0,7903044	0,4617612	0,0838040	0,9360198	0,9455337	0,8526886	0,4290726	0,3845976	0,9506936	0,7686377	0,6993458	0,6581851	1,0820695	0,2863946	0,8267298	0,8979982	1,0529765	0,3509203	0,9301848	0,6990658	1,0272986	0,5339880	0,8358076
540	0,7453264	0,1564817	0,5398110	0,4788084	0,0000807	1,0035643	0,5973008	0,8920786	0,5573215	0,2209325	0,6486973	0,8444910	0,4125733	0,7242604	0,4323874	1,0741219	0,8422522	0,9293712	0,7428427	1,0259978	0,7946912	0,6116145	0,6229470	0,0994893	0,7681935	1,0832592	1,0031001	0,9936738	0,8484762	0,6968521	1,0791673	1,0547883	0,7776029	0,8018854	0,9761086	0,6262533	0,4493662	0,0978096	0,3633336	1,0202986	0,5934777	0,7921514	0,4989607	0,0878886	0,9371451	0,9575101	0,8798182	0,4901368	0,4291306	0,9796845	0,7935470	0,7015192	0,6206374	1,0749830	0,2898154	0,9072260	0,8778026	1,0413439	0,3321442	1,0207479	0,6556496	0,9433019	0,5653856	0,8518327
560	0,7932765	0,1749601	0,5612061	0,4227087	0,0015884	1,0118815	0,6076464	0,9363575	0,6057779	0,2324441	0,6020810	0,8029484	0,4151379	0,7707462	0,4359001	1,0070738	0,9335553	0,9592754	0,7395916	1,0428596	0,7543798	0,6397776	0,6492169	0,0903402	0,7738915	1,0711645	0,9943340	0,9960529	0,8373223	0,6936984	1,0537033	1,0100070	0,7637187	0,8350018	0,8848246	0,5629772	0,3955498	0,0914663	0,3963998	1,0202421	0,5869245	0,7981593	0,5551343	0,0802900	0,9966122	1,0064078	0,8245083	0,4451510	0,4040405	0,9456678	0,7518953	0,7368839	0,6305882	1,0665906	0,2870766	0,8509052	0,9134783	1,0101647	0,3153373	0,9526703	0,6796128	0,9228521	0,5615678	0,8630757
