"Time"	hns	cspA	bolA	bglJ	leuO	cadC	stpA	nhaR	gutM	srlR	appY	caiF	gadW	gadX	rutR	nemR	gadE	rcsA	ydeO	evgA	mdtF	mdtE	cadA	cadB	bglG	bglB	bglF	yhiD	hdeA	hdeB	gadA	hdeD	gutQ	srlD	srlB	srlE	srlA	gadB	osmC	gadC	nhaA	fliC	gadY	yjjQ	nemA	dctR	slp	yjjP	ampC	pgaC	gmr	yegR	proW	leuA	leuL	hchA	ybaS	leuC	cspD	mukE	evgS	yciE	gnd	proV
380	0,2942871	1,0000000	0,0468663	0,8929483	0,0210753	0,9877309	0,7334680	0,2111802	0,6303276	0,5967450	0,6025403	0,9409019	0,8713478	0,0029856	0,4667688	0,1306132	0,6235375	0,6072499	0,0177186	0,1155471	0,9313501	0,3972822	0,9965324	0,4379375	0,4718527	0,2294290	0,1839271	0,7637754	0,8707796	0,9724961	0,3895833	0,4843123	0,6140527	0,0985485	0,2275851	0,8966560	0,6868576	0,0140505	0,3369324	0,0025757	0,9606593	0,1936117	0,5486076	0,0113977	0,3233514	0,3430403	0,8666786	0,8925518	0,9943574	0,2277208	0,6516730	0,7344506	0,6322895	0,0040875	0,7109122	0,1286821	0,1348634	0,1165311	0,7283583	0,2267130	0,0882872	0,6512997	0,3387887	0,6657635
400	0,2945609	1,0000000	0,0467366	0,8914359	0,0210753	0,9883965	0,7334506	0,2107652	0,6324827	0,5968848	0,6012354	0,9406629	0,8706816	0,0029965	0,4667689	0,1306129	0,6240612	0,6064770	0,0177186	0,1155471	0,9315010	0,3967564	0,9965227	0,4396135	0,4716415	0,2290179	0,1839385	0,7647201	0,8719081	0,9729747	0,3902119	0,4847697	0,6160498	0,0985479	0,2276933	0,8977186	0,6890559	0,0141702	0,3344265	0,0025977	0,9600856	0,1962116	0,5481492	0,0101251	0,3234398	0,3421646	0,8664263	0,8921125	0,9944727	0,2259807	0,6518173	0,7344507	0,6311976	0,0040875	0,7117594	0,1284216	0,1348634	0,1165313	0,7303873	0,2282835	0,0882873	0,6496148	0,3412550	0,6653341
420	0,2947848	1,0000000	0,0466298	0,8900839	0,0210753	0,9888518	0,7334364	0,2104204	0,6340464	0,5970011	0,6001425	0,9404610	0,8701288	0,0030055	0,4667689	0,1306128	0,6244249	0,6058792	0,0177186	0,1155471	0,9316011	0,3962942	0,9965113	0,4407393	0,4714638	0,2286625	0,1839486	0,7653952	0,8727087	0,9733224	0,3906560	0,4850724	0,6176634	0,0985474	0,2277639	0,8985112	0,6907765	0,0142672	0,3323648	0,0026168	0,9595943	0,1982560	0,5477575	0,0092228	0,3234956	0,3414259	0,8662017	0,8917411	0,9945615	0,2245381	0,6519141	0,7344509	0,6303340	0,0040875	0,7123550	0,1282077	0,1348635	0,1165314	0,7319462	0,2296752	0,0882873	0,6481496	0,3430812	0,6649750
440	0,2949680	1,0000000	0,0465421	0,8888886	0,0210753	0,9891628	0,7334249	0,2101343	0,6351793	0,5970974	0,5992323	0,9402917	0,8696680	0,0030128	0,4667689	0,1306128	0,6246769	0,6054152	0,0177186	0,1155471	0,9316674	0,3958929	0,9964998	0,4414833	0,4713154	0,2283578	0,1839575	0,7658727	0,8732742	0,9735743	0,3909689	0,4852674	0,6189634	0,0985470	0,2278083	0,8991047	0,6921097	0,0143455	0,3306675	0,0026331	0,9591754	0,1998598	0,5474252	0,0085845	0,3235309	0,3408056	0,8660041	0,8914295	0,9946306	0,2233422	0,6519791	0,7344510	0,6296485	0,0040875	0,7127728	0,1280322	0,1348635	0,1165315	0,7331445	0,2308954	0,0882874	0,6468879	0,3444243	0,6646758
460	0,2951179	1,0000000	0,0464701	0,8878421	0,0210753	0,9893750	0,7334155	0,2098971	0,6359997	0,5971768	0,5984773	0,9401505	0,8692826	0,0030189	0,4667689	0,1306128	0,6248511	0,6050537	0,0177186	0,1155471	0,9317112	0,3955475	0,9964889	0,4419654	0,4711919	0,2280986	0,1839652	0,7662065	0,8736719	0,9737563	0,3911889	0,4853883	0,6200090	0,0985466	0,2278347	0,8995509	0,6931341	0,0144086	0,3292695	0,0026471	0,9588197	0,2011169	0,5471446	0,0081337	0,3235531	0,3402859	0,8658319	0,8911695	0,9946847	0,2223512	0,6520227	0,7344512	0,6291027	0,0040875	0,7130652	0,1278884	0,1348635	0,1165315	0,7340664	0,2319556	0,0882874	0,6458102	0,3454061	0,6644272
480	0,2952406	1,0000000	0,0464111	0,8869333	0,0210753	0,9895197	0,7334079	0,2097007	0,6365939	0,5972420	0,5978530	0,9400332	0,8689597	0,0030240	0,4667689	0,1306128	0,6249714	0,6047713	0,0177186	0,1155472	0,9317401	0,3952520	0,9964790	0,4422695	0,4710897	0,2278794	0,1839718	0,7664368	0,8739505	0,9738873	0,3913431	0,4854592	0,6208495	0,0985463	0,2278490	0,8998880	0,6939156	0,0144596	0,3281175	0,0026589	0,9585188	0,2021027	0,5469083	0,0078159	0,3235671	0,3398511	0,8656829	0,8909535	0,9947274	0,2215302	0,6520519	0,7344513	0,6286667	0,0040875	0,7132695	0,1277706	0,1348635	0,1165315	0,7347762	0,2328696	0,0882874	0,6448961	0,3461200	0,6642212
500	0,2953413	1,0000000	0,0463627	0,8861498	0,0210753	0,9896182	0,7334016	0,2095383	0,6370246	0,5972954	0,5973379	0,9399362	0,8686889	0,0030281	0,4667689	0,1306128	0,6250543	0,6045498	0,0177186	0,1155472	0,9317591	0,3950001	0,9964702	0,4424542	0,4710054	0,2276950	0,1839773	0,7665934	0,8741448	0,9739814	0,3914510	0,4854969	0,6215249	0,0985460	0,2278555	0,9001441	0,6945083	0,0145006	0,3271678	0,0026690	0,9582649	0,2028767	0,5467097	0,0075922	0,3235759	0,3394872	0,8655546	0,8907747	0,9947613	0,2208505	0,6520715	0,7344513	0,6283174	0,0040875	0,7134120	0,1276741	0,1348635	0,1165315	0,7353234	0,2336523	0,0882874	0,6441252	0,3466364	0,6640509
520	0,2954239	1,0000000	0,0463231	0,8854784	0,0210753	0,9896853	0,7333965	0,2094040	0,6373372	0,5973391	0,5969136	0,9398560	0,8684615	0,0030315	0,4667689	0,1306128	0,6251113	0,6043755	0,0177186	0,1155472	0,9317716	0,3947860	0,9964626	0,4425600	0,4709359	0,2275405	0,1839820	0,7666977	0,8742797	0,9740486	0,3915263	0,4855132	0,6220682	0,0985458	0,2278571	0,9003397	0,6949557	0,0145338	0,3263848	0,0026775	0,9580514	0,2034859	0,5465429	0,0074350	0,3235814	0,3391828	0,8654447	0,8906271	0,9947883	0,2202880	0,6520846	0,7344514	0,6280368	0,0040875	0,7135112	0,1275951	0,1348635	0,1165315	0,7357458	0,2343187	0,0882875	0,6434780	0,3470082	0,6639104
540	0,2954917	1,0000000	0,0462906	0,8849062	0,0210753	0,9897310	0,7333923	0,2092930	0,6375646	0,5973748	0,5965645	0,9397899	0,8682707	0,0030344	0,4667689	0,1306128	0,6251505	0,6042381	0,0177186	0,1155472	0,9317797	0,3946044	0,9964560	0,4426147	0,4708787	0,2274115	0,1839860	0,7667655	0,8743729	0,9740965	0,3915787	0,4855161	0,6225056	0,0985456	0,2278558	0,9004899	0,6952920	0,0145606	0,3257390	0,0026846	0,9578723	0,2039667	0,5464028	0,0073246	0,3235848	0,3389279	0,8653508	0,8905053	0,9948100	0,2198228	0,6520934	0,7344515	0,6278109	0,0040875	0,7135802	0,1275304	0,1348635	0,1165315	0,7360725	0,2348834	0,0882875	0,6429368	0,3472749	0,6637945
560	0,2955475	1,0000000	0,0462640	0,8844206	0,0210753	0,9897620	0,7333889	0,2092015	0,6377305	0,5974040	0,5962772	0,9397354	0,8681106	0,0030368	0,4667689	0,1306128	0,6251773	0,6041294	0,0177186	0,1155472	0,9317849	0,3944507	0,9964505	0,4426369	0,4708316	0,2273040	0,1839893	0,7668082	0,8744369	0,9741304	0,3916152	0,4855109	0,6228582	0,0985454	0,2278530	0,9006060	0,6955442	0,0145823	0,3252064	0,0026907	0,9577224	0,2043475	0,5462853	0,0072472	0,3235870	0,3387144	0,8652709	0,8904051	0,9948275	0,2194383	0,6520993	0,7344515	0,6276286	0,0040875	0,7136282	0,1274774	0,1348635	0,1165315	0,7363256	0,2353598	0,0882875	0,6424856	0,3474654	0,6636992
580	0,2955923	1,0000000	0,0543956	0,8840102	0,0210753	0,9757048	0,7333861	0,2116793	0,6137395	0,5974279	0,5960410	0,9396906	0,8676150	0,0030215	0,5137264	0,1857262	0,5911070	0,6281908	0,0177186	0,1155472	0,9317826	0,3876120	0,9964429	0,4422179	0,4707930	0,2272147	0,1839920	0,7706789	0,8741843	0,9618117	0,3913925	0,4979355	0,6230977	0,0985453	0,2278448	0,8913147	0,6359636	0,0145932	0,3453033	0,0026958	0,9576212	0,2040348	0,5461856	0,0628227	0,3216325	0,3385329	0,8652028	0,8903226	0,9948044	0,2193890	0,6505840	0,7344516	0,6450907	0,0040875	0,6703538	0,1631201	0,1348635	0,1049216	0,7078629	0,2357605	0,0882875	0,6421105	0,3471962	0,6720988
