"Time"	hns	cspA	bolA	bglJ	leuO	cadC	stpA	nhaR	gutM	srlR	appY	caiF	gadW	gadX	rutR	nemR	gadE	rcsA	ydeO	evgA	mdtF	mdtE	cadA	cadB	bglG	bglB	bglF	yhiD	hdeA	hdeB	gadA	hdeD	gutQ	srlD	srlB	srlE	srlA	gadB	osmC	gadC	nhaA	fliC	gadY	yjjQ	nemA	dctR	slp	yjjP	ampC	pgaC	gmr	yegR	proW	leuA	leuL	hchA	ybaS	leuC	cspD	mukE	evgS	yciE	gnd	proV
460	0,3042921	0,9414455	0,0509229	0,9330152	0,0103233	1,0317523	0,7897276	0,1812496	0,6620480	0,6071302	0,5523231	0,9350144	0,8770929	0,0080378	0,4489087	0,0769929	0,6133491	0,5655527	0,0116196	0,1416326	0,9193646	0,3934247	1,0086099	0,4054873	0,5055050	0,1999854	0,1648939	0,7373271	0,8719813	0,9335240	0,3887611	0,3907680	0,7053749	0,1183001	0,2576340	0,9470508	0,7372881	0,0042751	0,2536753	0,0017368	0,8866581	0,2194904	0,6138544	0,0048586	0,2822453	0,3490231	0,9567496	1,0151666	0,9671388	0,1204212	0,6066359	0,7691448	0,5709133	0,0039563	0,7482711	0,1140054	0,1335769	0,0879843	0,7381231	0,2048506	0,0905732	0,6913703	0,3487365	0,6097725
480	0,3156456	0,9643526	0,0415131	0,9781021	0,0220183	1,0589819	0,7786697	0,1666604	0,7161012	0,6062644	0,4879915	0,9901536	0,8302458	0,0055271	0,4395732	0,1285489	0,6273958	0,6281044	0,0131292	0,1395486	0,8660018	0,3780907	0,9782270	0,3924055	0,4612715	0,1709230	0,1678958	0,8035033	0,9134693	0,9411056	0,4331499	0,4139484	0,7410283	0,1145763	0,2385677	0,9834518	0,7072312	0,0065276	0,2456403	0,0023745	0,9589426	0,2421136	0,6070559	0,0030164	0,2823384	0,3220864	0,9798738	0,9202723	1,0128508	0,1440276	0,6399418	0,8316182	0,5867606	0,0061103	0,7923735	0,1119185	0,1244998	0,1039793	0,7390502	0,2323972	0,1063069	0,6555757	0,3784127	0,5826539
500	0,2955166	0,9270440	0,0500521	0,9347759	0,0162543	1,0036574	0,7418935	0,1670975	0,7032012	0,6021608	0,4672207	1,0136541	0,8544830	0,0093710	0,4465666	0,1513264	0,6092877	0,6195634	0,0169436	0,1419718	0,9401752	0,3943034	1,0623448	0,3503038	0,4424482	0,1517781	0,1518167	0,7810247	0,9387016	0,9784589	0,3604072	0,4275853	0,6919506	0,1162274	0,2093001	0,9437751	0,6805864	0,0139267	0,2455173	0,0037739	0,8933013	0,2437311	0,6509811	0,0054728	0,3261502	0,2988083	0,9822151	0,8445373	0,9986396	0,1505050	0,6425161	0,8204648	0,5678699	0,0068687	0,7236430	0,1085545	0,1461906	0,1034080	0,7684276	0,2377522	0,0827581	0,6355917	0,3537941	0,5602689
520	0,2974491	0,9016086	0,0351507	0,9548749	0,0190376	0,9293472	0,7697359	0,1780424	0,7009562	0,6512405	0,5186070	0,9572438	0,8435622	0,0102667	0,4725265	0,1528182	0,6140225	0,6004715	0,0212470	0,1245741	0,8892707	0,4179837	1,0567516	0,3821360	0,4577780	0,1630404	0,1541567	0,7868204	0,8646720	0,9549430	0,3947272	0,4318376	0,6105451	0,1120435	0,2251035	0,9407642	0,7466449	0,0194982	0,2588257	0,0073691	0,8893924	0,2161701	0,5719888	0,0008713	0,3248003	0,3483098	0,8497885	0,8064160	0,9952477	0,1164903	0,6546279	0,7662887	0,6105162	0,0087621	0,7318324	0,1157558	0,1267691	0,1179254	0,7569222	0,2688171	0,0906172	0,6052494	0,3605405	0,5749666
540	0,2971800	0,9374782	0,0457202	0,8948823	0,0208409	0,9627203	0,7220141	0,1775038	0,6441814	0,6278619	0,6476563	0,9037376	0,8385082	0,0073875	0,5127350	0,1243150	0,6196144	0,5582446	0,0125028	0,1273469	0,8840631	0,4164087	1,0027164	0,4147441	0,4405014	0,1815087	0,1891363	0,7394612	0,8452993	0,9524665	0,3652177	0,4493723	0,5872888	0,1027616	0,1852576	0,8763494	0,7025114	0,0233820	0,2481569	0,0051621	0,9009885	0,2066869	0,5315849	0,0015286	0,3321730	0,3311435	0,8682958	0,8657073	0,9789434	0,1706758	0,6376216	0,7922583	0,5918464	0,0093983	0,7061521	0,1237783	0,1710618	0,1518342	0,7260078	0,2309463	0,0807700	0,6663636	0,4014713	0,6193083
560	0,3339560	0,9363144	0,0406211	0,9527105	0,0141359	0,9003458	0,7435794	0,1998006	0,6340269	0,5974398	0,6527481	1,0054766	0,7548429	0,0115878	0,5460011	0,1531351	0,6638634	0,5535518	0,0107744	0,1231840	0,8878856	0,4060371	0,8614060	0,4724129	0,4015697	0,2041208	0,1990243	0,7056597	0,8521465	1,0488373	0,3745079	0,4287970	0,6130359	0,0970316	0,2091209	0,8723109	0,7129884	0,0161555	0,3025663	0,0067212	0,8793561	0,1759577	0,5631322	0,0068186	0,3446695	0,3032812	0,8840774	0,8586914	0,9505720	0,1950768	0,6752778	0,7784002	0,6084066	0,0121329	0,7313068	0,1192201	0,1521904	0,1329749	0,7407810	0,1874031	0,0773475	0,7176154	0,4212411	0,6075244
580	0,3544601	0,9343206	0,0835154	0,9474901	0,0221359	0,8716594	0,7497364	0,1926181	0,4828830	0,5833059	0,6540154	0,9305817	0,8360007	0,0095248	0,6221311	0,2425183	0,5034044	0,7180311	0,0148675	0,1087484	0,9064465	0,4056256	0,9242528	0,4720912	0,4520910	0,2207873	0,1763877	0,7222176	0,8502021	0,9065617	0,3380391	0,4865414	0,6009662	0,1089134	0,1935541	0,7949321	0,4582702	0,0150939	0,3919212	0,0044703	0,9566709	0,1628234	0,5517549	0,3269235	0,3079216	0,2672918	0,8236517	0,8383213	0,9601107	0,2039964	0,6763945	0,7725955	0,7212329	0,0111007	0,5265153	0,2582875	0,1394282	0,0832654	0,5443588	0,2003804	0,0974510	0,7188464	0,4383482	0,6732340
600	0,4017188	0,9360420	0,1073598	0,9565780	0,0302822	0,7576966	0,7479373	0,2175983	0,3674575	0,5745936	0,6061676	0,9328201	0,7828981	0,0076114	0,6528650	0,3131959	0,3508505	0,8354262	0,0139719	0,1026097	0,9950656	0,3795267	0,9189488	0,4355976	0,4882402	0,1821314	0,1771272	0,7740104	0,8634407	0,8130250	0,3669338	0,5650473	0,5815186	0,0926606	0,2278965	0,7794481	0,3210787	0,0124140	0,4131531	0,0064973	0,9521405	0,1887226	0,4868724	0,5516769	0,2884456	0,2718725	0,8508010	0,8281852	0,9338485	0,1658672	0,6148748	0,8332212	0,7907462	0,0087631	0,3372122	0,3392537	0,1271000	0,0603750	0,4213347	0,1987046	0,1035923	0,7355565	0,3824872	0,6620084
620	0,3941347	0,9912912	0,1068420	0,8589098	0,0162735	0,7753573	0,7311484	0,2253191	0,3449674	0,5836256	0,4726747	0,8482273	0,7633133	0,0010471	0,6450993	0,2581045	0,2725028	0,8613856	0,0231929	0,1350201	0,9697340	0,3312175	0,9985468	0,4365339	0,4204361	0,1888535	0,1674948	0,7400032	0,8707920	0,8155716	0,3783671	0,6113837	0,6712336	0,0886491	0,2515253	0,8215028	0,2477058	0,0148399	0,4991467	0,0048814	0,9197595	0,3078747	0,4532848	0,6727990	0,2304942	0,2992144	0,8414081	0,8113969	0,9597946	0,2444433	0,5666475	0,8106043	0,7536693	0,0058773	0,2387272	0,3504058	0,1266557	0,0524733	0,3789718	0,2559568	0,0855666	0,6463929	0,3512451	0,7066924
640	0,3416135	1,0000912	0,0957193	0,7791958	0,0150165	0,8274800	0,8060038	0,2132597	0,3998341	0,6480118	0,4090347	0,8699703	0,7535559	0,0032001	0,6211238	0,2378543	0,2169033	0,8671962	0,0212936	0,1420720	0,9285416	0,2957222	1,0393580	0,3429608	0,4531202	0,1586996	0,1753582	0,7387204	0,8362412	0,8187457	0,3372330	0,5564395	0,7800007	0,1033977	0,2476413	0,7962831	0,1967310	0,0157117	0,6065752	0,0050151	0,9521490	0,3696231	0,4809751	0,6762008	0,1983121	0,3157023	0,8354837	0,8302012	1,0116844	0,2598939	0,5187882	0,8493014	0,6898308	0,0062836	0,1919281	0,3588091	0,1246741	0,0330662	0,3478222	0,3127015	0,1096611	0,5663288	0,3179751	0,7292740
