"Time"	hns	cspA	bolA	bglJ	leuO	cadC	stpA	nhaR	gutM	srlR	appY	caiF	gadW	gadX	rutR	nemR	gadE	rcsA	ydeO	evgA	mdtF	mdtE	cadA	cadB	bglG	bglB	bglF	yhiD	hdeA	hdeB	gadA	hdeD	gutQ	srlD	srlB	srlE	srlA	gadB	osmC	gadC	nhaA	fliC	gadY	yjjQ	nemA	dctR	slp	yjjP	ampC	pgaC	gmr	yegR	proW	leuA	leuL	hchA	ybaS	leuC	cspD	mukE	evgS	yciE	gnd	proV
380	0,2970501	1,0762195	0,0582396	0,9160915	0,0142021	0,9014072	0,7400678	0,1639792	0,6431673	0,5894151	0,6759525	0,9370927	0,7820456	0,0021699	0,4999077	0,1125730	0,5614856	0,5917994	0,0122944	0,1156715	0,9991676	0,3683735	0,9145663	0,4083941	0,4635037	0,2233369	0,1690107	0,7105433	0,8397908	0,9238016	0,3783160	0,5196358	0,5466151	0,0933176	0,2083082	0,8575227	0,6580020	0,0104508	0,3376683	0,0053064	0,9622547	0,1531695	0,5131405	0,0127123	0,3485108	0,3370881	0,9129645	0,9061538	1,0911813	0,1647530	0,6169894	0,7404527	0,7031769	0,0126596	0,6735740	0,1141294	0,1178333	0,0835202	0,7245623	0,1685156	0,0950186	0,6877316	0,3179002	0,6539238
400	0,3175229	1,0807940	0,0603634	0,9985750	0,0127596	0,9305929	0,7557061	0,1647146	0,6616667	0,6093611	0,6510505	0,9578661	0,7950634	0,0020066	0,4723554	0,1505711	0,5403872	0,5940356	0,0188687	0,1138314	1,0210037	0,3945753	0,9213148	0,4822102	0,4923049	0,2263224	0,1925019	0,6968683	0,8933195	0,9477921	0,4188275	0,5007330	0,4878520	0,0855621	0,1957926	0,8762656	0,6999758	0,0139878	0,3112330	0,0046609	0,9058074	0,1784164	0,5103571	0,0202137	0,3357060	0,2631951	0,9247742	0,9286179	1,1197194	0,1636822	0,5774555	0,7224209	0,6639508	0,0049943	0,7144492	0,1312478	0,1128439	0,0779181	0,7758305	0,1791143	0,0840168	0,7392291	0,3612781	0,6201707
420	0,3055183	1,0001348	0,0416233	0,9477392	0,0172173	0,9299134	0,6979764	0,1597721	0,6480265	0,5499598	0,5862168	0,9657268	0,9297289	0,0043059	0,5039235	0,1415677	0,5571574	0,5754168	0,0026901	0,1329098	0,9044869	0,3778520	0,9787844	0,4666283	0,4936695	0,2185014	0,1583594	0,7279879	0,8928214	0,9994127	0,3583334	0,5031885	0,5194538	0,0855073	0,2039314	0,8868667	0,6582877	0,0173069	0,3054739	0,0001089	0,8821697	0,2195051	0,5594660	0,0098784	0,3037589	0,2824789	0,9223398	0,9114657	1,0560787	0,1359261	0,5690678	0,7520597	0,6279991	0,0010756	0,7464324	0,1130082	0,1373765	0,0728712	0,7815726	0,1699331	0,0947391	0,7560038	0,3465981	0,6881356
440	0,3164497	0,9893768	0,0516419	0,9433931	0,0157826	0,9589427	0,6761383	0,1533674	0,6189406	0,5389308	0,5889159	0,8874744	0,9270487	0,0034401	0,5125430	0,1257784	0,5542676	0,5415270	0,0094318	0,1372822	0,8968813	0,3891597	1,0015085	0,4327269	0,4760320	0,1976526	0,1482797	0,7765488	0,8366567	1,0126889	0,3677304	0,4969931	0,5507685	0,1168164	0,2309756	0,9010211	0,6512447	0,0235212	0,2682940	0,0007815	0,8575038	0,2078902	0,5166044	0,0058525	0,2842048	0,2758088	0,8797618	0,8682545	1,0122354	0,1555393	0,5501223	0,7162889	0,6229093	0,0032561	0,7556683	0,1225106	0,1320432	0,0677619	0,7695273	0,1657566	0,0874085	0,7912921	0,3673141	0,6399339
460	0,3275264	0,9765437	0,0481301	0,9796287	0,0202287	1,0150231	0,7662188	0,1623347	0,7056884	0,6185441	0,5455444	0,9873828	0,8603902	0,0026551	0,4387652	0,1268999	0,5713745	0,5969733	0,0124481	0,1255207	0,9212559	0,4104112	0,9859128	0,3688823	0,4968047	0,2186304	0,1495993	0,7847324	0,8739086	1,0321878	0,3806922	0,4605007	0,6116306	0,1291586	0,2561807	0,9333178	0,6749338	0,0117752	0,2948732	0,0040937	0,8687533	0,2152754	0,4890276	0,0055395	0,2696964	0,2546783	0,8762472	0,9034078	1,0122695	0,1303139	0,5064907	0,6443459	0,5956259	0,0053124	0,7566982	0,1138095	0,1163996	0,0849230	0,7441812	0,1670136	0,0947912	0,6880584	0,3839757	0,6943280
480	0,3293244	0,9400264	0,0432378	1,0445067	0,0121098	1,0328918	0,7587832	0,1681403	0,7356792	0,6307864	0,5439569	0,9247507	0,8344210	0,0033431	0,4671697	0,0857621	0,6074991	0,6023608	0,0193290	0,1344506	0,9090713	0,4410760	0,9698555	0,4307413	0,5270931	0,1993552	0,1697621	0,8652934	0,9099196	0,9423583	0,3844424	0,4045660	0,6422806	0,1342609	0,2178372	0,9207258	0,7039999	0,0076629	0,2754445	0,0068084	0,8580764	0,2191011	0,4985368	0,0086312	0,2934769	0,3280177	0,9714779	0,8983081	1,0658205	0,1171441	0,5669145	0,6777095	0,5993269	0,0038363	0,7899853	0,0921657	0,1019964	0,0935836	0,7410692	0,1938752	0,1015362	0,6872364	0,3715652	0,6763982
500	0,3213672	0,9335344	0,0497479	1,0716206	0,0129073	0,9802234	0,7700168	0,1514025	0,7548550	0,6484692	0,5415673	0,9976237	0,8191663	0,0045374	0,4642350	0,1272374	0,6222939	0,6203436	0,0117329	0,1328676	0,8927955	0,3948799	0,9760635	0,4246456	0,4549889	0,1586761	0,1504900	0,8613754	0,9516128	0,9509257	0,3481367	0,4391855	0,6867291	0,1313385	0,1791056	0,8606140	0,7386285	0,0081483	0,2496716	0,0070906	0,8286072	0,2038889	0,5372533	0,0081372	0,2890026	0,3437745	0,9114631	0,8537208	1,0779048	0,1391140	0,6256695	0,7617013	0,5342291	0,0086941	0,7138260	0,1034410	0,1221654	0,0923551	0,6945250	0,2198452	0,0920454	0,6535826	0,3686030	0,5896801
520	0,2973990	0,8831322	0,0530534	1,0854434	0,0200638	0,9766422	0,7661905	0,1776524	0,6736960	0,6239408	0,5584260	1,0293124	0,8230453	0,0048544	0,5079182	0,1346390	0,6092669	0,5622539	0,0201538	0,1473189	0,8399442	0,4114261	1,0887542	0,3913566	0,4990193	0,1568238	0,1304136	0,7808349	0,9581584	0,9843243	0,3964135	0,4036513	0,7526233	0,1456673	0,2112505	0,9421095	0,7817470	0,0078322	0,2733932	0,0017350	0,8601780	0,2367648	0,6049642	0,0120619	0,3179737	0,3508308	0,9751508	0,8633025	1,0423729	0,1559392	0,6849005	0,8188735	0,5297755	0,0175670	0,6857672	0,1106972	0,1456207	0,1182616	0,6842240	0,2457392	0,0777517	0,6662369	0,3598506	0,5936109
540	0,2668604	0,9361219	0,0415781	1,0616491	0,0219619	0,9720627	0,7208555	0,2146225	0,6452996	0,6938083	0,5659329	1,0047536	0,8333260	0,0083956	0,4779715	0,1279040	0,6411597	0,5829791	0,0224311	0,1148640	0,8577813	0,4044597	1,0963345	0,3863011	0,4525127	0,1332284	0,1607600	0,7216202	0,8973129	0,9074916	0,3937261	0,4533642	0,6929744	0,1311568	0,2040340	0,9208355	0,7735246	0,0120163	0,2754700	0,0032401	0,8726071	0,2540609	0,5690457	0,0132529	0,3048788	0,2887902	0,9688898	0,8541614	0,9690645	0,1354103	0,6618264	0,7691511	0,5825321	0,0104545	0,6807264	0,0997538	0,1680986	0,1190107	0,7498080	0,2644398	0,0779047	0,6940725	0,3638986	0,6249054
560	0,2607284	0,8992469	0,0417185	1,0143117	0,0206728	0,9611593	0,7573330	0,1989949	0,6905915	0,6376660	0,6082953	1,0514588	0,8097508	0,0089454	0,3842488	0,1445207	0,6968909	0,5769194	0,0145421	0,1160368	0,9246108	0,3928946	1,0186128	0,4258141	0,4200502	0,1463067	0,1537611	0,7271543	0,8113461	0,9516235	0,3685120	0,4148935	0,5912900	0,1057320	0,2067358	0,9771647	0,7306275	0,0208180	0,2630179	0,0082586	0,9079573	0,2338464	0,5765997	0,0129935	0,3051702	0,2792827	1,0640139	0,8292646	0,9828280	0,1636268	0,6821538	0,7734449	0,5840219	0,0076197	0,7302846	0,1178168	0,1646493	0,1298959	0,7343704	0,2494051	0,0804027	0,6462073	0,3862227	0,5914821
