"Time"	hupB	fis	mtlR	marR	marA	rob	putA	xylR	glcC	hupA	soxS	soxR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	marB	mdtE	mdtF	hdeB	yhiD	hdeA	gadA	micF	gadB	fumC	gadC	zwf	dctR	slp	inaA	nfo	ygiA	ygiC	ygiB	tolC	acrA	acrB	sodA	fpr	gadY	rfaY	poxB	rfaZ	seqA	pqiB	pgm	nemA	pqiA	xylH	hdeD	purA	xylG	xylF	mtlA	mtlD	cadB	cadA	tyrP	ptsG
440	0,1590525	0,5464299	0,6083854	0,6810207	0,8489342	0,5510617	0,5410255	0,7697553	0,5694361	0,3098626	0,0353580	0,1594067	0,6800446	0,2443321	0,7232695	0,0561610	0,6159120	0,0689452	0,0946900	0,1241328	0,1293150	0,7974676	0,5599846	0,2853529	0,5086821	0,3752506	1,0423391	0,2360404	0,1328754	0,1825609	0,6341611	0,5519353	0,2340449	0,2371488	0,3525837	0,0557538	0,4564189	0,2904408	1,0241172	0,0613326	0,7231814	0,4558878	0,9575378	0,2073958	0,0362498	0,5546478	0,6179899	1,0141750	0,4342081	0,2388340	1,0054292	0,0499822	0,6861826	0,4174863	1,0686310	0,0062848	0,2542296	0,2195580	0,6539563	1,0106945	0,4374637	0,8387979	0,4698038	0,3166465
460	0,1372162	0,5579311	0,5991798	0,6747785	0,8328580	0,5222474	0,4550839	0,6792756	0,5754322	0,2785672	0,0488228	0,1491161	0,7200366	0,2157082	0,6729784	0,0536324	0,6128399	0,0699637	0,0980594	0,0912036	0,1239435	0,8811827	0,5930577	0,2930853	0,5202239	0,3881411	1,0104737	0,2684425	0,1474582	0,1539502	0,6288003	0,5339615	0,2139120	0,2341832	0,3715154	0,0396488	0,4756065	0,2885553	0,9213033	0,0916143	0,7354339	0,4665798	0,9993898	0,1704270	0,0401503	0,5622122	0,6321329	0,9941840	0,4504706	0,2556431	1,0173800	0,0702491	0,6869893	0,4306561	1,0476867	0,0184489	0,2988600	0,2334170	0,6314874	0,9741446	0,4099527	0,7198701	0,4878424	0,3499046
480	0,1424831	0,5517276	0,5888784	0,6673470	0,8448097	0,5322198	0,4510821	0,7086459	0,5491301	0,2571127	0,0360834	0,1599842	0,6593511	0,2297620	0,7123079	0,0747813	0,6030843	0,0669312	0,1097380	0,0972753	0,1146011	0,9273299	0,5264308	0,3177770	0,5043320	0,3438890	1,0692675	0,2606097	0,1476491	0,1541646	0,6183260	0,5303174	0,2370206	0,2115334	0,3906350	0,0370256	0,4367571	0,2640263	0,9619025	0,1208173	0,7834091	0,4498353	0,9701767	0,1928681	0,0337030	0,5914368	0,5830386	0,9895196	0,4671333	0,2530256	1,0499941	0,0829170	0,7593893	0,4212383	1,0701463	0,0190978	0,2939606	0,2296772	0,6089575	1,0500206	0,4116165	0,7082287	0,4382209	0,3587727
500	0,1276933	0,6365831	0,5915519	0,6694361	0,8655957	0,4641468	0,4734962	0,7566282	0,5485017	0,2802575	0,0357863	0,1386360	0,5710149	0,1936613	0,7191850	0,0772430	0,5773222	0,0804451	0,1036468	0,1062370	0,1010144	0,9104179	0,4907940	0,2362483	0,4781289	0,3715503	1,0836912	0,2412160	0,1218323	0,1751648	0,6244758	0,5370913	0,2428713	0,2013620	0,3990681	0,0553175	0,4208014	0,2306384	0,8885535	0,0956935	0,8060526	0,5322227	1,0150470	0,2098508	0,0339420	0,6057657	0,5588879	0,9345266	0,4664998	0,2530837	1,0476264	0,0875383	0,6698350	0,3942735	0,9961829	0,0327490	0,2815020	0,2313362	0,6776863	1,0502880	0,3638560	0,6775685	0,4731469	0,3317648
520	0,1261464	0,6822043	0,5340759	0,6682193	0,8160081	0,4660932	0,4871947	0,7779009	0,5345663	0,3225044	0,0264156	0,1463048	0,5695380	0,2069396	0,7578729	0,0789318	0,5344040	0,0831606	0,0883347	0,0845615	0,0848568	0,9539454	0,4750225	0,2497092	0,4776655	0,4175614	1,0182494	0,2777750	0,1182453	0,1644743	0,5798049	0,5227628	0,2415343	0,1814037	0,3974819	0,0457812	0,3911291	0,2415926	1,0102021	0,0700009	0,7918305	0,4534938	0,9222268	0,2172874	0,0397417	0,6057661	0,5255168	0,9741209	0,4585625	0,2158152	1,0447832	0,0791669	0,7329104	0,4351678	0,9480633	0,0303415	0,2681068	0,2410254	0,6640838	1,0049727	0,4382266	0,5980226	0,4678052	0,3178530
540	0,1107229	0,6816037	0,5365201	0,6462631	0,8328028	0,4633243	0,4872507	0,8318771	0,4625446	0,3928787	0,0394504	0,1578270	0,5863452	0,2278509	0,7313083	0,0619415	0,5690354	0,0850431	0,1082850	0,1117779	0,0852121	0,9724270	0,4548124	0,2751418	0,4797786	0,4435604	1,0075860	0,2612687	0,1197841	0,1693242	0,5557036	0,5482938	0,2218386	0,1467526	0,3746714	0,0496032	0,4393525	0,2194723	1,0003973	0,0887359	0,7896292	0,4637151	0,9691265	0,2235235	0,0182680	0,5888404	0,5257439	0,9256675	0,4252618	0,1733366	1,0171260	0,0941070	0,6907775	0,4157457	0,9314218	0,0368367	0,2436393	0,2185410	0,6275327	1,0520538	0,4362223	0,6168268	0,4868001	0,3517372
560	0,1055519	0,7061421	0,4894381	0,6929589	0,8240806	0,4901865	0,5041527	0,8361523	0,4627807	0,4460720	0,0437499	0,1475052	0,5755564	0,2086348	0,7518316	0,0587436	0,6199072	0,0709065	0,1133253	0,0929258	0,0777742	0,9041652	0,4285875	0,2831250	0,4790544	0,4965180	1,0527250	0,2229203	0,1048353	0,2020297	0,5703596	0,5276144	0,1801580	0,1522801	0,3556427	0,0280336	0,4567786	0,1722129	1,0568160	0,0703895	0,8040813	0,4821070	0,9583001	0,2209696	0,0145451	0,5120401	0,5318653	0,9783112	0,3847492	0,1866725	0,9454937	0,1055765	0,7097165	0,3639335	0,9253241	0,0306841	0,2632228	0,2124621	0,5425126	1,0719084	0,4226324	0,5429929	0,4839608	0,3368774
580	0,2045627	0,6629379	0,4943371	0,7008771	0,8466072	0,5254186	0,5170806	0,7744533	0,4931404	0,5787142	0,0376288	0,2141277	0,5002271	0,2451124	0,7601249	0,1520599	0,5393785	0,0795338	0,1034417	0,0934014	0,0849844	0,8095515	0,4062463	0,2249310	0,4680421	0,5588503	1,0603653	0,2519479	0,0935942	0,1665138	0,5512952	0,5070469	0,1519596	0,1848205	0,3582705	0,0309918	0,4135563	0,1519217	1,0162115	0,0621395	0,7436452	0,4163620	0,9451088	0,2343765	0,0181347	0,5863134	0,4930496	0,9562273	0,4154340	0,1704126	1,0105310	0,0936698	0,6752300	0,4072917	0,8635493	0,0333593	0,2790663	0,2557050	0,5181447	1,0934298	0,3831701	0,4978893	0,5801390	0,3401106
600	0,2926598	0,6957709	0,5096868	0,5660076	0,8900255	0,5471972	0,5326484	0,7050815	0,5046634	0,6118569	0,0416458	0,3678410	0,5532750	0,2381240	0,7345511	0,2513923	0,5359108	0,0743979	0,0677033	0,0788844	0,1073221	0,7672339	0,3808924	0,1800836	0,4652034	0,5531164	1,0437753	0,2177215	0,0747069	0,1724020	0,4766398	0,4240536	0,1628883	0,2194051	0,3483433	0,0479929	0,4542298	0,1494542	0,9879317	0,0588009	0,7876918	0,3656472	0,9355300	0,1928860	0,0186542	0,6041456	0,4105460	0,9534625	0,4380698	0,1928697	0,9718883	0,1070232	0,7419448	0,4031226	0,7799134	0,0309474	0,2961314	0,2726669	0,5405887	1,0505397	0,2885821	0,4267980	0,6711761	0,3570876
620	0,4179199	0,6945720	0,4540922	0,4863738	0,9010452	0,5764354	0,5356859	0,7034113	0,5579789	0,5828125	0,0682189	0,3900461	0,5456540	0,2936803	0,7787692	0,3834554	0,5325373	0,0784820	0,0597297	0,0710395	0,1110041	0,5812398	0,3787555	0,1117799	0,4892360	0,5583237	1,1104788	0,2103725	0,0700057	0,1407678	0,4494691	0,3293805	0,1480659	0,2437158	0,3468717	0,0356312	0,4840514	0,1681634	0,8903312	0,0484724	0,7252251	0,3541528	0,9201166	0,1819823	0,0121309	0,6071755	0,3173570	0,9850234	0,4603280	0,2327186	1,0124259	0,1249712	0,8308377	0,3765001	0,7126272	0,0373940	0,2746883	0,3515984	0,5550046	1,0623491	0,2526475	0,4066107	0,7898272	0,3428589
