"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI
380	0,9308451	0,4621128	0,0000000	0,4183101	1,0890190	0,4649426	0,8749279	0,3166892	0,3928654	0,6359430	0,9544943	1,0047929	0,8767574	1,0067155	0,0070897	0,1478248	0,9007375	0,2738294	0,1084704	0,2532640	0,8995026	0,9733589	0,3083321	0,4499866	0,6387667	0,3652263	0,0274774	0,2756012	0,3223646	0,4143943	0,9513051	0,9488266	0,6799733	0,3919218	0,2784242	1,1098161	0,5984481	0,3239923	0,4963603	0,8909627	1,0773830	0,7735355	0,0009459	0,8739783	0,9363315	0,8412268	0,3497807	0,2444499	0,5695061	0,8519000	0,2471187	0,8749662	0,5774051	0,0576431	0,2443633	1,0442034	0,9354619	0,1473682	0,0763487	0,8863854	0,0113454	1,0793629	0,9255057	0,5494311
400	0,9241019	0,4580545	0,0007563	0,4196270	1,0722415	0,4190956	0,8870968	0,3043398	0,3403157	0,6222418	0,9966315	1,0372566	0,9521714	0,9525452	0,0063877	0,1414450	0,9741696	0,2676192	0,1004306	0,2577930	0,9297484	0,9899013	0,3042667	0,4902585	0,6536198	0,3063453	0,0213885	0,2343576	0,3192072	0,4400243	0,9507940	0,9245210	0,7292174	0,4746944	0,2930969	1,0901462	0,5742886	0,3488743	0,4891683	0,8919555	1,0683081	0,8057255	0,0052779	0,9179853	0,8405457	0,8701293	0,4000640	0,2727506	0,5537112	0,9224833	0,2356555	0,8913742	0,5454167	0,0483720	0,2089666	1,0731452	0,9656776	0,1405390	0,0873076	0,9550017	0,0090758	1,0308101	0,9237628	0,5485328
420	0,9461098	0,4333643	0,0019734	0,4124715	1,0107698	0,4732298	0,8580872	0,3011499	0,3875513	0,6121979	1,0323647	1,0704372	1,0030763	0,9615318	0,0060960	0,1502298	0,9393238	0,2864540	0,1234631	0,2465325	0,9415075	1,0559983	0,2928152	0,5418809	0,5670023	0,2701438	0,0414489	0,2533045	0,3115663	0,4828057	0,9579038	0,9886192	0,6807732	0,4526810	0,3151765	1,0712579	0,5381226	0,3898562	0,4801129	0,9926418	1,0430212	0,7757061	0,0028168	0,9703639	0,8827015	0,8723053	0,3853727	0,2712870	0,5833443	0,9287271	0,2278583	0,9354964	0,5557161	0,0366593	0,2194267	1,0631817	0,9758791	0,1262426	0,0848273	1,0476863	0,0033545	1,0012428	0,9751273	0,5481860
440	0,9412138	0,4294064	0,0025490	0,4212342	1,0157189	0,4899495	0,8698857	0,3100464	0,3497002	0,6241809	1,0012902	1,0217743	1,0166444	0,9685194	0,0119245	0,1645410	1,0059212	0,2926224	0,1375612	0,2617852	0,9463032	1,1022762	0,2914124	0,5623956	0,5741730	0,3355262	0,0391178	0,2375474	0,3348970	0,4857468	0,9474422	0,9350630	0,6607684	0,4445822	0,3030606	1,0435186	0,4866997	0,4177861	0,5018246	0,9199929	1,0544547	0,7660198	0,0033411	0,9630589	0,8542956	0,9158124	0,4709125	0,2793401	0,6204951	0,8570034	0,2340416	0,9072742	0,4878459	0,0523531	0,2371157	1,0950906	1,0288818	0,1313461	0,0710118	1,0772024	0,0074467	1,0360334	0,9176582	0,5549373
460	0,9846855	0,4418553	0,0029361	0,4321522	0,9631196	0,4601093	0,8456714	0,3145801	0,3827043	0,6655605	1,0429801	1,0109723	1,0072185	1,0050374	0,0141908	0,1580387	1,0217843	0,2663581	0,1298008	0,2408359	0,8323921	1,0390416	0,2729875	0,5758225	0,6255235	0,2844551	0,0289174	0,3135813	0,3628531	0,4629560	0,9311671	0,9569795	0,6487021	0,4482179	0,3053197	1,0194577	0,5010149	0,3835877	0,4846301	0,9079754	1,0469524	0,7673022	0,0033298	0,9753082	0,8618826	0,8753047	0,5110602	0,2821436	0,5958971	0,8920181	0,2685263	0,8917146	0,5023367	0,0618682	0,2043644	1,0937574	0,9818733	0,1289475	0,0872618	1,0823215	0,0053696	0,9986623	0,9440907	0,6149951
480	1,0095242	0,4122376	0,0011804	0,4415256	0,9206231	0,3633554	0,8558460	0,3442108	0,3850375	0,6425394	1,0142363	1,0512025	0,9266854	1,0946174	0,0078146	0,1618412	0,9860284	0,2771217	0,1085594	0,2552569	0,8742173	0,9986774	0,2654667	0,5340694	0,6666316	0,3081237	0,0232565	0,3400761	0,2991521	0,4841362	0,9152075	0,9207698	0,6139950	0,4926991	0,3157190	0,9840192	0,5443183	0,3757219	0,4966533	0,9228560	1,0134226	0,7558129	0,0037808	0,9603888	0,8175779	0,9048683	0,5325226	0,2736506	0,6408045	0,9151790	0,2763877	0,8469253	0,4824046	0,0501852	0,2156525	1,0559801	0,9759580	0,1249379	0,0732846	1,0509628	0,0022947	1,0039548	0,9512025	0,6058481
500	0,9750743	0,3905583	0,0018147	0,4611374	0,9026814	0,3824940	0,7563013	0,2695390	0,3055640	0,6170986	1,1247295	1,0563904	0,9066089	1,1131591	0,0093310	0,1548776	0,9583506	0,2616322	0,1007399	0,2204094	0,8697186	0,9793041	0,2977782	0,5319760	0,7619620	0,3218830	0,0264416	0,3010443	0,3225421	0,5210479	0,8781641	0,9583074	0,5946477	0,4586570	0,3364333	1,0490134	0,5033419	0,3550958	0,4847353	0,8692502	0,8996008	0,7432246	0,0068154	0,9067882	0,8167109	0,9097783	0,5530094	0,2484583	0,6733665	0,9280480	0,2908520	0,7990633	0,4751018	0,0480994	0,2047756	1,0019998	1,0217900	0,1049431	0,0806405	1,0890314	0,0035226	0,9944658	0,9848517	0,6215972
520	0,9903663	0,3811798	0,0005667	0,4017075	0,9472802	0,4324260	0,7726842	0,3008081	0,2767575	0,6683344	1,0654232	1,0763902	0,9202369	1,1187150	0,0067234	0,1543773	0,9336012	0,2467982	0,0926265	0,2286574	0,8845385	0,8948148	0,3023554	0,5641482	0,7658513	0,3371296	0,0259586	0,2660074	0,3061188	0,5322669	0,9305718	0,9769420	0,5563632	0,3959048	0,3829325	1,0132064	0,5444156	0,3419463	0,5137184	0,8836603	0,9362266	0,7741387	0,0054387	0,9300506	0,7670012	0,8963514	0,5415540	0,2787895	0,6369353	0,9823325	0,3582554	0,7883048	0,4396832	0,0388722	0,2709413	1,0079890	1,0015749	0,0990935	0,0844678	1,0315635	0,0085292	1,0107924	1,0496758	0,6101058
540	0,9446988	0,4066522	0,0060476	0,4316055	1,0401017	0,4252943	0,7806898	0,3187618	0,3548764	0,6369080	0,9751847	1,1582369	1,0047542	1,0454266	0,0028245	0,1703362	0,9644271	0,2643070	0,1025499	0,2232058	0,9285157	0,8779913	0,3129126	0,5694855	0,7123646	0,3172543	0,0232600	0,2502083	0,2969199	0,5687007	0,9760117	0,9314373	0,5288822	0,3714480	0,3702934	1,0829208	0,5453887	0,3410123	0,4776969	0,9370101	0,9683961	0,7521961	0,0028508	0,9069438	0,7532034	0,8941016	0,5214097	0,2593374	0,6231980	0,9691362	0,3688334	0,7597336	0,4117554	0,0514582	0,3096791	0,9743629	0,8982742	0,0863791	0,0884434	0,9809327	0,0201254	0,9871436	1,0568438	0,5321943
560	0,9986830	0,3980076	0,0046173	0,4363144	0,9897315	0,4677192	0,7940728	0,3376354	0,3676817	0,5988317	1,0003838	1,1707996	1,0965534	1,0286258	0,0006096	0,1772678	0,9600281	0,2703721	0,0853952	0,2357048	0,8739604	0,9019005	0,3382796	0,5270099	0,6996502	0,3176584	0,0153665	0,2258586	0,3018945	0,5510211	0,9868383	0,9987890	0,5787890	0,4136151	0,3484869	1,0814966	0,4882323	0,3397324	0,4780552	0,9130618	0,9066903	0,7965970	0,0007134	0,9669062	0,7688710	0,8338842	0,5828761	0,2400410	0,6352812	0,9679382	0,3572453	0,8067634	0,4254826	0,0538358	0,3089920	0,9550185	0,8548195	0,0780549	0,0752299	1,0431478	0,0216560	0,9930791	1,0485269	0,5137804
