"Time"	bolA	ompR	csgD	rstA	rcsB	rcsA	flhD	hdfR	flhC	qseB	lrhA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtE	mdtF	csgF	csgE	csgG	hdeA	hdeB	yhiD	gadA	gadB	gadC	sra	flgH	fliM	ppdA	flgM	fliT	fliF	osmB	fliK	wcaB	ygdB	gltJ	flgA	flgE	wzb	fliJ	flgG	wzc	wcaA	fliQ	fliE	fliG	recC	flgC	fliO	flgD	ygbK	fliR	fliN	yhjH	fliP	gltI	flgF
440	0,0709160	1,0000000	0,0910689	0,0451200	1,0000000	0,9536663	0,0045460	0,7962104	0,0770129	0,0472324	0,0855787	0,4284326	0,0156603	0,0040182	0,9788560	0,3862088	0,2076959	0,9994651	0,4994140	0,1209664	0,5534685	0,0443083	0,0230037	0,7636799	0,9998677	0,7292832	0,4702652	0,8768715	0,2472704	0,2751981	0,6091899	0,5667262	0,0116098	0,8906315	0,0234254	0,0069523	0,0498010	0,0546654	0,9998595	0,6008475	0,7301627	0,0980705	0,0000315	0,0430763	0,0620516	0,9658808	0,2973550	0,0352653	0,9257261	0,9276411	0,0772922	0,0209226	0,0062946	0,0011706	0,0204856	0,0122682	0,0544033	0,9829697	0,0130061	0,0153299	0,0670280	0,1298457	0,0297609	0,0717575
460	0,0708614	1,0000000	0,0910688	0,0451200	1,0000000	0,9542391	0,0045322	0,7961670	0,0770093	0,0472324	0,0855790	0,4317151	0,0156144	0,0040182	0,9787754	0,3862098	0,2076991	0,9994650	0,4994168	0,1209664	0,5535241	0,0464628	0,0230037	0,7639865	0,9998676	0,7315544	0,4827667	0,8767534	0,2547021	0,2761678	0,6168704	0,5667293	0,0115523	0,8911232	0,0234254	0,0069521	0,0498006	0,0544774	0,9998631	0,6008437	0,7309140	0,0977722	0,0000314	0,0430632	0,0620515	0,9661041	0,2972462	0,0345191	0,9261606	0,9279897	0,0760394	0,0209221	0,0062939	0,0011172	0,0204856	0,0122682	0,0543982	0,9829664	0,0130058	0,0153181	0,0670199	0,1298457	0,0297609	0,0717551
480	0,0708246	1,0000000	0,0910687	0,0451200	1,0000000	0,9546536	0,0045231	0,7961378	0,0770064	0,0472324	0,0855793	0,4341734	0,0155809	0,0040182	0,9787287	0,3862086	0,2076991	0,9994649	0,4994180	0,1209664	0,5535574	0,0482754	0,0230037	0,7642087	0,9998676	0,7333279	0,4926226	0,8766616	0,2610160	0,2769562	0,6225330	0,5667317	0,0115099	0,8914792	0,0234254	0,0069520	0,0498003	0,0543473	0,9998654	0,6008408	0,7314926	0,0975548	0,0000314	0,0430517	0,0620514	0,9662717	0,2971645	0,0340212	0,9264970	0,9282471	0,0751029	0,0209218	0,0062934	0,0010781	0,0204856	0,0122682	0,0543938	0,9829639	0,0130056	0,0153105	0,0670146	0,1298457	0,0297609	0,0717531
500	0,0707999	1,0000000	0,0910686	0,0451200	1,0000000	0,9549534	0,0045170	0,7961182	0,0770042	0,0472324	0,0855796	0,4360041	0,0155565	0,0040182	0,9787040	0,3862074	0,2076978	0,9994648	0,4994183	0,1209664	0,5535765	0,0497756	0,0230037	0,7643695	0,9998676	0,7346993	0,5003230	0,8765922	0,2663092	0,2775891	0,6266849	0,5667336	0,0114785	0,8917367	0,0234254	0,0069519	0,0498001	0,0542575	0,9998669	0,6008385	0,7319348	0,0973966	0,0000314	0,0430417	0,0620514	0,9663968	0,2971034	0,0336893	0,9267555	0,9284364	0,0744031	0,0209216	0,0062931	0,0010495	0,0204856	0,0122682	0,0543902	0,9829620	0,0130055	0,0153056	0,0670113	0,1298457	0,0297609	0,0717514
520	0,0707833	1,0000000	0,0910686	0,0451200	1,0000000	0,9551701	0,0045128	0,7961050	0,0770025	0,0472324	0,0855798	0,4373611	0,0155387	0,0040182	0,9786930	0,3862066	0,2076963	0,9994648	0,4994180	0,1209664	0,5535867	0,0509996	0,0230037	0,7644856	0,9998675	0,7357509	0,5062932	0,8765411	0,2706953	0,2780914	0,6297165	0,5667351	0,0114554	0,8919230	0,0234254	0,0069518	0,0498000	0,0541958	0,9998680	0,6008367	0,7322707	0,0972819	0,0000314	0,0430332	0,0620514	0,9664897	0,2970581	0,0334681	0,9269530	0,9285751	0,0738802	0,0209214	0,0062929	0,0010287	0,0204856	0,0122682	0,0543872	0,9829606	0,0130054	0,0153024	0,0670091	0,1298457	0,0297609	0,0717501
540	0,0707721	1,0000000	0,0910685	0,0451200	1,0000000	0,9553267	0,0045101	0,7960962	0,0770012	0,0472324	0,0855801	0,4383630	0,0155257	0,0040182	0,9786898	0,3862064	0,2076949	0,9994648	0,4994176	0,1209664	0,5535915	0,0519854	0,0230037	0,7645694	0,9998675	0,7365514	0,5108917	0,8765044	0,2742927	0,2784863	0,6319231	0,5667363	0,0114385	0,8920577	0,0234254	0,0069518	0,0497999	0,0541534	0,9998687	0,6008353	0,7325242	0,0971987	0,0000314	0,0430260	0,0620514	0,9665585	0,2970245	0,0333208	0,9271031	0,9286765	0,0734895	0,0209213	0,0062928	0,0010135	0,0204856	0,0122682	0,0543848	0,9829594	0,0130053	0,0153004	0,0670077	0,1298457	0,0297609	0,0717490
560	0,0707647	1,0000000	0,0910685	0,0451200	1,0000000	0,9554398	0,0045082	0,7960902	0,0770002	0,0472324	0,0855802	0,4391003	0,0155163	0,0040182	0,9786909	0,3862067	0,2076938	0,9994648	0,4994173	0,1209664	0,5535933	0,0527706	0,0230037	0,7646298	0,9998675	0,7371569	0,5144134	0,8764787	0,2772164	0,2787940	0,6335256	0,5667372	0,0114260	0,8921550	0,0234254	0,0069517	0,0497998	0,0541244	0,9998692	0,6008342	0,7327147	0,0971384	0,0000314	0,0430200	0,0620514	0,9666092	0,2969998	0,0332225	0,9272166	0,9287504	0,0731978	0,0209212	0,0062927	0,0010024	0,0204856	0,0122682	0,0543828	0,9829585	0,0130053	0,0152990	0,0670068	0,1298457	0,0297609	0,0717481
580	0,0881566	1,0000000	0,0910685	0,0451200	1,0000000	0,9555215	0,0150312	0,8111759	0,0769992	0,0472324	0,0855804	0,4396572	0,0180538	0,0040182	0,9784708	0,3856044	0,2410675	0,9994410	0,5114034	0,1209664	0,5536035	0,0536220	0,0230037	0,7428703	0,9998675	0,7376251	0,5170981	0,8764608	0,2795305	0,2630831	0,6346879	0,5667379	0,0114179	0,8367501	0,0234254	0,0069536	0,0497998	0,0544196	0,9705190	0,5161173	0,7328572	0,0971023	0,0000314	0,0430151	0,0620514	0,9666465	0,2800628	0,0350383	0,9273020	0,9288042	0,0729867	0,0209212	0,0062929	0,0009969	0,0204857	0,0122682	0,0543812	0,9298985	0,0130052	0,0153363	0,0670062	0,1298457	0,0297609	0,0717475
600	0,1235796	1,0000000	0,0910685	0,0451200	1,0000000	0,9555806	0,0354193	0,8417027	0,0769964	0,0472324	0,0855805	0,4400855	0,0236057	0,0040182	0,9760421	0,3789962	0,3037008	0,9991347	0,5335723	0,1209664	0,5536949	0,0565718	0,0230037	0,6959044	0,9998675	0,7382092	0,5191533	0,8764283	0,2810072	0,2345759	0,6355503	0,5667384	0,0114349	0,7216012	0,0234254	0,0069709	0,0497998	0,0574181	0,9217174	0,3811005	0,7329633	0,0972625	0,0000314	0,0430111	0,0620516	0,9666738	0,2480160	0,0593537	0,9273661	0,9288433	0,0732982	0,0209212	0,0063015	0,0010582	0,0204858	0,0122682	0,0543799	0,8451742	0,0130053	0,0159014	0,0670114	0,1298457	0,0297609	0,0717469
620	0,1620402	1,0000000	0,0910685	0,0451200	1,0000000	0,9556232	0,0563576	0,8746184	0,0769891	0,0472324	0,0855807	0,4396143	0,0301234	0,0040182	0,9693540	0,3599184	0,3621062	0,9979177	0,5531780	0,1209664	0,5538801	0,0641330	0,0230037	0,6415467	0,9998675	0,7397965	0,5207731	0,8762683	0,2814691	0,2069819	0,6362994	0,5667388	0,0115707	0,5935028	0,0234254	0,0070143	0,0498010	0,0652071	0,8792344	0,2708388	0,7330421	0,0983899	0,0000314	0,0430087	0,0620533	0,9666938	0,2164463	0,1279202	0,9274140	0,9288717	0,0783033	0,0209220	0,0063573	0,0014477	0,0204864	0,0122682	0,0543787	0,7852041	0,0130066	0,0180330	0,0671052	0,1298457	0,0297610	0,0717463
