"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI
380	1,0000000	0,3710371	0,0000632	0,4192602	0,9999295	0,4927180	0,8416460	0,3192152	0,3811404	0,6303153	0,9980196	0,9942414	0,9942377	1,0000000	0,0053559	0,1460687	0,9980454	0,2765017	0,1099328	0,2422765	0,9415603	0,9940075	0,2968797	0,5123321	0,7017316	0,3242572	0,0188962	0,2733936	0,3146158	0,5045404	0,9807969	0,9768384	0,6215089	0,4433420	0,3268136	0,9996549	0,5148010	0,3628659	0,4542810	0,9529598	0,9965419	0,7942880	0,0001287	0,8358341	0,7532757	0,8507283	0,5306377	0,2779543	0,5728796	0,9528159	0,2040099	0,8326399	0,5508052	0,0417857	0,2388354	0,9661392	0,9419787	0,1206862	0,0783329	0,9970641	0,0153045	0,9999977	0,9435607	0,6447571
400	1,0000000	0,3710371	0,0000626	0,4192602	0,9999292	0,4926555	0,8413743	0,3191972	0,3810525	0,6303153	0,9980304	0,9942819	0,9955926	1,0000000	0,0053637	0,1460687	0,9980904	0,2765017	0,1099335	0,2376132	0,9434533	0,9941780	0,2975737	0,5123427	0,7017581	0,3242572	0,0188962	0,2734888	0,3147848	0,5046322	0,9812339	0,9768857	0,6215091	0,4433865	0,3268770	0,9996647	0,5053136	0,3626879	0,4501100	0,9529367	0,9965381	0,7938348	0,0001289	0,8365008	0,7300923	0,8509986	0,5363536	0,2779572	0,5734067	0,9539194	0,2047899	0,8328369	0,5504805	0,0417994	0,2393262	0,9660976	0,9419998	0,1131090	0,0783329	0,9974753	0,0153045	0,9999977	0,9514652	0,6446638
420	1,0000000	0,3710371	0,0000622	0,4192602	0,9999290	0,4926141	0,8411868	0,3191853	0,3809916	0,6303153	0,9980374	0,9943111	0,9965774	1,0000000	0,0053689	0,1460688	0,9981194	0,2765017	0,1099340	0,2340452	0,9448258	0,9942947	0,2980729	0,5123500	0,7017754	0,3242572	0,0188962	0,2735597	0,3148916	0,5046948	0,9815451	0,9769161	0,6215092	0,4434186	0,3269195	0,9996708	0,4976874	0,3625649	0,4468018	0,9529209	0,9965355	0,7935133	0,0001290	0,8369511	0,7094351	0,8512064	0,5405569	0,2779590	0,5737633	0,9546956	0,2053469	0,8329674	0,5502652	0,0418093	0,2396862	0,9660662	0,9420132	0,1069303	0,0783329	0,9977661	0,0153045	0,9999978	0,9575557	0,6446020
440	1,0000000	0,3710371	0,0000619	0,4192602	0,9999289	0,4925867	0,8410579	0,3191774	0,3809495	0,6303153	0,9980419	0,9943322	0,9972932	1,0000000	0,0053725	0,1460689	0,9981379	0,2765017	0,1099344	0,2313272	0,9458204	0,9943749	0,2984308	0,5123549	0,7017867	0,3242572	0,0188962	0,2736122	0,3149589	0,5047375	0,9817667	0,9769356	0,6215092	0,4434417	0,3269478	0,9996746	0,4916280	0,3624798	0,4442004	0,9529102	0,9965336	0,7932862	0,0001292	0,8372545	0,6915366	0,8513645	0,5436408	0,2779601	0,5740037	0,9552453	0,2057427	0,8330538	0,5501226	0,0418163	0,2399492	0,9660427	0,9420218	0,1019450	0,0783329	0,9979718	0,0153045	0,9999978	0,9622213	0,6445611
460	1,0000000	0,3710371	0,0000617	0,4192602	0,9999288	0,4925685	0,8409696	0,3191721	0,3809206	0,6303153	0,9980448	0,9943475	0,9978134	1,0000000	0,0053749	0,1460690	0,9981497	0,2765017	0,1099346	0,2292636	0,9465410	0,9944301	0,2986869	0,5123582	0,7017940	0,3242572	0,0188962	0,2736508	0,3150012	0,5047666	0,9819246	0,9769481	0,6215093	0,4434582	0,3269667	0,9996769	0,4868592	0,3624210	0,4421695	0,9529028	0,9965323	0,7931263	0,0001292	0,8374586	0,6763957	0,8514836	0,5458995	0,2779609	0,5741655	0,9556367	0,2060228	0,8331111	0,5500281	0,0418213	0,2401408	0,9660252	0,9420273	0,0979595	0,0783329	0,9981173	0,0153045	0,9999978	0,9657796	0,6445340
480	1,0000000	0,3710371	0,0000616	0,4192602	0,9999287	0,4925565	0,8409093	0,3191687	0,3809009	0,6303153	0,9980468	0,9943586	0,9981915	1,0000000	0,0053765	0,1460690	0,9981573	0,2765017	0,1099348	0,2277007	0,9470630	0,9944682	0,2988696	0,5123604	0,7017988	0,3242572	0,0188962	0,2736792	0,3150277	0,5047865	0,9820370	0,9769562	0,6215094	0,4434700	0,3269792	0,9996783	0,4831353	0,3623804	0,4405933	0,9528979	0,9965314	0,7930142	0,0001293	0,8375956	0,6638451	0,8515724	0,5475516	0,2779614	0,5742741	0,9559167	0,2062203	0,8331490	0,5499655	0,0418248	0,2402798	0,9660124	0,9420308	0,0947988	0,0783329	0,9982203	0,0153045	0,9999978	0,9684849	0,6445160
500	1,0000000	0,3710371	0,0000615	0,4192602	0,9999287	0,4925485	0,8408683	0,3191664	0,3808874	0,6303153	0,9980481	0,9943667	0,9984663	1,0000000	0,0053776	0,1460691	0,9981621	0,2765017	0,1099349	0,2265190	0,9474409	0,9944946	0,2989998	0,5123619	0,7018018	0,3242572	0,0188962	0,2736999	0,3150442	0,5048001	0,9821170	0,9769613	0,6215094	0,4434784	0,3269876	0,9996792	0,4802461	0,3623523	0,4393761	0,9528945	0,9965308	0,7929357	0,0001293	0,8376875	0,6536179	0,8516383	0,5487586	0,2779617	0,5743468	0,9561177	0,2063591	0,8331741	0,5499240	0,0418273	0,2403805	0,9660031	0,9420331	0,0923095	0,0783329	0,9982932	0,0153045	0,9999978	0,9705367	0,6445041
520	1,0000000	0,3710371	0,0000615	0,4192602	0,9999287	0,4925433	0,8408405	0,3191648	0,3808782	0,6303153	0,9980490	0,9943725	0,9986661	1,0000000	0,0053784	0,1460691	0,9981651	0,2765017	0,1099350	0,2256267	0,9477146	0,9945130	0,2990923	0,5123629	0,7018037	0,3242572	0,0188962	0,2737149	0,3150545	0,5048094	0,9821740	0,9769647	0,6215094	0,4434845	0,3269931	0,9996798	0,4780162	0,3623328	0,4384399	0,9528922	0,9965303	0,7928809	0,0001294	0,8377490	0,6454020	0,8516867	0,5496397	0,2779619	0,5743955	0,9562624	0,2064564	0,8331908	0,5498966	0,0418290	0,2404533	0,9659963	0,9420345	0,0903607	0,0783329	0,9983448	0,0153045	0,9999978	0,9720902	0,6444963
540	1,0000000	0,3710371	0,0000615	0,4192602	0,9999287	0,4925398	0,8408216	0,3191638	0,3808720	0,6303153	0,9980496	0,9943768	0,9988112	1,0000000	0,0053788	0,1460691	0,9981671	0,2765017	0,1099350	0,2249536	0,9479127	0,9945258	0,2991580	0,5123635	0,7018049	0,3242572	0,0188962	0,2737258	0,3150609	0,5048157	0,9822146	0,9769668	0,6215094	0,4434887	0,3269968	0,9996801	0,4763027	0,3623194	0,4377224	0,9528907	0,9965300	0,7928427	0,0001294	0,8377902	0,6388798	0,8517221	0,5502824	0,2779620	0,5744281	0,9563668	0,2065244	0,8332018	0,5498784	0,0418302	0,2405057	0,9659914	0,9420354	0,0888432	0,0783329	0,9983814	0,0153045	0,9999978	0,9732649	0,6444910
560	1,0000000	0,3710371	0,0000614	0,4192602	0,9999286	0,4925374	0,8408088	0,3191632	0,3808677	0,6303153	0,9980500	0,9943799	0,9989167	1,0000000	0,0053792	0,1460691	0,9981683	0,2765017	0,1099351	0,2244462	0,9480561	0,9945347	0,2992045	0,5123640	0,7018056	0,3242572	0,0188962	0,2737337	0,3150649	0,5048201	0,9822435	0,9769681	0,6215095	0,4434918	0,3269992	0,9996803	0,4749908	0,3623101	0,4371741	0,9528897	0,9965298	0,7928162	0,0001294	0,8378177	0,6337528	0,8517479	0,5507510	0,2779622	0,5744498	0,9564424	0,2065718	0,8332091	0,5498663	0,0418311	0,2405434	0,9659879	0,9420360	0,0876668	0,0783329	0,9984073	0,0153045	0,9999978	0,9741524	0,6444876
