"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB
380	0,6634516	0,2996488	0,2391695	0,0212286	0,1949714	0,6267556	0,7683295	0,5468612	0,6820647	0,7842458	0,7049703	0,0174709	0,6456720	0,5272150	0,0703165	0,2656680	0,1738712	0,2051323	0,1947522	0,3480516	0,7265143	0,1013944	0,4947072	0,6534385	0,1093448	0,2314860	0,6494123	0,7060767	0,4764140	0,7363602	0,4103931	0,5872133	0,6566280	0,5922719	0,2865543	0,6895402	0,6147144	0,6244169	0,8574042	0,1735195	0,6599574	0,5481386	0,4578418	0,7163961	0,6986769	0,7737180	0,7265010	0,7647057	0,7436431	0,4052663	0,0731354	0,5023923	0,2200753	0,7946035	0,5069980	0,5249613	0,6450549	0,5677934	0,3680556	0,7788884	0,1225379	0,4169563	0,8293392	0,3506392
400	0,6837247	0,1610478	0,1880461	0,0574646	0,1303585	0,8486400	0,6742627	0,5611817	0,6233140	0,7278321	0,6009046	0,0243155	0,5730625	0,5183566	0,0756150	0,3379680	0,1855164	0,1394971	0,2282235	0,4361569	0,7843571	0,0786639	0,4305247	0,6714654	0,1387664	0,2690849	0,5842449	0,8547809	0,4360449	0,5958825	0,4571678	0,4037992	0,7729199	0,8249880	0,2971083	0,6314310	0,6184843	0,7303603	0,7555278	0,2274694	0,6222207	0,5832719	0,5376735	0,7111162	0,6423183	0,8934093	0,7191294	0,7032678	0,6909426	0,3854730	0,0537619	0,5393160	0,2052641	0,6315675	0,5443121	0,5946618	0,5444477	0,6060582	0,3395298	0,7916233	0,1279101	0,4017225	0,7632216	0,4409650
420	0,6621007	0,2179710	0,2069486	0,0605947	0,1621407	0,6120741	0,7549202	0,7291791	0,6588516	0,7633217	0,6522944	0,0157714	0,5767655	0,5009127	0,0617445	0,2937506	0,1896547	0,2214215	0,1283312	0,4849987	0,7226703	0,0733020	0,4780998	0,6299121	0,2051438	0,1961190	0,6649046	0,7028885	0,5731702	0,6080110	0,5137221	0,5979778	0,7907143	0,7227712	0,2745724	0,6557501	0,5908190	0,6815911	0,6723640	0,2598006	0,7442028	0,5444245	0,5413561	0,7165001	0,7028606	0,7392166	0,6513651	0,7282693	0,9842960	0,4010111	0,0502150	0,5654151	0,1548857	0,6108964	0,4945899	0,5750769	0,6497222	0,6910844	0,3628315	0,8578115	0,1191559	0,4366366	0,6935417	0,4961302
440	0,8672303	0,2908792	0,2307336	0,0300489	0,1955533	0,6218970	0,7526937	0,6749650	0,7017724	0,7014080	0,8389326	0,0214856	0,7255008	0,4170239	0,0483166	0,3970555	0,2281768	0,1793248	0,1476808	0,4759657	0,7816495	0,1223021	0,5173094	0,7681935	0,1536025	0,2567904	0,5565174	0,8090813	0,6004428	0,6218693	0,4299992	0,4974761	0,6450927	0,6090474	0,2406365	0,7182626	0,5812557	0,6679450	0,6519729	0,2426808	0,6824504	0,4830430	0,4621069	0,8303271	0,6676313	0,7327136	0,6718669	0,7827916	0,7536676	0,4144676	0,0688194	0,5530274	0,2234481	0,7697513	0,4693118	0,5137769	0,6950898	0,7306852	0,3719682	0,7160273	0,0839414	0,3977758	0,6820266	0,3571213
460	0,7810635	0,2327024	0,2391518	0,0398633	0,1810158	0,6287858	0,8505825	0,6718726	0,7694060	0,6912912	0,8464120	0,0182329	0,6750952	0,5231142	0,0922199	0,4129035	0,2449967	0,1829616	0,1708186	0,4483792	0,6729284	0,0745820	0,4698684	0,7425739	0,1542638	0,3030507	0,6115966	0,7984050	0,5482418	0,8586276	0,4435447	0,5238044	0,6807259	0,6223960	0,2999307	0,6175065	0,6275833	0,6726402	0,7638880	0,2244306	0,5731018	0,5991246	0,4937899	0,6495332	0,7457150	0,7621169	0,7435979	0,8024001	0,5952176	0,4908347	0,1258078	0,6035006	0,1489986	0,7075149	0,3894693	0,5028926	0,5574856	0,6260358	0,3810739	0,6206450	0,0976306	0,3034276	0,7163605	0,4069012
480	0,8154158	0,2220923	0,2698034	0,0271132	0,1757381	0,7015164	0,6590812	0,6470813	0,8480736	0,7099287	0,6770090	0,0240507	0,8041604	0,4188348	0,0855063	0,3093576	0,2932251	0,2048227	0,1761174	0,4378486	0,7539719	0,1129163	0,4889180	0,8620327	0,2229562	0,2671929	0,5986697	0,8015448	0,5589929	0,7264986	0,4403538	0,4986722	0,7340074	0,8037094	0,2551487	0,5845226	0,6987231	0,7073664	0,8040995	0,2098347	0,6667720	0,6701546	0,5631514	0,8347152	0,6830896	0,6437742	0,7461700	0,8090276	0,6574996	0,3916070	0,1046543	0,5704525	0,1971660	0,5962045	0,4609753	0,4497989	0,6419815	0,5802260	0,3270946	0,6649395	0,1224997	0,3125046	0,8378010	0,4602824
500	0,9437827	0,2906467	0,1997100	0,0551397	0,1602238	0,6248588	0,6287726	0,7085403	0,6423531	0,7284186	0,7500699	0,0281514	0,5856143	0,5575071	0,0448811	0,2826723	0,2140521	0,1857757	0,1476773	0,4751928	0,7097163	0,0770713	0,4406543	0,7530543	0,1983121	0,2830085	0,7025209	0,7311797	0,6221432	0,7738564	0,4095297	0,4362427	0,7427736	0,6681450	0,2600116	0,6059853	0,4804366	0,7456729	0,7129784	0,1874532	0,7006881	0,5409143	0,5097299	0,7664924	0,5952067	0,7288607	0,6253947	0,7240740	0,6739480	0,4619614	0,1185186	0,5835893	0,1486601	0,7036011	0,3785223	0,5235071	0,6274391	0,7056425	0,3449107	0,7147380	0,0894948	0,4624565	0,8996091	0,4207681
520	0,7991993	0,2223434	0,1568817	0,0269098	0,2137048	0,5129593	0,7365651	0,5282910	0,8500427	0,7314953	0,6703185	0,0062418	0,7756377	0,5220895	0,0532390	0,2957267	0,2654630	0,2211860	0,1721526	0,6419533	0,7515257	0,1001479	0,5038223	0,7988993	0,2099910	0,3583251	0,5932164	0,8114222	0,6222258	0,8185957	0,4642968	0,5779933	0,7392249	0,6858635	0,2160350	0,6656660	0,5655170	0,6274259	0,8371835	0,2217103	0,6798383	0,4474044	0,6135414	0,6682821	0,7478130	0,5927844	0,6382691	0,5711518	0,6491483	0,5525782	0,1969722	0,5592666	0,1075482	0,6852818	0,4908959	0,3885131	0,6353410	0,5786882	0,4291586	0,6818787	0,1438335	0,4379654	0,7253305	0,3374135
540	0,7080754	0,1679771	0,1638144	0,0573538	0,1252060	0,5719588	0,6211317	0,6510138	0,5704506	0,7837323	0,6754117	0,0030627	0,8810492	0,4947589	0,1120352	0,2807576	0,2291933	0,1168815	0,1832959	0,4364558	0,6654167	0,1113719	0,4879152	0,6539736	0,2395197	0,3181276	0,6566235	0,7342824	0,6417605	0,6267776	0,5316607	0,4771791	0,6964899	0,6957291	0,2092274	0,7343816	0,6619207	0,6153373	0,8403895	0,2067400	0,6787952	0,5564425	0,6971161	0,6872309	0,6094532	0,6272675	0,6939171	0,7305924	0,6195525	0,5671527	0,2169835	0,5734954	0,1275340	0,7783470	0,4273971	0,6465118	0,6119990	0,6436392	0,3196819	0,7037528	0,0781304	0,4195392	0,6624426	0,4169780
560	0,7802790	0,1727739	0,2092518	0,0198500	0,1569927	0,6154174	0,7407915	0,7753841	0,6315442	0,7811851	0,7630114	0,0027316	0,7398124	0,5485630	0,0630841	0,3454962	0,2570895	0,1540057	0,1864410	0,4376724	0,8037015	0,0840764	0,4969982	0,6613973	0,1563264	0,3667185	0,6279513	0,7941295	0,5841946	0,6408067	0,5219267	0,6822883	0,7008466	0,6987413	0,2433334	0,7961871	0,6087263	0,6176549	0,6868787	0,2336427	0,7963377	0,6702388	0,5194416	0,7450505	0,6846263	0,7612398	0,6805298	0,6129885	0,7974678	0,5582014	0,1677421	0,7014402	0,1543185	0,6814836	0,4648973	0,3926749	0,5477812	0,5227257	0,2735943	0,7013472	0,0584977	0,4293438	0,7889031	0,4904526
580	0,7303596	0,2306204	0,2171195	0,0252820	0,2205548	0,6271087	0,7102351	0,6443319	0,7381585	0,7461422	0,7183564	0,0391331	0,7124327	0,6687294	0,0941140	0,4351615	0,2458189	0,2001664	0,1798284	0,5256738	0,6844282	0,1344090	0,4951190	0,8006281	0,2410316	0,3028648	0,6667094	0,7911949	0,5690687	0,6434192	0,3845263	0,5802946	0,6182326	0,6647694	0,2346463	0,6809452	0,7088093	0,6399661	0,7574127	0,2623429	0,6897270	0,6731958	0,5685889	0,6361847	0,7825513	0,8202982	0,6630164	0,6672549	0,6575674	0,4586000	0,1582399	0,4328266	0,2104411	0,6942883	0,4154807	0,5402045	0,5208506	0,5567950	0,3080161	0,7438100	0,0862215	0,4005844	0,6815921	0,3607905
600	0,7032047	0,2853605	0,2140882	0,0333362	0,2507574	0,6824367	0,6784458	0,6244238	0,5721014	0,7521311	0,6361303	0,1068846	0,8279491	0,4923794	0,0631849	0,4473708	0,2662605	0,2583846	0,1892620	0,5521664	0,5223543	0,1410989	0,6226146	0,9125612	0,3741544	0,4249503	0,6061195	0,7795509	0,5208301	0,7229563	0,5541992	0,5428473	0,7178086	0,7609474	0,2561829	0,7148263	0,5392665	0,6213618	0,6929354	0,3633861	0,7342839	0,3986226	0,4348562	0,6949360	0,6303795	0,8609464	0,5646479	0,5186180	0,6904039	0,4729625	0,1774750	0,5528878	0,1276835	0,6928755	0,4880714	0,6616915	0,5401038	0,4624515	0,5221841	0,6616480	0,2037239	0,4517310	0,6757333	0,3040295
620	0,6391727	0,1862577	0,2528978	0,0244627	0,3117403	0,5144571	0,5929647	0,6929204	0,6517721	0,6603200	0,6611513	0,1492772	0,7631347	0,5419371	0,0420447	0,4199448	0,1899307	0,2667229	0,1671559	0,4133317	0,5795905	0,2057052	0,4100642	0,8361816	0,4526052	0,4441199	0,5976475	0,9741598	0,6083938	0,6995192	0,4729465	0,5137291	0,7121845	0,6417742	0,3781457	0,5898675	0,6365437	0,7158539	0,8121193	0,2348639	0,7033300	0,5221791	0,4304819	0,8015992	0,6846778	0,8952733	0,6038225	0,7483696	0,6820005	0,4977189	0,2026921	0,5800229	0,1564146	0,5497507	0,4436467	0,5157696	0,5741043	0,5042434	0,5606473	0,7946247	0,3461475	0,4753543	0,7484456	0,2748194
640	0,6617202	0,2471218	0,2952236	0,0271432	0,3202704	0,6040877	0,7901408	0,6225823	0,6356251	0,7140158	0,7151030	0,1265003	0,6752337	0,5061583	0,0799485	0,3973921	0,1812776	0,3630511	0,1785087	0,5109319	0,6435470	0,2024505	0,5719305	0,7647173	0,4695660	0,5528993	0,6515200	0,7513080	0,6284818	0,5820979	0,3996848	0,5432281	0,7750226	0,6062071	0,3553872	0,6184301	0,5181746	0,6172170	0,6086732	0,2921076	0,6719564	0,5149402	0,5143834	0,6670837	0,5880186	0,7667983	0,5281048	0,7482737	0,6279861	0,5079038	0,1659912	0,5795282	0,1304742	0,6738205	0,4024138	0,4875160	0,5566759	0,5852989	0,6738136	0,9027478	0,4131881	0,4721258	0,6780154	0,3009954
