"Time"	rhaR	rhaS	crp	feaR	melR	zraR	malI	mtlR	prpR	ascG	rbsR	marR	fucR	chbR	nagC	srlR	gutM	idnR	xylR	uxuR	chbB	chbF	chbG	chbA	chbC	gutQ	srlE	srlD	srlA	srlB	zraS	rhaB	prpE	prpD	rbsC	rbsA	melB	nagE	fucO	rhaD	ascF	prpB	rbsB	fucU	rhaA	fucA	prpC	fucI	nagD	ascB	rbsK	fucP	malX	rbsD	gntP	melA	malY	nagB	fucK	xylF	uxuA	uxuB	rhaT	xylH
380	0,0025556	0,6585886	0,6278735	0,6613305	0,6694651	0,0416376	0,2550179	0,7114092	0,3771886	0,6110614	0,7594977	0,7298618	0,8453923	0,7043523	0,0357346	0,6590561	0,4377310	0,7256742	0,6128789	0,4181316	0,5164287	0,6532557	0,4479575	0,6724043	0,2366468	0,4131937	0,4488117	0,4019052	0,4435388	0,3939411	0,5011189	0,3345929	0,5916071	0,4622533	0,1235074	0,4270593	0,6686676	0,7904529	0,8021915	0,6302136	0,6866571	0,3489163	0,1356368	0,1458053	0,8065395	0,5616823	0,3763847	0,7756352	0,7073717	0,0654970	0,3284658	0,7006356	0,0017734	0,1113838	0,6177300	0,5953904	0,4045813	0,8598121	0,6211758	0,3521928	0,3710981	0,7184000	0,8507517	0,2877427
400	0,0034352	0,8190219	0,5579545	0,7091861	0,6527859	0,0217003	0,2467996	0,6765869	0,4508368	0,4749504	0,6985731	0,7173851	0,7547242	0,7027688	0,0472613	0,5864618	0,3950949	0,6721135	0,7188806	0,4322541	0,5973100	0,5615074	0,4320793	0,7464029	0,3722054	0,3630037	0,5101271	0,4052967	0,4012393	0,4741212	0,4864282	0,3569473	0,4572571	0,4947165	0,0678916	0,3309234	0,6744050	0,7578159	0,8017396	0,6178313	0,6652876	0,3069276	0,0946628	0,1404230	0,6918620	0,5179014	0,4938363	0,7132546	0,7240625	0,0648203	0,2670589	0,7420033	0,0021173	0,0683251	0,6139279	0,4333088	0,3097540	0,8160200	0,6865038	0,3302282	0,3156592	0,5925941	0,7033730	0,3685259
420	0,0007743	0,6908213	0,5797252	0,6678377	0,6382088	0,0090498	0,2296062	0,7826506	0,5072093	0,6372384	0,6735574	0,7585212	0,7389445	0,7105832	0,0360116	0,7214514	0,4873155	0,6310226	0,8364819	0,3722659	0,4812372	0,6410358	0,4743073	0,7814406	0,3339680	0,3974594	0,5953668	0,3134928	0,3535684	0,4943883	0,6080869	0,4024743	0,5283058	0,6289430	0,0402723	0,3995172	0,6365149	0,6592241	0,8699488	0,7075762	0,6569695	0,4082082	0,1548697	0,1385210	0,6827396	0,6622438	0,4411758	0,7079859	0,7329975	0,0723627	0,2939568	0,7121453	0,0016019	0,0637621	0,6056772	0,6062965	0,2948498	0,7224072	0,6699203	0,3584589	0,3978490	0,6706425	0,7863430	0,4348300
440	0,0019873	0,6034476	0,6308402	0,7104509	0,6517430	0,0222825	0,2848449	0,8240450	0,4967747	0,5737825	0,8710528	0,6319109	0,8605440	0,6314867	0,0234133	0,6164508	0,6216303	0,7757817	0,6952113	0,4230739	0,5193386	0,6014653	0,4962469	0,8370108	0,3122872	0,4015956	0,6454065	0,4513021	0,4007527	0,4176974	0,5324436	0,4186970	0,4880892	0,5530069	0,0591345	0,3910503	0,5814781	0,8421731	0,6506682	0,6533712	0,6959101	0,3236826	0,1119693	0,2157639	0,8374617	0,7108068	0,4577946	0,8503421	0,8264988	0,0958401	0,3178356	0,5948513	0,0040321	0,0962605	0,6021802	0,6676994	0,3488654	0,8649712	0,7183522	0,3609948	0,4860217	0,5133948	0,8314806	0,3630902
460	0,0122862	0,6116051	0,5130705	0,5894814	0,7345473	0,0259533	0,2639752	0,7409062	0,5520062	0,4833070	0,6713411	0,7522442	0,8179660	0,6600133	0,0383148	0,7310353	0,4469041	0,7578050	0,7583709	0,4611342	0,4806021	0,6584122	0,4977629	0,7117597	0,3343839	0,4481287	0,5972583	0,3565780	0,3657042	0,4205015	0,4936851	0,3346929	0,4979371	0,4600181	0,0423006	0,4766358	0,7265878	0,9050167	0,7568300	0,5007709	0,7375437	0,4110146	0,0998128	0,2194675	0,6268774	0,6796427	0,5305528	0,6860480	0,6867757	0,1233143	0,3566341	0,6613043	0,0000000	0,0994911	0,5438747	0,4189612	0,3551111	0,8523138	0,7407600	0,3609539	0,4692277	0,5138895	0,8231674	0,3247099
480	0,0128262	0,6405886	0,6089338	0,6626619	0,6371581	0,0756337	0,4405287	0,6414431	0,5173194	0,4668117	0,6954584	0,6761036	0,8342978	0,7082032	0,0522657	0,7782711	0,4792534	0,7280889	0,7147333	0,4129239	0,5603007	0,6305190	0,5591750	0,7203545	0,3414928	0,6096571	0,7523467	0,3663184	0,3416778	0,4537710	0,5833466	0,2731736	0,6409920	0,4131861	0,0229381	0,3148594	0,7282510	0,9643478	0,5861806	0,5854083	0,7168967	0,3578912	0,0771492	0,0908560	0,7428781	0,5799922	0,4792350	0,5827031	0,7746274	0,0957599	0,3192299	0,7075608	0,0015104	0,1351386	0,5426580	0,4518606	0,3998622	0,6468662	0,7142744	0,4418298	0,3832722	0,6013619	0,9524507	0,3176607
500	0,0030115	0,7467373	0,6348576	0,6533803	0,7742806	0,0218403	0,3883255	0,7739097	0,6184457	0,4620672	0,8521909	0,7215954	0,7344774	0,6235915	0,0440666	0,7179174	0,4542143	0,7133723	0,6670526	0,4308480	0,5261333	0,6844987	0,4526436	0,7886596	0,4073022	0,4487684	0,5829048	0,3166535	0,4632227	0,4899323	0,5797566	0,3474852	0,5825672	0,4522596	0,0492906	0,5360230	0,6105917	0,7505076	0,7097179	0,6433546	0,7872998	0,2907066	0,1019849	0,0800181	0,7265002	0,6125302	0,4431324	0,7638131	0,5765846	0,1503559	0,2343680	0,6496114	0,0009513	0,1244144	0,6189055	0,5154151	0,4385083	0,6455210	0,6286455	0,4109345	0,3804606	0,5690090	0,6999640	0,3536288
520	0,0191612	0,7617000	0,6439479	0,6736348	0,8244838	0,0191896	0,2812842	0,7146327	0,3937949	0,5060536	0,7178280	0,7641482	0,7119028	0,6588542	0,0390772	0,7850495	0,4592679	0,7936037	0,7754457	0,4721383	0,5273714	0,6337286	0,4841709	0,5984737	0,2960649	0,4869944	0,6089519	0,3579671	0,4381917	0,4736518	0,6045193	0,3491413	0,5427711	0,4658138	0,0455106	0,4571822	0,7093382	0,8721799	0,7460073	0,7279661	0,6120342	0,3644540	0,0801144	0,0906645	0,7431540	0,6660220	0,5698425	0,7551796	0,7456487	0,0842716	0,2300650	0,6670311	0,0012889	0,1000037	0,6093450	0,4101888	0,3607637	0,7116110	0,7061738	0,4532383	0,3044272	0,6241391	0,6945129	0,3724560
540	0,0158895	0,8980200	0,7554607	0,5841814	0,7949741	0,0387746	0,3937668	0,6030477	0,4829604	0,3695794	0,7303055	0,7079127	0,7384410	0,7285079	0,0215692	0,7809543	0,3824512	0,6846079	0,6528896	0,4342993	0,6240486	0,7278030	0,7005890	0,7039548	0,3415258	0,5299452	0,4942593	0,3846273	0,3998676	0,5591811	0,5608182	0,3953278	0,4520799	0,4627924	0,0474058	0,4614063	0,7326835	0,8301489	0,7007430	0,6661197	0,5957453	0,2868471	0,1768106	0,0941520	0,7330745	0,8245423	0,5366762	0,6833602	0,6638697	0,1313369	0,2490985	0,8127167	0,0316516	0,1305283	0,6617323	0,5029324	0,2927476	0,7158405	0,7531052	0,4409698	0,3855429	0,5067081	0,6716976	0,4185427
560	0,0053115	0,5177135	0,7044426	0,6624455	0,6972898	0,0189112	0,3760566	0,9190725	0,4960711	0,3749591	0,7488744	0,6655257	0,8191400	0,6995592	0,0240361	0,6597831	0,4451778	0,6238835	0,6014877	0,4521589	0,5302738	0,4753978	0,5029798	0,6732890	0,3521529	0,5089642	0,6213389	0,3565014	0,4236912	0,4626833	0,7057838	0,3915625	0,5105418	0,4283509	0,0451155	0,3360351	0,7450034	0,8923540	0,6684313	0,6199684	0,6455009	0,3198280	0,1282070	0,1472459	0,6842895	0,7206377	0,5583274	0,7617236	0,7713151	0,1157142	0,3405268	0,5275137	0,0034580	0,1043477	0,6010563	0,4731571	0,2334800	0,7616582	0,7569914	0,5825601	0,3705194	0,4964329	0,7258289	0,3787888
