"Time"	hupB	fis	mtlR	marR	marA	rob	putA	xylR	glcC	hupA	soxS	soxR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	marB	mdtE	mdtF	hdeB	yhiD	hdeA	gadA	micF	gadB	fumC	gadC	zwf	dctR	slp	inaA	nfo	ygiA	ygiC	ygiB	tolC	acrA	acrB	sodA	fpr	gadY	rfaY	poxB	rfaZ	seqA	pqiB	pgm	nemA	pqiA	xylH	hdeD	purA	xylG	xylF	mtlA	mtlD	cadB	cadA	tyrP	ptsG
420	0,1415131	0,6186157	0,5317282	0,6493343	0,8014517	0,5183461	0,4744565	0,7412826	0,5267116	0,3920660	0,0569908	0,1415121	0,6427589	0,2268694	0,7232217	0,0739177	0,5834693	0,0847103	0,1074420	0,1103112	0,1169635	0,8601433	0,4923041	0,2837083	0,4977109	0,4386283	0,9970496	0,2376608	0,1195078	0,2229820	0,5398843	0,5112794	0,2239977	0,2013117	0,3653444	0,0362432	0,4177873	0,3048138	0,9879539	0,0843371	0,7437791	0,4703396	0,9572403	0,1813151	0,0321329	0,5515858	0,5398749	0,9957764	0,3711729	0,2677153	0,9920332	0,0811809	0,7471579	0,3816053	0,9747789	0,0305187	0,2504539	0,2308465	0,6023763	0,9702015	0,3980804	0,6720501	0,4675869	0,3440111
440	0,1414897	0,6186157	0,5317282	0,6493323	0,8014511	0,5183001	0,4744564	0,7412826	0,5267116	0,3920660	0,0568964	0,1415225	0,6285588	0,2268701	0,7232217	0,0748327	0,5834693	0,0832436	0,1074654	0,1103161	0,1165979	0,8550772	0,4868005	0,2837787	0,4888139	0,4403617	0,9971350	0,2371350	0,1138507	0,2228079	0,5385082	0,5114178	0,2196504	0,2012896	0,3653359	0,0362377	0,4175550	0,2987123	0,9877523	0,0839279	0,7437566	0,4701453	0,9571619	0,1812994	0,0319857	0,5515757	0,5397780	0,9956625	0,3718088	0,2656441	0,9922406	0,0811730	0,7471575	0,3816438	0,9735952	0,0302013	0,2504539	0,2308091	0,6023763	0,9702015	0,3969842	0,6405654	0,4675794	0,3439226
460	0,1414754	0,6186157	0,5317282	0,6493310	0,8014506	0,5182681	0,4744564	0,7412826	0,5267116	0,3920660	0,0568319	0,1415289	0,6165350	0,2268713	0,7232217	0,0759976	0,5834693	0,0822383	0,1074809	0,1103193	0,1163292	0,8498714	0,4811352	0,2839679	0,4807491	0,4441883	0,9971898	0,2367736	0,1090754	0,2226909	0,5366103	0,5115104	0,2152582	0,2012763	0,3653299	0,0362338	0,4173930	0,2940562	0,9876031	0,0836452	0,7437408	0,4699973	0,9571057	0,1812886	0,0318811	0,5515682	0,5397057	0,9955773	0,3722692	0,2641550	0,9923900	0,0811680	0,7471573	0,3816712	0,9723799	0,0300005	0,2504539	0,2307845	0,6023763	0,9702015	0,3962043	0,6113291	0,4675745	0,3438605
480	0,1414666	0,6186157	0,5317282	0,6493301	0,8014503	0,5182460	0,4744564	0,7412826	0,5267116	0,3920660	0,0567878	0,1415328	0,6064805	0,2268723	0,7232217	0,0773027	0,5834693	0,0815495	0,1074912	0,1103212	0,1161326	0,8447687	0,4755628	0,2842297	0,4736150	0,4493863	0,9972224	0,2365262	0,1051110	0,2226122	0,5342969	0,5115723	0,2109542	0,2012683	0,3653257	0,0362311	0,4172805	0,2905297	0,9874940	0,0834504	0,7437298	0,4698858	0,9570656	0,1812813	0,0318067	0,5515626	0,5396524	0,9955145	0,3726009	0,2630911	0,9924974	0,0811649	0,7471571	0,3816907	0,9711720	0,0298730	0,2504539	0,2307683	0,6023763	0,9702015	0,3956499	0,5849437	0,4675711	0,3438169
500	0,1414613	0,6186157	0,5317282	0,6493295	0,8014501	0,5182307	0,4744563	0,7412826	0,5267116	0,3920660	0,0567577	0,1415349	0,5981338	0,2268731	0,7232217	0,0786612	0,5834693	0,0810772	0,1074980	0,1103225	0,1159893	0,8399436	0,4702724	0,2845290	0,4674297	0,4553552	0,9972388	0,2363574	0,1018611	0,2225590	0,5317010	0,5116135	0,2068491	0,2012635	0,3653227	0,0362292	0,4172025	0,2878763	0,9874149	0,0833164	0,7437222	0,4698025	0,9570372	0,1812762	0,0317539	0,5515586	0,5396134	0,9954687	0,3728390	0,2623350	0,9925744	0,0811630	0,7471570	0,3817045	0,9700053	0,0297916	0,2504539	0,2307577	0,6023763	0,9702015	0,3952561	0,5616872	0,4675689	0,3437865
520	0,1414580	0,6186157	0,5317282	0,6493291	0,8014499	0,5182201	0,4744563	0,7412826	0,5267116	0,3920660	0,0567371	0,1415361	0,5912286	0,2268734	0,7232217	0,0800077	0,5834693	0,0807530	0,1075024	0,1103233	0,1158854	0,8355065	0,4653882	0,2848403	0,4621556	0,4616274	0,9972436	0,2362425	0,0992220	0,2225232	0,5289577	0,5116409	0,2030234	0,2012607	0,3653206	0,0362279	0,4171486	0,2858910	0,9873581	0,0832243	0,7437169	0,4697407	0,9570171	0,1812728	0,0317164	0,5515556	0,5395850	0,9954357	0,3730091	0,2618003	0,9926295	0,0811617	0,7471569	0,3817144	0,9689058	0,0297395	0,2504539	0,2307507	0,6023763	0,9702015	0,3949764	0,5415779	0,4675674	0,3437653
540	0,1414561	0,6186157	0,5317282	0,6493288	0,8014498	0,5182127	0,4744563	0,7412826	0,5267116	0,3920660	0,0567230	0,1415367	0,5855191	0,2268736	0,7232217	0,0812963	0,5834693	0,0805300	0,1075054	0,1103238	0,1158102	0,8315143	0,4609779	0,2851461	0,4577202	0,4678616	0,9972401	0,2361645	0,0970936	0,2224989	0,5261872	0,5116592	0,1995274	0,2012590	0,3653191	0,0362270	0,4171114	0,2844132	0,9873176	0,0831610	0,7437132	0,4696952	0,9570029	0,1812704	0,0316899	0,5515534	0,5395645	0,9954121	0,3731303	0,2614237	0,9926689	0,0811610	0,7471568	0,3817213	0,9678911	0,0297058	0,2504539	0,2307461	0,6023763	0,9702015	0,3947780	0,5244527	0,4675664	0,3437505
560	0,1414548	0,6186157	0,5317282	0,6493286	0,8014497	0,5182076	0,4744563	0,7412826	0,5267116	0,3920660	0,0567134	0,1415370	0,5807920	0,2268736	0,7232217	0,0824976	0,5834693	0,0803764	0,1075073	0,1103241	0,1157561	0,8279828	0,4570642	0,2854352	0,4540332	0,4738250	0,9972310	0,2361116	0,0953854	0,2224824	0,5234867	0,5116713	0,1963846	0,2012580	0,3653181	0,0362264	0,4170857	0,2833178	0,9872888	0,0831176	0,7437107	0,4696619	0,9569930	0,1812688	0,0316712	0,5515518	0,5395498	0,9953954	0,3732164	0,2611593	0,9926970	0,0811605	0,7471568	0,3817263	0,9669709	0,0296839	0,2504539	0,2307431	0,6023763	0,9702015	0,3946372	0,5100392	0,4675658	0,3437401
580	0,1951708	0,6186157	0,5317282	0,6004438	0,8014510	0,5289730	0,4744563	0,7412826	0,5267116	0,3920660	0,0567460	0,2076337	0,5763196	0,2345332	0,7232217	0,1303022	0,5834693	0,0800517	0,0994663	0,0942119	0,1157888	0,7720214	0,4535525	0,2552911	0,4510939	0,4794817	0,9972010	0,2247800	0,0940145	0,1986186	0,5013015	0,4727075	0,1936032	0,2012577	0,3653176	0,0362260	0,4170913	0,2826062	0,9872961	0,0831103	0,7437090	0,4418981	0,9570658	0,1812677	0,0316587	0,5515507	0,4815396	0,9953837	0,3974337	0,2609758	0,9926190	0,0921923	0,7471568	0,3785275	0,9248645	0,0296695	0,2504539	0,2611799	0,6023763	0,9702015	0,3420464	0,4835856	0,5352097	0,3437330
600	0,2928790	0,6186157	0,5317282	0,5278162	0,8014655	0,5500693	0,4744563	0,7412826	0,5267116	0,3920660	0,0575297	0,3242299	0,5678353	0,2488279	0,7232217	0,2285427	0,5834693	0,0783070	0,0834934	0,0687105	0,1164617	0,6737631	0,4493346	0,2004689	0,4498334	0,4857525	0,9969611	0,2078795	0,0928527	0,1599911	0,4581498	0,3944724	0,1913018	0,2012664	0,3653189	0,0362268	0,4173077	0,2830887	0,9875361	0,0833165	0,7437084	0,3867319	0,9577565	0,1812677	0,0316702	0,5515500	0,3784240	0,9953832	0,4450851	0,2609383	0,9915309	0,1125866	0,7471569	0,3717900	0,8422201	0,0296574	0,2504539	0,3172158	0,6023763	0,9702015	0,2620199	0,4458941	0,6476660	0,3437320
