"Time"	rhaR	rhaS	crp	feaR	melR	zraR	malI	mtlR	prpR	ascG	rbsR	marR	fucR	chbR	nagC	srlR	gutM	idnR	xylR	uxuR	chbB	chbF	chbG	chbA	chbC	gutQ	srlE	srlD	srlA	srlB	zraS	rhaB	prpE	prpD	rbsC	rbsA	melB	nagE	fucO	rhaD	ascF	prpB	rbsB	fucU	rhaA	fucA	prpC	fucI	nagD	ascB	rbsK	fucP	malX	rbsD	gntP	melA	malY	nagB	fucK	xylF	uxuA	uxuB	rhaT	xylH
380	0,0008108	0,9125988	0,8096462	0,9959144	1,0269743	0,0313061	0,4067595	0,9730014	0,6792686	0,6656093	1,0086420	1,0078358	1,0527742	0,8656350	0,0334228	0,9597788	0,6429218	1,0088900	0,9986411	0,6053537	0,6387708	0,8116106	0,6543778	1,0005214	0,4120692	0,6171436	0,7887629	0,5024297	0,5033357	0,6411715	0,6876844	0,5207531	0,6467261	0,6056095	0,0655596	0,5426856	0,8811375	1,0572633	1,0106541	0,8288182	0,9307240	0,4711581	0,1781210	0,1699200	0,9608894	0,9302002	0,8025909	0,9916586	0,9628959	0,1444964	0,3608898	0,9137149	0,0019596	0,1430578	0,7363191	0,6753297	0,4884172	1,0416925	0,9830095	0,5706644	0,5000433	0,8131907	1,0251600	0,5389449
400	0,0045016	0,8837465	0,7695165	0,9867708	0,9562158	0,0326936	0,4417825	0,9896788	0,7222486	0,6326613	0,9467377	0,9955709	0,9952860	0,8443028	0,0433580	0,9323202	0,6418190	0,9755744	0,9995141	0,6032442	0,6724140	0,7926652	0,6632296	1,0078663	0,4067139	0,6753247	0,8266691	0,5327398	0,4842033	0,6275535	0,7065264	0,5624894	0,6660810	0,6476960	0,0580811	0,5191475	0,9160232	1,0079681	1,0433662	0,8657056	0,9088634	0,4890472	0,1553592	0,1852174	0,9719783	0,9444321	0,8061486	1,0208811	0,9869414	0,1243923	0,3486761	0,9650103	0,0019573	0,1550527	0,7843441	0,7184304	0,4406656	0,9849881	1,0502453	0,5634856	0,5162796	0,8258949	1,0764469	0,5028486
420	0,0036297	0,9082921	0,8319447	0,9649620	0,9205162	0,0211466	0,4802788	0,9850523	0,6751990	0,6598301	0,9647769	0,9733082	1,0382732	0,9421402	0,0447970	0,9494764	0,6450489	0,9599753	0,9729608	0,5990001	0,6900518	0,7909772	0,6976526	1,0436391	0,4311040	0,6704869	0,8413187	0,5210558	0,5037273	0,6400217	0,7474142	0,5584516	0,7105173	0,6797928	0,0446526	0,5131085	0,9052806	1,0345262	0,9919968	0,8565572	0,8520882	0,5183686	0,1386014	0,1785080	0,9681129	0,9543891	0,7522216	0,9699875	1,0336206	0,1531023	0,3587568	0,9182270	0,0019493	0,1319085	0,7783479	0,7040291	0,4949252	0,9802392	1,0561913	0,5681165	0,5183584	0,8633206	1,0299837	0,5069578
440	0,0087233	0,9707949	0,8299033	0,9201819	0,8884140	0,0268734	0,4295796	1,0268360	0,7141548	0,5918633	0,9893904	1,0229330	1,0414925	0,9186194	0,0574400	0,9024865	0,6171602	1,0173358	0,9885195	0,6305205	0,7203646	0,8357691	0,6554949	0,9703981	0,4406186	0,6508032	0,8165484	0,5238750	0,5094849	0,6881288	0,6982368	0,5148397	0,7468348	0,6778446	0,0500889	0,5501605	0,8769163	1,0224762	0,9304638	0,7965932	0,8935619	0,5031530	0,1507230	0,1762847	0,9362647	0,9659532	0,7908153	0,9882562	1,0232530	0,1431103	0,3462681	0,9370834	0,0015129	0,1402918	0,8065818	0,6657536	0,4911322	0,9942421	1,0078589	0,5973561	0,5545064	0,8170176	1,0528969	0,5272668
460	0,0139611	0,8884097	0,8275229	0,9789878	0,9215579	0,0302942	0,4614737	1,0528783	0,8040464	0,6327935	0,9464555	1,0722816	1,0429694	0,9118052	0,0529254	0,9228058	0,6336792	0,9880520	0,9917964	0,6208533	0,7236399	0,8349034	0,6521788	1,0115603	0,5048511	0,6882056	0,8605105	0,4944550	0,5365331	0,6910052	0,7217299	0,4963093	0,7685389	0,6650654	0,0626426	0,4999475	0,9151610	0,9666510	0,9226283	0,8252704	0,8908290	0,4851496	0,1519753	0,1589823	0,9496348	0,9402031	0,7880721	0,9356712	0,9460860	0,1443349	0,3259624	0,9750639	0,0043618	0,1859633	0,8387107	0,6479934	0,5112375	0,9176804	0,9769584	0,5805247	0,5149918	0,8355851	1,0825063	0,5245284
480	0,0092317	0,8626925	0,7890474	1,0258501	1,0275632	0,0325715	0,4780877	1,0041320	0,7366139	0,6014034	0,9855083	1,0391530	1,1081698	0,9702723	0,0480187	0,8989128	0,6350852	1,0878074	0,9938220	0,6210513	0,7958266	0,8593001	0,6270341	1,0028559	0,4506636	0,7079445	0,9027387	0,5096649	0,4994413	0,6793062	0,7211849	0,5083182	0,7970680	0,6276919	0,0552635	0,5183690	0,9795675	0,9690526	0,9676927	0,8624625	0,8985661	0,5027733	0,1316727	0,1492354	0,9621764	0,9038783	0,7909656	0,9109910	0,9707940	0,1587021	0,4039530	0,9119958	0,0031611	0,1541980	0,9193720	0,6656687	0,4713345	0,9740217	0,9567288	0,5244970	0,5414151	0,8740903	1,0727927	0,5352219
500	0,0024931	0,8333768	0,8187263	1,0177232	1,0157279	0,0444955	0,4686417	0,9463423	0,7005245	0,5860687	1,0506272	1,0371095	1,0529932	0,9378394	0,0491633	0,9392800	0,6313021	1,0458273	0,9644957	0,6263714	0,7801003	0,8399374	0,6236183	1,0121665	0,4322031	0,7152546	0,8658264	0,5331298	0,4746099	0,6976464	0,7734563	0,5564992	0,7929676	0,6637169	0,0640012	0,5137348	0,9775734	0,9987942	0,9872074	0,8966201	0,8718973	0,4350781	0,1604369	0,1610653	0,9467003	0,9504373	0,8377334	0,9597667	0,9228133	0,1973225	0,3307646	0,9812846	0,0019601	0,1578838	0,8969963	0,6813800	0,4744985	0,9302190	0,9688468	0,5151869	0,5423755	0,9268912	0,9532130	0,5456754
520	0,0093205	0,8614194	0,8123665	0,9955434	0,9706637	0,0351457	0,4700987	0,9125335	0,6850417	0,5925882	0,9523362	1,0398217	1,0813178	0,9686043	0,0312117	0,9392801	0,6546822	1,0032542	0,9605922	0,6088384	0,7349426	0,8221572	0,6602452	0,9500687	0,4561251	0,6791520	0,9062277	0,5215642	0,5670450	0,7277949	0,8170245	0,4950932	0,8095655	0,6412311	0,0673005	0,5820938	0,9997615	1,0119289	0,9387674	0,8805754	0,8773736	0,5053093	0,1366322	0,2032374	0,9038811	0,9514682	0,7761468	1,0391389	0,9649187	0,2033627	0,3458621	0,9724526	0,0025335	0,1636345	0,8577783	0,7184487	0,4242491	0,9074275	1,0011387	0,5438663	0,5390095	0,8792300	0,9727931	0,5553769
540	0,0105608	0,8228459	0,9126874	0,9631943	0,9041635	0,0424992	0,4795267	0,9744217	0,7177680	0,6589045	0,9332513	1,0011977	1,0182742	0,9416322	0,0242846	0,9220910	0,6618675	0,9528370	0,9706082	0,6442729	0,6998595	0,8770158	0,6526148	0,9122673	0,5412371	0,6922681	0,9085720	0,5040903	0,6017228	0,6887466	0,7618450	0,4561641	0,7941949	0,6186589	0,0599652	0,4826155	0,9772518	1,0616024	1,0018119	0,9606976	0,8221129	0,5085767	0,1409557	0,2572780	0,9978729	0,9915047	0,7725170	1,0422454	0,9853286	0,2111833	0,4587806	0,9850516	0,0029691	0,1505805	0,8402347	0,7492894	0,3603756	0,8354261	0,9392077	0,5783033	0,6040685	0,8362807	0,9946386	0,5135083
560	0,0141672	0,8444166	0,8432684	0,9729251	0,9415558	0,0404231	0,5000971	0,8973926	0,7302875	0,7178156	0,9255493	1,0987218	1,0050732	0,9116290	0,0169189	0,9273716	0,6680652	0,9496183	0,9929118	0,6738264	0,7064458	0,8588365	0,6749107	0,9215833	0,5316840	0,6643211	0,8860601	0,5147403	0,5990671	0,6352260	0,7442560	0,4683213	0,8565952	0,6167956	0,0733347	0,4475595	0,9543643	1,0642838	0,9768720	0,8749400	0,8049634	0,5015857	0,1570374	0,2622968	0,8944112	0,9979039	0,8051977	1,0148923	0,9790411	0,2476715	0,4417226	0,8694089	0,0011323	0,1852262	0,8882596	0,7239874	0,3494106	0,8883501	0,9597042	0,6185009	0,6064323	0,9368158	1,0062875	0,5726326
