"Time"	glrR	glmY	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	rstA	rcsB	rcsA	fhlA	hyfR	gadE	ydeO	evgA	csgE	csgG	csgF	sra	yjbE	yjbF	yjbG	yjbH	tdcB	tdcC	mdtF	tdcF	tdcE	mdtE	tdcD	tdcG	ompF	osmB	wzb	rprA	wzc	wcaB	wza	wcaA	bdm	hyfA	sgbE	yiaO	yiaK	hyfI	hyfJ	ftsZ	focB	hyfG	yiaL	yiaN	hyfE	hyfB	sgbU	ftsA	hyfD	hyfC	lyxK	sgbH
380	0,5401508	0,1162181	0,4237785	0,2049816	0,0043279	0,7457079	0,4671899	0,6574712	0,3612179	0,2363622	0,3510253	0,5651887	0,3102307	0,4593929	0,3108664	0,7617966	0,6036827	0,6924421	0,5443990	0,6371180	0,5739522	0,4300348	0,5467363	0,0475590	0,5867706	0,6833445	0,7847294	0,6945410	0,6316048	0,4653032	0,7335832	0,8055828	0,4989442	0,6287939	0,7095398	0,3679447	0,3518097	0,0846932	0,3228723	0,6210096	0,4887769	0,4616803	0,3263553	0,0430426	0,8380802	0,6361327	0,6729767	0,3174671	0,2869700	0,7022719	0,5859201	0,4854134	0,5010762	0,7289754	0,1772735	0,5792396	0,5028797	0,6526510	0,2836374	0,6910145	0,3985522	0,6200829	0,3708896	0,5564174
400	0,4821656	0,0858082	0,4043783	0,3462920	0,0025782	0,7281180	0,3366045	0,6182014	0,4512654	0,2017375	0,3579925	0,5515861	0,3615972	0,4839656	0,2514410	0,7158243	0,5830734	0,7422182	0,5482343	0,6327719	0,4960713	0,4610900	0,5019555	0,0431286	0,4745309	0,6698770	0,6474325	0,7579621	0,5416198	0,4294955	0,6989854	0,7869711	0,5484723	0,5523951	0,5777619	0,3457890	0,2934822	0,0506720	0,2984243	0,7396309	0,3858549	0,4616357	0,3437161	0,0507560	0,8281803	0,6358551	0,5551964	0,3571483	0,3100046	0,6600089	0,4666878	0,5296980	0,4037510	0,7110536	0,1645719	0,5668356	0,7226943	0,6227060	0,3827285	0,8115681	0,3684914	0,7883203	0,5118864	0,6514638
420	0,5820700	0,1061555	0,4579110	0,2486260	0,0017987	0,6692912	0,3301981	0,6258411	0,4511113	0,1913161	0,4341419	0,6513679	0,2291634	0,6066455	0,2063657	0,6296400	0,5523330	0,6548366	0,4129611	0,8153585	0,5116020	0,3521904	0,4887422	0,0552662	0,5208196	0,6630428	0,8627520	0,7755982	0,6122200	0,4590744	0,7187652	0,7947048	0,5882690	0,5729516	0,6562846	0,4037342	0,4258003	0,0501270	0,3084285	0,6768407	0,4158567	0,4222873	0,4245450	0,0348207	0,5850821	0,7211105	0,7515922	0,3869250	0,3225008	0,7407749	0,6194489	0,4905503	0,4990242	0,7764870	0,2169613	0,4985250	0,6627271	0,6533763	0,2856006	0,7325466	0,4061503	0,6392143	0,3601864	0,7968433
440	0,5228486	0,1059817	0,4027356	0,3438532	0,0004512	0,7085826	0,3784765	0,6561955	0,5479835	0,2013380	0,3875295	0,6449814	0,2750827	0,4615560	0,3420369	0,6868441	0,5365599	0,7688905	0,4940026	0,6666016	0,4214475	0,3953524	0,4671771	0,1191998	0,5646188	0,6892565	0,6891173	0,7600758	0,4584449	0,4490569	0,6725814	0,7819148	0,4361366	0,6513940	0,6704122	0,4842865	0,2967585	0,0689938	0,2584926	0,6527326	0,5155260	0,5840038	0,3579436	0,0790692	0,6903457	0,6164579	0,6311499	0,2643658	0,2725379	0,6829894	0,6468925	0,5291103	0,4507968	0,6750627	0,1965502	0,5544750	0,6054976	0,5996317	0,2292654	0,8452612	0,5708858	0,6670092	0,4369241	0,5713674
460	0,5209118	0,0990235	0,4828705	0,3073338	0,0005848	0,7505716	0,3621732	0,7587964	0,5467053	0,1683070	0,5043063	0,5261499	0,2657259	0,5364092	0,2446024	0,7329735	0,7097556	0,6154751	0,5953630	0,6400593	0,4901090	0,3655078	0,4523214	0,0668980	0,4728729	0,7039652	0,6371250	0,7993643	0,5690412	0,3798095	0,8023558	0,7197436	0,4579714	0,4875950	0,5993451	0,4832419	0,3451262	0,0491145	0,2217756	0,6244780	0,5739487	0,4748643	0,2814088	0,0531358	0,6368474	0,6042997	0,6785001	0,2039590	0,2673533	0,8599975	0,6242573	0,3971596	0,3575697	0,6808168	0,2228969	0,6124239	0,7020534	0,6312793	0,2659899	0,5699525	0,4902748	0,8382342	0,3823285	0,6524532
480	0,5048010	0,1091980	0,3732550	0,3307793	0,0000159	0,6891078	0,2965336	0,7096431	0,5017317	0,1087140	0,4481242	0,5626781	0,2504600	0,5002292	0,2536798	0,6022967	0,5275144	0,6850318	0,5694586	0,8238400	0,5026555	0,4378837	0,4662217	0,0526333	0,4477997	0,7590072	0,6590982	0,8074438	0,5668933	0,4096701	0,8438709	0,6751726	0,4928569	0,5649976	0,6611061	0,3877282	0,4248383	0,0896956	0,1865550	0,6364283	0,3939517	0,5001609	0,3534373	0,0484153	0,6227425	0,6548503	0,6646115	0,2986803	0,3492416	0,7005803	0,5304919	0,5283435	0,2863060	0,6968780	0,1752329	0,5769525	0,7977066	0,6440544	0,2129516	0,6801728	0,3604770	0,6721749	0,4006164	0,5634583
500	0,3823054	0,1374266	0,4453600	0,3119458	0,0002336	0,8192945	0,3756777	0,6949814	0,3625052	0,1298086	0,4344065	0,5929821	0,2177489	0,4748402	0,3165398	0,7648858	0,5324937	0,6550333	0,5228746	0,7480894	0,4297025	0,3732994	0,4094536	0,1041223	0,5118590	0,6597256	0,6879520	0,7288404	0,6248844	0,4427560	0,7958614	0,7670856	0,5086911	0,6570329	0,6951852	0,3782128	0,2406539	0,0723292	0,1851132	0,7268613	0,3316709	0,5928309	0,3660406	0,0226717	0,6168429	0,7049151	0,5615716	0,3306732	0,2503342	0,6395371	0,5950495	0,6028176	0,4535874	0,9219406	0,2074263	0,5932153	0,6676199	0,8030668	0,1911873	0,6346457	0,4867289	0,6320132	0,2854796	0,6317983
520	0,4769230	0,1059332	0,3843489	0,3106306	0,0002286	0,7396334	0,3956575	0,7536288	0,4700942	0,1939368	0,4597019	0,5049561	0,2334451	0,4895613	0,2907030	0,6732883	0,6114400	0,7058905	0,5171165	0,8826629	0,4741142	0,4935892	0,4422574	0,0609240	0,5264984	0,6501201	0,7359951	0,6697274	0,6161206	0,5541434	0,7334297	0,6546641	0,6500302	0,4139047	0,5894812	0,5122434	0,3427907	0,0571837	0,2469588	0,7879447	0,4081968	0,4919090	0,3582046	0,0680623	0,6338857	0,8344226	0,5757648	0,2475441	0,2785347	0,6133852	0,5070032	0,4487556	0,5606498	0,7761073	0,2022255	0,5876581	0,6036761	0,7082816	0,2931863	0,5584528	0,5678257	0,8156543	0,4631533	0,6082011
540	0,4489114	0,0797548	0,2893531	0,3202833	0,0000791	0,8142470	0,3763829	0,7204610	0,4291645	0,1155162	0,4896147	0,6641214	0,2944720	0,4567303	0,3107237	0,6842180	0,6476101	0,6246987	0,5487729	0,7549806	0,5108305	0,4218126	0,3926474	0,0464441	0,7108004	0,8550019	0,7312556	0,6893920	0,6621028	0,5851051	0,8290604	0,6119130	0,5332026	0,5710038	0,6462885	0,4152893	0,3519112	0,0769776	0,2656763	0,7673877	0,4630269	0,4894958	0,3681596	0,0538475	0,6250501	0,8128552	0,6486168	0,3426844	0,3819118	0,6149124	0,5674280	0,5363246	0,4530654	0,7456918	0,1763756	0,6617313	0,6872247	0,6798791	0,1895290	0,6913394	0,4564203	0,6928062	0,3560482	0,6795477
560	0,4557649	0,1413512	0,3857888	0,2484966	0,0013484	0,7821429	0,4999095	0,7230542	0,4572971	0,1705712	0,3517105	0,6069765	0,3012876	0,5721331	0,3052369	0,6768715	0,7661572	0,7540390	0,5151954	0,7281178	0,4327260	0,3822082	0,3649289	0,0772827	0,5864248	0,7378876	0,7609360	0,6890470	0,6134045	0,4639248	0,8599578	0,7049138	0,4575683	0,4796088	0,6113696	0,3580066	0,2966815	0,0508931	0,2959506	0,7131512	0,3434429	0,5386927	0,4316693	0,0646045	0,7282950	0,6665272	0,5954561	0,3232173	0,3576226	0,7212348	0,5751105	0,5071843	0,4977442	0,6462864	0,1900257	0,5783456	0,7459944	0,6837335	0,1918717	0,6593983	0,4502263	0,6465659	0,3861025	0,5983038
