"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	yhiD	hdeB	hdeA	rutB	rutG	rutC	rutE	rutF	rutA	rutD	cadB	gadB	fadL	cadA	gadC	sra	rprA	nemA	wcaB	wza	lldP	osmB	betT	betB	wcaA	wzc	gadY	wzb	betA	lldD	bdm	treC	slp	hdeD	treB	dctR	rpoS	yjbF
380	0,3726259	0,6317391	0,3490639	0,0227081	0,7268335	0,2363012	0,2977760	0,5572839	0,5999237	0,5477443	0,6893878	0,0487878	0,6348637	0,4754242	0,6952350	0,6153440	0,6333326	0,1121613	0,3225764	0,6014207	0,6943207	0,2895782	0,1111422	0,6410743	0,0781963	0,3506645	0,7265759	0,7136822	0,5289404	0,6368263	0,0251412	0,5752116	0,5802636	0,1002718	0,5053570	0,4255193	0,7213241	0,5097193	0,1962180	0,6258175	0,1775090	0,1043885	0,7117946	0,3024601	0,6660662	0,6177418	0,5349974	0,7339605	0,0051175	0,5092457	0,5571196	0,5996884	0,3959081	0,6919095	0,2830687	0,2374310	0,6943315	0,5061415	0,8059708	0,5439903	0,4109445	0,4580685	0,3021509	0,8243176
400	0,3729472	0,6465402	0,3831907	0,0131025	0,7752419	0,3080547	0,2155443	0,4353158	0,6356539	0,6158862	0,5720870	0,0713250	0,7094631	0,4752689	0,7121174	0,6083477	0,6939393	0,1288054	0,3045669	0,6593443	0,7532049	0,3707013	0,0816340	0,6065795	0,0877926	0,3776156	0,7059514	0,6781636	0,3331175	0,5734061	0,0230837	0,5562279	0,6029125	0,0455321	0,4095291	0,5278501	0,7013115	0,4035148	0,2932627	0,4887753	0,2053060	0,0420934	0,7205410	0,2900493	0,6634888	0,6978370	0,5650231	0,7934150	0,0082799	0,5144295	0,6058681	0,5944505	0,5077781	0,5822487	0,2898326	0,1894825	0,8389276	0,5150488	0,7066081	0,5971798	0,4992520	0,4829011	0,3039186	0,7732859
420	0,4500768	0,5903913	0,3924995	0,0250071	0,8090879	0,2441248	0,2251285	0,5088759	0,6658842	0,7729244	0,6226818	0,0688939	0,6804313	0,4980903	0,6154279	0,5277707	0,8104060	0,0683468	0,3090102	0,6032933	0,5772083	0,4137316	0,0889403	0,6172804	0,0890035	0,3086465	0,6852315	0,5810993	0,4696457	0,7062113	0,0226526	0,6315346	0,5560349	0,0761171	0,4192061	0,5028938	0,6092460	0,5118400	0,2306024	0,5222957	0,1418094	0,0399316	0,8218510	0,2604785	0,7204524	0,7958554	0,5690565	0,8099141	0,0091386	0,4438867	0,6020625	0,5973287	0,3577289	0,5673735	0,4829894	0,1993209	0,7953842	0,3431575	0,8563359	0,6053971	0,4254092	0,4094139	0,2615204	0,8275184
440	0,4238133	0,6025581	0,3131886	0,0488684	0,7467980	0,2448220	0,1740156	0,4375131	0,6274352	0,5561090	0,5450471	0,0686815	0,5388172	0,4827096	0,8152463	0,6387736	0,8662660	0,1124411	0,3680312	0,5589811	0,6351630	0,3875237	0,0953102	0,6939389	0,0658838	0,2647586	0,6565923	0,7904866	0,3674424	0,6227218	0,0389106	0,6820108	0,4981304	0,0966619	0,5166435	0,4583765	0,5822864	0,6075006	0,2776897	0,4928865	0,1779367	0,0353488	0,7195132	0,2719057	0,7392191	0,9124541	0,5596525	0,7536240	0,0075371	0,4238897	0,5107747	0,5514550	0,4387947	0,5393684	0,3615786	0,2181108	0,6851683	0,4428059	0,6975122	0,6436418	0,3561973	0,4506425	0,3170219	0,7859280
460	0,4743994	0,6788061	0,3842701	0,0557379	0,7982648	0,2758648	0,2073726	0,4645984	0,7356152	0,4175399	0,6164991	0,0588721	0,6624865	0,4608599	0,7826193	0,6415147	0,6733595	0,0891347	0,2794981	0,5043873	0,6753170	0,3703468	0,0659009	0,7048528	0,0493158	0,3701394	0,6933129	0,6245182	0,3653136	0,6628974	0,0174838	0,6330636	0,5724294	0,0751204	0,4576210	0,5060943	0,6438942	0,5307737	0,2494044	0,4574908	0,1375534	0,0346009	0,5478705	0,3096183	0,5512718	0,7691098	0,4819338	0,8098497	0,0031426	0,3009033	0,6250665	0,5409863	0,3692467	0,7313192	0,3502759	0,1439710	0,6893702	0,4837759	0,8347276	0,6526806	0,5142959	0,4046877	0,3346612	0,7202284
480	0,3399125	0,5551424	0,3434667	0,0241639	0,7990897	0,2225462	0,2034867	0,5412415	0,6406287	0,6243192	0,6201881	0,0503891	0,6369548	0,3958514	0,7246088	0,5753776	0,6996690	0,1042662	0,3060990	0,6621091	0,6463891	0,3588146	0,1039809	0,6710963	0,0883426	0,3097427	0,8815786	0,7919704	0,3523302	0,6225173	0,0235035	0,6078146	0,6127799	0,0830002	0,4959737	0,5296649	0,5832139	0,4279925	0,2649722	0,5261825	0,1662160	0,0491657	0,5577885	0,2646441	0,5560193	0,7383756	0,5031413	0,7855067	0,0090178	0,3867187	0,5030611	0,5399524	0,3893232	0,8003725	0,2464477	0,1645079	0,7405772	0,5260680	0,6317072	0,6668917	0,4854667	0,4052503	0,2532667	0,8230628
500	0,4521890	0,7924443	0,2788883	0,0197839	0,6692941	0,2519922	0,2270084	0,4703643	0,5602627	0,6148035	0,6352051	0,0758222	0,6994169	0,3781012	0,7572443	0,6786277	0,8405537	0,0968494	0,3540522	0,6117195	0,7562672	0,3335067	0,0754113	0,7527371	0,1174347	0,4516168	0,6491530	0,7780399	0,3701012	0,6665432	0,0303052	0,5721059	0,6704740	0,1148033	0,5305689	0,5410269	0,7479113	0,4601580	0,1661076	0,4510139	0,2294987	0,0456640	0,7184309	0,3187540	0,5282516	0,7219197	0,6074994	0,7269455	0,0031923	0,4304960	0,5915723	0,4399237	0,3993921	0,6046017	0,2451367	0,1470940	0,7009669	0,5027275	0,5872389	0,7634583	0,5319059	0,3363711	0,3414813	0,7590702
520	0,3300308	0,7338404	0,3161070	0,0456443	0,7563896	0,3336615	0,2110347	0,5478417	0,5756523	0,5477043	0,5801425	0,0667544	0,6208379	0,3955303	0,8738789	0,5100945	0,6573693	0,0487112	0,2684050	0,6890078	0,6932344	0,3239937	0,1135198	0,6995586	0,0666963	0,3364227	0,7121571	0,5894187	0,3265592	0,6869472	0,0622789	0,5600375	0,6507668	0,0517432	0,4515907	0,5314768	0,5473771	0,5867393	0,2298955	0,4951094	0,1991259	0,0304310	0,7935402	0,2861660	0,6696504	0,7518813	0,4909161	0,7342219	0,0001485	0,3846781	0,5029622	0,5814540	0,4596688	0,7065926	0,1977494	0,1314963	0,7908508	0,4936611	0,8304813	0,6078515	0,4348847	0,4438143	0,3800686	0,6857172
540	0,3784455	0,7286154	0,3045442	0,0294564	0,6727516	0,3546255	0,2368519	0,4728594	0,5744243	0,6512915	0,4590085	0,0518955	0,6234490	0,3575389	0,7688168	0,4698248	0,6509853	0,0638426	0,2665584	0,5802326	0,7888698	0,3376914	0,0993541	0,7672620	0,0710867	0,2906566	0,6907656	0,7604249	0,4289561	0,7537199	0,0437274	0,5842556	0,5396375	0,0467612	0,4856965	0,5237006	0,6719440	0,6507208	0,2106833	0,4734076	0,1752595	0,0417218	0,6907989	0,2485442	0,6642139	0,6013842	0,5953964	0,5687226	0,0011381	0,4160377	0,5953366	0,6884626	0,4063670	0,6867098	0,2052782	0,1198376	0,6652529	0,3942820	0,7637390	0,5991492	0,4370888	0,3454686	0,2932761	0,7098149
560	0,3624597	0,6437015	0,2148429	0,0297236	0,6204401	0,3038176	0,1651338	0,4662254	0,5899208	0,5976455	0,4580304	0,0363182	0,7214158	0,3415184	0,6500430	0,6663853	0,6377692	0,0866583	0,3156050	0,6162914	0,6759286	0,2661939	0,0787917	0,5844666	0,0650254	0,3524649	0,8330553	0,5841896	0,4450018	0,7241681	0,0157193	0,6097815	0,5650496	0,0551294	0,4733193	0,4929223	0,7757942	0,6021847	0,1438184	0,5398270	0,1697110	0,0440266	0,7170182	0,2918174	0,5984082	0,8618094	0,6390081	0,6125556	0,0002765	0,4953340	0,5438307	0,6890634	0,3585044	0,6635934	0,2411427	0,1851635	0,6501725	0,5512306	0,7547155	0,7222747	0,4253789	0,4431217	0,3403532	0,6879021
