"Time"	betI	arcA	lldR	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	hdeA	yhiD	hdeB	rutF	rutE	rutA	rutG	rutD	rutB	rutC	gadC	cadA	gadB	fadL	cadB	sra	wza	wcaA	wzb	wzc	osmB	nemA	lldP	wcaB	betA	betB	lldD	rprA	bdm	betT	gadY	treB	hdeD	slp	treC	dctR	yjbE	yjbF
380	0,0001057	1,0000000	0,4430658	0,4452140	0,9977599	0,5721770	0,2776056	0,5970003	0,7013934	0,9385659	0,9699492	0,9949477	0,9999752	0,0384649	0,8389301	0,9997888	1,0000000	0,2548683	0,6871866	0,6011428	0,9931264	0,8475263	0,5019049	0,2891253	0,0286334	0,7060315	0,8171333	0,0406595	0,7969684	0,8133974	0,9493968	0,8539735	0,7733504	0,9628091	0,9146764	0,9847632	0,4010384	0,2356474	0,8952878	0,2233158	0,8299645	0,8318210	0,6272877	0,2922316	0,9857993	0,8219161	0,9999018	0,9936906	0,4630100	0,6163276	0,3992051	0,3802090	0,3124613	0,9981276	0,5888633	0,9884816	0,8945940	0,5797492	0,9174822	0,6393818	0,2165348	0,5012995	0,9984398	0,9074455
400	0,0000696	1,0000000	0,4430658	0,4452144	0,9977613	0,5721762	0,2776171	0,5969154	0,7014164	0,9386803	0,9699492	0,9949477	0,9999752	0,0384667	0,8389273	0,9997889	1,0000000	0,2548683	0,6871866	0,6011428	0,9931317	0,8475616	0,5019266	0,2891258	0,0286400	0,7062723	0,8173819	0,0406574	0,7972126	0,8133975	0,9494042	0,8539796	0,7733730	0,9628243	0,9146945	0,9847727	0,4010892	0,2357776	0,8951993	0,2233158	0,8299657	0,8317870	0,6271884	0,2921542	0,9857968	0,8219063	0,9999018	0,9936958	0,4630100	0,6163156	0,4814125	0,3802124	0,3124613	0,9981295	0,5887115	0,9921195	0,8946488	0,5797492	0,9177000	0,6396656	0,2165348	0,5013542	0,9984391	0,9074455
420	0,0000461	1,0000000	0,4430658	0,4452148	0,9977624	0,5721764	0,2776300	0,5968611	0,7014201	0,9387593	0,9699492	0,9949477	0,9999753	0,0384678	0,8389256	0,9997889	1,0000000	0,2548683	0,6871866	0,6011428	0,9931350	0,8475860	0,5019422	0,2891261	0,0286449	0,7064484	0,8175504	0,0406562	0,7973897	0,8133975	0,9494097	0,8539838	0,7733899	0,9628354	0,9147082	0,9847797	0,4011417	0,2358722	0,8951420	0,2233158	0,8299666	0,8317651	0,6271214	0,2921041	0,9857952	0,8218994	0,9999018	0,9936996	0,4630100	0,6163083	0,5742590	0,3802142	0,3124613	0,9981306	0,5886006	0,9946204	0,8946833	0,5797492	0,9178608	0,6398430	0,2165348	0,5013816	0,9984386	0,9074454
440	0,0000309	1,0000000	0,4430658	0,4452151	0,9977633	0,5721769	0,2776403	0,5968266	0,7014147	0,9388136	0,9699492	0,9949477	0,9999753	0,0384685	0,8389247	0,9997889	1,0000000	0,2548683	0,6871866	0,6011428	0,9931369	0,8476028	0,5019534	0,2891264	0,0286486	0,7065768	0,8176642	0,0406556	0,7975173	0,8133976	0,9494135	0,8539862	0,7734022	0,9628430	0,9147182	0,9847847	0,4011909	0,2359405	0,8951060	0,2233158	0,8299675	0,8317510	0,6270764	0,2920718	0,9857941	0,8218947	0,9999018	0,9937023	0,4630100	0,6163040	0,6684030	0,3802151	0,3124613	0,9981312	0,5885196	0,9963341	0,8947047	0,5797492	0,9179789	0,6399509	0,2165348	0,5013934	0,9984383	0,9074454
460	0,0000209	1,0000000	0,4430658	0,4452154	0,9977640	0,5721774	0,2776470	0,5968050	0,7014068	0,9388507	0,9699492	0,9949477	0,9999753	0,0384689	0,8389241	0,9997890	1,0000000	0,2548683	0,6871866	0,6011428	0,9931380	0,8476145	0,5019612	0,2891265	0,0286513	0,7066699	0,8177407	0,0406554	0,7976085	0,8133976	0,9494163	0,8539873	0,7734111	0,9628481	0,9147252	0,9847881	0,4012344	0,2359895	0,8950844	0,2233158	0,8299681	0,8317420	0,6270462	0,2920510	0,9857934	0,8218914	0,9999018	0,9937040	0,4630100	0,6163014	0,7542253	0,3802157	0,3124613	0,9981316	0,5884606	0,9975053	0,8947176	0,5797492	0,9180652	0,6400142	0,2165348	0,5013966	0,9984381	0,9074454
480	0,0000145	1,0000000	0,4430658	0,4452156	0,9977645	0,5721778	0,2776505	0,5967915	0,7013997	0,9388759	0,9699492	0,9949477	0,9999753	0,0384691	0,8389237	0,9997890	1,0000000	0,2548683	0,6871866	0,6011428	0,9931386	0,8476225	0,5019667	0,2891266	0,0286533	0,7067371	0,8177919	0,0406553	0,7976733	0,8133976	0,9494182	0,8539875	0,7734174	0,9628513	0,9147299	0,9847904	0,4012713	0,2360246	0,8950720	0,2233158	0,8299687	0,8317362	0,6270260	0,2920377	0,9857930	0,8218892	0,9999018	0,9937052	0,4630100	0,6162999	0,8253060	0,3802160	0,3124613	0,9981318	0,5884177	0,9983042	0,8947251	0,5797492	0,9181281	0,6400496	0,2165348	0,5013955	0,9984379	0,9074454
500	0,0000102	1,0000000	0,4430658	0,4452157	0,9977649	0,5721780	0,2776519	0,5967833	0,7013946	0,9388929	0,9699492	0,9949477	0,9999753	0,0384692	0,8389236	0,9997890	1,0000000	0,2548683	0,6871866	0,6011428	0,9931389	0,8476281	0,5019706	0,2891267	0,0286548	0,7067854	0,8178262	0,0406554	0,7977191	0,8133976	0,9494195	0,8539874	0,7734219	0,9628532	0,9147331	0,9847919	0,4013016	0,2360496	0,8950656	0,2233158	0,8299691	0,8317325	0,6270126	0,2920292	0,9857927	0,8218876	0,9999018	0,9937059	0,4630100	0,6162990	0,8796500	0,3802161	0,3124613	0,9981320	0,5883864	0,9988482	0,8947294	0,5797492	0,9181736	0,6400680	0,2165348	0,5013926	0,9984378	0,9074454
520	0,0000075	1,0000000	0,4430658	0,4452158	0,9977651	0,5721781	0,2776520	0,5967785	0,7013916	0,9389044	0,9699492	0,9949477	0,9999753	0,0384693	0,8389234	0,9997890	1,0000000	0,2548683	0,6871866	0,6011428	0,9931390	0,8476319	0,5019732	0,2891268	0,0286558	0,7068200	0,8178489	0,0406554	0,7977513	0,8133976	0,9494204	0,8539870	0,7734250	0,9628543	0,9147351	0,9847929	0,4013259	0,2360673	0,8950628	0,2233158	0,8299694	0,8317301	0,6270036	0,2920238	0,9857925	0,8218865	0,9999018	0,9937063	0,4630100	0,6162984	0,9186738	0,3802162	0,3124613	0,9981320	0,5883637	0,9992182	0,8947316	0,5797492	0,9182064	0,6400764	0,2165348	0,5013890	0,9984377	0,9074454
540	0,0000057	1,0000000	0,4430658	0,4452159	0,9977653	0,5721782	0,2776515	0,5967758	0,7013902	0,9389120	0,9699492	0,9949477	0,9999753	0,0384694	0,8389234	0,9997890	1,0000000	0,2548683	0,6871866	0,6011428	0,9931390	0,8476345	0,5019751	0,2891268	0,0286566	0,7068447	0,8178640	0,0406555	0,7977738	0,8133976	0,9494210	0,8539868	0,7734272	0,9628549	0,9147364	0,9847935	0,4013451	0,2360798	0,8950621	0,2233158	0,8299697	0,8317287	0,6269976	0,2920203	0,9857924	0,8218858	0,9999018	0,9937066	0,4630100	0,6162981	0,9454205	0,3802162	0,3124613	0,9981321	0,5883472	0,9994696	0,8947327	0,5797492	0,9182300	0,6400792	0,2165348	0,5013856	0,9984377	0,9074454
560	0,0000046	1,0000000	0,4430658	0,4452160	0,9977654	0,5721782	0,2776509	0,5967746	0,7013899	0,9389171	0,9699492	0,9949477	0,9999753	0,0384694	0,8389233	0,9997890	1,0000000	0,2548683	0,6871866	0,6011428	0,9931390	0,8476363	0,5019763	0,2891268	0,0286572	0,7068622	0,8178740	0,0406556	0,7977896	0,8133976	0,9494214	0,8539865	0,7734287	0,9628553	0,9147372	0,9847939	0,4013599	0,2360886	0,8950626	0,2233158	0,8299699	0,8317277	0,6269936	0,2920181	0,9857923	0,8218853	0,9999018	0,9937068	0,4630100	0,6162979	0,9631588	0,3802163	0,3124613	0,9981321	0,5883352	0,9996402	0,8947331	0,5797492	0,9182469	0,6400790	0,2165348	0,5013827	0,9984377	0,9074454
580	0,1297566	1,0000000	0,4430658	0,4452161	0,9977115	0,6555380	0,3648876	0,5434509	0,6947120	0,8827321	0,9699492	0,9949477	0,9999754	0,0382948	0,9052066	0,9993964	1,0000000	0,2548683	0,6871866	0,6011428	0,9886300	0,8152812	0,5019762	0,2891271	0,0286558	0,6347781	0,8167336	0,0406748	0,7979255	0,8133891	0,9493346	0,6677655	0,7731564	0,9518062	0,9140228	0,9845758	0,4013396	0,2356323	0,8951402	0,2233158	0,7162161	0,8325840	0,6283264	0,3123211	0,9858461	0,8219790	0,9989589	0,9935113	0,4630100	0,6183688	0,4727913	0,3801433	0,3374412	0,9456258	0,5890216	0,9750335	0,8032396	0,5797492	0,9178807	0,6392861	0,2165348	0,5006893	0,9984439	0,9074473
