"Time"	hns	cspA	bolA	bglJ	leuO	cadC	stpA	nhaR	gutM	srlR	appY	caiF	gadW	gadX	rutR	nemR	gadE	rcsA	ydeO	evgA	mdtF	mdtE	cadA	cadB	bglG	bglB	bglF	yhiD	hdeA	hdeB	gadA	hdeD	gutQ	srlD	srlB	srlE	srlA	gadB	osmC	gadC	nhaA	fliC	gadY	yjjQ	nemA	dctR	slp	yjjP	ampC	pgaC	gmr	yegR	proW	leuA	leuL	hchA	ybaS	leuC	cspD	mukE	evgS	yciE	gnd	proV
1020	0,2424630	0,8473049	0,0436451	0,4864273	0,0174694	0,0434847	0,4516002	0,1332092	0,0618079	0,3935800	0,2808738	0,7873818	0,4956098	0,0007688	0,5300273	0,1585352	0,1229745	0,7241140	0,0207546	0,0612954	0,6462418	0,1659226	0,6971104	0,0321022	0,3163332	0,0939046	0,1088119	0,4146805	0,4062577	0,5211551	0,1291510	0,2297463	0,5045705	0,0473594	0,1552838	0,3960129	0,0071552	0,0044353	0,6314518	0,0024518	0,5502991	0,0428585	0,3073497	0,6662790	0,1180096	0,1419284	0,4869921	0,6229806	0,7354519	0,3735351	0,3587260	0,6588440	0,6146735	0,0008420	0,0117512	0,2123645	0,1039175	0,0273131	0,1423695	0,2425358	0,0821176	0,3182384	0,0170024	0,5373750
1040	0,1997088	0,6200367	0,0531334	0,4671941	0,0188595	0,0581808	0,5296273	0,1752473	0,0384234	0,3971229	0,3896079	0,7041806	0,6574011	0,0000000	0,3964448	0,2084658	0,1317561	0,7086495	0,0111470	0,1009644	0,5814741	0,1140811	0,8607090	0,0122254	0,3048594	0,1641709	0,1327554	0,4353215	0,4679608	0,4267548	0,1753936	0,2164622	0,6304359	0,0682579	0,1667408	0,4869964	0,0101514	0,0133066	0,5949636	0,0072574	0,6714382	0,0218117	0,3719647	0,5819326	0,1331976	0,2278931	0,4804713	0,5081157	0,8182938	0,2648950	0,4135395	0,5299989	0,6673969	0,0011000	0,0240890	0,2177060	0,0973367	0,0403009	0,1450661	0,2987328	0,0862318	0,3220054	0,0324009	0,6676697
1060	0,1889054	0,7581154	0,0503591	0,4960709	0,0028980	0,0680938	0,5523461	0,1867323	0,0453559	0,4799940	0,4423340	0,7654886	0,6939704	0,0088297	0,4731464	0,1906289	0,0946106	0,6994072	0,0266183	0,0964345	0,4755366	0,1149739	0,6640026	0,0093187	0,3758312	0,1178496	0,1741940	0,4380268	0,4041458	0,3812762	0,1292983	0,2953537	0,5387917	0,0877026	0,0918530	0,4506333	0,0069351	0,0070218	0,5225316	0,0148835	0,6285178	0,0065953	0,3378135	0,5869910	0,1379845	0,1286997	0,7329837	0,5689697	0,6996149	0,2847736	0,3436603	0,5145784	0,6246345	0,0011031	0,0085172	0,2004280	0,1189118	0,0634125	0,1141082	0,2096078	0,0432356	0,3534647	0,0198004	0,5014196
1080	0,2297056	0,7234831	0,0584858	0,5342311	0,0191529	0,0616681	0,5034045	0,1916802	0,0417878	0,4012546	0,3688132	0,9712249	0,5095861	0,0003815	0,4746340	0,1791308	0,0884587	0,6374005	0,0191562	0,0604159	0,4835752	0,2003990	0,5921773	0,0070239	0,3367664	0,1413643	0,1828286	0,4855995	0,3732668	0,5133336	0,0946159	0,2626614	0,5688239	0,1845448	0,1155989	0,4715076	0,0156162	0,0105274	0,4938262	0,0026061	0,5870015	0,0275490	0,3189139	0,6712667	0,0994148	0,1507815	0,5317463	0,5375165	0,7000029	0,3582970	0,3801548	0,5074164	0,6128077	0,0016280	0,0078093	0,2268598	0,1584777	0,0349995	0,1119815	0,2028347	0,0679675	0,3078419	0,0350966	0,5024279
1100	0,2281337	0,7005068	0,0549996	0,5457327	0,0214321	0,0561807	0,4783994	0,2022561	0,0470424	0,4741223	0,2571917	0,7270896	0,5671435	0,0006666	0,5187313	0,2355632	0,0658350	0,6580417	0,0146660	0,0620727	0,4345147	0,2053167	0,5788321	0,0084248	0,2898053	0,1068923	0,2177062	0,5048002	0,3603294	0,4886215	0,1332712	0,2509879	0,5126978	0,1055283	0,1625263	0,5145643	0,0034240	0,0041236	0,5186255	0,0040254	0,7060869	0,0639921	0,3727985	0,6164594	0,1159789	0,1526074	0,4883085	0,5751736	0,7568646	0,3010540	0,3565855	0,5731402	0,6553692	0,0037547	0,0103479	0,2988104	0,1480328	0,0630369	0,0941883	0,2462585	0,0841201	0,2497103	0,0319398	0,4913963

0	0,3258725	0,7192168	0,0797405	0,6557848	0,0191043	0,0785310	0,4223119	0,1746308	0,0245975	0,4704760	0,4464177	0,5399011	0,3654885	0,0009784	0,5865460	0,2260220	0,0705355	0,6331147	0,0118933	0,1051339	0,6323538	0,2638798	0,6135586	0,0219755	0,3703582	0,1479346	0,1205226	0,3412945	0,4488239	0,5541620	0,0935159	0,1995793	0,4859115	0,0829770	0,1531574	0,4641911	0,0049528	0,0038309	0,5209694	0,0013325	0,8547095	0,0100601	0,4088260	0,7355063	0,1233962	0,2572815	0,6063624	0,6828129	0,6036554	0,4115747	0,3293163	0,5492861	0,6566030	0,0021094	0,0105190	0,2145729	0,1136197	0,0425262	0,1404666	0,1833136	0,0704399	0,4499165	0,0375718	0,6095827
20	0,3331377	0,4223219	0,0385427	0,4488988	0,0079384	0,0475750	0,4612514	0,2201195	0,1202079	0,4377212	0,2842172	0,6172829	0,4200895	0,0001989	0,3535823	0,0853003	0,0745161	0,6259850	0,0257731	0,0799992	0,6011625	0,1044800	0,4149469	0,0819776	0,3730971	0,2052282	0,0942948	0,4386104	0,3241981	0,4568078	0,0653779	0,2588155	0,5689316	0,0441642	0,1069063	0,4811603	0,0036608	0,0079596	0,5736065	0,0008037	0,7565729	0,0135429	0,2840393	0,6256306	0,1021734	0,2059362	0,5086943	0,2157554	0,6526594	0,1778726	0,3740888	0,6289172	0,5887557	0,0030201	0,0201677	0,1665595	0,1744301	0,0793378	0,1262790	0,3086139	0,0980921	0,3436084	0,0609841	0,5653592
40	0,2230803	0,1980369	0,0963626	0,3862831	0,0123003	0,0648861	0,4472094	0,1724296	0,2783076	0,3633868	0,4040029	0,5714444	0,4637066	0,0002115	0,4772660	0,0594445	0,1058902	0,6030031	0,0161931	0,1482502	0,5599627	0,1471872	0,3367873	0,1807319	0,3156557	0,2952332	0,1303042	0,4176190	0,3103629	0,4697968	0,0481979	0,2528498	0,5401706	0,0639441	0,1157557	0,3105178	0,0041706	0,0188630	0,4713429	0,0105511	0,8963400	0,0417882	0,3540109	0,5463158	0,1046613	0,1316951	0,5867977	0,1899620	0,7400699	0,1567631	0,2603331	0,6299922	0,7047904	0,0083652	0,0167722	0,2029909	0,0954891	0,0838941	0,1478241	0,3680706	0,1109052	0,3039471	0,0198529	0,4818364
60	0,3454871	0,1383787	0,0566789	0,3672126	0,0135999	0,0537701	0,5257410	0,2088281	0,2678749	0,4721368	0,2828032	0,4987516	0,4905097	0,0003810	0,3824684	0,0322290	0,0719864	0,4045417	0,0154733	0,1963571	0,5145066	0,1612649	0,3260005	0,1266230	0,2338328	0,3085927	0,0822797	0,4334205	0,2445272	0,5071262	0,0867345	0,3093299	0,5404190	0,0533803	0,1217861	0,4987141	0,0032783	0,0025040	0,6345489	0,0065549	0,8255220	0,0526847	0,3459319	0,5525245	0,0959605	0,1494833	0,5608996	0,1192934	0,6056797	0,2122296	0,3624319	0,6994454	0,5092216	0,0137284	0,0163638	0,1674051	0,0680779	0,0713612	0,2086585	0,2852135	0,1016019	0,3558554	0,0270425	0,4945072
