"Time"	rhaR	rhaS	crp	feaR	melR	zraR	malI	mtlR	prpR	ascG	rbsR	marR	fucR	chbR	nagC	srlR	gutM	idnR	xylR	uxuR	chbB	chbF	chbG	chbA	chbC	gutQ	srlE	srlD	srlA	srlB	zraS	rhaB	prpE	prpD	rbsC	rbsA	melB	nagE	fucO	rhaD	ascF	prpB	rbsB	fucU	rhaA	fucA	prpC	fucI	nagD	ascB	rbsK	fucP	malX	rbsD	gntP	melA	malY	nagB	fucK	xylF	uxuA	uxuB	rhaT	xylH
380	0,0044790	0,9445044	0,8446902	0,9753174	0,9994816	0,0268675	0,4197126	0,9622970	0,6696275	0,6513928	0,9956791	0,9735895	0,9990886	0,9172036	0,0447060	0,8844509	0,6137966	0,9692419	0,9844418	0,5927064	0,7072195	0,8587477	0,6247829	0,9985001	0,4147719	0,6626511	0,8361416	0,5527055	0,5298910	0,7246968	0,6958122	0,5032652	0,7696032	0,6724980	0,0546863	0,5292542	0,9198270	0,9997686	0,9734781	0,8255861	0,8813613	0,4504596	0,1593805	0,1792518	0,9492296	0,9993293	0,7172171	0,9981482	0,9815437	0,1448847	0,3886302	0,9321121	0,0062859	0,1480409	0,8603343	0,6773687	0,4407643	0,9176668	0,9961296	0,4919702	0,5200535	0,8349862	0,9984797	0,4998780
400	0,0045268	0,9451212	0,8476449	0,9778427	0,9996573	0,0273440	0,4231088	0,9623860	0,6706247	0,6513928	0,9965904	0,9761092	0,9992322	0,9202450	0,0438113	0,8873622	0,6146341	0,9716005	0,9855372	0,5941562	0,7076313	0,8613763	0,6407062	0,9986195	0,4359298	0,6631208	0,8377683	0,5538268	0,5311845	0,7258989	0,6971278	0,5069600	0,7811360	0,6738680	0,0548001	0,5309274	0,9211655	0,9998254	0,9740946	0,8340216	0,8817274	0,4541966	0,1596036	0,1853227	0,9508797	0,9995271	0,7312120	0,9981810	0,9829164	0,1481243	0,3888917	0,9334556	0,0049540	0,1489231	0,8659478	0,6815087	0,4344125	0,9236160	0,9969376	0,5037730	0,5307686	0,8373979	0,9989438	0,5112473
420	0,0045680	0,9455892	0,8499600	0,9797254	0,9997660	0,0278030	0,4258423	0,9624473	0,6714006	0,6513928	0,9972292	0,9780161	0,9993275	0,9225999	0,0431363	0,8895560	0,6152033	0,9732859	0,9863229	0,5953038	0,7078944	0,8632704	0,6528418	0,9986968	0,4526374	0,6634532	0,8391410	0,5546262	0,5321309	0,7267621	0,6982701	0,5098309	0,7901290	0,6749306	0,0549764	0,5321098	0,9220948	0,9998685	0,9745506	0,8402909	0,8819744	0,4570821	0,1598030	0,1902929	0,9520804	0,9996484	0,7424852	0,9982011	0,9839631	0,1507299	0,3891601	0,9344931	0,0040212	0,1497686	0,8702607	0,6847104	0,4292167	0,9281413	0,9975365	0,5134232	0,5389384	0,8392150	0,9992578	0,5205722
440	0,0046034	0,9459465	0,8517730	0,9811280	0,9998331	0,0282431	0,4280303	0,9624905	0,6720050	0,6513928	0,9976768	0,9794572	0,9993909	0,9244195	0,0426244	0,8912111	0,6155898	0,9744915	0,9868899	0,5962098	0,7080594	0,8646293	0,6620064	0,9987478	0,4656475	0,6636953	0,8402889	0,5552091	0,5328236	0,7273807	0,6992812	0,5120625	0,7971332	0,6757559	0,0551751	0,5329519	0,9227375	0,9999011	0,9748896	0,8449652	0,8821413	0,4593103	0,1599814	0,1943314	0,9529572	0,9997228	0,7515240	0,9982135	0,9847573	0,1528142	0,3894215	0,9352954	0,0033664	0,1505381	0,8735702	0,6871897	0,4249936	0,9315742	0,9979805	0,5212724	0,5451585	0,8405849	0,9994702	0,5281770
460	0,0046337	0,9462205	0,8531921	0,9821724	0,9998745	0,0286637	0,4297739	0,9625216	0,6724761	0,6513928	0,9979903	0,9805454	0,9994331	0,9258235	0,0422343	0,8924616	0,6158526	0,9753553	0,9873019	0,5969236	0,7081601	0,8656010	0,6688843	0,9987820	0,4756878	0,6638771	0,8412411	0,5556435	0,5333310	0,7278232	0,7001899	0,5137982	0,8025843	0,6763978	0,0553727	0,5335570	0,9231804	0,9999257	0,9751429	0,8484644	0,8822546	0,4610319	0,1601399	0,1975924	0,9535998	0,9997685	0,7587428	0,9982212	0,9853584	0,1544741	0,3896671	0,9359166	0,0029055	0,1512151	0,8761087	0,6891120	0,4215805	0,9341746	0,9983097	0,5276279	0,5498944	0,8416187	0,9996139	0,5343488
480	0,0046595	0,9464315	0,8543027	0,9829500	0,9999001	0,0290646	0,4311582	0,9625444	0,6728435	0,6513928	0,9982099	0,9813668	0,9994613	0,9269059	0,0419357	0,8934082	0,6160322	0,9759757	0,9876033	0,5974851	0,7082195	0,8662943	0,6740261	0,9988053	0,4833949	0,6640174	0,8420255	0,5559739	0,5337032	0,7281391	0,7010164	0,5151489	0,8068250	0,6768976	0,0555565	0,5339958	0,9234846	0,9999441	0,9753332	0,8510952	0,8823316	0,4623629	0,1602794	0,2002119	0,9540729	0,9997967	0,7644890	0,9982260	0,9858127	0,1557912	0,3898914	0,9363981	0,0025798	0,1517967	0,8780561	0,6906042	0,4188359	0,9361437	0,9985538	0,5327540	0,5535039	0,8423996	0,9997112	0,5393363
500	0,0046814	0,9465944	0,8551716	0,9835290	0,9999159	0,0294457	0,4322541	0,9625612	0,6731303	0,6513928	0,9983637	0,9819869	0,9994802	0,9277400	0,0417063	0,8941262	0,6161558	0,9764227	0,9878254	0,5979260	0,7082525	0,8667884	0,6778625	0,9988216	0,4892954	0,6641282	0,8426677	0,5562294	0,5339767	0,7283641	0,7017749	0,5162008	0,8101233	0,6772871	0,0557204	0,5343172	0,9236930	0,9999580	0,9754769	0,8530822	0,8823842	0,4633929	0,1604010	0,2023070	0,9544225	0,9998141	0,7690501	0,9982290	0,9861562	0,1568332	0,3900922	0,9367716	0,0023487	0,1522876	0,8795507	0,6917637	0,4166385	0,9376352	0,9987348	0,5368748	0,5562598	0,8429903	0,9997770	0,5433518
520	0,0047000	0,9467205	0,8558512	0,9839603	0,9999256	0,0298076	0,4331196	0,9625739	0,6733541	0,6513928	0,9984716	0,9824553	0,9994929	0,9283830	0,0415296	0,8946721	0,6162417	0,9767459	0,9879900	0,5982721	0,7082692	0,8671405	0,6807237	0,9988332	0,4938089	0,6642173	0,8431907	0,5564298	0,5341781	0,7285240	0,7024756	0,5170203	0,8126886	0,6775908	0,0558625	0,5345547	0,9238353	0,9999683	0,9755857	0,8545894	0,8824202	0,4641907	0,1605058	0,2039767	0,9546822	0,9998249	0,7726619	0,9982310	0,9864163	0,1576555	0,3902687	0,9370616	0,0021839	0,1526965	0,8806989	0,6926657	0,4148860	0,9387663	0,9988690	0,5401777	0,5583683	0,8434377	0,9998216	0,5465743
540	0,0047157	0,9468184	0,8563827	0,9842819	0,9999316	0,0301507	0,4338016	0,9625835	0,6735289	0,6513928	0,9985474	0,9828092	0,9995016	0,9288789	0,0413931	0,8950881	0,6163023	0,9769804	0,9881130	0,5985434	0,7082760	0,8673915	0,6828594	0,9988415	0,4972632	0,6642899	0,8436147	0,5565884	0,5343269	0,7286373	0,7031263	0,5176591	0,8146839	0,6778277	0,0559832	0,5347317	0,9239323	0,9999760	0,9756685	0,8557375	0,8824451	0,4648091	0,1605953	0,2053034	0,9548759	0,9998317	0,7755163	0,9982322	0,9866134	0,1583031	0,3904217	0,9372869	0,0020657	0,1530335	0,8815817	0,6933678	0,4134928	0,9396253	0,9989686	0,5428182	0,5599852	0,8437771	0,9998517	0,5491531
560	0,0047289	0,9468944	0,8567983	0,9845217	0,9999353	0,0304757	0,4343384	0,9625908	0,6736654	0,6513928	0,9986006	0,9830769	0,9995075	0,9292617	0,0412874	0,8954058	0,6163457	0,9771514	0,9882053	0,5987559	0,7082771	0,8675708	0,6844563	0,9988476	0,4999100	0,6643494	0,8439571	0,5567148	0,5344371	0,7287175	0,7037327	0,5181573	0,8162363	0,6780127	0,0560842	0,5348648	0,9239982	0,9999818	0,9757318	0,8566155	0,8824624	0,4652891	0,1606711	0,2063547	0,9550211	0,9998359	0,7777680	0,9982330	0,9867632	0,1588123	0,3905528	0,9374620	0,0019804	0,1533090	0,8822614	0,6939148	0,4123883	0,9402790	0,9990425	0,5449246	0,5612281	0,8440349	0,9998722	0,5512114
