"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	yhiD	hdeB	hdeA	rutB	rutG	rutC	rutE	rutF	rutA	rutD	cadB	gadB	fadL	cadA	gadC	sra	rprA	nemA	wcaB	wza	lldP	osmB	betT	betB	wcaA	wzc	gadY	wzb	betA	lldD	bdm	treC	slp	hdeD	treB	dctR	rpoS	yjbF
400	0,5866598	1,0000000	0,4068060	0,0409783	0,9815521	0,3838386	0,3201301	0,7133188	0,8437616	0,8079279	0,7962851	0,0885822	0,8614103	0,5634247	1,0000000	0,8632559	1,0000000	0,1416421	0,4372011	0,8413720	0,9065355	0,5750458	0,1605643	0,9247095	0,0920099	0,4441604	0,9813111	0,9824686	0,4956248	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7204011	0,7132877	0,9281322	0,7526192	0,2866508	0,6903849	0,2322414	0,0537349	0,9909654	0,3923729	0,9031879	0,9797885	0,7698732	0,9998753	0,0015012	0,5922660	0,8430663	0,8203071	0,6087245	0,9777421	0,3565083	0,2028408	0,9936003	0,6605895	0,9999375	0,8280803	0,7196231	0,6137381	0,4657301	0,9999993
420	0,5863389	1,0000000	0,4068060	0,0409783	0,9815840	0,3838338	0,3201301	0,7133158	0,8437616	0,8094533	0,7962997	0,0885822	0,8624275	0,5634144	1,0000000	0,8632564	1,0000000	0,1416421	0,4372011	0,8413720	0,9065664	0,5752428	0,1594916	0,9247027	0,0919306	0,4451881	0,9813704	0,9827314	0,4955129	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7204094	0,7132877	0,9283738	0,7540240	0,2866508	0,6918686	0,2327603	0,0537349	0,9912102	0,3923729	0,9041621	0,9799422	0,7705478	0,9998783	0,0014804	0,5922660	0,8431308	0,8212727	0,6089352	0,9777512	0,3565067	0,2042692	0,9937258	0,6606016	0,9999376	0,8282588	0,7196231	0,6137119	0,4657958	0,9999994
440	0,5860889	1,0000000	0,4068060	0,0409783	0,9816083	0,3838310	0,3201301	0,7133136	0,8437616	0,8106753	0,7963088	0,0885822	0,8632397	0,5634080	1,0000000	0,8632567	1,0000000	0,1416421	0,4372011	0,8413720	0,9065870	0,5753852	0,1586377	0,9246984	0,0918725	0,4460101	0,9814176	0,9829454	0,4954334	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7204150	0,7132877	0,9285667	0,7551191	0,2866508	0,6930132	0,2331704	0,0537350	0,9913954	0,3923729	0,9049265	0,9800663	0,7710792	0,9998806	0,0014665	0,5922660	0,8431772	0,8220478	0,6090873	0,9777578	0,3565057	0,2053794	0,9938220	0,6606097	0,9999376	0,8283871	0,7196231	0,6136935	0,4658440	0,9999994
460	0,5858942	1,0000000	0,4068060	0,0409783	0,9816269	0,3838296	0,3201301	0,7133120	0,8437616	0,8116541	0,7963145	0,0885822	0,8638887	0,5634040	1,0000000	0,8632568	1,0000000	0,1416421	0,4372011	0,8413720	0,9066007	0,5754884	0,1579572	0,9246956	0,0918294	0,4466673	0,9814552	0,9831192	0,4953769	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7204186	0,7132877	0,9287208	0,7559769	0,2866508	0,6938987	0,2334951	0,0537350	0,9915368	0,3923729	0,9055287	0,9801662	0,7714969	0,9998822	0,0014572	0,5922660	0,8432108	0,8226698	0,6091974	0,9777626	0,3565050	0,2062423	0,9938963	0,6606152	0,9999376	0,8284795	0,7196231	0,6136806	0,4658795	0,9999994
480	0,5857425	1,0000000	0,4068060	0,0409783	0,9816412	0,3838290	0,3201301	0,7133108	0,8437616	0,8124383	0,7963181	0,0885822	0,8644075	0,5634016	1,0000000	0,8632569	1,0000000	0,1416421	0,4372011	0,8413720	0,9066098	0,5755632	0,1574143	0,9246939	0,0917970	0,4471929	0,9814852	0,9832598	0,4953367	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7204210	0,7132877	0,9288440	0,7566517	0,2866508	0,6945860	0,2337528	0,0537350	0,9916457	0,3923729	0,9060048	0,9802467	0,7718250	0,9998834	0,0014509	0,5922660	0,8432355	0,8231688	0,6092773	0,9777661	0,3565045	0,2069132	0,9939540	0,6606189	0,9999377	0,8285462	0,7196231	0,6136716	0,4659055	0,9999994
500	0,5856244	1,0000000	0,4068060	0,0409783	0,9816523	0,3838288	0,3201301	0,7133099	0,8437616	0,8130665	0,7963204	0,0885822	0,8648225	0,5634001	1,0000000	0,8632570	1,0000000	0,1416421	0,4372011	0,8413720	0,9066159	0,5756177	0,1569808	0,9246927	0,0917724	0,4476133	0,9815091	0,9833734	0,4953081	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7204226	0,7132877	0,9289426	0,7571843	0,2866508	0,6951209	0,2339575	0,0537350	0,9917303	0,3923729	0,9063822	0,9803114	0,7720823	0,9998843	0,0014468	0,5922660	0,8432537	0,8235692	0,6093354	0,9777687	0,3565042	0,2074348	0,9939991	0,6606213	0,9999377	0,8285945	0,7196231	0,6136653	0,4659247	0,9999994
520	0,5855324	1,0000000	0,4068060	0,0409783	0,9816610	0,3838288	0,3201301	0,7133093	0,8437616	0,8135697	0,7963218	0,0885822	0,8651545	0,5633991	1,0000000	0,8632570	1,0000000	0,1416421	0,4372011	0,8413720	0,9066199	0,5756576	0,1566344	0,9246920	0,0917535	0,4479495	0,9815283	0,9834650	0,4952878	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7204237	0,7132877	0,9290214	0,7576059	0,2866508	0,6955386	0,2341204	0,0537350	0,9917963	0,3923729	0,9066820	0,9803634	0,7722840	0,9998851	0,0014440	0,5922660	0,8432673	0,8238903	0,6093778	0,9777706	0,3565040	0,2078406	0,9940345	0,6606230	0,9999377	0,8286296	0,7196231	0,6136609	0,4659388	0,9999994
540	0,5854607	1,0000000	0,4068060	0,0409783	0,9816679	0,3838289	0,3201301	0,7133088	0,8437616	0,8139728	0,7963226	0,0885822	0,8654202	0,5633986	1,0000000	0,8632571	1,0000000	0,1416421	0,4372011	0,8413720	0,9066225	0,5756868	0,1563575	0,9246915	0,0917389	0,4482185	0,9815436	0,9835389	0,4952735	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7204244	0,7132877	0,9290846	0,7579404	0,2866508	0,6958656	0,2342503	0,0537350	0,9918481	0,3923729	0,9069206	0,9804051	0,7724419	0,9998856	0,0014421	0,5922660	0,8432774	0,8241478	0,6094089	0,9777720	0,3565038	0,2081562	0,9940624	0,6606241	0,9999377	0,8286552	0,7196231	0,6136578	0,4659493	0,9999994
560	0,5854049	1,0000000	0,4068060	0,0409783	0,9816732	0,3838290	0,3201301	0,7133084	0,8437616	0,8142957	0,7963232	0,0885822	0,8656329	0,5633982	1,0000000	0,8632571	1,0000000	0,1416421	0,4372011	0,8413720	0,9066242	0,5757083	0,1561360	0,9246911	0,0917276	0,4484337	0,9815558	0,9835983	0,4952635	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7204249	0,7132877	0,9291351	0,7582064	0,2866508	0,6961223	0,2343538	0,0537350	0,9918889	0,3923729	0,9071109	0,9804387	0,7725654	0,9998861	0,0014409	0,5922660	0,8432851	0,8243543	0,6094318	0,9777730	0,3565037	0,2084018	0,9940844	0,6606248	0,9999377	0,8286741	0,7196231	0,6136555	0,4659570	0,9999994
580	0,7098327	1,0000000	0,4068060	0,0409783	0,9194970	0,4650655	0,3201301	0,7133779	0,8437616	0,6599402	0,6291741	0,0885822	0,7615370	0,7318516	1,0000000	0,8466341	1,0000000	0,1416421	0,4372011	0,8413720	0,9062839	0,5744910	0,1567033	0,8277555	0,1108097	0,4471484	0,8439962	0,9833789	0,4989506	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,6894092	0,7132877	0,8413024	0,8388726	0,2866508	0,7907779	0,2340272	0,0537350	0,9918452	0,3923729	0,9067377	0,7721108	0,7717136	0,9601684	0,0671567	0,5922660	0,8432835	0,8237293	0,6080953	0,9731560	0,3611585	0,3271649	0,9940649	0,6255949	0,9993170	0,8275207	0,7196231	0,5368921	0,5087455	0,9999912
