"Time"	rhaR	rhaS	crp	feaR	melR	zraR	malI	mtlR	prpR	ascG	rbsR	marR	fucR	chbR	nagC	srlR	gutM	idnR	xylR	uxuR	chbB	chbF	chbG	chbA	chbC	gutQ	srlE	srlD	srlA	srlB	zraS	rhaB	prpE	prpD	rbsC	rbsA	melB	nagE	fucO	rhaD	ascF	prpB	rbsB	fucU	rhaA	fucA	prpC	fucI	nagD	ascB	rbsK	fucP	malX	rbsD	gntP	melA	malY	nagB	fucK	xylF	uxuA	uxuB	rhaT	xylH
380	0,0031093	0,9356980	0,8342668	0,9786284	0,9252231	0,0281853	0,3930100	0,9685407	0,6152831	0,6991209	1,0449516	1,0041751	1,0502276	0,9929850	0,0507955	0,8955126	0,6011036	0,9899142	0,9696892	0,5219995	0,6000716	0,8111290	0,5373067	1,0508643	0,4035677	0,6438944	0,7439545	0,5458094	0,5299170	0,5939734	0,6357035	0,4808526	0,7253811	0,6178523	0,0931503	0,6002903	0,8187691	1,0970427	1,0232586	0,8219439	0,9981396	0,4218199	0,2046398	0,1649738	0,9532027	0,8774728	0,5645633	0,9844389	0,9661296	0,1304190	0,3904467	0,9501042	0,0018676	0,1216308	0,7094232	0,6753353	0,4726415	0,9805836	0,9331538	0,4494263	0,4686683	0,9024394	1,0222840	0,4668659
400	0,0023201	0,9614890	0,7984608	1,0017818	0,9402876	0,0266156	0,4121715	0,9811579	0,6211569	0,6380115	1,0406981	0,9430514	0,9936897	0,8347591	0,0498552	0,9081800	0,6066922	0,9437993	1,0512478	0,6228149	0,5935703	0,7912188	0,6056439	1,0406076	0,4191731	0,6082894	0,8056075	0,5182293	0,5127287	0,6229714	0,6655538	0,5251847	0,6151107	0,6726450	0,0871816	0,5313023	0,8701997	1,0668671	1,0283215	0,8037628	0,9819650	0,4675938	0,1827426	0,2019769	0,9621727	0,8291196	0,6391634	0,9961314	1,0314980	0,1330066	0,3987204	0,9397715	0,0016437	0,1227629	0,7370086	0,7119417	0,4360675	0,9400082	0,9572237	0,4877880	0,4567318	0,9120249	0,9998330	0,4573489
420	0,0016192	0,9673083	0,8138733	0,9124336	0,9798929	0,0320748	0,3649484	1,0834615	0,6975652	0,6620409	1,0004573	0,8984171	1,0196434	0,8988140	0,0482095	0,9126740	0,6249088	1,0070916	1,0719529	0,5930518	0,5956977	0,8837515	0,6337674	0,9759422	0,4215147	0,6059780	0,8401722	0,4488091	0,5001610	0,6124422	0,6861261	0,5369362	0,7065321	0,7082513	0,0643685	0,5100322	0,9040176	1,0570556	0,9931678	0,8895637	0,9666998	0,4553446	0,1786596	0,2270342	1,0092872	0,9016805	0,6418698	0,9735658	1,0138482	0,1221226	0,3956563	0,9460798	0,0016191	0,1342932	0,7637626	0,7639424	0,4587364	0,9705747	1,0102891	0,4787295	0,4989974	0,8707709	1,0554281	0,4790959
440	0,0020474	0,9077280	0,8485731	0,9660996	0,9528262	0,0347373	0,4277427	1,0267022	0,6869992	0,6868034	0,9859757	0,9427224	1,0822136	0,8119604	0,0422473	0,9180110	0,6579320	1,0202631	1,0606176	0,5794083	0,6861970	0,8689905	0,6178113	1,0663191	0,4609711	0,6380576	0,8462975	0,5105754	0,4737541	0,6187925	0,6881378	0,5226025	0,7945001	0,6911904	0,0564521	0,5453053	0,9537432	1,0777927	0,9477616	0,9005460	0,9482315	0,4743428	0,1609172	0,2037417	1,0290847	0,9619210	0,6564589	1,0108029	0,9647310	0,1371100	0,4148741	0,9463039	0,0032271	0,1249745	0,7509781	0,7720661	0,4219356	0,9903018	1,0140869	0,5006844	0,5081400	0,8166030	1,1067557	0,4574109
460	0,0074362	0,8922366	0,7876387	0,8630597	0,9759136	0,0385153	0,4422588	0,9691118	0,7141529	0,6328923	0,9548220	0,9511958	1,0871600	0,8048252	0,0466851	0,9333186	0,5967906	0,9592067	1,0182826	0,5984331	0,6664711	0,8834089	0,5923695	0,9643797	0,4853236	0,6141264	0,8663398	0,5081958	0,4845226	0,6152747	0,6469861	0,4673377	0,6483178	0,6931652	0,0505261	0,5652116	0,9474573	1,0761163	0,9616104	0,8664865	0,9251467	0,5037107	0,1623868	0,1860401	0,9617115	0,9898381	0,6487946	0,9742145	0,9774951	0,1583193	0,4044201	0,9393408	0,0000000	0,1402515	0,7426554	0,6768692	0,4576989	0,9949814	1,0074888	0,5436823	0,5205640	0,7466801	1,1147042	0,4294474
480	0,0122981	0,9179762	0,8449620	0,9040585	0,9281086	0,0335184	0,4525169	0,9591133	0,7541393	0,6066772	1,0503933	0,9831870	1,0480728	0,8937663	0,0500561	0,9920910	0,5869048	0,9703350	0,9709093	0,6099428	0,6899766	0,8916349	0,6959338	0,9464772	0,4840015	0,6361098	0,8821086	0,5345123	0,5081849	0,6297633	0,7118882	0,4666519	0,8245971	0,6148587	0,0433537	0,5675379	0,9962481	1,1220240	0,9728847	0,7978443	0,9462011	0,4912996	0,1407919	0,1391071	0,9614222	0,9396764	0,6808378	0,9157249	0,9678424	0,1525283	0,3661340	1,0070623	0,0032823	0,1683464	0,7761744	0,7029096	0,4943687	0,9672244	0,9902090	0,5673703	0,5127839	0,7896861	1,1126113	0,4288076
500	0,0119700	0,8999464	0,8311266	0,8900267	0,9939345	0,0265829	0,4660070	0,9724377	0,7242262	0,6539655	1,1072021	1,0673572	1,0560136	0,9255980	0,0493542	1,0000615	0,5695812	0,9561357	1,0194478	0,6652684	0,6999218	0,8874174	0,6440548	1,0309170	0,4841289	0,5990803	0,8216651	0,4735963	0,5330388	0,6520591	0,7345075	0,4668389	0,7823267	0,6610951	0,0595871	0,5608544	0,9306731	1,0806597	0,9671538	0,8202257	0,9688653	0,4933831	0,1346609	0,1374739	0,9951865	0,9224328	0,6509166	0,9474090	0,8889359	0,1593189	0,3597632	0,9444964	0,0071949	0,1649090	0,8179683	0,6803632	0,4983219	0,9986369	0,9854992	0,5590502	0,5234373	0,7646116	1,0479361	0,4761626
520	0,0112703	0,9667766	0,8678572	0,8943871	1,0578287	0,0416002	0,4754244	0,9664850	0,7101592	0,5772866	1,0244377	0,9564040	0,9904238	0,9395230	0,0415755	1,0325981	0,6358567	1,0206708	1,1001338	0,6151194	0,7191316	0,8984852	0,6825882	0,9531228	0,4336836	0,6843903	0,8780198	0,4944665	0,4973626	0,6685635	0,7675852	0,4340054	0,7829170	0,6650123	0,0693810	0,5785500	0,9826214	1,1024757	0,9809906	0,8551593	0,9440525	0,4597049	0,1459690	0,1343644	0,9808804	0,9281303	0,6895256	1,0110870	0,9604395	0,1563521	0,3501615	0,9934560	0,0054178	0,1719163	0,8530842	0,6087933	0,4885484	0,9080950	0,9308311	0,5762175	0,4812131	0,8386284	1,0003548	0,5076131
540	0,0117570	0,9529517	0,9350446	0,8796976	1,0146890	0,0430860	0,5128804	0,9195843	0,6611262	0,5573059	0,9741344	0,9285322	0,9941794	0,9714876	0,0309394	0,9903812	0,6089914	0,9704581	0,9925320	0,6028713	0,7685296	0,9017560	0,7191403	1,0182910	0,4586681	0,6831660	0,8549002	0,5365653	0,5172927	0,7138484	0,7882404	0,4762629	0,7494476	0,6832512	0,0888068	0,5199777	0,9322228	1,1321081	0,9613290	0,8596540	0,8057135	0,4072141	0,1422710	0,1495810	0,9697477	1,0010733	0,7781622	1,0197633	1,0141048	0,1592933	0,3688687	0,9447159	0,0056173	0,1915459	0,8225704	0,6712654	0,3874467	0,9609222	1,0196720	0,5479320	0,4814762	0,7612844	0,9419604	0,5478754
560	0,0076180	0,8607641	0,9530002	0,9175615	0,9496016	0,0485018	0,5463557	1,0202879	0,6878927	0,5657726	0,9741508	0,9645241	1,0303699	0,9552924	0,0391393	1,0247622	0,6518916	0,9036821	0,9461326	0,6261053	0,7095242	0,8793644	0,7693963	0,9557398	0,5102046	0,6700664	0,8588258	0,5486784	0,5352729	0,6288624	0,8784228	0,4840502	0,7529297	0,5768537	0,0690184	0,4553871	1,0189468	1,0414891	1,0271540	0,8126655	0,8169754	0,4374594	0,1520902	0,1902513	0,9838483	1,0017484	0,7222802	1,0344927	1,0257816	0,1783152	0,3822669	0,8732705	0,0006280	0,1757975	0,8636381	0,6736609	0,3816038	0,9762511	0,9988714	0,6458852	0,5348330	0,7275350	0,9418034	0,5517736
