"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB
380	0,9750222	0,3275265	0,3103654	0,0406605	0,2529176	0,9825548	1,0324919	0,8013516	0,8933355	0,9923431	0,9245114	0,0316291	0,8454518	0,6598041	0,1143321	0,4623782	0,2534837	0,2416998	0,2052943	0,5266531	0,9661289	0,1321044	0,6094512	0,9555302	0,2369752	0,3496036	0,8287547	1,0195612	0,6929381	0,9124767	0,6684643	0,6626861	0,9138875	0,9948472	0,3381273	0,9431776	0,8178295	0,8044069	1,0645907	0,2746017	0,9209859	0,8195512	0,6673869	0,8971067	0,9657629	1,1054329	0,8668884	0,9998761	0,9321771	0,5097020	0,0934841	0,6606118	0,2347924	0,9392978	0,6284896	0,7636976	0,8753530	0,9137539	0,4662539	1,0626071	0,1481588	0,5673819	1,0651394	0,5965990
400	1,0292733	0,2814444	0,2856907	0,0321510	0,2431467	0,9985772	1,0349444	0,8430236	0,8866839	0,9742600	0,8855865	0,0345106	0,8540895	0,7064519	0,1048740	0,4298163	0,2531231	0,2538196	0,2489538	0,6103946	1,0216896	0,1038946	0,5673081	0,8900978	0,2365304	0,3576427	0,7879540	1,0697182	0,6648877	0,8781732	0,6909802	0,6877662	0,9317069	0,9557132	0,3433658	0,8725530	0,7741326	0,7749650	1,0526479	0,3097536	0,9453219	0,7846709	0,6937222	0,9714501	0,9276772	1,1056437	0,8515600	0,9943766	0,9593426	0,5554333	0,0700668	0,7581609	0,2659711	0,9728777	0,6584855	0,7558889	0,7944138	0,8555181	0,4378988	1,1105766	0,1416915	0,5263262	0,9900406	0,5987295
420	0,9497409	0,3334409	0,2821789	0,0397266	0,2425909	0,9203098	1,1048826	0,9283048	0,9050528	0,9335204	0,9258247	0,0247627	0,8901687	0,7199604	0,1071559	0,4398869	0,2937071	0,2569085	0,2310854	0,6470927	1,0971025	0,0949098	0,6470606	0,9459204	0,2555796	0,3603628	0,7794181	1,0169517	0,7739400	0,8481655	0,6860731	0,7787461	1,0210151	0,8856922	0,3328220	0,8869200	0,8039084	0,8135217	1,0095161	0,3279836	0,9683415	0,7600413	0,7223509	0,9860462	0,9138543	1,0876817	0,8229523	1,0579056	1,0114475	0,5344885	0,0896197	0,8001215	0,2746813	0,9218692	0,6704936	0,7439687	0,8376602	0,8814921	0,4466016	1,0282209	0,1701826	0,5449223	0,9890649	0,5934409
440	1,0827427	0,3598357	0,2779377	0,0537577	0,2462206	0,8934630	1,0717775	0,9483889	0,9147748	0,9209437	0,9903043	0,0218463	0,9507325	0,6652605	0,1087885	0,5152211	0,3519867	0,2446298	0,1918127	0,6226223	1,0122546	0,0994311	0,6415540	1,0748892	0,2280051	0,3938576	0,7379207	1,0106127	0,7472580	0,9080286	0,6208356	0,8184162	0,9678664	0,8726371	0,3458852	0,9046788	0,8472257	0,9151889	1,0073808	0,3312909	0,9690893	0,7368194	0,7259853	1,0162723	0,8946447	0,9914951	0,8085048	1,0461743	1,0183233	0,5416614	0,1156114	0,8697593	0,2379924	0,9337043	0,6445280	0,7215332	0,8440371	0,8747719	0,4819098	1,0263970	0,1639047	0,5267655	1,0477809	0,5505353
460	1,0890523	0,3552102	0,2955254	0,0612610	0,2635112	0,9143935	0,9472280	0,9537074	0,9872719	0,9976115	1,0409582	0,0280932	0,9469915	0,6817065	0,1098400	0,5321767	0,3515791	0,2309883	0,2412764	0,6749686	0,9466118	0,1003889	0,6845675	1,1237304	0,2349322	0,3858612	0,8131746	1,0622832	0,7943316	1,0151939	0,5802172	0,7902987	0,9498798	0,8594777	0,3245882	0,8445767	0,8584983	0,8470450	1,0232199	0,3185855	0,9204996	0,7324929	0,7671218	0,9750221	0,9034971	0,9891666	0,9316492	1,0113472	0,9122122	0,5585786	0,1483094	0,8362015	0,2390590	0,9422489	0,6473720	0,6569663	0,7417779	0,8353912	0,5062591	0,8863481	0,1544703	0,5421641	0,9880114	0,5462237
480	1,0962600	0,3316212	0,3106818	0,0562967	0,2368750	0,9365375	0,9194392	0,9041630	0,9497963	0,9706307	1,0751600	0,0255444	0,9869353	0,6675355	0,1166211	0,4493957	0,3332018	0,2414686	0,2320042	0,6784756	0,9913386	0,1180511	0,7260084	1,1252642	0,2613819	0,4087445	0,8147626	1,0733681	0,8344111	0,9943188	0,5615463	0,7075102	0,9390894	0,8921213	0,3317204	0,8701671	0,8082517	0,8938958	1,0225111	0,3527884	0,9371034	0,7876912	0,7420135	0,9958491	0,9634236	0,9332731	0,9712101	0,9470723	0,9026288	0,6225276	0,1904352	0,8373477	0,2252205	0,9343264	0,6386187	0,6387541	0,8080931	0,8048959	0,4479067	0,9451747	0,1655468	0,5385314	1,0865291	0,5225977
500	1,2008784	0,2865000	0,2798068	0,0554135	0,2219277	0,9069564	0,9113558	0,9370675	0,9340082	0,9851166	1,0439977	0,0217952	0,9993475	0,7529932	0,0884215	0,4866427	0,3070904	0,2398753	0,2030762	0,6662723	0,9864859	0,1110404	0,6799884	1,0368431	0,2867789	0,3678809	0,8476545	1,0596434	0,8214616	0,9603501	0,5972572	0,7072573	0,9646002	0,8950779	0,3221577	0,9136814	0,7500944	0,9232553	1,0577370	0,3038132	0,9170060	0,7618886	0,7827110	1,0018163	0,8848877	0,9815164	0,9106095	0,9267111	0,8679840	0,5974104	0,2341506	0,7972694	0,2273018	0,9093517	0,6498391	0,6744268	0,8132699	0,8379543	0,4564321	0,9075934	0,1047572	0,5708295	1,0838423	0,5329943
520	1,1196859	0,2405143	0,2310936	0,0506654	0,2115037	0,8636766	0,9669725	0,8518750	0,9334717	0,9951001	1,0546923	0,0149080	0,9997245	0,6805847	0,0921480	0,4539865	0,3235107	0,2714099	0,2226827	0,7161955	1,0497625	0,1280205	0,6714317	0,9960308	0,2755962	0,3767215	0,8532558	1,0812960	0,8451783	0,9599047	0,6018823	0,7287362	1,0158918	0,8929287	0,3215946	0,8989434	0,7989469	0,8901255	1,1199965	0,3260500	0,8654235	0,7426960	0,8517066	0,9397745	0,8804496	0,9256148	0,8682488	0,8914902	0,9243281	0,6387912	0,2223726	0,7485340	0,1911359	0,9461879	0,6343098	0,6250258	0,7845331	0,8050235	0,5086966	0,8537572	0,1255022	0,5536091	1,0103915	0,5612340
540	1,0530153	0,2111344	0,2485079	0,0492172	0,2240624	0,9120152	0,9675083	0,8807297	0,8637739	0,9825978	0,9330568	0,0062995	1,0376732	0,7345893	0,1187669	0,4147809	0,3104558	0,2357153	0,2687364	0,6542294	1,0759281	0,1341725	0,6477059	0,9648025	0,2954827	0,3653036	0,8871834	1,0321269	0,8302528	0,8903842	0,6683035	0,6549740	0,9930207	0,9671229	0,3392392	0,8970751	0,8109497	0,8237609	1,0418275	0,3059540	0,9892336	0,7952516	0,7406485	0,9608251	0,8668986	0,9092633	0,9027967	0,9052878	0,8048466	0,6649363	0,2452047	0,8048440	0,2105400	0,9849996	0,6498316	0,6783995	0,7843606	0,8261079	0,5327763	0,9713507	0,1154545	0,5707593	0,9614192	0,5405948
560	0,9693790	0,2232658	0,2567739	0,0415631	0,2459592	0,8767369	0,9249925	0,9845527	0,9353702	1,0374248	0,9320349	0,0016155	0,9917234	0,7846984	0,0957347	0,4598947	0,3025109	0,2349483	0,2658087	0,6268744	1,0445025	0,1335907	0,6275905	0,9661052	0,2554663	0,3926629	0,8440355	1,1181009	0,8464604	0,8700069	0,7419286	0,6782046	1,0123610	0,9424379	0,3700683	0,9900661	0,8515308	0,8126552	1,0178696	0,3269161	0,9898329	0,8836044	0,7381908	0,9587303	0,9311039	0,9185839	0,9193743	0,8134976	0,8960005	0,6979853	0,2229947	0,7480419	0,2125726	0,9165274	0,6741170	0,6864212	0,7591074	0,7899993	0,4178510	0,9749395	0,1053178	0,6018663	0,9509123	0,5277727
