"Time"	bolA	ompR	csgD	rstA	rcsB	rcsA	flhD	hdfR	flhC	qseB	lrhA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtE	mdtF	csgF	csgE	csgG	hdeA	hdeB	yhiD	gadA	gadB	gadC	sra	flgH	fliM	ppdA	flgM	fliT	fliF	osmB	fliK	wcaB	ygdB	gltJ	flgA	flgE	wzb	fliJ	flgG	wzc	wcaA	fliQ	fliE	fliG	recC	flgC	fliO	flgD	ygbK	fliR	fliN	yhjH	fliP	gltI	flgF
480	0,0707554	1,0000000	0,0910685	0,0451200	1,0000000	0,9552748	0,0045063	0,7960880	0,0770009	0,0472324	0,0855801	0,4402851	0,0155043	0,0040182	0,9786579	0,3862068	0,2076969	0,9994647	0,4994193	0,1209664	0,5535981	0,0509843	0,0230037	0,7647708	0,9998675	0,7360735	0,5106487	0,8765051	0,2796711	0,2785954	0,6333320	0,5667382	0,0114073	0,8924049	0,0234254	0,0069518	0,0497998	0,0541328	0,9998677	0,6008375	0,7326484	0,0971242	0,0000314	0,0430259	0,0620514	0,9665800	0,2970577	0,0332089	0,9270409	0,9285406	0,0737456	0,0209211	0,0062931	0,0010201	0,0204856	0,0122682	0,0543866	0,9829618	0,0130052	0,0153030	0,0670052	0,1298457	0,0297609	0,0717508
500	0,0707533	1,0000000	0,0910685	0,0451200	1,0000000	0,9554025	0,0045057	0,7960847	0,0770000	0,0472324	0,0855803	0,4405439	0,0155007	0,0040182	0,9786692	0,3862060	0,2076939	0,9994647	0,4994181	0,1209664	0,5535990	0,0520004	0,0230037	0,7647758	0,9998675	0,7368127	0,5143477	0,8764755	0,2818510	0,2788969	0,6345839	0,5667387	0,0114029	0,8924063	0,0234254	0,0069518	0,0497997	0,0541099	0,9998685	0,6008359	0,7328152	0,0970838	0,0000314	0,0430195	0,0620514	0,9666263	0,2970239	0,0331480	0,9271722	0,9286518	0,0733889	0,0209211	0,0062929	0,0010072	0,0204856	0,0122682	0,0543842	0,9829603	0,0130052	0,0153008	0,0670052	0,1298457	0,0297609	0,0717496
520	0,0707520	1,0000000	0,0910685	0,0451200	1,0000000	0,9554947	0,0045052	0,7960826	0,0769992	0,0472324	0,0855804	0,4407189	0,0154981	0,0040182	0,9786798	0,3862060	0,2076923	0,9994647	0,4994173	0,1209664	0,5535981	0,0528022	0,0230037	0,7647790	0,9998675	0,7373651	0,5171279	0,8764563	0,2835029	0,2791241	0,6354736	0,5667391	0,0113998	0,8924072	0,0234254	0,0069517	0,0497997	0,0540944	0,9998690	0,6008347	0,7329371	0,0970550	0,0000314	0,0430144	0,0620514	0,9666599	0,2969991	0,0331074	0,9272704	0,9287327	0,0731225	0,0209210	0,0062928	0,0009978	0,0204856	0,0122682	0,0543823	0,9829593	0,0130052	0,0152993	0,0670052	0,1298457	0,0297609	0,0717486
540	0,0707512	1,0000000	0,0910685	0,0451200	1,0000000	0,9555612	0,0045049	0,7960811	0,0769987	0,0472324	0,0855806	0,4408375	0,0154963	0,0040182	0,9786887	0,3862065	0,2076916	0,9994647	0,4994169	0,1209664	0,5535964	0,0534287	0,0230037	0,7647810	0,9998675	0,7377759	0,5192109	0,8764443	0,2847460	0,2792942	0,6361081	0,5667393	0,0113977	0,8924077	0,0234254	0,0069517	0,0497997	0,0540839	0,9998694	0,6008338	0,7330260	0,0970343	0,0000314	0,0430102	0,0620514	0,9666841	0,2969810	0,0330804	0,9273436	0,9287915	0,0729235	0,0209210	0,0062927	0,0009910	0,0204856	0,0122682	0,0543808	0,9829584	0,0130052	0,0152983	0,0670052	0,1298457	0,0297609	0,0717478
560	0,0707507	1,0000000	0,0910685	0,0451200	1,0000000	0,9556092	0,0045047	0,7960802	0,0769983	0,0472324	0,0855807	0,4409185	0,0154950	0,0040182	0,9786959	0,3862072	0,2076914	0,9994648	0,4994168	0,1209664	0,5535945	0,0539138	0,0230037	0,7647822	0,9998675	0,7380803	0,5207671	0,8764372	0,2856759	0,2794210	0,6365619	0,5667395	0,0113961	0,8924080	0,0234254	0,0069517	0,0497997	0,0540768	0,9998696	0,6008330	0,7330908	0,0970196	0,0000314	0,0430070	0,0620514	0,9667017	0,2969678	0,0330623	0,9273980	0,9288342	0,0727750	0,0209210	0,0062926	0,0009860	0,0204856	0,0122682	0,0543796	0,9829578	0,0130052	0,0152977	0,0670052	0,1298457	0,0297609	0,0717472
580	0,1572047	1,0000000	0,0910685	0,0451200	1,0000000	0,9556439	0,0551207	0,8652858	0,0769961	0,0472324	0,0855808	0,4411366	0,0301197	0,0040182	0,9767532	0,3826812	0,3843230	0,9992845	0,5521707	0,1209664	0,5536613	0,0559198	0,0230037	0,6284606	0,9998675	0,7384112	0,5219380	0,8764283	0,2858237	0,2032534	0,6368939	0,5667397	0,0114080	0,5419364	0,0234254	0,0069644	0,0497997	0,0566411	0,9133512	0,3493611	0,7331378	0,0970949	0,0000314	0,0430044	0,0620514	0,9667144	0,2371764	0,0499394	0,9274383	0,9288652	0,0727371	0,0209211	0,0062941	0,0010053	0,0204857	0,0122682	0,0543787	0,8463688	0,0130052	0,0155250	0,0670058	0,1298457	0,0297609	0,0717467
600	0,2126579	1,0000000	0,0910684	0,0451200	1,0000000	0,9556690	0,0842755	0,9110047	0,0769860	0,0472324	0,0855809	0,4407516	0,0404711	0,0040182	0,9667649	0,3629103	0,4671493	0,9980297	0,5787023	0,1209664	0,5539410	0,0647126	0,0230037	0,5383465	0,9998674	0,7397383	0,5228979	0,8762969	0,2841334	0,1668900	0,6372679	0,5667398	0,0115851	0,3321711	0,0234254	0,0070197	0,0498005	0,0679094	0,8630629	0,2188249	0,7331720	0,0983199	0,0000314	0,0430029	0,0620524	0,9667236	0,1974806	0,1515321	0,9274682	0,9288876	0,0756109	0,0209220	0,0063215	0,0013426	0,0204861	0,0122682	0,0543777	0,7664011	0,0130060	0,0173519	0,0670570	0,1298457	0,0297610	0,0717462
620	0,2482265	1,0000000	0,0910684	0,0451200	1,0000000	0,9556869	0,1010125	0,9412076	0,0769670	0,0472324	0,0855810	0,4350856	0,0477978	0,0040182	0,9513645	0,3263253	0,4931055	0,9945548	0,5863778	0,1209664	0,5541828	0,0809511	0,0230037	0,4787774	0,9998674	0,7443539	0,5237835	0,8757021	0,2813951	0,1476754	0,6380137	0,5667398	0,0122660	0,2067928	0,0234254	0,0071058	0,0498066	0,0856344	0,8338333	0,1556815	0,7331968	0,1031163	0,0000316	0,0430063	0,0620576	0,9667302	0,1725884	0,3057447	0,9274902	0,9289038	0,0959439	0,0209263	0,0064468	0,0026395	0,0204874	0,0122682	0,0543762	0,7457299	0,0130140	0,0220114	0,0676150	0,1298458	0,0297610	0,0717453
640	0,2710409	1,0000000	0,0910684	0,0451200	1,0000000	0,9556989	0,1105960	0,9611604	0,0769410	0,0472324	0,0855810	0,4176014	0,0529837	0,0040182	0,9400788	0,2852856	0,4919878	0,9888064	0,5840597	0,1209664	0,5538757	0,1011281	0,0230037	0,4393999	0,9998674	0,7546267	0,5243465	0,8744064	0,2781703	0,1350698	0,6391774	0,5667399	0,0136836	0,1323075	0,0234255	0,0071990	0,0498258	0,1052328	0,8168438	0,1353264	0,7332148	0,1130698	0,0000325	0,0430218	0,0620701	0,9667350	0,1578163	0,4410729	0,9275064	0,9289156	0,1472043	0,0209366	0,0067368	0,0051621	0,0204898	0,0122682	0,0543739	0,7648676	0,0130434	0,0292459	0,0698057	0,1298464	0,0297611	0,0717436
660	0,2856745	1,0000000	0,0910684	0,0451200	1,0000000	0,9557040	0,1160709	0,9743417	0,0769111	0,0472324	0,0855811	0,3845520	0,0566542	0,0040182	0,9383998	0,2491457	0,4812182	0,9823886	0,5783734	0,1209664	0,5525180	0,1204346	0,0230037	0,4133698	0,9998674	0,7711623	0,5236224	0,8726098	0,2737458	0,1255284	0,6400700	0,5667399	0,0157914	0,0887079	0,0234256	0,0072835	0,0498632	0,1235147	0,8069688	0,1430339	0,7332278	0,1276451	0,0000347	0,0430531	0,0620908	0,9667384	0,1496040	0,5370846	0,9275183	0,9289240	0,2200885	0,0209532	0,0071964	0,0085556	0,0204928	0,0122682	0,0543714	0,7949024	0,0131059	0,0378544	0,0745722	0,1298479	0,0297612	0,0717412
