"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI
380	0,8661403	0,4134388	0,0000947	0,4288794	0,9486928	0,4685511	0,8674043	0,2893556	0,3779819	0,5990660	1,0711536	1,0001787	0,9882964	0,9646605	0,0126883	0,1460138	0,9563068	0,2646084	0,1168961	0,2657649	0,9149727	0,9875551	0,3013552	0,5147824	0,6395960	0,3324626	0,0287067	0,2871681	0,3612925	0,4707347	0,9761075	0,9684446	0,6599228	0,4165119	0,2782247	1,0593652	0,5285383	0,3687924	0,4508852	0,9268434	1,0419447	0,7513011	0,0006563	0,9252414	0,8545122	0,8196312	0,4504319	0,2882218	0,5937363	0,8757529	0,2419509	0,9212800	0,5139462	0,0526335	0,2292607	1,0165351	0,9097125	0,1620515	0,0669415	1,0134921	0,0155442	0,9816824	0,9957659	0,5969655
400	0,9156666	0,4071216	0,0009126	0,4508802	0,9610625	0,4841963	0,8957818	0,3532480	0,3658631	0,6651472	1,0064349	1,0336512	0,9897617	0,9779386	0,0115676	0,1534626	0,9656945	0,2636343	0,1098363	0,2472921	0,9298432	1,0246381	0,3037183	0,5382762	0,6338139	0,3063945	0,0320397	0,2746098	0,3481631	0,4757121	0,9743705	0,9598784	0,6255249	0,4215879	0,3199244	1,0808635	0,5072740	0,3663060	0,4467669	0,8620974	0,9944630	0,7806847	0,0031093	0,8973929	0,7410976	0,8372883	0,4850150	0,2768387	0,5956236	0,9191803	0,2403080	0,8550159	0,5198986	0,0459124	0,2452722	1,0410621	0,8618879	0,1343348	0,0631208	1,0014418	0,0064689	0,8438482	0,9806721	0,5738772
420	0,9614339	0,4394819	0,0022776	0,4013898	0,9501627	0,4703677	0,8312000	0,3127128	0,3781948	0,6601440	1,0466424	0,9405036	1,0522060	0,9628185	0,0123062	0,1361167	1,0098120	0,2742968	0,1191226	0,2162056	0,9631598	1,0972045	0,2831120	0,4992457	0,6903712	0,2871806	0,0298615	0,2840745	0,3555495	0,4935507	1,0000934	0,9720986	0,6382220	0,4274610	0,3475594	1,0871094	0,5094237	0,3839743	0,4674419	0,9092568	1,0568874	0,7533602	0,0011436	0,9549990	0,7230125	0,8239719	0,5153141	0,2839099	0,6283206	0,9638553	0,2260678	0,9087420	0,4846091	0,0726598	0,2622743	1,0813713	0,9048013	0,1213939	0,0621818	1,0352323	0,0095432	0,9772569	0,9048115	0,6444572
440	1,0420381	0,4376155	0,0001453	0,4125747	0,9462475	0,4538933	0,8518739	0,2924424	0,3932030	0,6556643	1,0729156	0,8686234	1,0458017	0,9903139	0,0132053	0,1677967	1,0403488	0,2372336	0,1278849	0,2299308	0,8752352	1,0959578	0,2598980	0,5434361	0,7200248	0,2873342	0,0172686	0,2832875	0,3496307	0,4994836	0,9595588	0,8960032	0,7031021	0,4035575	0,3697029	1,0363989	0,4761288	0,3727633	0,4950316	0,9077762	1,0212387	0,8049740	0,0000000	0,8960610	0,7402047	0,9108871	0,5760185	0,2873062	0,6232586	0,9316279	0,2510849	0,8532249	0,4850241	0,0712347	0,2823380	1,0926739	0,9586278	0,1105744	0,0694417	1,0730417	0,0079274	1,0096433	0,9223250	0,5741286
460	1,0527995	0,3919154	0,0000000	0,3840949	0,8927745	0,4574960	0,8189756	0,3055563	0,4035398	0,5803726	1,0492944	1,0111225	0,9503209	1,0164867	0,0038174	0,1576382	1,0109408	0,2385649	0,1266165	0,2187740	0,8861168	1,0662366	0,2703802	0,5269077	0,7115522	0,3343998	0,0164786	0,3242388	0,3314687	0,4917904	1,0224568	0,9768486	0,6658972	0,4081810	0,3669243	1,0792027	0,5352920	0,3975084	0,4630865	0,8766856	1,0344490	0,7606260	0,0008791	0,8665768	0,7509673	0,8755327	0,6251006	0,2709843	0,5956649	0,9433917	0,2756998	0,8653310	0,4830103	0,0498444	0,2626378	1,0713385	1,0212935	0,1021544	0,0551384	1,0110772	0,0120036	1,0597528	0,9220042	0,5850438
480	0,9424860	0,3987915	0,0000000	0,4300457	0,9008308	0,4181403	0,7594123	0,2780610	0,3353571	0,5925212	1,0782671	0,9862098	0,9223120	1,0530976	0,0039449	0,1627194	1,0494209	0,2424068	0,0996654	0,2509114	0,8755294	1,0088208	0,2488655	0,5634484	0,7298349	0,3229151	0,0200347	0,2826507	0,3078464	0,4920967	0,9751297	0,9608753	0,6484313	0,4059338	0,3376700	1,0869794	0,4845954	0,3793272	0,4541155	0,9643246	1,0187417	0,7873491	0,0000000	0,8334906	0,7660443	0,8950053	0,5590718	0,3080203	0,6337131	0,9719481	0,2878952	0,8159657	0,4348721	0,0495329	0,2687444	0,9668323	0,9414419	0,0868903	0,0944038	1,0296755	0,0146732	0,9703386	0,9151732	0,6588999
500	1,0001374	0,3912954	0,0009905	0,3993350	0,9504944	0,4412628	0,7312003	0,2639152	0,2998977	0,6458464	1,1554878	1,0092903	0,9027603	0,9682643	0,0011729	0,1595341	1,0248243	0,2735679	0,0864752	0,2341418	0,9083960	0,9877527	0,2762563	0,5723305	0,7247384	0,3698686	0,0169323	0,2742685	0,3529224	0,5575371	0,9150473	0,9644191	0,6328315	0,4066442	0,3738166	1,0199099	0,5067769	0,3827384	0,3966284	0,8681467	1,0316162	0,7378643	0,0000000	0,8364623	0,7279311	0,9074098	0,5101727	0,2951874	0,7140502	0,9812467	0,3255649	0,8466432	0,3783869	0,0425132	0,2963887	0,9991635	1,0019673	0,0970216	0,0970674	1,0615129	0,0169289	0,9400642	0,9576307	0,6127764
520	0,9763741	0,3723148	0,0007447	0,3870201	0,9870990	0,4851362	0,7692506	0,3139637	0,3153178	0,6925531	1,0433972	1,0880393	0,9410262	1,0094965	0,0012994	0,1443757	0,9991838	0,2810699	0,1051673	0,2197875	0,9664866	0,9334075	0,2952801	0,5231410	0,7046327	0,3400961	0,0140147	0,2552517	0,3350433	0,5488806	0,9990453	0,9163638	0,6444820	0,4186824	0,3964854	0,9794562	0,5497144	0,3437826	0,4369658	0,8780628	1,0031520	0,7601531	0,0002187	0,8894511	0,7050493	0,8435566	0,5076987	0,3108062	0,7058555	0,9601313	0,3476385	0,8551746	0,3810290	0,0469713	0,2879540	0,9860155	0,9176017	0,0990290	0,0943126	1,0200298	0,0185709	1,0005606	1,0424845	0,5608136
540	0,9808154	0,3859653	0,0011596	0,4197055	1,0238274	0,5113764	0,8274877	0,3241885	0,3427054	0,6827723	0,9807168	1,1274764	1,0051756	0,9675693	0,0000235	0,1316786	0,9983946	0,2757552	0,1053536	0,2553474	0,9803360	0,9515787	0,3402624	0,5700975	0,6509738	0,3609035	0,0091041	0,2775388	0,3711478	0,4877919	1,0948707	0,9359467	0,6721857	0,4369588	0,3328866	0,9883395	0,5014467	0,3523447	0,3782666	0,8975214	1,0104552	0,7548536	0,0000488	0,8838650	0,7034831	0,8072898	0,5741470	0,2881096	0,6987724	0,9989993	0,3582032	0,9279337	0,4635307	0,0441322	0,3071718	0,9721418	0,8993539	0,0765387	0,0818989	1,0353141	0,0212821	0,9603256	1,0310059	0,5661559
560	0,9982459	0,3735953	0,0013908	0,4158181	0,9889867	0,4798404	0,7587933	0,2814556	0,3438591	0,7014040	0,9611629	1,0615174	1,0277934	1,0075515	0,0011060	0,1263038	0,9960448	0,2616856	0,1193622	0,2534394	0,9076607	0,9445126	0,3382100	0,5551712	0,7022541	0,3214665	0,0136452	0,2399469	0,3494842	0,4736505	1,0563163	0,9710363	0,6576830	0,4400004	0,2962207	0,9233671	0,4863225	0,3448612	0,4124458	0,9302235	0,9873721	0,7273139	0,0006903	0,8829756	0,6975323	0,8149244	0,6050795	0,2682251	0,6750834	0,9323537	0,3095667	0,9967446	0,4523244	0,0355635	0,2643780	0,9403100	0,8952882	0,0789956	0,0741206	1,0273409	0,0262285	0,9439108	1,0044016	0,5931968
