"Time"	flhD	hdfR	qseB	lrhA	flhC	ompR	rcsB	rcsA	csgD	bolA	rstA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtF	mdtE	csgF	csgG	csgE	yhiD	hdeB	hdeA	gadA	gadB	gadC	sra	flgM	flgJ	fliR	rprA	wcaB	flhE	fliQ	fliM	fliH	flgE	flgN	wzc	flgH	fliK	gltI	yhjH	osmB	flhB	fliN	recC	flgD	flgI	fliG	fliF	fliT	fliD	bdm	flhA	ppdC	gadY	flgA	flgG
460	0,6200205	0,2884287	0,0365031	0,0348431	0,4081269	0,9904523	0,3704134	0,7782354	0,5766230	0,0000231	0,8499981	0,7484509	0,8900945	1,0057996	0,8593038	0,7835571	0,2687942	0,4198682	0,4590972	0,8826459	0,9173721	0,8014031	0,9311361	0,1917525	0,4583043	0,7269575	0,7797712	0,7669523	0,9201479	0,3962659	0,7546286	0,6343026	0,7130310	0,1648630	0,9475862	0,2512097	0,1506977	0,7187944	0,3683730	0,3083282	0,6952132	0,4700475	0,2554283	0,0993398	0,1091077	0,6464622	0,6469606	0,3532184	0,7880224	0,7471478	1,1025175	0,9312193	0,7739933	0,1363195	0,8801569	0,9793067	0,8637219	0,6001253	0,3536526	0,0681196	0,3789275	0,9258861	0,4601089	0,4505349
480	0,5520270	0,2994244	0,0371242	0,0385317	0,4437428	1,0204767	0,3817739	0,7802722	0,5969638	0,0048478	0,8407390	0,7099582	0,8370088	1,0910724	0,8916593	0,7651436	0,3028460	0,4359767	0,4337094	0,8810578	0,9754259	0,7589979	0,9149718	0,2964884	0,5087447	0,7373150	0,8785145	0,7336239	0,8379312	0,3943072	0,7609743	0,6917364	0,7883940	0,1893267	0,9729272	0,2385835	0,1420012	0,7560122	0,4493339	0,3221942	0,7137243	0,4075706	0,3184381	0,0660059	0,0996543	0,6058416	0,6985365	0,3897652	0,8888722	0,7191987	1,0247322	0,9573219	0,7200041	0,1543721	0,9308158	1,0692927	0,8138919	0,6417506	0,3550580	0,0750445	0,3862052	0,9225783	0,4937188	0,4445935
500	0,5843341	0,3009022	0,0365857	0,0325644	0,4089980	1,0305462	0,3817116	0,7867175	0,5694903	0,0007853	0,8115548	0,7429946	0,8055157	1,1041514	0,8681634	0,7625868	0,2894368	0,3714213	0,4622975	0,8686272	0,9417310	0,7754683	0,8633674	0,2950256	0,5017595	0,7685171	0,8073766	0,6816625	0,7817184	0,3797795	0,7636077	0,6042565	0,7704205	0,2253078	0,9578077	0,2405763	0,1598327	0,7653263	0,4471295	0,3173362	0,7781278	0,4042138	0,3312045	0,0899483	0,1344925	0,5863885	0,6533856	0,4318137	0,8566500	0,7416333	1,0099225	0,9472558	0,6973280	0,1336328	0,9622871	1,0191495	0,8406644	0,6969810	0,3190426	0,0907376	0,3771015	0,9749733	0,4929473	0,4707536
520	0,6238409	0,2768502	0,0494649	0,0347596	0,3902349	1,0606149	0,3853326	0,8039425	0,5788577	0,0031448	0,8395854	0,7364459	0,7478780	1,0528907	0,9404540	0,7117281	0,2853427	0,3576555	0,4476754	0,8741839	0,9104761	0,7335794	0,8729839	0,2880900	0,4814855	0,7062739	0,8242366	0,7630443	0,8019753	0,4666935	0,7733868	0,6087756	0,7104302	0,2134165	0,9586340	0,2501581	0,1636120	0,8222403	0,4422046	0,2998369	0,7548091	0,3336415	0,3162012	0,1080549	0,1419985	0,5483781	0,6305348	0,4468373	0,7609631	0,7881249	1,0153850	1,0351690	0,7588755	0,1175892	0,9067643	1,0240262	0,8952047	0,7145892	0,3408805	0,0946776	0,3965870	1,0347378	0,4838004	0,4569267
540	0,6224095	0,2891591	0,0441726	0,0291101	0,3686274	1,0753966	0,4246293	0,8495490	0,6062643	0,0007193	0,7853255	0,7337964	0,7858836	0,9447445	0,9096167	0,6940140	0,2643667	0,3471357	0,4646287	0,9020257	0,9322456	0,7053415	0,9785269	0,2827996	0,4267445	0,6417364	0,7799869	0,6872198	0,8057417	0,4950001	0,8336091	0,6294273	0,7918241	0,2004284	0,9707318	0,2140602	0,1471943	0,7797413	0,3626556	0,3161404	0,7266288	0,3190961	0,3090505	0,0983216	0,1221385	0,6120184	0,6322292	0,4621127	0,7324827	0,7629089	0,9744885	1,0106029	0,7785626	0,1040868	0,8833489	1,0569990	0,9915722	0,7337796	0,3197005	0,0798502	0,4149871	0,9767895	0,5068869	0,4586674
560	0,6312448	0,3166898	0,0461641	0,0305560	0,4080044	1,0570168	0,3790576	0,7848400	0,6248483	0,0019297	0,7749614	0,6780527	0,7837855	0,9791031	0,9457508	0,6756375	0,2889681	0,4077137	0,4446695	0,8652827	0,8487601	0,7193544	0,9546907	0,2958337	0,4453361	0,5979423	0,7093084	0,6576319	0,8640378	0,4659179	0,7506506	0,6402186	0,8562198	0,1646986	0,9326004	0,2024080	0,1744997	0,8184540	0,3831483	0,3007909	0,7195174	0,3086050	0,3147951	0,0967542	0,1108913	0,6292712	0,6254342	0,4759436	0,8068913	0,7495568	1,0384768	1,0342311	0,7964189	0,0896945	0,8725083	1,1112113	0,9359766	0,7020303	0,3372657	0,0753373	0,4340438	1,0212103	0,4660157	0,4948774
580	0,6306078	0,4060348	0,0304719	0,0386280	0,4015654	1,1028453	0,4483393	0,7637126	0,6105926	0,0087115	0,8070032	0,6541575	0,7730342	0,9774570	1,0071034	0,6750055	0,2653266	0,3560027	0,4762632	0,8629303	0,8811497	0,7027105	1,0347551	0,3394913	0,4372152	0,6291501	0,6902856	0,7955093	0,8790701	0,4682265	0,7410078	0,5993503	0,8958401	0,2069055	0,9455104	0,2248283	0,1800309	0,7960534	0,4284913	0,3378441	0,7110071	0,3162032	0,3783459	0,0725379	0,1024922	0,6504153	0,6378945	0,4064398	0,7903682	0,6772640	1,0044870	0,9039278	0,7227814	0,0999883	0,8732414	1,0564950	0,7675061	0,6960206	0,3102410	0,0560680	0,3614104	1,0662224	0,5100509	0,4779428
600	0,7643016	0,5373967	0,0248678	0,0393783	0,3675077	1,0575243	0,5297004	0,6849159	0,6051652	0,0335888	0,8034773	0,7615777	0,7699445	1,0304841	1,0147689	0,6925689	0,3239938	0,4145993	0,5941724	0,9212878	0,8747152	0,5570322	1,0454420	0,3218479	0,4253698	0,6693153	0,6607395	0,7549333	0,8009723	0,4293558	0,6712296	0,6155670	0,9044055	0,2298146	0,9124888	0,2040178	0,1532484	0,8035646	0,4018414	0,3235090	0,7609371	0,3659424	0,3641501	0,0688167	0,1002355	0,6777286	0,6979054	0,3898196	0,8127546	0,6509030	1,0863714	0,9388299	0,6456250	0,0920259	0,9254105	1,1577594	0,6024185	0,7599908	0,2906800	0,0784264	0,3544830	1,0045978	0,5625312	0,4333911
620	0,8575909	0,6458497	0,0232702	0,0438595	0,3476767	1,0896641	0,5676857	0,7229534	0,5044739	0,0459136	0,7933264	0,7223034	0,7878256	1,0245923	1,0031381	0,7044643	0,3399780	0,4342424	0,6477000	0,9028162	0,8490751	0,4267125	0,9700324	0,3679357	0,4539014	0,6504283	0,7114500	0,7622827	0,6852950	0,4272408	0,5830282	0,6579480	0,8514159	0,2275241	1,0462841	0,2084314	0,1629738	0,7386657	0,4612088	0,3454310	0,7513915	0,3526805	0,3522113	0,0795831	0,1134322	0,7094894	0,7135141	0,3755044	0,7360834	0,5181617	1,0818917	0,9217224	0,5367240	0,0755653	0,9844498	1,0590252	0,4264983	0,8643196	0,3055011	0,0735704	0,3196463	1,0726957	0,5460185	0,4864736
640	0,9424279	0,7266777	0,0240088	0,0438327	0,2904276	1,1247970	0,6252702	0,7603649	0,5148044	0,0831556	0,8568665	0,6881006	0,7129959	1,0573106	1,0149926	0,7078522	0,3553480	0,3971999	0,6510206	0,8712577	0,8517252	0,3640176	0,9878724	0,3421070	0,4287139	0,6617979	0,7707483	0,7819026	0,7035697	0,4419048	0,5412702	0,6887411	0,8589859	0,2316517	1,0061008	0,2074510	0,1962430	0,7972328	0,4994112	0,3800532	0,8297892	0,3647153	0,3755912	0,1145157	0,0971076	0,6991129	0,7379774	0,3186172	0,8028676	0,4558460	1,0179713	1,0129571	0,5288928	0,0917326	1,0123426	1,0020875	0,3304299	0,8623247	0,3433111	0,0704672	0,3038627	1,0151317	0,5893686	0,5137193
