Time	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10	Gene11	Gene12	Gene13	Gene14	Gene15	Gene16	Gene17	Gene18	Gene19	Gene20	Gene21	Gene22	Gene23	Gene24	Gene25	Gene26	Gene27	Gene28	Gene29	Gene30	Gene31	Gene32	Gene33	Gene34	Gene35	Gene36	Gene37	Gene38	Gene39	Gene40	Gene41	Gene42	Gene43	Gene44	Gene45	Gene46	Gene47	Gene48	Gene49	Gene50	Gene51	Gene52	Gene53	Gene54	Gene55	Gene56	Gene57	Gene58	Gene59	Gene60	Gene61	Gene62	Gene63	Gene64
400	0.2328644	0.6869658	0.0236079	0.7063238	0.0100077	0.6330665	0.4444533	0.1133424	0.4309212	0.4464004	0.4878559	0.6753035	0.7303637	0.0020702	0.3376725	0.1138744	0.4968517	0.4104155	0.0015831	0.1197782	0.580999	0.3232144	0.6272011	0.2977499	0.3836952	0.1274232	0.1289996	0.5917442	0.5183798	0.7521257	0.2595119	0.3322551	0.44769	0.0700487	0.1485086	0.5825538	0.4735711	0.0235747	0.2080661	0.0012992	0.7669359	0.1493293	0.3366503	0.0023863	0.2257552	0.2280562	0.6923535	0.5489072	0.6641098	0.1138235	0.3545703	0.4571072	0.3857151	0.0098988	0.5050665	0.0778788	0.0644616	0.0644628	0.5656848	0.1182105	0.0814793	0.543573	0.2573898	0.5853364
420	0.1997468	0.7266186	0.0217827	0.6789813	0.0160286	0.6458052	0.3600253	0.1033227	0.3737883	0.4611068	0.380935	0.7903442	0.7243817	0.0008252	0.2862158	0.0585202	0.5176912	0.3805129	0.0068453	0.0668066	0.6027687	0.3237736	0.7137905	0.3164499	0.3778399	0.1473519	0.1309735	0.5241396	0.5589328	0.8040618	0.195022	0.2857868	0.4493156	0.0821051	0.1677035	0.6972025	0.4645182	0.0187156	0.2364626	0.0014972	0.6106988	0.1047372	0.3087865	0.0048407	0.2150526	0.3168351	0.7376683	0.6191325	0.73452	0.0649236	0.3808665	0.4344028	0.3785692	0.0011887	0.5183049	0.0730626	0.0929635	0.1127968	0.5054844	0.1191409	0.0583024	0.5110167	0.2829442	0.4586218
440	0.1723464	0.6691039	0.0199963	0.6252163	0.0209145	0.6639072	0.5301784	0.1684644	0.3890143	0.4504856	0.4919788	0.6497493	0.6605877	0.0007724	0.3139335	0.0633143	0.4734611	0.332951	0.0046045	0.1133404	0.4995682	0.2557722	0.6628281	0.2333108	0.2666933	0.1682543	0.1352908	0.5991064	0.6409598	0.6610178	0.2967105	0.2736108	0.4728307	0.1409217	0.1977067	0.703848	0.5057958	0.0175407	0.2095952	0.0013431	0.6421708	0.1297195	0.3876836	0.0012436	0.1709347	0.264889	0.6337746	0.6494983	0.7868076	0.1059218	0.309427	0.4864209	0.4595206	0.0071711	0.5255675	0.1153636	0.1018761	0.0673694	0.564844	0.1364879	0.0598131	0.4274638	0.2822759	0.4767927
460	0.2000214	0.6241108	0.0368171	0.5893243	0.0062979	0.7390379	0.6260473	0.116514	0.4933673	0.4434367	0.3684417	0.6359551	0.5397268	0.0036792	0.2643148	0.0662827	0.4434275	0.3131109	0.0092784	0.0921719	0.6303676	0.3198391	0.6727892	0.2767557	0.3798745	0.0938158	0.161039	0.47511	0.5791582	0.7533463	0.3655341	0.3561311	0.5709654	0.0584758	0.1626809	0.6025835	0.6242235	0.0012668	0.2176464	0.0006408	0.6998043	0.1422906	0.4086469	0.0040862	0.1873307	0.1943757	0.6612274	0.7885395	0.6706536	0.0880285	0.4103276	0.5443666	0.4214979	0.0016336	0.5758493	0.0859059	0.0942045	0.0771564	0.5656539	0.1374785	0.0827439	0.489381	0.2387901	0.4434325
480	0.2665172	0.6395121	0.034055	0.6838627	0.0088752	0.7368897	0.6047255	0.100417	0.4215637	0.4572321	0.3133205	0.6319414	0.5230719	0.0074357	0.2603836	0.118075	0.4771313	0.4783758	0.0260622	0.1299651	0.6790487	0.2849523	0.8600365	0.267647	0.2957288	0.1623056	0.1227259	0.5921342	0.5720658	0.7008575	0.2986733	0.3137133	0.5378158	0.062578	0.1702718	0.7833735	0.45977	0.0112475	0.1566512	0.0135117	0.713642	0.2036851	0.4201844	0.0012314	0.2539037	0.2790755	0.6478714	0.6527729	0.7376416	0.1616241	0.4981555	0.5120527	0.4974179	0.0032194	0.6364201	0.0950233	0.0791696	0.0629142	0.5247156	0.1974708	0.1155762	0.4214292	0.2157368	0.4292556
500	0.2060356	0.6915526	0.0793423	0.7151418	0.0043977	0.6706498	0.4167037	0.0788206	0.4536639	0.3990963	0.2896413	0.7832736	0.5565761	0.0038654	0.2963955	0.082533	0.362364	0.5105066	0.0135059	0.112526	0.7648292	0.2783784	0.7040481	0.2688064	0.3671051	0.1451837	0.1679424	0.572771	0.8094962	0.7250552	0.282831	0.2599597	0.4580914	0.0604179	0.1497267	0.6849964	0.4453893	0.0089239	0.2043773	0.0023613	0.717721	0.135599	0.4854134	0.0021954	0.2850662	0.2471662	0.7158833	0.568706	0.6795342	0.1251048	0.5102067	0.6383856	0.4269489	0.021379	0.5186168	0.0978811	0.1050709	0.0654311	0.5073479	0.1440292	0.0590589	0.5039294	0.2693139	0.3439247
520	0.2286808	0.5968485	0.0443136	0.8299497	0.0169651	0.6161356	0.6801791	0.0865119	0.5029019	0.5082283	0.4291817	0.7553693	0.613917	0.0021609	0.3282157	0.1018262	0.4108545	0.3919343	0.0168086	0.083267	0.604094	0.2782637	0.7336964	0.2567699	0.2782018	0.0996648	0.0947414	0.5615237	0.5897445	0.7030255	0.2568179	0.2786784	0.4266147	0.0934386	0.1747713	0.6253717	0.54004	0.041321	0.1768568	0.0051645	0.6577951	0.1904628	0.3960749	0.002223	0.2128628	0.2656124	0.7094951	0.567969	0.6966711	0.0916097	0.4281676	0.5427197	0.4319058	0.0031683	0.5335534	0.1290769	0.0876659	0.0862663	0.5753265	0.2317888	0.079459	0.4791744	0.2728598	0.4417803
540	0.1898591	0.6024133	0.0227345	0.6993015	0.0108053	0.6443065	0.6176205	0.1343823	0.4702485	0.409174	0.5333549	0.6021223	0.6361634	0.0035932	0.3822151	0.0736323	0.5074679	0.448118	0.0079962	0.0813575	0.8010025	0.277674	0.7559846	0.2669071	0.3506577	0.2306924	0.1056243	0.5693308	0.6768748	0.6216992	0.2693096	0.3100903	0.4402366	0.0622239	0.0860366	0.6297267	0.5212078	0.0159333	0.1693478	0.0041273	0.6406364	0.1329025	0.3367311	0.003327	0.211486	0.2204976	0.6535117	0.6831846	0.6187163	0.0990926	0.4768501	0.6130002	0.4619041	0.0028624	0.5729858	0.1223688	0.1204002	0.1134595	0.4811886	0.1772178	0.0762472	0.5101901	0.2697413	0.4574762
560	0.2473325	0.6661621	0.0307288	0.6306579	0.0147604	0.6011833	0.6239441	0.1305148	0.5062386	0.5189854	0.5416377	0.7265939	0.516188	0.0061451	0.4001294	0.157934	0.4898906	0.3920723	0.0149329	0.0681045	0.6724535	0.2789234	0.6045517	0.3472144	0.2444184	0.1496173	0.1093796	0.4182444	0.5272419	0.7435915	0.2951557	0.3265387	0.4230074	0.0735169	0.156135	0.6596079	0.4316962	0.0077364	0.1989023	0.0107554	0.6504957	0.1124514	0.411516	0.0055783	0.1912451	0.2232557	0.6087424	0.6508759	0.7684849	0.2022961	0.4325637	0.7146825	0.4022745	0.0073354	0.4673053	0.0627241	0.11723	0.1295211	0.4853609	0.128478	0.0454744	0.4542353	0.2795718	0.4889068
580	0.305064	0.6199834	0.0563596	0.5412507	0.0246019	0.6226367	0.6178705	0.150018	0.3401875	0.474998	0.5209744	0.6470112	0.7619557	0.0221096	0.4237435	0.1471163	0.3337348	0.4936789	0.0089627	0.0937171	0.637804	0.2868267	0.6171742	0.3788943	0.3044347	0.1338382	0.1467666	0.480071	0.6499258	0.5240257	0.2140454	0.3202327	0.5104396	0.0802595	0.2066692	0.5740239	0.3840547	0.0119477	0.307349	0.0064408	0.640849	0.1130268	0.4137724	0.2781468	0.1735845	0.240723	0.6533054	0.6479005	0.6437836	0.1438494	0.4589613	0.4636836	0.4610558	0.0117147	0.3705143	0.1735809	0.0718363	0.0771709	0.3621721	0.1548249	0.101647	0.5524839	0.3035308	0.5442501
600	0.2184848	0.6407372	0.1407507	0.7585691	0.0263826	0.5379668	0.5664067	0.1346843	0.2561077	0.4691717	0.3777047	0.6698666	0.5292511	0.0023318	0.5289981	0.3017495	0.3149693	0.5910257	0.0148053	0.0552598	0.7138736	0.2580554	0.7068939	0.2406778	0.3246794	0.1471757	0.1569322	0.7259079	0.6517962	0.6141773	0.294819	0.432808	0.3776182	0.0589686	0.1713914	0.5962996	0.1984538	0.0084335	0.221649	0.0041848	0.6702216	0.1090155	0.2757552	0.3547617	0.1673455	0.2374086	0.5205918	0.670671	0.5797416	0.113553	0.4125711	0.6037677	0.5501081	0.0094203	0.2245813	0.2397391	0.114695	0.0706785	0.2636524	0.1757563	0.0841724	0.4574962	0.2693572	0.4704577
620	0.289031	0.6937241	0.0607063	0.6146743	0.0053236	0.4613974	0.5180998	0.11838	0.2229	0.3796892	0.265287	0.5775517	0.5968483	0.0011024	0.4849204	0.1581452	0.165451	0.6205486	0.0268102	0.0767327	0.7890665	0.2035629	0.6846352	0.2856527	0.3278292	0.1449754	0.1312823	0.4532209	0.6986498	0.4862365	0.2323111	0.4423463	0.5144185	0.0717557	0.2462285	0.6937871	0.1619454	0.0090889	0.4034331	0.0011201	0.6531799	0.2238531	0.3598851	0.4858466	0.1682212	0.2363281	0.5316605	0.6556905	0.6075895	0.1813279	0.3958011	0.6165035	0.5280864	0.0125061	0.2094851	0.2389919	0.0666247	0.0331742	0.2436758	0.2335918	0.0566324	0.4647124	0.286878	0.4843551
640	0.1974575	0.6645894	0.068177	0.5759734	0.0102388	0.5688124	0.561426	0.1496163	0.3053217	0.4650099	0.2834039	0.7254182	0.5678616	0.0027449	0.4250594	0.1869026	0.1693313	0.5541194	0.0176219	0.1233438	0.6558746	0.1797665	0.6672411	0.2564495	0.3428292	0.1343948	0.1175314	0.5466763	0.5973741	0.6301627	0.212447	0.356005	0.601843	0.0888233	0.1957811	0.4215511	0.2171514	0.0146037	0.3859844	0.0024795	0.6850435	0.2516709	0.3873452	0.4811943	0.1445959	0.2335873	0.5925546	0.6151271	0.7680252	0.1725813	0.377769	0.5985911	0.5247259	0.0032355	0.1963481	0.2299601	0.0848572	0.0267397	0.3287603	0.2012743	0.1422607	0.444464	0.274897	0.4603799
660	0.225256	0.728018	0.1146759	0.525503	0.007715	0.7223808	0.5098159	0.1854258	0.246067	0.4854684	0.3608662	0.6010536	0.4507687	0.0197627	0.4972309	0.1585663	0.1673294	0.5757196	0.0210846	0.1121493	0.6869982	0.2014244	0.773764	0.2086783	0.2251529	0.1303689	0.1462484	0.4981243	0.5420797	0.5639391	0.2686801	0.4381389	0.4685676	0.077908	0.2387996	0.5760141	0.1295086	0.0031806	0.4779948	0.0038827	0.6688607	0.1951446	0.3932159	0.5455809	0.0897775	0.1903232	0.605891	0.54686	0.7331359	0.194716	0.3396504	0.5409508	0.4192993	0.0023164	0.0714782	0.2247665	0.0979236	0.0210642	0.2219406	0.1851503	0.050905	0.3513838	0.1809666	0.4891403
