"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB
380	0,7308975	0,2144308	0,2288451	0,0378500	0,2110834	0,8345118	0,7079360	0,4852737	0,6427370	0,5997139	0,8270634	0,0093793	0,6175788	0,5103590	0,1310672	0,2876811	0,3000762	0,1865058	0,3516949	0,4243079	0,7229446	0,0716661	0,4811093	0,7838893	0,1736459	0,2613311	0,5847994	0,9425406	0,4384120	0,6684923	0,5251129	0,6027323	0,6920705	0,6367018	0,2384562	0,6562457	0,6582265	0,6110781	0,6003217	0,2458898	0,7369827	0,6087390	0,4484813	0,8023053	0,6554395	0,7276872	0,5265548	0,7161894	0,7101682	0,3103202	0,0545128	0,4882044	0,1746880	0,7498180	0,4706007	0,5532898	0,6207964	0,6876561	0,3505421	0,6827333	0,1344222	0,3594633	0,6860201	0,4842493
400	0,7141470	0,1993454	0,1730373	0,0212204	0,1374926	0,6693513	0,7753034	0,5790636	0,7594698	0,7950976	0,6384913	0,0258638	0,6816131	0,4745181	0,0701369	0,3655788	0,2644964	0,1944300	0,2344386	0,5381954	0,8332447	0,0746219	0,5250734	0,7142606	0,1657339	0,2531198	0,5164330	0,6798485	0,6377213	0,6514180	0,4462799	0,6628845	0,7176660	0,7492070	0,2107290	0,5257687	0,6976514	0,6014725	0,7556427	0,2154835	0,8287901	0,4503493	0,5838567	0,6825006	0,6025265	0,7241419	0,5247358	0,7110822	0,7363531	0,4213292	0,1280777	0,5224314	0,2453270	0,6836696	0,4520636	0,5160222	0,6112721	0,6376658	0,4454718	0,6333624	0,0686277	0,4490983	0,8055133	0,4004425
420	0,7304269	0,2008205	0,2008817	0,0228558	0,1619999	0,6695148	0,7433946	0,6566772	0,6419230	0,7083924	0,7145734	0,0048817	0,7597694	0,5387974	0,0858168	0,4104782	0,3899642	0,1979720	0,1634734	0,4174619	0,6852301	0,0804538	0,5780480	0,6678794	0,2163811	0,3035365	0,6404475	0,7278259	0,5629467	0,7209035	0,4840443	0,5519854	0,6050902	0,7105240	0,2325070	0,5973633	0,6117067	0,7760668	0,7863480	0,1944778	0,6087603	0,5412095	0,5935292	0,7802073	0,6509622	0,6904817	0,5452658	0,6454498	0,7390184	0,3610596	0,1407259	0,6079257	0,1563633	0,6939373	0,4451390	0,6276575	0,5790776	0,6628394	0,4022123	0,6283407	0,1292140	0,3278416	0,6858733	0,3941058
440	0,7412078	0,1971969	0,2198182	0,0160922	0,1821209	0,6148928	0,6611443	0,5382182	0,6197932	0,6109000	0,7895628	0,0442822	0,7708896	0,4055625	0,0796322	0,3576085	0,2473141	0,2239116	0,1326848	0,5679700	0,7305776	0,0685152	0,5716068	0,8007674	0,2437397	0,3068662	0,6853556	0,6849987	0,5203885	0,6717030	0,4649640	0,5522398	0,7172938	0,7396963	0,1835419	0,7284110	0,6188026	0,6982972	0,7517996	0,1961658	0,5615825	0,5387356	0,5198946	0,7980618	0,7128600	0,6416839	0,6817795	0,6884354	0,7604917	0,3638228	0,1413992	0,6447150	0,1379025	0,6723151	0,4545814	0,5261855	0,4937178	0,6726413	0,3373705	0,6372308	0,1119205	0,5306664	0,7977579	0,4177244
460	0,9027004	0,1498420	0,2811516	0,0216043	0,1408362	0,7288850	0,6846613	0,6314075	0,7732915	0,7435797	0,7759409	0,0283801	0,7386448	0,4343275	0,0781271	0,3483358	0,2942630	0,1641563	0,1456178	0,6298558	0,6299840	0,1494624	0,4411179	0,6501853	0,1746021	0,2710053	0,6439367	0,7451854	0,5840712	0,6331502	0,5542185	0,5690634	0,6527718	0,6933045	0,2317149	0,5766806	0,6497594	0,6281780	0,7008398	0,2506627	0,7887440	0,5655673	0,4695850	0,8439684	0,7403101	0,6920384	0,7331352	0,7237696	0,6743780	0,3659376	0,1323893	0,5156964	0,1372197	0,6607736	0,5094744	0,5340909	0,5540371	0,6164939	0,4774320	0,7172495	0,0930191	0,5278885	0,7174464	0,4026946
480	0,8747161	0,1869836	0,2041909	0,0373230	0,1351021	0,6317093	0,6490263	0,7131812	0,7226217	0,7644900	0,6844082	0,0102681	0,6848060	0,5095979	0,0552539	0,3678700	0,1908164	0,2256324	0,1550294	0,4225799	0,6745077	0,0780073	0,4332415	0,8679620	0,1860590	0,3146461	0,6827016	0,8897702	0,6196484	0,8086805	0,4389830	0,6559197	0,6477137	0,7024374	0,2335064	0,6532904	0,6152415	0,8081359	0,7289481	0,2688569	0,7480007	0,6093756	0,5802505	0,7141168	0,7419881	0,6076478	0,6030770	0,4835001	0,6816231	0,3848136	0,1736937	0,7061789	0,1219996	0,8716490	0,5308883	0,5503520	0,6611791	0,6453554	0,3695840	0,6609451	0,1111024	0,4205750	0,6930134	0,4064079
500	0,7067845	0,1816894	0,1985832	0,0531066	0,1618373	0,6792662	0,7097338	0,6632290	0,7388937	0,6659729	0,7235558	0,0063581	0,7400942	0,4782282	0,0800321	0,3008912	0,2635056	0,1524468	0,1539003	0,4520116	0,8029839	0,1163270	0,5387105	0,7427661	0,1985141	0,3020787	0,5394319	0,7205766	0,6538418	0,6816485	0,5316761	0,4964368	0,7134193	0,7284854	0,2934878	0,5600678	0,7008074	0,5588706	0,6997100	0,2422689	0,6972649	0,5273130	0,5910494	0,6243578	0,7224566	0,7482722	0,7232700	0,7276309	0,7934368	0,4006808	0,1444049	0,4729605	0,1360891	0,7971671	0,3786635	0,5524310	0,5866475	0,5736427	0,4124384	0,7230699	0,1141046	0,4325716	0,6728487	0,3537466
520	0,6919954	0,2261539	0,1776161	0,0193892	0,1716800	0,5817916	0,6609909	0,7750890	0,7493866	0,6525761	0,7075843	0,0125391	0,6144051	0,4303415	0,1631572	0,3597561	0,2648553	0,1928341	0,1301260	0,4841926	0,7011323	0,1243676	0,5188136	0,6919677	0,2091290	0,2701116	0,6457266	0,7922482	0,4522170	0,7219054	0,4959535	0,5231117	0,7570393	0,7373136	0,2618044	0,6287619	0,7276479	0,5179697	0,7778519	0,2072049	0,6336787	0,6771312	0,5719779	0,6560901	0,5737720	0,6724894	0,5377847	0,6960635	0,6708741	0,3927959	0,1663389	0,6019655	0,1330048	0,7291769	0,5155171	0,4520325	0,6206463	0,5592435	0,3370138	0,6364328	0,0754928	0,3297980	0,6829373	0,3417005
540	0,7704313	0,1348246	0,2513214	0,0561383	0,1719109	0,7235836	0,7430388	0,6620206	0,5990708	0,6317100	0,7142099	0,0264333	0,7070503	0,5615949	0,0948855	0,3341917	0,2415451	0,1841839	0,1413266	0,4416562	0,8867083	0,1125874	0,4104219	0,6864065	0,1657319	0,2210519	0,5961490	0,7580194	0,5953455	0,6983503	0,6476279	0,5579135	0,7126723	0,7179296	0,2218458	0,7156741	0,6778867	0,6210416	0,6426452	0,2525804	0,8244843	0,6502310	0,6768116	0,8285486	0,5904525	0,6369142	0,7200943	0,6106356	0,6843565	0,5203610	0,1500962	0,5654229	0,1540158	0,7261165	0,4679607	0,5690569	0,4812321	0,6187286	0,3488784	0,7574925	0,1099299	0,3673215	0,7102412	0,3676493
560	0,7948907	0,1560039	0,1600314	0,0492582	0,1555417	0,8143072	0,8013452	0,6622902	0,6491306	0,7530995	0,6078239	0,0036845	0,7417098	0,5196597	0,1128075	0,3167562	0,2446041	0,1269547	0,1867173	0,4481747	0,6553178	0,1121804	0,4125333	0,6693463	0,1901497	0,2444367	0,6461363	0,6530967	0,6278317	0,6529675	0,5516791	0,5179275	0,6314533	0,7325788	0,2903699	0,7159756	0,4660832	0,5862452	0,7460431	0,2771639	0,6985798	0,6229997	0,5427538	0,7163429	0,6906920	0,7652942	0,6838777	0,7515931	0,6912809	0,4653986	0,1528449	0,5010180	0,1543475	0,6897320	0,4407913	0,5309250	0,5544432	0,5246114	0,3785577	0,7956106	0,1264572	0,3277122	0,7384266	0,3390638
