"Time"	hupB	fis	mtlR	marR	marA	rob	putA	xylR	glcC	hupA	soxS	soxR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	marB	mdtE	mdtF	hdeB	yhiD	hdeA	gadA	micF	gadB	fumC	gadC	zwf	dctR	slp	inaA	nfo	ygiA	ygiC	ygiB	tolC	acrA	acrB	sodA	fpr	gadY	rfaY	poxB	rfaZ	seqA	pqiB	pgm	nemA	pqiA	xylH	hdeD	purA	xylG	xylF	mtlA	mtlD	cadB	cadA	tyrP	ptsG
380	0,0977363	0,4412877	0,2865995	0,4549870	0,4772134	0,2760466	0,3062834	0,4951572	0,4181956	0,2769482	0,0278503	0,1190566	0,6234271	0,1037434	0,4901937	0,0433728	0,4555881	0,0543372	0,0954948	0,0757660	0,0851832	0,5387137	0,3713489	0,2430044	0,4247922	0,3278324	0,6841636	0,1455468	0,1163408	0,1485275	0,3838902	0,3658381	0,3065765	0,1381994	0,3135831	0,0193424	0,4061252	0,3127485	0,6940980	0,0537967	0,6097130	0,2421122	0,7172759	0,1267807	0,0205711	0,3341850	0,3153391	0,8222824	0,2666678	0,2052435	0,5377988	0,0737885	0,5539916	0,2842321	0,5278743	0,0192285	0,2585105	0,1851678	0,3387360	0,6875255	0,3229230	0,6990971	0,3377247	0,2053138
400	0,1068413	0,4947158	0,3082966	0,3506286	0,5080737	0,3990031	0,3241200	0,4742389	0,2907052	0,1961741	0,0333033	0,0899355	0,4829591	0,1491659	0,6707599	0,0251412	0,3805242	0,0498752	0,0616033	0,0990999	0,0798922	0,6032019	0,3864442	0,1841274	0,3647160	0,2826686	0,7327182	0,1341624	0,1423161	0,1586502	0,4716543	0,3998152	0,2443930	0,1515059	0,2747869	0,0130466	0,2782557	0,2307347	0,7994441	0,0882463	0,4485361	0,3584094	0,6037006	0,1173185	0,0191048	0,3336188	0,4289487	0,6493502	0,2989095	0,1762209	0,7413719	0,0674961	0,5018659	0,3155686	0,6788926	0,0168765	0,1610757	0,1624455	0,3224799	0,8291940	0,3332645	0,6594822	0,2624476	0,2246912
420	0,1660914	0,3605123	0,4713077	0,4082027	0,5512603	0,4284811	0,3439775	0,5851306	0,3783556	0,2205859	0,0251644	0,1507359	0,5095150	0,1458539	0,5330258	0,0266603	0,3915598	0,0410180	0,1024867	0,1044316	0,0622321	0,5830069	0,4598042	0,2327254	0,3194079	0,2396378	0,7331625	0,1507583	0,1215355	0,1312387	0,4764418	0,3603243	0,1696200	0,1564738	0,3117280	0,0250831	0,3475702	0,2568828	0,6818407	0,0733959	0,5643742	0,3405304	0,6919610	0,0881572	0,0173332	0,4224384	0,4679545	0,7064934	0,2929146	0,1328733	0,7014876	0,0717034	0,5651627	0,2514358	0,7025729	0,0113359	0,1848381	0,1321854	0,3834406	0,7320918	0,3035541	0,5846573	0,2925856	0,3108428
440	0,1007397	0,3885243	0,4529130	0,4572756	0,5395154	0,4098463	0,3818388	0,5486945	0,4072134	0,1596196	0,0110934	0,0610799	0,4903301	0,1861117	0,5455674	0,0333758	0,4550625	0,0371814	0,0366794	0,0613808	0,1499736	0,6091720	0,3975295	0,2294274	0,2795214	0,2382979	0,7757430	0,1806783	0,1019922	0,1097085	0,3328523	0,4116375	0,1245600	0,1437222	0,2409784	0,0336017	0,3576907	0,1650704	0,6748192	0,0394888	0,4993951	0,3543974	0,5407954	0,2024293	0,0308222	0,4098552	0,5395830	0,6811739	0,3283529	0,2253228	0,7189127	0,0201320	0,4358193	0,2902424	0,5818689	0,0022263	0,2095967	0,2167520	0,4915210	0,6846840	0,3158230	0,5544403	0,3064336	0,1962139
460	0,0898915	0,3509229	0,4134267	0,4225123	0,5116738	0,3387900	0,3650095	0,5159102	0,4285848	0,1879831	0,0156941	0,0658078	0,5233628	0,1579488	0,5014981	0,0385084	0,3474654	0,0539455	0,0893145	0,0406263	0,1285675	0,5614459	0,4729222	0,2218841	0,3613285	0,2602411	0,6482079	0,2117550	0,1222333	0,1037282	0,4454137	0,3354644	0,1721489	0,1410714	0,2652423	0,0114529	0,3193773	0,2037311	0,7610244	0,0465809	0,4697861	0,3280573	0,8255265	0,1196407	0,0303630	0,3590592	0,5025459	0,6392303	0,2575740	0,1372888	0,7624087	0,0717286	0,4170194	0,2973579	0,7417514	0,0469033	0,2088375	0,1980252	0,5432665	0,5949309	0,3798612	0,5228386	0,3396027	0,2699054
480	0,1023781	0,4044026	0,4052555	0,4652841	0,5158896	0,4038162	0,2926636	0,4851721	0,3775356	0,1847985	0,0257296	0,1185336	0,3729704	0,1621081	0,5589978	0,0427743	0,4693706	0,0517336	0,0612081	0,0958677	0,0799054	0,7269772	0,3209480	0,2292525	0,4138742	0,2369078	0,7593680	0,1922750	0,1175663	0,1025316	0,4494629	0,3691144	0,1550933	0,1317009	0,2503034	0,0466634	0,2682139	0,2213015	0,6703532	0,0827453	0,6093051	0,3239129	0,6243214	0,1690999	0,0151797	0,4852761	0,3565190	0,7240001	0,3059188	0,1571000	0,6328730	0,0488610	0,4696004	0,2438741	0,8090740	0,0091883	0,1441050	0,1815987	0,4589109	0,7742748	0,3238743	0,5154718	0,3036721	0,2470383
500	0,0965031	0,5555961	0,4111423	0,5056346	0,6552032	0,3649752	0,2968566	0,4408271	0,3947787	0,1968269	0,0266359	0,0963053	0,4033708	0,0923486	0,4580620	0,0384524	0,3275488	0,0580050	0,0481365	0,0698111	0,0699813	0,6987438	0,3052752	0,1150757	0,2587133	0,2968447	0,7990389	0,1800437	0,1076798	0,1556230	0,4437515	0,3645850	0,1748040	0,1449196	0,2501382	0,0328580	0,3069450	0,1112682	0,6294977	0,0791349	0,5382288	0,3444853	0,7122811	0,1167704	0,0284938	0,4266461	0,4129946	0,6580218	0,4092482	0,1545287	0,7058195	0,0366642	0,4479598	0,2475784	0,7633151	0,0158773	0,2280295	0,1361774	0,4843695	0,7245361	0,2438741	0,4423425	0,2769680	0,2330207
520	0,0848770	0,5275050	0,3432874	0,4526180	0,6337950	0,3131031	0,3182860	0,4920252	0,3795934	0,2206527	0,0325613	0,1274046	0,4047526	0,1501419	0,5157381	0,0878023	0,5007671	0,0856953	0,0578037	0,0783370	0,0463274	0,6381851	0,2556172	0,1713251	0,3225856	0,2780870	0,6219430	0,1963238	0,0759224	0,0934494	0,4399705	0,3407638	0,1718731	0,1325139	0,3168785	0,0366218	0,2555942	0,2167230	0,6570818	0,0900898	0,5612985	0,3462208	0,6328055	0,1388373	0,0195610	0,5282278	0,3393194	0,5851088	0,2747553	0,1611681	0,6863265	0,0433358	0,4657914	0,3377388	0,6213448	0,0174649	0,2024655	0,1490579	0,4571021	0,6360285	0,3073398	0,3817111	0,3388761	0,1868607
540	0,1037472	0,4864408	0,3898990	0,4540090	0,5287037	0,2979225	0,4065011	0,4914088	0,4154982	0,2737842	0,0240323	0,1154688	0,3653283	0,1784201	0,5858779	0,0362340	0,3566289	0,0515730	0,0997606	0,0994548	0,0764980	0,6945403	0,3464630	0,1659334	0,3647137	0,3243788	0,7604841	0,2280977	0,0905261	0,1354957	0,4560681	0,3306078	0,1471044	0,1044728	0,2253149	0,0262923	0,3273311	0,1761717	0,6056756	0,0523082	0,5151816	0,2927951	0,6907024	0,1331906	0,0161196	0,4123236	0,3767357	0,6696001	0,3223322	0,0904596	0,7091140	0,0616888	0,4143937	0,2440043	0,7103341	0,0107740	0,1932799	0,1556628	0,4749667	0,8017166	0,3642877	0,4237097	0,3461044	0,2168452
560	0,0740033	0,4799838	0,2795357	0,5312314	0,5946581	0,3212503	0,3607814	0,7136845	0,2820543	0,2831981	0,0214452	0,1370328	0,3885421	0,1465454	0,4727914	0,0387108	0,4990575	0,0599615	0,0875407	0,0708767	0,0478581	0,6183774	0,3256262	0,2359897	0,3283576	0,3150905	0,7341180	0,1710282	0,0654211	0,1226918	0,3359069	0,4400557	0,1167658	0,1641435	0,2241531	0,0254904	0,3456417	0,1021787	0,7647534	0,0407086	0,6456906	0,3276887	0,6220312	0,1675757	0,0158548	0,3300716	0,4274661	0,7051649	0,2728678	0,1738844	0,6232383	0,0663895	0,5330685	0,1922366	0,5974989	0,0234128	0,1554487	0,1567588	0,4157167	0,7361893	0,2994791	0,3630333	0,3507121	0,2573098
