"Time"	hupB	fis	mtlR	marR	marA	rob	putA	xylR	glcC	hupA	soxS	soxR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	marB	mdtE	mdtF	hdeB	yhiD	hdeA	gadA	micF	gadB	fumC	gadC	zwf	dctR	slp	inaA	nfo	ygiA	ygiC	ygiB	tolC	acrA	acrB	sodA	fpr	gadY	rfaY	poxB	rfaZ	seqA	pqiB	pgm	nemA	pqiA	xylH	hdeD	purA	xylG	xylF	mtlA	mtlD	cadB	cadA	tyrP	ptsG
380	0,1627875	0,5781566	0,5303719	0,6616411	0,8441010	0,5534910	0,4912256	0,7326136	0,5630838	0,3296450	0,0464393	0,1377285	0,7738008	0,2389652	0,7653822	0,0579800	0,5923733	0,0790162	0,1194357	0,1213001	0,1202904	0,8610079	0,5221447	0,3033138	0,4777101	0,3329185	1,0067214	0,2366338	0,1500233	0,2143504	0,5137794	0,4922156	0,2484581	0,2068961	0,4287509	0,0321797	0,4326142	0,2438462	0,9227815	0,0830706	0,7001038	0,4793151	0,9761932	0,1892548	0,0293100	0,5474976	0,6125175	0,9596227	0,3696286	0,3090390	0,9556989	0,0769063	0,7457109	0,4720420	1,0327530	0,0423973	0,2758394	0,1982026	0,6602533	0,9258941	0,4370297	0,8788123	0,4814439	0,3751584
400	0,1554694	0,5988181	0,6138251	0,6718567	0,8350977	0,5525655	0,5367491	0,7254545	0,5477665	0,3337060	0,0373990	0,1393468	0,7123963	0,2554925	0,7503162	0,0527703	0,5756513	0,0545578	0,1352782	0,1271165	0,1165445	0,8523328	0,5200700	0,2651965	0,5022462	0,3157916	1,0043757	0,2282985	0,1384420	0,2459302	0,5597159	0,4930230	0,2431944	0,2358105	0,4082944	0,0485801	0,4704909	0,2764632	0,9558790	0,0831660	0,7293096	0,4753446	0,9541493	0,1906143	0,0293651	0,5032421	0,6386510	0,9148894	0,3464480	0,3195416	0,9832635	0,0676275	0,7066496	0,3960093	1,0346601	0,0282684	0,2451853	0,2391248	0,6564911	0,9720861	0,3921068	0,8752713	0,4163116	0,3184325
420	0,1579151	0,5859102	0,5826574	0,6767302	0,8688991	0,5427249	0,4978507	0,7925398	0,5787431	0,3369043	0,0353309	0,1379156	0,6586723	0,2405050	0,7502357	0,0503667	0,5549928	0,0627325	0,1173525	0,1180914	0,1017543	0,8699971	0,5713121	0,2430956	0,4762495	0,3060406	1,0503590	0,2299689	0,1118659	0,2119865	0,5747600	0,4878923	0,2154822	0,2447550	0,4226889	0,0444004	0,4033178	0,2686027	0,9285165	0,0836550	0,6859008	0,4836447	1,0042216	0,1872980	0,0316264	0,5198260	0,5957632	1,0199686	0,3562806	0,2818426	0,9667989	0,0941608	0,7266631	0,3682741	1,0329808	0,0165209	0,2451088	0,2272602	0,6405754	0,9800325	0,4041967	0,8035508	0,3850209	0,4011761
440	0,1354500	0,5958624	0,5846757	0,6798437	0,8759703	0,5257026	0,4505592	0,7796713	0,5876747	0,3087928	0,0283158	0,1371353	0,6428413	0,2188573	0,6913765	0,0618815	0,6255247	0,0392026	0,1019477	0,0842740	0,0883078	0,9027429	0,5267190	0,2607976	0,4560713	0,3183060	1,0191893	0,2410486	0,1449611	0,1813867	0,5254141	0,5539362	0,2172178	0,2087994	0,3896000	0,0453768	0,4589052	0,2408300	0,9221009	0,1055307	0,7370488	0,4566059	1,0036036	0,1457790	0,0267001	0,5131077	0,5638955	0,9902427	0,4016895	0,2796837	0,9402952	0,0866984	0,7272602	0,4239804	1,0431397	0,0190060	0,2747111	0,2264569	0,6339482	1,0043077	0,3907040	0,7023674	0,4701891	0,3836191
460	0,1326206	0,7001436	0,5631259	0,5809027	0,8465617	0,4809601	0,4466345	0,7607159	0,5111167	0,2974361	0,0303655	0,1582526	0,6116251	0,2075667	0,7366160	0,0805980	0,6245733	0,0562744	0,1194190	0,0937249	0,0933535	0,8830391	0,5737896	0,2743218	0,4635926	0,3510526	1,0692438	0,2513235	0,1187601	0,1861129	0,5800483	0,5309896	0,2211710	0,2251710	0,4249796	0,0403732	0,4182312	0,2145325	0,9462498	0,1209791	0,7248032	0,4561375	0,9405844	0,1622610	0,0311394	0,5686585	0,5268680	0,9806614	0,4526922	0,2685131	0,9245213	0,0600057	0,7665564	0,4468780	0,9772750	0,0324138	0,2602540	0,2234081	0,5983316	0,9950931	0,4071035	0,6199267	0,5209736	0,3753615
480	0,1382827	0,6369886	0,5502319	0,5825580	0,8224056	0,4054405	0,5261206	0,7278998	0,5071973	0,2798157	0,0395621	0,1665776	0,5854205	0,2128767	0,7600896	0,0826984	0,5404334	0,0664103	0,1315844	0,0796388	0,0891168	0,8750736	0,5288465	0,2485097	0,4624726	0,3979689	1,0196649	0,2533808	0,0960100	0,1937162	0,5640454	0,5478768	0,2323940	0,2283181	0,4059376	0,0496196	0,4031872	0,1866506	0,9569353	0,1061519	0,7791066	0,4602354	0,8574139	0,1931018	0,0280153	0,5809711	0,5524962	0,9376179	0,4534243	0,2609970	1,0176583	0,0593813	0,7444176	0,4073043	0,9907341	0,0286770	0,2583019	0,2479048	0,5375090	1,0684010	0,3866072	0,5691986	0,4478672	0,3576682
500	0,1643562	0,6670733	0,5674831	0,5878063	0,8436857	0,4571861	0,5954126	0,7863056	0,5006669	0,2952279	0,0397053	0,1544328	0,6027543	0,1926516	0,7926042	0,0633708	0,5732701	0,0653785	0,1260422	0,1119447	0,0974683	0,8145118	0,5152796	0,2406352	0,4202258	0,4113685	0,9909300	0,2583586	0,0879120	0,1811020	0,5972517	0,5326971	0,2184625	0,2043929	0,4036606	0,0475642	0,4387555	0,1677741	1,0485925	0,0859235	0,7542410	0,4707028	0,9648354	0,2078118	0,0274602	0,5467245	0,5204663	0,9963650	0,4456216	0,2077009	0,9911379	0,0818876	0,7418861	0,3549147	0,9582085	0,0234797	0,2356673	0,2355602	0,5459474	1,0150736	0,3868895	0,5606553	0,5082300	0,3629948
520	0,1401152	0,6743592	0,5654743	0,6677879	0,8048230	0,5145996	0,5405496	0,7666976	0,4575573	0,3525495	0,0347611	0,1335358	0,5640047	0,2332890	0,7601793	0,0575149	0,5672599	0,0526684	0,1244799	0,1219925	0,1027381	0,8344353	0,4461245	0,2377367	0,4590273	0,4306628	1,0107566	0,2371465	0,0798828	0,1961950	0,5582057	0,5080795	0,1741764	0,1880592	0,3796421	0,0288683	0,4355072	0,1563831	1,0124853	0,0826072	0,7937012	0,4835930	1,0161401	0,2085103	0,0214743	0,5625626	0,5522664	0,9514129	0,4081989	0,1941314	0,9459475	0,0899315	0,7329926	0,3772966	0,9495317	0,0271065	0,2356589	0,2399621	0,5917117	1,0462434	0,4288514	0,4847994	0,5044857	0,3280714
540	0,1450138	0,6572718	0,5147847	0,6784314	0,7589580	0,5173273	0,5057038	0,7739256	0,4716059	0,4675973	0,0456465	0,1206710	0,5568492	0,2648918	0,7535173	0,0597447	0,6351326	0,0465893	0,1346825	0,1019297	0,1016161	0,8912354	0,4106097	0,2467020	0,4464840	0,4521788	0,9252569	0,2235414	0,0757491	0,1983926	0,5588302	0,5025546	0,1531540	0,1929637	0,3619133	0,0244858	0,4700345	0,1760623	0,9731096	0,0693726	0,7741002	0,4977192	1,0049623	0,1794607	0,0251363	0,5875390	0,5690003	0,9047769	0,4133087	0,1963450	0,9951352	0,0890427	0,6852197	0,3603135	0,8813469	0,0479789	0,2917011	0,2349930	0,5430192	1,0667388	0,4092805	0,4920847	0,4378627	0,3355578
560	0,1546764	0,6321509	0,4722033	0,6628408	0,8234728	0,5451635	0,4621026	0,7335794	0,5632182	0,5403319	0,0475281	0,1505970	0,5603800	0,2648466	0,7383735	0,0695115	0,5754122	0,0770872	0,1036511	0,1123145	0,0897719	0,8017696	0,4288405	0,2632787	0,4486001	0,4822558	0,9769662	0,2664393	0,1016918	0,2043895	0,5502097	0,4598429	0,1429796	0,2098884	0,3609412	0,0388640	0,4613735	0,1597767	0,9563351	0,0635402	0,7538777	0,4892331	0,9586667	0,1702772	0,0117385	0,5844810	0,5866288	0,9234827	0,4123490	0,1975492	1,0722467	0,0778920	0,7262136	0,3661947	0,9107223	0,0422304	0,2489350	0,2472932	0,5644539	1,0101330	0,4257040	0,4507584	0,4034323	0,3379429
