	A_S_0_5	A_S_1	A_S_2	A_S_3	A_S_4	A_S_5	A_S_6	A_S_8	A_S_12	A_S_24	B_S_0_5	B_S_1	B_S_2	B_S_3	B_S_4	B_S_5	B_S_6	B_S_8	B_S_12	B_S_24	C_S_0_5	C_S_1	C_S_2	C_S_3	C_S_4	C_S_5	C_S_6	C_S_8	C_S_12	C_S_24
FBgn0024371	7.06540774983271	10.414080434775716	9.127754965183616	10.105838397470531	12.286176240604064	9.491612634897038	11.178353018525018	11.142322921071072	12.294659841084048	10.786719958085984	8.177740559989735	8.646128822628508	8.712462311378928	10.426411181763664	10.290615418077008	10.119816574212384	10.814002656947036	11.93025326644029	12.46718225393091	10.592411194517169	8.680122534733501	9.21062076818994	8.332047637260256	11.58304755438989	12.2532738507045	11.80345231131528	11.193919765513092	11.248288555449848	13.445472444454811	9.61692024281978
FBgn0025185	4.715447088696193	5.403625048543604	4.460299298429887	5.643324563228805	6.777296920830806	6.44115960164483	6.077339141579111	6.703361699130112	7.7119498538136835	6.082518116157139	5.346254397834738	4.312697695896751	5.580166115587399	5.505957607851642	4.915591650976629	5.511107199918999	5.713191078211557	5.512378477221337	7.565072486774022	5.077385062821346	5.012678848394686	4.223540688232126	5.240319464662124	6.669355486672838	6.416882243090838	6.001227081538821	6.262640834013106	5.636480199452506	6.503039325160369	5.436698267881662
FBgn0025525	11.625932061400418	12.930339494349878	13.059883728704849	14.212311562637344	14.84965050993786	13.203974853806416	9.194193360412829	12.970651058008572	12.988480299627176	13.386098618928957	11.668205191400371	10.219778794485723	12.723452711225477	12.90623662226421	14.095088503178404	11.551548138142069	12.007279681920554	12.085469911940296	13.01548887872125	12.063774058115486	12.79498601749622	12.933740767608628	10.980896124965062	14.336659569188535	13.176267499738456	11.549126954585883	12.7177487091102	10.483491985976777	13.062510915163244	11.794488787809838
FBgn0025635	9.426693915095068	8.8902719745719	8.162932878521366	8.577166778856745	9.0733343746592	8.161080567615745	8.69971871144426	8.07852708149415	10.685705219612483	9.5049971438981	8.132349771280111	7.340507235476455	9.942344504719676	10.479308566680494	10.33540946244528	7.255136695054668	9.669627937166192	8.55891667082893	10.455291369914155	8.037608292800329	7.994596279013212	9.052752473989504	7.382398717709805	10.13698756194858	9.579697817429826	7.452964038645693	9.24089249325438	8.8367333715136	9.375867616793276	7.416667278514492
FBgn0025800	59.19178037535482	63.67909024564407	57.672409693072886	59.06579804675192	59.05517970066136	58.49269988313236	58.45707523209016	65.44168706190452	61.62846613817089	71.20438256370124	63.48149701571509	62.44139421362005	61.307176460044495	55.81123671368688	62.13073118532896	61.802094503176136	59.70087044152489	61.47246541140761	65.99884378971211	71.50632409056647	65.10363331172516	68.42084342580743	63.27539495295319	65.4360547616885	64.45536727661087	61.59286724553908	63.22939707339619	66.64450679267462	68.83647420271595	62.59500527727773
FBgn0025874	7.167880090768552	7.108187749529633	5.856823480322514	7.710251677698415	9.192107452589902	8.367634290479208	9.250282424115538	7.2671576641817826	8.266356226392926	8.976395062484523	8.564664687440649	7.077303050183707	6.276713586706813	7.640261108252248	8.099085293458103	7.788355438971105	8.72691933457816	9.133425011369315	8.929273819234583	9.80486806800683	7.143037490159554	7.760483922886921	7.717385342471166	7.561693232066083	10.214524451436432	8.406834913119482	9.003906459717891	8.528912276827597	9.325247008461323	7.4611067980378145
FBgn0026160	87.20224317553048	98.9117601908887	88.74145265586446	94.90376002366362	94.9264609464783	88.91571547640011	66.68361019152768	108.82051815435872	94.47097999016518	99.44883201589109	87.47088781876316	76.44499409764244	85.1617784257555	88.6127809555497	100.27264699054813	75.8206058512719	87.87716550318108	88.10903811959564	95.6251441885172	93.62659565610228	88.33500054398145	98.0467124875556	89.82939248462272	100.32664247195244	82.46942593606914	79.60094266522856	98.21150191423092	98.61788457567302	105.46671105560084	88.5440880325078
FBgn0026427	11.67324117981755	11.331492145062043	10.50099825504141	10.672912410994408	11.599640353813529	11.161424201581069	12.67382731831332	12.031527587874695	14.976196966841876	12.465269451895727	11.385771728772138	10.055379562500264	12.651437947119918	11.58811316873522	11.021694574434932	9.855998288788046	12.418576993279636	11.765583158220396	14.153028023644405	12.49949288560737	10.495293021500885	12.424121038510837	11.8213670732937	13.387448769146705	14.22565079284272	12.199026949460096	12.344277763263724	12.681067269971528	15.892118041374536	11.758223352256286
FBgn0026533	73.8428052740486	80.8419895855796	76.46062521248979	77.09554877168638	79.69795358795193	79.88136025476665	81.94005283268972	86.04246677472135	84.65057019972718	87.13197993696302	82.07657434999304	77.6944337726481	81.95907019226529	81.33080705386134	78.87704575834661	75.13315303981422	83.1336805464569	79.45012574345829	87.0264028737291	90.9236028808241	77.60406003316689	85.91439780974163	76.94302332341277	91.9034147632774	86.29758290072402	82.62615819462557	82.23838880977087	87.26918266672588	90.15777322004573	77.78147316347206
FBgn0026573	22.99229207848453	27.022381106668703	21.03537807870028	23.76266688626028	23.659782722720703	26.150839257293622	26.094889859573435	24.708966982519	29.451638183028106	26.524298600482062	24.530356390698653	22.42380070149899	26.40136421792471	25.26883317255196	25.53276407045779	21.815157697365468	24.871316847410103	23.705555771078814	27.60479225098845	26.125322705696703	23.97301441470621	25.09269006904238	24.3856727356149	28.59232207474165	27.13474019379744	24.742173397674517	26.160132084524665	26.288032631786947	28.541688508565013	22.55336256764477
