TF	Gene	rank
FBgn0015602	FBgn0030505	254
FBgn0003651	FBgn0035238	255
FBgn0086655	FBgn0017578	256
FBgn0028550	FBgn0001297	257
FBgn0033010	FBgn0051441	258
FBgn0262160	FBgn0013753	259
FBgn0015239	FBgn0030787	260
FBgn0024244	FBgn0003460	261
FBgn0004198	FBgn0003651	262
FBgn0033010	FBgn0011648	263
FBgn0038244	FBgn0011274	264
FBgn0003460	FBgn0020912	265
FBgn0004914	FBgn0033934	266
FBgn0011655	FBgn0033459	267
FBgn0085450	FBgn0030206	268
FBgn0003963	FBgn0004510	269
FBgn0033010	FBgn0037922	270
FBgn0004198	FBgn0024244	271
FBgn0267033	FBgn0011648	272
FBgn0015602	FBgn0036134	273
FBgn0039209	FBgn0264075	274
FBgn0011655	FBgn0000289	275
FBgn0004198	FBgn0016917	276
FBgn0016076	FBgn0033185	277
FBgn0000504	FBgn0285879	278
FBgn0016076	FBgn0035824	279
FBgn0011655	FBgn0000541	280
FBgn0085450	FBgn0013753	281
FBgn0259176	FBgn0033762	282
FBgn0003651	FBgn0035407	283
FBgn0278608	FBgn0023215	284
FBgn0039209	FBgn0029672	285
FBgn0025525	FBgn0038128	286
FBgn0011655	FBgn0026427	287
FBgn0013469	FBgn0025525	288
FBgn0020912	FBgn0003460	289
FBgn0003460	FBgn0003651	290
FBgn0036294	FBgn0035414	291
FBgn0004198	FBgn0028895	292
FBgn0002723	FBgn0030010	293
FBgn0013469	FBgn0035849	294
FBgn0259789	FBgn0051365	295
FBgn0024244	FBgn0024244	296
FBgn0011655	FBgn0037051	297
FBgn0278608	FBgn0263102	298
FBgn0004198	FBgn0029824	299
FBgn0026869	FBgn0030206	300
FBgn0259789	FBgn0033616	301
FBgn0004893	FBgn0016917	302
FBgn0011655	FBgn0262582	303
FBgn0259789	FBgn0001222	304
FBgn0003053	FBgn0085424	305
FBgn0003651	FBgn0037617	306
FBgn0015602	FBgn0263108	307
FBgn0004198	FBgn0000659	308
FBgn0025525	FBgn0003512	309
FBgn0011655	FBgn0086655	310
FBgn0086655	FBgn0033998	311
FBgn0026869	FBgn0034961	312
FBgn0036294	FBgn0036294	313
FBgn0000504	FBgn0250732	314
FBgn0011655	FBgn0042085	315
FBgn0003963	FBgn0041111	316
FBgn0086655	FBgn0010355	317
FBgn0015602	FBgn0038805	318
FBgn0036152	FBgn0037717	319
FBgn0259789	FBgn0015371	320
FBgn0278608	FBgn0001994	321
FBgn0003963	FBgn0263667	322
FBgn0005659	FBgn0039712	323
FBgn0259789	FBgn0039355	324
FBgn0028550	FBgn0001978	325
FBgn0259789	FBgn0030093	326
FBgn0002609	FBgn0000459	327
FBgn0004198	FBgn0004893	328
FBgn0029824	FBgn0262636	329
FBgn0039209	FBgn0050020	330
FBgn0036152	FBgn0031610	331
FBgn0024244	FBgn0003507	332
FBgn0026160	FBgn0004606	333
FBgn0262636	FBgn0001297	334
FBgn0278608	FBgn0036152	335
FBgn0259176	FBgn0028895	336
FBgn0004893	FBgn0284249	337
FBgn0011655	FBgn0040372	338
FBgn0004198	FBgn0039860	339
FBgn0039209	FBgn0003118	340
FBgn0020912	FBgn0285879	341
FBgn0043364	FBgn0016076	342
FBgn0000575	FBgn0265276	343
FBgn0033010	FBgn0032600	344
FBgn0011655	FBgn0010278	345
FBgn0259789	FBgn0050020	346
FBgn0000504	FBgn0029957	347
FBgn0019650	FBgn0003866	348
FBgn0004198	FBgn0032816	349
FBgn0038244	FBgn0032202	350
FBgn0004893	FBgn0085432	351
FBgn0037717	FBgn0032321	352
FBgn0011655	FBgn0003459	353
FBgn0261239	FBgn0260632	354
FBgn0015602	FBgn0030486	355
FBgn0265276	FBgn0003963	356
FBgn0002733	FBgn0029867	357
FBgn0259789	FBgn0266916	358
FBgn0265276	FBgn0265276	359
FBgn0003651	FBgn0037922	360
FBgn0085450	FBgn0052772	361
FBgn0028550	FBgn0015239	362
FBgn0005659	FBgn0035824	363
FBgn0003963	FBgn0038016	364
FBgn0011655	FBgn0035213	365
FBgn0036152	FBgn0025635	366
FBgn0002733	FBgn0039350	367
FBgn0042696	FBgn0037120	368
FBgn0020912	FBgn0037931	369
FBgn0033010	FBgn0037617	370
FBgn0011274	FBgn0022699	371
FBgn0036152	FBgn0039860	372
FBgn0265276	FBgn0004859	373
FBgn0261963	FBgn0014343	374
FBgn0033010	FBgn0262975	375
FBgn0027339	FBgn0051388	376
FBgn0032587	FBgn0015664	377
FBgn0011655	FBgn0014931	378
FBgn0261239	FBgn0010228	379
FBgn0052264	FBgn0001185	380
FBgn0023094	FBgn0037634	381
FBgn0028550	FBgn0014018	382
FBgn0278608	FBgn0003870	383
FBgn0002733	FBgn0037922	384
FBgn0015371	FBgn0037794	385
FBgn0013469	FBgn0000459	386
FBgn0004198	FBgn0035238	387
FBgn0038244	FBgn0003651	388
FBgn0032587	FBgn0003964	389
FBgn0043364	FBgn0038301	390
FBgn0026869	FBgn0005427	391
