	A_S_0_5	A_S_1	A_S_2	A_S_3	A_S_4	A_S_5	A_S_6	A_S_8	A_S_12	A_S_24	B_S_0_5	B_S_1	B_S_2	B_S_3	B_S_4	B_S_5	B_S_6	B_S_8	B_S_12	B_S_24	C_S_0_5	C_S_1	C_S_2	C_S_3	C_S_4	C_S_5	C_S_6	C_S_8	C_S_12	C_S_24
FBgn0016076	62.0233327859044	72.6667607135754	79.7155489966263	123.571632343972	147.274198496177	196.393322225611	170.519749904559	349.715982191683	333.693617261162	36.4736904406241	32.5670290467642	45.3750139486232	49.7930798562815	123.747493448132	119.483341935306	169.762612375474	202.022939985945	272.60603798676	327.972092310394	37.5454718476539	61.3798298413183	71.5713121496483	63.7432839833292	77.9233031295673	132.602036363713	142.324754505604	210.016314086351	266.300065826683	371.194890876821	36.3700809708491
FBgn0016917	421.01139387444	379.828460714606	434.447562820323	363.155753221864	349.770586511122	386.074766772273	434.905751489803	441.498443115872	319.832106483164	402.92029908627	393.796994473575	474.231195553431	418.163270634633	405.493483135904	345.863839644001	441.961465125661	406.248251444924	412.680496710666	385.68039408824	431.881126455073	473.299432588463	386.848683183192	457.633453847054	371.793174490024	453.047741421142	504.015478064315	412.976377124708	433.441155629631	376.990873558536	521.43312373326
FBgn0017578	26.1544174398392	24.9061116618522	26.6735461924195	25.4838201500573	27.9041104588715	25.7131088545686	23.9276188163358	27.584350418297	21.7460398443821	24.2865679135887	25.584188584485	26.1918701797259	25.783941351322	26.9329251372812	26.1405404901361	29.8239135474448	20.4165787905654	24.6471554220298	24.1820374887595	22.0728422389665	23.6704131036999	21.4809620021337	28.852708440755	25.572619922079	32.6804851922245	25.0798784588489	21.029485031193	27.0383407076409	22.8815316304245	20.8380304766668
FBgn0019650	90.0708318690082	92.3618737245952	89.6527524800767	89.7139103684076	101.022797315559	100.536364951595	105.026168757079	97.0413478744406	110.171457223293	94.2529260184398	94.1216479117292	86.4928755588172	97.7127567080692	94.8350882896249	98.0127890708588	95.592319915131	104.820977405789	103.20996332975	115.416603555693	104.304999599822	94.7360671575667	92.5260145036228	100.754026599825	102.936252918672	117.118896171119	104.633821850056	99.4374325316013	126.969840751595	123.983629539305	92.4205240585501
FBgn0020309	246.648610942179	242.578141919061	219.054318893955	229.671231689859	230.13002244352	239.358792719734	209.815898593047	250.442087970438	234.458764871886	234.536350790071	215.470505693186	226.771236759252	224.019559274201	222.661510266343	238.568026390371	226.350149833966	237.379930661151	236.857038850928	231.962729032304	229.925439989235	233.548075956506	231.075827328076	224.415075715712	234.889249654652	230.256413435571	237.950680500875	245.993909890268	230.708780609483	245.699265855329	231.340727236329
FBgn0020912	4.08507091441298	4.1441800294021	3.57390651597778	4.39064041661732	5.18412391400683	4.82120791023162	3.92488609042662	3.27440130864677	3.43358523858665	4.86608129676596	3.81415655502643	3.60819618927839	3.54960569272502	2.99921215337207	4.78388976290072	3.44978104466713	4.28569583941898	3.71832086108208	4.15869434520067	3.73290714335463	3.97227622200021	5.07122933680663	4.10206238215206	3.31496924915839	3.09662803851873	3.79279825464634	4.41015690499632	3.86262010109155	4.43518674774748	4.19654780432874
FBgn0021872	386.487562853853	378.720610607736	389.337889112555	410.275925115664	422.483559322365	415.285614698971	393.62351586399	421.207077430471	344.799781860047	383.850521031376	366.628463935464	388.828566325187	379.462708568118	404.41376676069	415.059388000244	426.381808794906	400.772084539	385.271160077547	355.080618412443	393.686453365097	375.026407151034	360.870593278608	359.552681383913	382.814370954758	384.590142998175	429.439582382332	393.664532151251	361.210159739219	351.942148403644	401.807393219062
FBgn0022699	29.1933116566586	26.7935599920749	28.4604994504084	27.2491291835426	27.1828410447488	30.5343167648002	28.8928361596466	28.080471828698	25.3915747890544	27.1799135495036	30.1024971189009	27.100408788537	28.150345146472	25.8532087620673	25.8557851471063	26.0402827242615	26.9046461030192	29.0560215858842	22.9498317568482	26.34675041759	29.6016200653166	26.6000331251367	26.2716354811986	27.0794241262419	22.3399594207423	25.6013882188628	26.089559795873	24.7207686469859	24.595126510236	28.2181662704863
FBgn0022935	33.2783825710716	30.3632992253223	27.0222199988564	30.23657524021	30.2933153931529	33.6539218831854	28.7509728069805	29.3703874957407	27.383902026259	30.2924520366241	33.2125016945379	30.6047719939512	27.2136436442251	25.7332402759324	29.6715067437057	27.2643985788208	30.2974886425592	28.0998819358917	26.6977908580784	29.6468567327296	30.7443296634263	29.2313313659325	28.8987990293185	28.4140221356433	25.9895567518536	30.4846159717199	33.9814195206032	27.4797830049085	26.6615203358911	29.8581964468907
FBgn0023094	31.6842085556909	28.7630712931769	28.5476679020176	31.0965975898567	29.2114112719689	30.6288502532362	32.6758588974072	28.6262053801392	30.3511979114573	25.7770793017873	28.8702311549693	29.7221916311062	28.8405462533908	25.4933033036626	29.3867514006759	31.1593126615095	25.297510163237	28.4717140219999	29.0081766054121	28.4025543516114	28.6221546955084	29.6619074416991	30.1432449205331	29.2320015607603	30.8556865266688	28.7778567571291	27.2037046981878	28.5833887480775	24.2423275643925	28.8934728137116
