	A_V_0_5	A_V_1	A_V_2	A_V_3	A_V_4	A_V_5	A_V_6	A_V_8	A_V_12	A_V_24	B_V_0_5	B_V_1	B_V_2	B_V_3	B_V_4	B_V_5	B_V_6	B_V_8	B_V_12	B_V_24	C_V_0_5	C_V_1	C_V_2	C_V_3	C_V_4	C_V_5	C_V_8	C_V_12	C_V_24
FBgn0000546	23.936977203527224	24.5415364009312	26.6207790550922	23.612654511604894	21.415863110765244	23.767676889558405	24.36654965895332	19.83141447352898	25.01142083250385	24.473468234028672	20.260009210418445	22.353170165912456	25.238285920640397	23.191490116035904	24.567713815991837	18.157328822852605	20.83933589243347	25.413010637877488	24.89915963377874	23.839021474323708	21.076538995235847	19.15610569404436	23.39205031383541	20.191795433784023	23.11304703600348	21.882204407983448	20.439545925294752	23.065704467841623	23.038570667078357
FBgn0000567	11.541909739838433	11.04836240905786	12.428962427210342	11.292150721158302	9.49868759589118	9.289110794593196	9.291071633298454	8.283381418666297	9.884512809933264	11.658130666280506	7.994962052581234	9.532616619139864	13.34451243821567	9.844743167189783	9.472575548824825	7.870544279619363	7.850600751048028	10.310232161025054	8.912586692107066	11.277420223389653	10.45814045226273	8.364570034364986	8.79480704087408	8.261297272921542	10.165836542370016	9.234924714872085	8.739126481484021	9.52041458248904	9.901582482671648
FBgn0000575	123.16955210743548	137.6150693053862	144.886313504847	119.49761888333576	123.77587163991222	128.6189528394293	119.75479256557826	119.06744837948504	123.45132481980784	146.5436225492038	103.79155094635702	115.02551199092628	132.48209369794245	135.9252657816962	121.47402655190076	104.54287385601684	113.68932251851064	146.1118677395162	120.61437420036592	137.50115879491457	100.01873747195722	97.77920676574244	113.27277802946128	107.30259930412966	124.73118025233208	123.01812567934248	121.1623705666604	119.22340364628673	129.413992688717
FBgn0000611	79.5993138634196	82.18211058669227	85.81604808815858	79.12011367661513	71.25059695436082	78.90018011560979	75.41617496952597	69.57652075281224	78.33112912431882	87.52748272267313	69.30094723175411	71.085634527773	78.41895650948575	85.05341351941698	80.78770080533887	66.5026971014995	70.01622783150022	86.0352299265994	84.73217932545744	76.36557099033121	64.33204273826321	62.07618240291533	75.90436991755354	71.94824716835559	78.11060384759146	75.39085752813556	70.55458461989444	73.76378270872326	76.51743428655854
FBgn0000629	19.603929495240173	19.58240421398817	21.93030598702321	20.031690817908544	18.015550800897064	19.02805062061949	20.428582994831075	18.5738876099881	20.524217451531676	21.801403625645392	20.12830118187262	16.851345349231778	19.840595644108667	20.55044155776253	21.291818583021904	18.47278630933312	18.97502923396207	21.09143124370136	21.97827465304695	19.77196067834631	17.201353583560383	16.39462344719632	19.047608723713957	20.27962883757257	18.06091495667295	19.246012476588312	19.691492513109804	20.242840517372212	19.98491760569918
FBgn0000659	8.887824254592633	9.344760714703837	11.6348830216695	8.673759082763624	8.716675520362537	9.827499133406622	9.094837457527577	6.200153804086616	9.515194398007443	10.1154523149515	7.597174305709572	8.628907074320306	9.045021603508715	11.194391062527943	9.333371583340274	6.868309478099697	8.658005908704677	9.977950237409202	9.528664418949775	9.761345318335865	7.221879538831879	7.042709526713416	8.68248488723083	9.156699539375024	9.632954162546278	8.926804372431693	8.462712637102817	10.13904604090047	8.864634472649731
FBgn0000964	11.996220430606694	10.572180682255013	10.58735158687801	9.576514407980056	9.558608928505048	8.326919419790322	9.229016925445816	7.808033961395736	8.175966094770901	6.897664529706358	7.562430690148917	11.297586602172652	9.501184915279802	8.174039280514107	7.173831920846151	7.247467743682718	8.173354687021016	8.1134028679381	7.8162623171757	8.19289667127125	12.656502416133138	10.01272889793787	6.47572024022454	5.340403799405098	8.990762419723602	9.868121727225532	9.182014363987042	7.696858950646359	8.351004560836127
FBgn0001078	23.10790499072465	23.018328701201717	24.743872350451184	21.65053474961635	18.77022034919887	22.22161578851784	21.464062523578512	16.195989296726815	21.850932573791837	25.47296471998167	19.060143994527607	19.126811072592115	19.85507178116589	22.310073627529803	23.318057171754347	17.890606316683886	18.48777199715079	24.35835309009749	21.43744136844498	22.577383237910485	18.804125399518345	17.633600539973845	21.25032760081779	19.51786505965694	22.030912367673885	21.545666679729983	19.784733619032497	22.019078216210232	23.103106199380772
FBgn0001133	18.13707138400259	18.48015417734213	20.928356272515305	18.51093392841961	18.821269669564863	17.765558988099414	18.92337252740828	18.728199831233614	22.94725262280197	18.165472669477627	18.477244125508072	18.27031821688881	17.616078839097227	19.018119866881364	18.88340701927819	17.392558007713628	20.02761030876256	20.00396949731899	20.963164533883862	18.9154899389925	15.726637838108788	16.45069468210294	15.689154777356796	18.69937841034664	16.105203567351552	17.599944291467416	17.76597402719794	20.076161314202142	18.262538538653565
FBgn0001168	29.06837256628941	34.81398327213357	39.96852757923851	35.64022363377791	46.36798163284733	44.896044008990295	42.63112552032135	44.65035253596979	49.430671456669614	32.41165275975558	22.918142171525187	29.90831570728036	33.818068036807574	38.83492038787896	37.51320433344	29.252659930250864	31.690141781226234	42.035244628664266	39.74696380307024	31.75997317363611	28.35101156556765	26.725756921279185	33.084269684458896	28.899430133003666	34.70815303074158	39.50543682357566	53.19043202265698	36.9043558198778	29.55130266230697
FBgn0001180	4.001611706754099	3.3841471521128565	3.711988547355529	3.4941549672749206	3.09999629416134	3.491007799296641	3.540669625387451	2.955722304254813	3.150205765786326	4.46868585734842	3.2648566372537355	3.2474526527026017	3.867464843407793	4.241645686902123	4.490781323543108	2.6020323764930504	3.9040355058064766	4.987371794579479	3.183524925995947	3.796594207709923	2.7263266438682248	3.1461648412627685	3.352976865160558	3.801731504860725	4.5042424152696725	3.097021663965301	3.307971100527946	3.640255187408213	3.678512879186518
FBgn0001185	17.84354732383029	17.151483444173216	18.85934092886829	17.185154292681933	17.04490346276197	17.657770207416064	18.21341926531782	16.44829474030525	16.47299425475101	19.719431952703086	17.431190822810255	17.475875622880977	18.2934231306875	19.385441487787208	17.12603446153107	16.029631709341885	16.906116356069948	19.055649755728812	18.351787765516203	18.077736624552063	12.901480866161366	14.155647396979075	17.68511555645794	16.788425964321387	18.522062732307	17.18703571233504	16.074778981431255	16.638216645263476	17.684532518554228
FBgn0001222	34.66990871155083	35.59991242677849	37.715315134061065	32.59051146910325	29.993765917816184	33.28748765210635	34.74809484724386	30.23811101987464	34.52413945186904	37.462919887515405	31.051584121412724	32.38399543029811	34.766331772769774	34.87140038384439	33.75342109247161	28.68676717337604	30.94340009842034	37.13947507080658	36.838952719156346	34.815621431653526	29.86677711288421	28.50139178666269	34.23751725096218	32.06223340709986	34.735743821641286	34.7632907277237	30.81465930540028	33.33700200812086	34.64716010763671
FBgn0001291	38.4075192039664	42.84565191625411	46.16216196988729	34.513002876929896	40.726121524320725	40.16652090249066	41.68052606134428	39.38019693025747	40.85895192819402	49.49816298134899	39.59626182873421	40.39679167638403	43.06047967441868	42.2188206209689	38.52836762022791	36.4748650174978	39.8376657767675	40.2444783121402	42.07360408292994	47.9327169539034	36.15310415515161	36.682852308872526	42.80672630930946	38.66546026751158	43.58395580341681	36.97931447738095	39.03315494827639	37.18217226618887	43.4436264509615
FBgn0001297	90.8884489873997	97.54039252927988	108.08350064411424	90.38149910524017	95.79020598683056	84.9563156039751	83.96412125542467	90.81823153365434	91.68679860747427	120.72119379842223	68.95577504651618	89.35675912483758	103.56206437247036	104.07476079201682	100.9017103497696	84.8925106501829	94.6407884715051	99.31328957442274	80.32908276379118	95.9085148388682	72.2948587940185	67.32009191124726	85.29599931976482	81.0880345499194	104.466338196707	93.37611162585031	90.52741349047557	96.1884913232397	87.9476829187375
FBgn0001978	19.268786316244167	18.412290452626635	21.19357762261584	17.997625037818196	18.8623611182764	19.49781801841684	19.38641399695071	19.016979859094924	21.880761738453444	22.41278924107746	16.360726179078814	18.046596131654194	19.71906061338129	18.2417244229981	20.005917957262007	17.403073845482044	20.27650006659859	21.951444672684463	20.45752047024085	19.90073852578324	15.182336992414765	14.029205938889389	17.498025301543915	16.487747198254453	17.867500618218234	17.339149050351555	17.705937974555518	20.212264676539355	18.748453213385112
FBgn0001990	8.738154506492949	8.732647193469855	9.622740861786223	7.610737801349486	8.095505770612997	8.461216878555636	7.908541243222845	8.758095788136165	7.66155567031748	10.419954185861446	8.267135771957307	7.947124301653865	9.776604233204274	9.67985580112709	9.539741501536836	7.296277215440351	7.941292005452927	9.804536663764388	10.521653675473823	8.201321447898714	7.91609120243166	7.802178278543262	8.250855232508751	8.100104301417963	9.042078297699671	8.69062788125778	8.288992933622112	8.812876597483669	8.89879837832527
FBgn0001994	49.90478583989178	50.410350751530345	59.92717677633088	48.30378698229649	45.11804454229584	51.6638667836175	55.65922314471228	44.55416071756294	51.90255939854846	52.95549371839559	47.22539565781921	49.02147975475535	56.61806130150495	51.46676588457308	50.91240654623376	43.10099531554406	45.46603566824474	54.05883061049886	52.15986068666553	51.199443725447495	41.99954361854441	40.71330929123741	53.46872385925024	44.85265874891939	52.86514269579169	48.32544867067655	47.33068918130882	50.116794512228246	46.779386618160025
FBgn0002521	37.91881718063768	36.72837711768789	37.87302583490735	33.79739318278187	26.786680453273952	34.61137616338504	32.7856358447663	32.00862961888275	35.03201329216803	36.819116101588286	35.619779326096754	25.82026992848854	33.43600596127518	34.73049623848954	32.096489908446955	27.19267977547927	25.65779510083587	37.760660666531045	41.84085479188295	35.00020355751002	27.995733991919085	27.32947102652226	34.54863939572151	30.60587934665816	32.29001666766539	32.27393867417886	28.17004289634916	30.351950933109155	35.41460170069124
FBgn0002609	1.7771261209551446	3.0340953274361064	1.8884107130379668	1.9344379212065237	2.224787448329243	2.773214248224828	2.828212114742453	3.0270216032393127	2.665432961332779	1.9216129601131968	1.6144133727620895	2.2481303779643595	1.977587576992491	2.996311621560847	2.2206112636469606	1.7815272901366113	2.297035721983229	2.5602151124414907	5.31804573507796	1.5092160615352608	1.4153837849200253	2.699171039431146	1.9655171475142303	2.504179721928651	1.860274587558952	2.658375641080932	2.3143877646321256	3.0395433555863085	2.243179311243477
FBgn0002723	18.37093760112911	17.149701895289546	17.7773627336033	15.840263793744262	15.058901285673718	16.90156060491031	17.02430301048986	13.89919191043496	16.146981308752345	17.766008771257145	15.231943319217516	16.713379367309514	15.704275476664264	16.353563236507714	17.909691317845066	14.174715564753136	15.70404051913198	16.031489605824564	16.29749451245366	17.637559148951464	14.736791114423443	13.37370482070097	16.136927988689365	15.290047629369068	16.847022671631127	15.581760810770485	15.18620435109151	16.351800794513476	15.817886174156753
FBgn0002733	9.045943948425991	10.60792282395137	11.105694597821351	8.919081464886174	10.891976484733291	11.16663169450781	10.874076854148631	11.140802243137175	13.223501881575636	10.583761973247707	9.250718124325626	9.858648518150156	8.405408160632861	11.343873565779266	10.41421780584434	9.013275699811292	10.138345653799366	9.87995617656257	10.196828117417516	10.488811976133704	8.16244109634736	8.49755305043595	7.94892335132621	10.34987758892354	9.245504301642445	10.172828984549213	11.051356281182889	12.21439832496072	7.607231106943651
FBgn0002781	101.8859991187321	105.90579772329524	114.42126228542143	95.18854647148908	102.70974765247408	93.80459467726028	100.03760918205936	84.05552914155267	109.45230481767712	115.15080100447682	78.32871727933546	94.20315387061568	110.07406941449818	113.52183950054231	110.69606822564984	97.78077521085578	108.318910310601	107.47635127424807	97.89019084485044	103.36937529308582	73.93671019624689	76.20069210980117	85.27543958549086	87.25338586059593	101.08698126159646	98.69605783697068	98.17400237505358	114.47046615655051	98.28773051355962
FBgn0002914	39.94911148992505	39.05806690890114	46.76850942321214	36.57812512671244	38.653161154795015	39.804578354412975	43.90529569908958	38.29179585668521	42.45867807961297	48.23303412233592	40.99277455668802	37.37341649848625	47.54547934778907	43.885514274531424	42.75918732347022	37.86222234625652	39.79511725268074	45.65993485321281	43.737286846026265	43.6924616640827	34.88375671327262	34.0392082541931	41.46995110800427	39.27503641955936	43.278089166735846	36.48301202822334	41.57445436660809	42.40580995468745	40.205816230561446
FBgn0003028	5.248123248172631	5.299262859730279	5.944711831502343	4.584007565804878	3.876957913669592	4.893596560026607	4.4048285034766295	3.405250709748416	3.7361757694502233	6.971547805586595	4.441587101662769	4.482641601910615	5.702904548207785	5.103104634681996	3.916258738403678	3.3812747581065468	4.085615564058773	4.334575065710715	3.331493496242036	5.294083450499166	4.2667268961663325	3.850545796788944	4.456769209324957	4.438625984642429	4.686815439787157	3.763706641460045	3.3266920818313968	3.341624860400872	4.482457771291357
FBgn0003053	10.405989176494067	9.543821926477689	9.93713534484072	7.541582769535656	6.727608251269777	9.337182411426827	8.400535144027797	5.8718950652162585	8.058608316256825	11.067040591582089	8.184216229829497	9.064343329291358	8.327083322278725	6.113586772583288	6.736426262044379	6.391900289198122	6.534953779665673	7.416529984068117	8.139057901582087	9.486075650182464	7.29881417512776	6.545200504457488	8.063672933679678	6.7261032558704095	6.795861649004584	7.506398212089623	7.061963736689452	7.004030206255831	8.318526116948211
FBgn0003118	10.622284787132507	11.363389367773872	11.22551516194916	10.267951220889046	9.057989626213454	11.835016027303984	9.990266840116554	9.823687878902042	10.153286268807168	12.322836562031672	9.238088858463398	9.455616211802862	10.19306263908644	12.084929332403398	10.273126205291272	8.139043653742247	9.179458858647468	11.882197855667174	10.824708302383964	9.610178634894112	8.788883102015046	8.790319691939557	10.106926408931963	9.625549466186213	10.792135496656607	9.0242170643879	9.713415482115762	10.405226057580416	9.653655584662088
FBgn0003345	41.1189731408815	44.502819726716325	47.397762182005	37.42331396385893	35.686628022793336	42.88061607964181	40.95947068511248	35.966729843065195	41.145321860268176	45.20014452608292	36.072300326178045	35.8800095681591	45.518486869256144	41.92327077036699	39.45470341261457	32.35316513657985	36.25227861065595	48.2522523362284	43.08436549492012	39.31221182770408	34.613734778890034	31.670279963542917	40.48566419662961	38.967002014207374	41.43815267448026	40.624805630244325	37.22846549727405	37.73289054187545	37.07796889494551
FBgn0003396	14.69947834943475	15.873449803478753	17.32944193442957	14.459569623727	15.028305268428024	17.64445240546152	16.016826883623995	14.288873927530616	17.758319705518453	16.647773121449948	13.983220491182152	15.282637839600934	17.491290312796483	15.184981742955706	15.67495885021162	12.585302728470708	14.524566147880147	15.926138327945807	19.184693479031957	16.666741457375025	13.204616793755047	13.166240916836704	15.754686108978635	14.445727282354335	16.222937754083183	15.507935471530542	14.935918969248858	16.884467142693484	14.29987413353812
FBgn0003459	6.7566682861209655	6.5001160395309965	7.085063271156668	6.439041436183177	5.773812506199384	6.17026322520588	7.079722246717373	5.231351689068863	6.531565444269188	6.422289717066433	5.730827790165155	5.487183921922807	6.207494144624556	6.883757944371832	6.492179254831536	4.826764870936937	5.447049628543941	7.061878409283918	7.247909568073449	6.33618566978915	5.848820921679256	5.120789080208873	6.893334464408824	5.644394909392282	6.259738576820443	5.958419761974465	6.506197373043574	6.490344499354846	5.4857307354572855
FBgn0003460	11.631201580585987	11.872110118873346	12.43663085721838	11.74351848782806	10.276161444559811	11.112148239799652	11.462680525838367	10.22781260194123	10.720684362897282	14.141560636773606	10.412626139138604	8.685444080853216	11.773867610774106	10.510402458296278	10.83608292689715	9.709787945001018	10.275372971870684	13.011627679009347	9.628147260757649	10.90722257423891	8.008546731881754	7.83204713401808	9.086894872406631	8.934125241796808	9.622760242986804	9.537762808772476	10.420174520904917	10.40566040799156	11.31334987722832
FBgn0003507	37.38837337967996	37.47184606199168	33.29003965211692	41.59527546996606	44.41339946401767	32.49860382820665	33.9388417508867	40.13534802739093	37.27249761096593	31.58120253681483	27.15428153452105	39.35981224657564	42.47510229311603	36.04486193992325	38.75204414970876	33.90685602067881	38.43226108910716	34.758263835154885	32.826655132460104	34.07725282715862	38.53451624796583	33.445403206792186	35.914168967223404	34.652634662185214	42.300115299438175	43.68809698402981	41.73016208075948	39.97217291750354	34.826104340061555
FBgn0003512	15.41969559569756	18.32671359160654	17.95475697877984	16.162998435411954	16.73008582339901	15.654761982424365	18.314390902552194	16.116711301023813	13.312193900882304	24.0249403936616	16.726891131227568	15.497235809262468	14.55380857442911	19.15257680812639	17.974758025152685	18.483163300905847	17.04850241165413	19.06960973816881	15.072068819718712	19.545655970403025	13.06316068557418	15.78770147609968	15.484654916936108	17.29305393856249	16.043372366223423	18.745083946031077	16.742766666625435	16.900732859391937	18.74315901029449
FBgn0003567	11.165962390120578	11.144984523883096	11.082940554635226	9.120860246315878	9.912589234607422	10.78198436700262	9.900198103455043	11.1465522336212	13.210781993980904	13.036492269805354	10.980379862797603	10.63290896363953	10.510767167301836	9.947046948275238	10.588372972349106	8.94884238393508	9.847592481168856	12.319556671221982	12.284423269466636	10.94602813796205	8.544056547555323	8.09534519436811	8.588919590461304	9.462275914448886	8.965842467896339	7.746604609957367	9.862927846479913	11.057609754049349	11.67044127124224
FBgn0003598	10.91739101266256	11.01413785420177	13.062454864910285	10.90555811088469	10.504404993976026	10.785537104073402	12.238605506159146	9.27646524043418	11.990361544481411	13.283147711232942	9.03061771317562	10.040510446190522	11.08666795128684	13.215092382492944	11.831810208509152	10.121119992855045	11.19336766583818	13.278577784733615	13.258177853112532	11.756246727064424	8.6346215131544	8.469707652095298	10.496221185736356	10.359233992941656	10.827570568297354	10.863253532301348	10.908527578379992	11.756052399945414	11.031010479063394
FBgn0003612	42.7137712089912	44.39316505476037	47.2410966735664	44.59979021928952	42.09719026815522	40.70221952109036	43.420202245065646	34.395444391852905	44.01493428417289	48.41395391902483	31.40762326499108	37.665787390087104	47.81592789330658	43.85687252838608	45.08619692652682	38.77026716554715	41.123126886605526	44.25214482069547	42.37837061636963	40.89472904358476	32.31762024588541	31.048802647854387	36.18323404555797	34.20275160680346	43.79547437267712	42.70666768699093	41.97571074538859	43.791320046656345	39.71716976161323
FBgn0003651	33.435350653681816	31.407963435945653	30.55305178790369	32.746922810076484	36.4800436943348	33.6797768690773	34.779892568511016	38.60851033139101	40.99387756637464	25.46534330913227	25.79890227294268	33.736830894383424	35.07841041016247	32.28893622988918	35.77312426796006	30.5141227007857	32.86593585541774	32.76128325579951	39.84267288260901	30.011855437856905	30.801363319587725	28.962618947473203	29.8647670027038	26.14674679328092	33.20168966931399	32.49302674102131	33.53129693275497	42.93712728228771	30.54615092708587
FBgn0003866	3.940294201968541	3.826973479982454	4.096717253933482	3.915626821526	3.7377390243440254	3.596586981713091	4.0105094224867335	3.6694768179527153	3.9870069199651335	3.93471556183353	3.1238773819095997	3.6145269431580607	4.044879982161394	4.555445555923487	4.238404852652846	3.400340273536916	3.575436199328897	4.679576801144252	3.840681375129356	3.7492812111314606	3.3201044729012925	3.043171394800097	3.899358400922636	3.6841056121108777	3.813005299740051	3.687042438975236	4.0085234630196656	3.608188575294683	3.695148994608174
FBgn0003870	39.666108993418895	40.08657818084692	41.79706357936555	38.58759028473431	33.04084912160546	37.27590206768587	37.80089695992328	36.806333764339335	44.66671540611203	44.30779666901847	30.827524279203917	35.35779820002669	42.27291920205115	37.59785466461936	38.97333272133234	34.58511540541539	36.429578464040205	41.149704434859416	43.28060173362668	35.758159210452284	28.69135985689112	27.733711582530056	33.87247885593665	31.686616314727814	37.10887323453154	36.51452858567664	34.91785034310102	38.91202115904384	33.13502819765551
FBgn0003963	6.150757955066933	6.370737951182412	6.948038953114492	6.499975197531692	6.2921186151521535	5.7562977500113535	6.198105368915427	6.118319478846306	6.152910086191299	6.972612276052136	4.234316371178682	5.574367698991012	6.610700215900604	6.337110368040062	6.334601490838615	5.191806852500412	6.028917998590213	6.564508650601462	5.784063754608827	5.226300782828641	5.277925894819156	4.841230632664093	5.036065784493503	5.340772407557839	5.75727942989897	5.451909402576995	5.716283743753167	5.712682554582483	5.422008948168648
FBgn0003964	31.91225982371236	37.694002286902176	36.583706104199685	32.29487040874509	34.3844838759142	31.057769605944245	33.253800312217024	29.256772699446884	37.36569944162243	36.52909031809611	24.858373165699614	32.93134522554016	32.37130642748283	36.2355496877715	34.57701085767286	32.502482289220886	34.15709773407642	36.01603944892155	33.45819225044725	31.980171621669285	25.980664937061476	25.87394196534671	30.83213070975541	29.272033204166338	34.673470232842654	32.572108872118704	32.42189525902218	38.43077144068211	33.01165211208035
FBgn0004050	22.13075171453403	25.154467882405918	26.8127828797248	22.177761530174976	23.496018431920668	22.834476269821156	23.082275329598485	20.67003254503428	22.55945844962493	24.247032093714857	18.292399600671363	21.398502863968712	24.20109213835837	24.52387899477062	23.64171580339027	20.61879451337411	24.19377940111212	22.11454949030588	18.050284169840246	22.266435273546445	19.18831919020371	17.95108081904596	19.31893959302538	20.533608758658357	24.06215294255747	21.72481041773973	22.276182797376112	24.34058476342293	22.654589490774587
FBgn0004198	28.822240398774063	31.08746445337794	34.367389895337425	26.68866198572751	26.018810693988694	31.41846590013792	29.832328331428386	20.97682514629928	28.8575200066822	28.25568337875738	23.890133427004848	26.975676408155284	32.59104116063296	30.4634099924734	29.78114901280849	22.39477558278661	28.284233892233395	31.384378871047684	31.68187696476719	27.45688115841856	22.47184361390737	21.707805282256064	28.113673290267048	25.00209988588777	30.76799551707717	30.471625712297623	26.904693194972975	30.4013299969632	24.573138668162706
