	A_C_0_5	A_C_1	A_C_2	A_C_3	A_C_4	A_C_5	A_C_6	A_C_8	A_C_12	A_C_24	B_C_0_5	B_C_1	B_C_2	B_C_3	B_C_4	B_C_5	B_C_6	B_C_8	B_C_12	B_C_24	C_C_0_5	C_C_1	C_C_4	C_C_5	C_C_6	C_C_8	C_C_12	C_C_24
FBgn0027109	26.3635889795043	26.968221480202	23.927619195932	25.4804627928645	24.0554742798634	22.3505173403382	25.4805344467219	21.5667063970696	23.4411425006184	24.5308820400099	26.3783020643932	26.868623193838	25.6011718219297	25.8591675004276	23.3402502840473	22.3236162420082	24.7923514532568	23.7601274568133	25.5279475577927	26.4958670822209	27.0316108520028	25.6847078659235	27.8515340019901	23.9215302780094	29.3737118608321	25.9153746740362	23.7427720473351	22.727645875401
FBgn0028424	38.8075964642331	41.0016848800849	39.5349526260058	35.2947080312644	36.5447724387089	34.3110644576003	32.1350490232096	26.8820136394069	25.7741472044715	35.2643397944405	40.1711818410213	39.6326762945984	36.3596409144138	31.7698343576682	29.7687090487213	28.0764809318254	25.714381052758	27.4742373162295	23.6193159646867	43.7824910426601	47.7215987125135	41.7589124575114	36.5250220994957	29.192375932486	24.5769946040969	25.3785213380392	25.8846344009335	41.366037284584
FBgn0029768	54.1043803683858	52.4881495846153	46.115047904887	45.4137434944594	51.3147250439523	49.4127653632342	49.0272783327551	38.0624874939784	31.2733725778393	45.0594577987067	54.7535530526753	49.59912871574	50.4054200073792	49.93644278654	50.6859248753146	49.8998480703712	51.6336575720719	38.7692015462349	28.5340423169347	43.7310427570636	59.6254273445881	47.9674676701352	53.245579709687	46.3113618188204	51.2309183296668	38.5558304943288	32.4469360800434	47.8657996466778
FBgn0029769	60.5477202122572	70.0674346976359	65.5290480252227	86.3165916619524	81.9949574776381	93.6909524185529	78.4891462867773	89.1994088943956	57.602997092752	97.3383867364327	55.9610105415383	77.1671520794827	55.7846545536212	70.0153257868721	76.745907713647	85.9803146575945	80.7288138230014	89.9526881020254	63.4142846809468	62.818356713382	75.355486608401	65.7851706433504	78.1095789225363	92.8479734519347	91.0387264912323	85.5060949697012	58.878428954236	100.380435949688
FBgn0030228	35.7088910431346	35.5580994331552	36.5440002265143	32.9783023228222	32.7979829910552	32.4988603489242	32.2488014091324	30.975411170862	31.9954930814128	30.4960418803402	35.0627078496775	33.5129248079324	37.0071413690541	29.336030357628	35.4059728885124	28.8893857249517	26.7388583855373	29.2549749200592	33.1624739302167	29.5827642180136	26.4647618695231	31.3404465185192	28.8634409466991	28.3364266381693	26.4561209520963	28.3556171103861	33.4039384082469	24.1911685264685
FBgn0033153	10.8208760736772	12.8848169294298	10.5499048272973	10.119035463195	9.61132945267678	9.54427497236065	9.72582899640502	8.91994088943956	15.4422692302652	11.0781539891848	13.3749137227909	13.2303198806968	10.6588536379241	8.77907871443088	9.8404868782318	26.3881402076399	6.55665492978691	6.41065537378688	11.1177790298424	11.5758642592227	8.99872759686594	20.0714935640991	7.5652090628243	8.33424312887332	8.35716717926032	8.10160488868174	10.7548833074301	10.2446585574724
FBgn0034638	492.54660455365	575.821469753201	538.915241435649	545.513544338144	472.584182071446	477.092935010787	402.285312816215	402.558154250118	371.447677492027	631.579251023861	499.097908954284	505.782889536066	487.816880980506	433.651719864314	434.761611223186	390.131769562714	397.445981251693	402.44669846551	320.697823431635	504.193198846145	536.664274162698	562.852306810204	417.29114957999	449.28327959056	427.303441396381	383.069257658211	310.66118435064	569.052042562123
FBgn0036260	25.0355723704622	23.9717524268462	23.8188572904959	23.1640570844223	27.9651676165454	26.5185867902932	28.2105917088707	23.5828574200251	20.9414946036331	26.5511849714861	25.6352513020159	27.3931733212665	25.8004027310498	24.6857262861225	25.9116337899169	24.3246126558576	28.4804698512619	27.4233590989772	21.2335264733042	26.598763653414	27.2796072818377	27.1730601429224	29.1043711716298	25.8136287180779	26.2583181786227	25.0856922456772	21.0996227599159	30.8200652401271
FBgn0038842	41.1685148803081	41.5010963889775	37.9035240444649	35.5994982560595	34.8071309557391	32.8008943670369	42.9984018788432	35.6797635577582	32.6065181228982	31.5014058983734	46.5799946665253	46.451827951169	44.826954552017	41.0269817149641	38.6202022708494	38.8943677941991	37.5983181129968	39.4814965877668	40.3675581941919	41.6731113332018	36.4554751857285	38.4420130973424	41.4399986880822	36.40036998989	38.1264845870397	36.2131977554328	33.5406530265617	36.2437080058478
FBgn0040092	2.80359061908908	2.44711639357388	2.93657144677347	2.62119593323725	3.20377648422559	3.98684903908736	3.58320015657027	3.42134719046997	4.49936621457368	2.05860251311558	2.83288103156335	2.44790059466637	3.18769454592121	2.9553334286203	3.75817589319406	2.87643234490861	2.81731266514281	3.15444946964116	4.24670529466084	2.57241427982727	2.23196786851399	2.63650974782658	2.69841851922396	2.20744818007996	2.42308397505181	3.80677820070588	3.9647239311289	1.37743308335764
