	A_V_0_5	A_V_1	A_V_2	A_V_3	A_V_4	A_V_5	A_V_6	A_V_8	A_V_12	A_V_24	B_V_0_5	B_V_1	B_V_2	B_V_3	B_V_4	B_V_5	B_V_6	B_V_8	B_V_12	B_V_24	C_V_0_5	C_V_1	C_V_2	C_V_3	C_V_4	C_V_5	C_V_8	C_V_12	C_V_24
FBgn0043457	11.8887309367334	12.1703190621733	11.6788472206804	11.6251448219892	13.5707181842933	12.8493850991033	12.6034959475968	10.9814599376653	11.1267892697282	11.0666003995517	11.3569382213208	11.871702907738	12.2252911684485	13.287399796896	12.403967614755	13.5762966280028	12.7574365477989	12.5147435245273	11.6657690269269	11.0748227385476	10.0084213601612	10.1780546718017	9.81756917839586	11.5550599794243	11.6823735180741	11.2103171840729	12.873468839903	12.1068572612319	12.1970865623426
FBgn0043796	12.7230278445743	14.0675931365045	13.4650238544315	12.3058965457993	14.585850646898	13.2605654222746	12.6034959475968	12.8707433678013	14.8357190263043	14.1211824102877	12.2203311855148	12.1960663751625	13.5963518602371	14.2246852597476	13.5877487564121	14.6972752486635	12.330409383019	12.1027355072589	12.5355851385837	11.5407537922729	11.9529146529925	13.3431814294961	11.3794551840497	11.6137151062234	13.8760069734331	14.4352029493542	12.3390984352278	14.055563738211	13.4416872319693
FBgn0050020	41.8191325055271	43.1745539353904	43.9216254299312	44.0393999787968	42.3149952833084	44.5102699832938	44.3758070246183	40.678633855115	44.3326192080152	45.3680541266691	43.1032333662994	43.5944500218574	47.58723151083	43.8318789980594	41.9984961561829	41.6007621445222	43.0229868515729	41.8703147549001	44.2071247336177	44.729381157629	44.9521096519239	42.015506175669	42.0035772234777	46.1029296640991	45.6581847103771	44.124627455118	42.0209454585513	44.5300160909693	41.8185824994602
FBgn0050443	11.4194389260729	11.4299194234099	12.3200388327961	11.3633172359083	13.6775742329886	12.0784219931571	12.1721976071847	13.5792246541023	11.9122096887679	12.6189289623848	13.5486280535055	14.4017379536493	12.3395462260976	10.9166189202714	13.2789362846755	12.9535307276357	11.6898686358492	13.5447635676983	14.6845425909124	12.185889097431	13.725835008221	12.2260778679569	11.9372716146404	13.021438149402	13.5699185843132	13.3602410275937	12.3876775629255	12.1897809411033	13.6906073658947
FBgn0051224	126.343837981162	125.729113657509	125.902552979021	117.874779253593	114.76339629867	113.845551978055	122.153274412259	100.132021797206	111.006085890936	126.289439853708	124.062927470335	133.118767031029	132.078846642304	115.06557417478	120.128051505552	109.669075054646	118.446659830819	118.297801958186	117.885665956314	129.77971888764	121.70240373956	122.571085224441	120.265222435349	117.603529232212	121.313031554499	112.66624713308	114.549583111288	124.509905326984	126.849700248363
FBgn0051365	12.5665971743541	10.4581448975329	12.8696316431811	11.9917034425023	12.7692978190792	11.2046638064181	11.5492111154784	13.8153850828693	11.8685752210434	11.6675017787129	13.5486280535055	11.7419575207681	12.4538012837466	11.3576944322016	12.6613113412022	11.3343393866812	13.3979772949687	11.5362244835149	11.5634377196731	10.9673001876879	10.4659491937685	11.3572195423153	11.1005469687544	11.5550599794243	12.2435355647939	11.7733924764236	11.9504654136458	11.8995480615532	12.0477344819873
FBgn0051388	12.9837456282746	14.8079927752679	14.8848052812593	13.9815930967167	15.0132748416789	15.8304424420953	12.7472620610675	10.5681791873231	13.3957815913983	12.6690040773149	14.7440952346972	13.6232656318304	15.7100704267446	14.720895210669	13.4848112658332	13.3894668578926	14.6256803937109	13.9567715849667	13.7635608256287	12.9743878037353	12.8107793410063	14.5844076089841	14.5032271953575	14.8397470801744	13.7739775103931	13.7185616681806	14.2822635431377	14.5945676573754	14.8854240087364
FBgn0051441	4.06719742572458	3.88709810350781	4.1677454787526	4.24160689450956	3.63310565563759	4.00900815092023	4.60051563106194	4.78224868253166	4.71252251423784	4.35653499891856	4.91469841156572	4.02210699606423	3.48477925829607	4.24535180232777	4.83806205720734	4.73302084278995	4.32365004339628	4.53208818995228	4.55374317279164	4.22922033381428	4.28932344006908	5.21314995384963	4.07205994331192	4.45778963673223	4.33625217919783	4.14628169821875	4.90649189747246	3.81448927408675	3.78358603566545
FBgn0052264	326.627239419728	332.069237985382	344.594692111369	317.177937778326	327.193221104773	327.86491018872	327.163752221457	298.920062711825	324.0731917893	338.207326237884	280.934787580041	319.627760800136	355.218974230901	333.287683702225	333.980688183175	304.906184819732	325.394699562268	353.863385831388	324.748403569759	325.291557200834	301.739606264059	292.557010505323	315.724099714321	299.845008197041	342.614936888148	334.415534993371	344.426015377027	351.264707935467	326.78235181721
FBgn0052296	42.0277067324873	45.3494778742578	50.654137357147	41.9447792901501	42.2615672589608	41.9403929634731	45.6217800080309	41.387115141416	37.831083517076	47.871809873174	44.0330411738929	43.6593227153423	47.1302112802338	43.2254001691554	43.7999022413133	38.4869326426867	40.7810942364785	42.2308217700099	38.9370624100498	47.4174449291211	43.8082900679055	45.3668168602866	44.2906245888995	43.5221040849383	45.3520963212573	41.6163829710104	40.8550463938054	40.4252939373324	51.2277635618387
FBgn0052767	114.142245703988	105.738323410897	113.857310551417	99.5992137451504	92.430482121368	116.364031457479	109.933154767251	96.9438560088518	98.7011659926481	111.517280949329	110.713543947028	108.077907345855	110.427513217808	106.574870570124	97.1729911064623	88.2459280820179	93.4121922955987	111.911677690526	112.71793494	117.16373958677	111.579600420997	104.138876459044	114.073460055793	107.104261535172	116.874749912261	114.457850336014	100.655952589732	103.198519600021	109.375506846802
