	A_C_0_5	A_C_1	A_C_2	A_C_3	A_C_4	A_C_5	A_C_6	A_C_8	A_C_12	A_C_24	B_C_0_5	B_C_1	B_C_2	B_C_3	B_C_4	B_C_5	B_C_6	B_C_8	B_C_12	B_C_24	C_C_0_5	C_C_1	C_C_4	C_C_5	C_C_6	C_C_8	C_C_12	C_C_24
FBgn0001168	94.84398565183064	40.0481240580386	66.08279107822962	28.88399033070409	40.86673872640044	39.09719497195618	54.21505046444991	53.89253323911817	47.98582841656275	27.89396657260268	78.24594052313378	41.57317017689156	56.63882577803498	34.26848999928394	52.24285700480588	75.89602458514926	50.6419183227312	52.58744790397186	42.204478620027615	47.50869674517392	83.8107485627609	55.84016605447317	45.136622525032	49.844436223374245	52.50615772196508	52.97696420819572	47.10519303585761	43.58400069979346
FBgn0001180	3.870023070448372	3.559361243255992	3.23836416187549	2.5899312478689342	4.224143718981399	4.309347408933892	3.3737269597625548	2.3323109999882554	2.551914237797298	3.169313577347064	3.864553030723579	3.843031700900638	3.7477514454581073	3.7883960333625417	3.507508839235196	3.458611698538122	3.713820186691723	3.3160688268771943	2.566682052176367	3.865358201546381	3.055931393739322	3.299446763495687	3.8307308476312008	3.630010445710972	2.825780069971063	2.362698131706121	2.689133623468777	2.8158090837081624
FBgn0001185	16.17821318346286	17.057240889846085	18.190334277365896	18.45424650485183	18.379170450949967	18.51579913041685	19.518592140904826	15.435657388985677	18.629488536108216	20.640451336803363	18.432982888903563	18.85911081108379	20.07805347772968	20.745642911761184	19.34382536648405	19.931790334097595	21.36439221328781	18.13493509878223	16.818067784304727	18.79223515796096	17.469847833718433	17.471579267703326	20.51553898039599	18.37716151035221	16.459099644541	18.77426119330997	19.833023320657933	23.559771223942825
FBgn0001222	34.64226020261334	31.85894785948637	31.933537142826097	30.678029016941565	32.936582358311206	34.31100415222148	33.71764719763948	29.046998901165	34.986667724598064	35.99690048555426	34.964316629899685	33.59610741214784	34.86850858235235	35.5698750617312	33.466740485151384	36.16135476208844	36.46770977074484	33.42987133759088	33.28435462158033	33.445197190145166	37.1658002198746	35.73100272035602	37.0575867000654	31.08490466771229	29.85286769444532	31.920585530030777	36.73721324659777	40.20979150664921
FBgn0001291	43.72347041430452	42.97794649842702	40.20305375466866	35.05381562281529	42.69984535206315	41.59756142987478	44.07652829234338	41.95724199244378	48.106298764255904	49.29885790408828	49.420444084926544	40.48547227033965	44.64448037482161	41.4048161479376	42.38043256951669	51.4309221204068	38.71462725246072	36.38027329520898	41.46708632813712	46.7760280132235	41.41516365516631	42.42978957464737	43.56378513685642	37.42727027475542	34.386604260936195	38.39586126768421	40.25417209851314	46.7664795682656
FBgn0001297	92.8651459940894	93.81743323647908	87.81770969029793	72.73235492945345	87.93799812224457	83.48770835907418	93.62927119340912	85.79686113699277	77.32713195930252	60.09188076654393	98.85667740815354	87.42769232185032	95.46502587146745	94.73855781034288	95.21543652093077	87.72860123190922	84.99383270745336	90.26706337468784	84.31708011847445	88.56941994435668	78.89215864229729	80.20949238557533	110.39785191983464	87.72319000872324	79.1917659928472	83.73370514410205	80.01974352089317	65.5690315091649
FBgn0001978	18.34947548169433	19.528915794884316	19.904690969694748	20.626671076125813	21.77149989806457	21.748590834316392	22.17429179158305	21.86516716039574	24.516472101467546	21.272117624374086	17.12290880478128	15.800183961551332	18.740293383818734	20.561680315694144	21.91373362845492	21.98763525640081	22.072906356387666	21.952701278299912	23.01558323335708	17.791355029944466	16.562230663458156	15.463904707157525	20.45289530978964	19.12825536511756	19.20301191107874	20.41051108806016	24.391043798409303	15.295124227320237
FBgn0001990	7.941551916677023	7.77716338107121	9.373560836616674	9.796037475110351	10.083402262111177	10.517220068800563	10.35942709695046	8.999876744996316	11.131704386795915	12.6630578004583	8.897048564029063	9.631276348793234	8.689648936072052	8.840490476710416	9.690065443535316	9.875002338370097	10.945077807977867	9.892847735227482	9.201648669063172	9.775085328935369	8.401464798648195	8.869075957975866	10.110967986138537	9.796093679665589	8.98675560713068	9.940921308070482	9.94285772857782	14.19435434940337
FBgn0001994	52.69214320921657	52.56998849623432	53.85977856932313	45.58636613256012	47.19831673041773	53.9007452191588	53.09352567428729	45.4466886921764	48.99803223564663	57.29752950126753	53.839467259748766	48.83038316449164	53.9971638068508	50.84892157411127	50.46165994064828	50.05436859792556	54.75911584934487	47.77577496917859	40.30268354027242	52.04076389246012	48.82788814396417	51.728894246577255	56.321471073095786	48.42943359875622	44.09303664707512	47.775756619895134	49.449627595853705	56.91078612518616
FBgn0002521	30.65824000293461	29.390056067680995	26.32348084473665	27.67201786714858	33.833439058125684	36.57560176376774	35.74569326342745	27.5137150338003	33.30610445257385	34.2973042312186	29.99534775024893	34.423004370926755	34.94436817731149	36.35579068178296	33.98924746502278	37.49560127858701	45.670997535191255	38.66749923978698	30.45639420215577	35.60555112935314	42.51202232393205	37.15705643184236	44.37910915655029	39.13793361033186	36.52793746453647	38.38462496985204	34.57660324823535	50.89931781709305
