"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
200	0,5031922	0,4313635	0,6247446	0,1194885	0,8549260	0,8505082	0,9512009	0,0814787	0,4317232	0,4063746	0,8464851	0,3924742	0,4679431	0,7468816	0,4124038	0,0330835
220	0,5002396	0,4331178	0,6247446	0,1194885	0,8657835	0,8551965	0,9546681	0,0828755	0,4383527	0,4063748	0,8464851	0,3924742	0,4679431	0,7473056	0,4124025	0,0330835
240	0,4982688	0,4345627	0,6247446	0,1194885	0,8740811	0,8588440	0,9574879	0,0839942	0,4433055	0,4063750	0,8464851	0,3924742	0,4679431	0,7475324	0,4124016	0,0330835
260	0,4969532	0,4357115	0,6247446	0,1194885	0,8804176	0,8616339	0,9597383	0,0848504	0,4469442	0,4063752	0,8464851	0,3924742	0,4679431	0,7476538	0,4124010	0,0330835
280	0,4960751	0,4365990	0,6247446	0,1194885	0,8852541	0,8637376	0,9615069	0,0854861	0,4495838	0,4063753	0,8464851	0,3924742	0,4679431	0,7477188	0,4124005	0,0330835
300	0,4954889	0,4372687	0,6247446	0,1194885	0,8889448	0,8653049	0,9628795	0,0859482	0,4514799	0,4063754	0,8464851	0,3924742	0,4679431	0,7477535	0,4124001	0,0330835
320	0,4950977	0,4377643	0,6247446	0,1194885	0,8917608	0,8664604	0,9639337	0,0862788	0,4528312	0,4063755	0,8464851	0,3924742	0,4679431	0,7477721	0,4123998	0,0330835
340	0,4948365	0,4381253	0,6247446	0,1194885	0,8939094	0,8673048	0,9647363	0,0865125	0,4537878	0,4063756	0,8464851	0,3924742	0,4679431	0,7477821	0,4123997	0,0330835
360	0,4946622	0,4383849	0,6247446	0,1194885	0,8955488	0,8679171	0,9653426	0,0866760	0,4544612	0,4063756	0,8464851	0,3924742	0,4679431	0,7477874	0,4123995	0,0330835
380	0,4945458	0,4385695	0,6247446	0,1194885	0,8967998	0,8683580	0,9657977	0,0867897	0,4549331	0,4063756	0,8464851	0,3924742	0,4679431	0,7477902	0,4123994	0,0330835
400	0,4944681	0,4386995	0,6247446	0,1194885	0,8977545	0,8686736	0,9661373	0,0868683	0,4552622	0,4063757	0,8464851	0,3924742	0,4679431	0,7477918	0,4123993	0,0330835
420	0,4944163	0,4387905	0,6247446	0,1194885	0,8984832	0,8688983	0,9663896	0,0869222	0,4554910	0,4063757	0,8464851	0,3924742	0,4679431	0,7477926	0,4123993	0,0330835
440	0,4943817	0,4388538	0,6247446	0,1194885	0,8990394	0,8690575	0,9665760	0,0869592	0,4556494	0,4063757	0,8464851	0,3924742	0,4679431	0,7477930	0,4123992	0,0330835
460	0,4943586	0,4388975	0,6247446	0,1194885	0,8994640	0,8691699	0,9667133	0,0869844	0,4557589	0,4063757	0,8464851	0,3924742	0,4679431	0,7477932	0,4123992	0,0330835
480	0,4943431	0,4389276	0,6247446	0,1194885	0,8997882	0,8692489	0,9668141	0,0870016	0,4558342	0,4063757	0,8464851	0,3924742	0,4679431	0,7477934	0,4123992	0,0330835
500	0,4943328	0,4389482	0,6247446	0,1194885	0,9000357	0,8693042	0,9668878	0,0870132	0,4558860	0,4063757	0,8464851	0,3924742	0,4679431	0,7477934	0,4123992	0,0330835
520	0,4943260	0,4389623	0,6247446	0,1194885	0,9002246	0,8693428	0,9669415	0,0870211	0,4559215	0,4063757	0,8464851	0,3924742	0,4679431	0,7477935	0,4123992	0,0330835
540	0,4943214	0,4389719	0,6247446	0,1194885	0,9003689	0,8693697	0,9669807	0,0870264	0,4559457	0,4063757	0,8464851	0,3924742	0,4679431	0,7477935	0,4123992	0,0330835
560	0,4943183	0,4389784	0,6247446	0,1194885	0,9004791	0,8693883	0,9670091	0,0870300	0,4559623	0,4063757	0,8464851	0,3924742	0,4679431	0,7477935	0,4123991	0,0330835
580	0,6624559	0,4379614	0,6247446	0,1194885	0,8126576	0,8681768	0,9663336	0,4352666	0,6490945	0,4063756	0,8464851	0,3924742	0,4679431	0,5272640	0,4123991	0,0330835
600	0,7746883	0,4342706	0,6247446	0,1194885	0,7490495	0,8624847	0,9629557	0,5992769	0,7570636	0,4063751	0,8464851	0,3924742	0,4679431	0,4092708	0,4123991	0,0330835
620	0,8496037	0,4297624	0,6247446	0,1194885	0,6986267	0,8528022	0,9570545	0,6713525	0,8081418	0,4063745	0,8464851	0,3924742	0,4679431	0,3461392	0,4123991	0,0330835
640	0,8996100	0,4258524	0,6247446	0,1194885	0,6557342	0,8411485	0,9499885	0,6995768	0,8231511	0,4063740	0,8464851	0,3924742	0,4679431	0,3123610	0,4123991	0,0330835
