"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
40	0,2365419	1,1837909	0,3961754	0,4101876	0,0035455	0,4523692	0,0163029	0,0760294	0,0346782	0,3128110	0,1030498	0,3565537	0,0443578	0,0006994	0,0350531	0,0832963
60	0,1970853	1,1443707	0,4209205	0,3538618	0,0021069	0,4785856	0,0325911	0,0546867	0,0370851	0,2134649	0,1048280	0,3644086	0,0857113	0,0008054	0,0574412	0,0876612
80	0,1702762	1,0744279	0,4270790	0,3473938	0,0018783	0,5222088	0,0275540	0,0464532	0,0318283	0,1471476	0,1073684	0,3102678	0,0966293	0,0005624	0,0856048	0,1147083
100	0,1810086	1,0249122	0,4160271	0,3506995	0,0003632	0,4919748	0,0361830	0,0533709	0,0398775	0,1389153	0,0805315	0,3385229	0,0964960	0,0001800	0,0666856	0,0981991
120	0,2199954	1,0626167	0,4535367	0,3280886	0,0011017	0,5364303	0,0272942	0,0503901	0,0328198	0,0969399	0,0992917	0,2984435	0,1214424	0,0017652	0,0834454	0,0880592
140	0,2191048	0,9446978	0,4369164	0,3071435	0,0000254	0,5280571	0,0170048	0,0447887	0,0368617	0,1168711	0,1252735	0,2966264	0,1607361	0,0000000	0,1112827	0,0850725
160	0,2079068	0,9654486	0,4462326	0,3383013	0,0000000	0,4355832	0,0146646	0,0530511	0,0389115	0,0898782	0,1175348	0,2893458	0,1822022	0,0001466	0,1174698	0,1027829
180	0,1812241	1,0479164	0,4082080	0,3712677	0,0019427	0,4581633	0,0085289	0,0460940	0,0454960	0,0802165	0,1573116	0,2913207	0,1885460	0,0028209	0,1247507	0,1171197
200	0,2055488	1,1016095	0,4108255	0,3932697	0,0000000	0,4396862	0,0077185	0,0545114	0,0528820	0,0583628	0,1636960	0,2606592	0,1977847	0,0014581	0,1216521	0,1267587
220	0,2562010	1,0465073	0,3970159	0,3554433	0,0000143	0,5005494	0,0124395	0,0582374	0,0701186	0,0705089	0,1539583	0,2481047	0,1967619	0,0031201	0,1180453	0,0981454
240	0,2572318	1,1131481	0,4383199	0,4090377	0,0000158	0,4815682	0,0250462	0,0604003	0,0823916	0,0599315	0,1340702	0,2417688	0,1868460	0,0049536	0,1180141	0,0963715
260	0,2297384	1,1054012	0,4258459	0,3485600	0,0002518	0,4830297	0,0205761	0,0582468	0,0824492	0,0525831	0,1186549	0,2916952	0,2076150	0,0021959	0,1459005	0,1036984
280	0,2158626	1,1241086	0,3560696	0,3484497	0,0005642	0,4617311	0,0244298	0,0535255	0,0833720	0,0718860	0,1178184	0,2626197	0,2387327	0,0027313	0,1403020	0,1161633
300	0,1835880	1,1365943	0,3655908	0,3480779	0,0025905	0,4464661	0,0147841	0,0612372	0,0714393	0,0843851	0,0984566	0,2363104	0,2122194	0,0032835	0,1131017	0,1031680
320	0,2204566	1,0823721	0,3980687	0,3791800	0,0025280	0,5082724	0,0138612	0,0504964	0,0644277	0,0768510	0,1141884	0,2418461	0,2241953	0,0001950	0,1182051	0,1042126
340	0,2666862	1,0135141	0,3868253	0,3372718	0,0029654	0,5357600	0,0185596	0,0390623	0,0476655	0,0969628	0,1101804	0,2330813	0,2488484	0,0011726	0,1347531	0,1109334
360	0,2668289	0,9834693	0,4211104	0,3228439	0,0029711	0,5178397	0,0244463	0,0350289	0,0579434	0,0891630	0,1268443	0,2356034	0,2465616	0,0004249	0,1462103	0,0946977
380	0,2563317	1,0279780	0,5173814	0,3553258	0,0041856	0,4718216	0,0336856	0,0178611	0,0555665	0,0631954	0,1228937	0,2775279	0,2409389	0,0004183	0,1477441	0,1095331
400	0,2543487	0,9289726	0,4554016	0,3204640	0,0016759	0,4736358	0,0331275	0,0219067	0,0550643	0,0850449	0,1144173	0,3303556	0,2306419	0,0004327	0,1475240	0,1278864
420	0,2518501	1,0969731	0,4771933	0,3332115	0,0029270	0,4659880	0,0215340	0,0460493	0,0411363	0,0891110	0,0920190	0,3739605	0,2357224	0,0001767	0,1453931	0,1151550
440	0,2138583	1,0164483	0,4521191	0,3565644	0,0026424	0,4855119	0,0097859	0,0354889	0,0485027	0,0915598	0,1060458	0,3427013	0,2062339	0,0018198	0,1199163	0,0808015
460	0,2302658	0,9818076	0,4675724	0,3491349	0,0002237	0,4588220	0,0046140	0,0219697	0,0623753	0,0850383	0,1126403	0,3366954	0,1940068	0,0042512	0,1589126	0,0782726
480	0,2123160	1,0344255	0,4413024	0,3291071	0,0013340	0,3990884	0,0089625	0,0261186	0,0743843	0,0677743	0,1234243	0,2956357	0,1974478	0,0057961	0,1733542	0,0615689
500	0,2135548	0,9693279	0,4663731	0,3071783	0,0024809	0,4544406	0,0161806	0,0157549	0,0513456	0,0477839	0,1108718	0,3339754	0,1960353	0,0047157	0,1436527	0,0633224
520	0,2147901	0,9680510	0,4340778	0,3219781	0,0010253	0,4475324	0,0200180	0,0251419	0,0376884	0,0552931	0,1016580	0,3151575	0,1847515	0,0039591	0,1369360	0,0599495
540	0,2356687	0,9751999	0,4340164	0,3150376	0,0006997	0,5090635	0,0161991	0,0275140	0,0574183	0,0486626	0,1287790	0,3251779	0,1707375	0,0054766	0,1322022	0,0782171
560	0,2024378	1,1129028	0,4684466	0,3477455	0,0016309	0,4593040	0,0114178	0,0429250	0,0649263	0,0545773	0,1283190	0,3403011	0,1890734	0,0036166	0,1357987	0,0611960
580	0,2195438	1,1306395	0,4019357	0,3614602	0,0032655	0,4846658	0,0170793	0,0519609	0,0549626	0,0882096	0,1231697	0,3187306	0,1868390	0,0061107	0,1036829	0,0816649
600	0,2337045	1,0266153	0,4657880	0,3495084	0,0029893	0,5221931	0,0301727	0,0497803	0,0560147	0,2087503	0,1179463	0,2989838	0,1929931	0,0029806	0,0763999	0,0780688
620	0,2449403	0,9583068	0,4580898	0,3669392	0,0008549	0,5452852	0,0275196	0,0430857	0,0777671	0,2741875	0,0972867	0,2981036	0,1473405	0,0000000	0,0681826	0,0761086
640	0,2515862	1,0119683	0,4516245	0,3524040	0,0003750	0,5384983	0,0291574	0,0712978	0,0714728	0,3358144	0,1169599	0,2986057	0,1366858	0,0000032	0,0552818	0,0655188
660	0,2387116	0,9584310	0,4593485	0,4038284	0,0000475	0,5023638	0,0328259	0,0841439	0,0643813	0,3908824	0,1261615	0,2802296	0,1215318	0,0010810	0,0551515	0,0812133
680	0,2460659	1,0118983	0,4666475	0,3840624	0,0000000	0,5196325	0,0346276	0,0701871	0,0719865	0,4841079	0,1400628	0,2652251	0,0932938	0,0016994	0,0484421	0,1086394
700	0,2481478	0,9932360	0,4694140	0,3635627	0,0001898	0,5011171	0,0455095	0,0750286	0,0770581	0,5006815	0,1290720	0,2854184	0,0791763	0,0000079	0,0475480	0,1098507
720	0,2264666	0,9077842	0,4712827	0,3288793	0,0023130	0,4566636	0,0368270	0,0720498	0,0910825	0,4263692	0,1163518	0,3293537	0,0696051	0,0003977	0,0332757	0,1226039
740	0,2326476	0,9840206	0,4184732	0,3225407	0,0000000	0,4695716	0,0210131	0,0516887	0,0971858	0,4137537	0,1290117	0,3448672	0,0524356	0,0000000	0,0305093	0,1071824
760	0,2211349	1,0080206	0,4237407	0,3452682	0,0001475	0,4782068	0,0221615	0,0400476	0,1019996	0,4889454	0,1422742	0,3424304	0,0388279	0,0009536	0,0269313	0,0910540
780	0,2265607	0,9799212	0,4442127	0,3686572	0,0000519	0,5179771	0,0339855	0,0278350	0,0992779	0,4554887	0,1367864	0,3445239	0,0306410	0,0014990	0,0220304	0,0990475
800	0,2307295	1,0311964	0,4110500	0,3421864	0,0003487	0,4815374	0,0313468	0,0256512	0,1185085	0,4204845	0,1415139	0,3555981	0,0281914	0,0000000	0,0181960	0,1156999
820	0,2393137	1,0613145	0,4534257	0,3826920	0,0026755	0,4956141	0,0322831	0,0274551	0,1117155	0,4667374	0,1473341	0,3215385	0,0220366	0,0006296	0,0206030	0,1150915
840	0,2245698	1,1442839	0,4375075	0,3901300	0,0023027	0,4414123	0,0170397	0,0286210	0,0844979	0,4981603	0,1122523	0,3433817	0,0252695	0,0011028	0,0200102	0,1113056
860	0,2126993	1,0704675	0,4148085	0,3523351	0,0023719	0,4213277	0,0141388	0,0485115	0,0812123	0,4925633	0,1098218	0,3358770	0,0170207	0,0035386	0,0157791	0,1239814
880	0,2762062	1,0293365	0,4229851	0,3619709	0,0025831	0,4178320	0,0075988	0,0527946	0,0989927	0,4734892	0,1045989	0,2893297	0,0187873	0,0043969	0,0144401	0,1147562
900	0,2394705	0,9725303	0,4313214	0,3477159	0,0013853	0,4406046	0,0066814	0,0522684	0,1122430	0,4239957	0,1077823	0,3002877	0,0192887	0,0034697	0,0123047	0,1081650
920	0,2114143	1,0047250	0,3887904	0,3341229	0,0006936	0,4396261	0,0051227	0,0497962	0,0982137	0,4500336	0,0885840	0,3299445	0,0225442	0,0026097	0,0178674	0,1259587
940	0,2203121	1,0668389	0,4421944	0,3206314	0,0013438	0,4334056	0,0060258	0,0526360	0,0960837	0,4853109	0,0826133	0,3331134	0,0182891	0,0015015	0,0118923	0,1261878
960	0,2604122	1,0361986	0,4462307	0,3452376	0,0008052	0,4226356	0,0088815	0,0420044	0,0803884	0,5183840	0,0851228	0,3543426	0,0171593	0,0001400	0,0204550	0,0950506
980	0,2539560	1,0820998	0,4112460	0,4077821	0,0001046	0,4780294	0,0104580	0,0369393	0,0637793	0,4924707	0,0845085	0,3502827	0,0083531	0,0002971	0,0217059	0,1091247
1000	0,2566775	0,9865644	0,3998776	0,4442713	0,0004751	0,5207673	0,0155609	0,0265598	0,0668839	0,4301478	0,0645340	0,3346271	0,0218230	0,0022942	0,0169058	0,1213979
1020	0,2476757	0,9976248	0,3965302	0,3982866	0,0001828	0,5387329	0,0161893	0,0392495	0,0943868	0,3790849	0,0916689	0,2896721	0,0238421	0,0024835	0,0180439	0,1212940
1040	0,2495342	1,0383065	0,4145469	0,3628074	0,0000308	0,5464765	0,0172730	0,0554421	0,0890906	0,4160386	0,1047473	0,2880085	0,0159774	0,0015596	0,0245404	0,1157830
1060	0,2109570	0,9627619	0,4040955	0,3631833	0,0012030	0,5518950	0,0142259	0,0477879	0,0955348	0,4535457	0,0718291	0,2829182	0,0304923	0,0004450	0,0235208	0,0868895
1080	0,2089182	0,9206663	0,4231021	0,3703686	0,0038634	0,4983635	0,0106287	0,0468918	0,0758949	0,4319969	0,0882787	0,3220100	0,0318350	0,0003158	0,0122144	0,0778451
1100	0,2390693	0,9508630	0,4107641	0,3505399	0,0051269	0,5062784	0,0123219	0,0407696	0,0497110	0,4861222	0,1024778	0,3704943	0,0466653	0,0000492	0,0137487	0,0975351

0	0,2047126	1,0951503	0,4561080	0,4243780	0,0005961	0,4925884	0,0249694	0,0423739	0,0994897	0,4769992	0,1765674	0,3602823	0,0322255	0,0005082	0,0247264	0,1036493
20	0,2202168	0,9481870	0,4122959	0,3376778	0,0238463	0,5180310	0,0271857	0,0648935	0,0745685	0,4511570	0,1001310	0,2942145	0,0188537	0,0022580	0,0533525	0,0887945
40	0,1394240	0,8808319	0,3965631	0,3175206	0,0407388	0,4731943	0,0322442	0,0787850	0,0793268	0,4182209	0,0881107	0,2923408	0,0108349	0,0021428	0,1153064	0,1246845
60	0,0879106	0,8521448	0,4563248	0,3099798	0,0573125	0,3975865	0,0285214	0,0611623	0,1035313	0,4540281	0,1060924	0,3241927	0,0143260	0,0005064	0,1689227	0,1802896
80	0,0506451	0,8314495	0,4622420	0,3015031	0,0980793	0,4120346	0,0256292	0,0573283	0,1232526	0,4613303	0,1245689	0,3947611	0,0137374	0,0005411	0,2596448	0,2673291
100	0,0354562	0,6791445	0,4854641	0,2437951	0,1128819	0,4715125	0,0181227	0,0648268	0,1311258	0,4566142	0,1430903	0,4827899	0,0094252	0,0033060	0,3272992	0,3715079
120	0,0180192	0,6671457	0,5291254	0,2010504	0,1330206	0,4661515	0,0282790	0,0479228	0,1329732	0,4108699	0,1780807	0,5180306	0,0143667	0,0025094	0,3560853	0,4520369
140	0,0111051	0,7017687	0,5326044	0,2118087	0,1427867	0,4064089	0,0310651	0,0530663	0,1620798	0,4422674	0,2885791	0,6024588	0,0107430	0,0127888	0,4424873	0,5483169
160	0,0065089	0,7146251	0,5404983	0,2110903	0,1453792	0,3291491	0,0166003	0,0415875	0,1923155	0,4567305	0,3050990	0,6515169	0,0183078	0,0082163	0,5103008	0,6371008
180	0,0043806	0,6981607	0,5192170	0,1774109	0,1669468	0,3794445	0,0198951	0,0316553	0,2290177	0,4609413	0,3619151	0,7108918	0,0151375	0,0154091	0,4959090	0,7213965
200	0,0010979	0,6521743	0,5531134	0,2024631	0,1734637	0,3658554	0,0207448	0,0353151	0,2486618	0,4952482	0,4033250	0,7729672	0,0251356	0,0178623	0,5518703	0,7490476
220	0,0019596	0,6473667	0,5785772	0,2231739	0,1676534	0,3503852	0,0216731	0,0340321	0,2580612	0,5607630	0,3778470	0,8090447	0,0184875	0,0298979	0,5226340	0,7876420
240	0,0000000	0,6467132	0,6241258	0,2471449	0,1340332	0,3329279	0,0184340	0,0452797	0,3173236	0,5479841	0,3540874	0,8389210	0,0169225	0,0241273	0,5523934	0,8172174
260	0,0007002	0,7319427	0,5342144	0,3004249	0,1399703	0,3654127	0,0210854	0,0552534	0,3043923	0,5187815	0,3889348	0,8323273	0,0218719	0,0254976	0,6025367	0,8326056
280	0,0033778	0,7190493	0,5380099	0,2900738	0,1606080	0,4392460	0,0276923	0,0516032	0,3439390	0,4918160	0,3999437	0,8469586	0,0305613	0,0214053	0,5681187	0,8265220
300	0,0062367	0,6957890	0,4652633	0,2577862	0,1358170	0,4236843	0,0148455	0,0520927	0,3243597	0,5791555	0,3733783	0,9000872	0,0294600	0,0199028	0,5750640	0,7959800
320	0,0067213	0,7056779	0,5093460	0,2770871	0,1590283	0,4474436	0,0186198	0,0397747	0,3432948	0,5455779	0,3437792	0,9308966	0,0362796	0,0163061	0,5916208	0,8413313
340	0,0030569	0,7063930	0,5026091	0,2562374	0,1981131	0,4189703	0,0255669	0,0360504	0,2888103	0,5854502	0,3385896	0,8253216	0,0264566	0,0182542	0,5437342	0,9226247
360	0,0042345	0,7211739	0,5622494	0,2684910	0,2075449	0,4602159	0,0276672	0,0339508	0,2823746	0,5787693	0,4027690	0,7880831	0,0278764	0,0197412	0,6313931	0,8553371
380	0,0062398	0,5938903	0,5512465	0,2499428	0,2287544	0,4620622	0,0309890	0,0280151	0,2949142	0,5561012	0,4065655	0,8299236	0,0229990	0,0355899	0,6524342	0,9014743
400	0,0061926	0,6377871	0,5427868	0,2879470	0,2109227	0,4232448	0,0254660	0,0416995	0,3371159	0,5487084	0,4287550	0,8458704	0,0358411	0,0462808	0,6306707	0,8817492
420	0,0051174	0,6887532	0,5188027	0,2957866	0,2189087	0,4592103	0,0335514	0,0273565	0,3428945	0,5600074	0,4368580	0,9753861	0,0277337	0,0365111	0,5729996	0,8891426
440	0,0046788	0,7393478	0,5461730	0,2907060	0,2260124	0,4702465	0,0329713	0,0416881	0,3533592	0,5610386	0,4530125	0,8968699	0,0222379	0,0384707	0,5756541	0,8714951
460	0,0005853	0,6700900	0,5734646	0,2992297	0,2007432	0,4624841	0,0208752	0,0352069	0,3787838	0,5460188	0,4452705	0,9384614	0,0147010	0,0550775	0,6135179	0,9574731
480	0,0005987	0,6331294	0,5658340	0,2601961	0,2657874	0,4092030	0,0242623	0,0423810	0,3810715	0,5255568	0,4367731	0,9043409	0,0100999	0,0675426	0,5844491	0,9587441
500	0,0012905	0,6144891	0,6014200	0,2716865	0,2506593	0,4271364	0,0271700	0,0342242	0,3579339	0,4721753	0,4464713	0,8567556	0,0121019	0,0977252	0,6622563	0,9245713
520	0,0006248	0,5627054	0,5796398	0,2666630	0,2171996	0,4439005	0,0310084	0,0352749	0,3642441	0,5000482	0,4256736	0,8882553	0,0140933	0,0802194	0,6560433	0,9246875
540	0,0010109	0,6258792	0,6178698	0,2527344	0,2004391	0,4439372	0,0227427	0,0492382	0,4102921	0,5475754	0,4641622	0,9153930	0,0199509	0,0707026	0,6731328	0,9810672
