mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA	Time	Experiment
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	780	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	800	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	820	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	840	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	860	0
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	880	0
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	900	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	920	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	940	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	960	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	980	0
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1000	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1020	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1040	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1060	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1080	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1100	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1
1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	1	20	1
0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	40	1
1	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	60	1
1	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	80	1
0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	100	1
1	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	120	1
1	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	140	1
1	1	1	0	0	1	0	1	1	1	0	1	0	0	0	1	160	1
0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	1	180	1
1	1	1	0	1	1	0	1	1	1	0	1	0	0	0	1	200	1
1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	220	1
1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	240	1
1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	260	1
1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	280	1
1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	300	1
0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	320	1
0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	340	1
1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	360	1
0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	380	1
1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	400	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	420	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	440	1
1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	460	1
0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	480	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	500	1
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	520	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	540	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	560	1
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	580	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	600	1
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	620	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	640	1
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	660	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	680	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	700	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	720	1
1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	740	1
0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	760	1
0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	780	1
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	800	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	820	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	840	1
0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	860	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	880	1
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	900	1
1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	920	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	940	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	960	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	980	1
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1000	1
0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1020	1
0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1040	1
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1060	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1080	1
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1100	1
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	20	2
1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	40	2
1	1	1	1	0	1	0	1	0	0	1	1	0	1	1	0	60	2
1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	80	2
1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	100	2
1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	120	2
1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	140	2
1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	160	2
0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	180	2
0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	200	2
1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	220	2
1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	240	2
1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	260	2
0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	280	2
1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	300	2
0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	320	2
1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	340	2
1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	360	2
0	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	380	2
1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	400	2
0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	420	2
1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	440	2
1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	460	2
1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	480	2
1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	500	2
1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	520	2
1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	540	2
1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	560	2
0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	580	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	600	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	620	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	640	2
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	660	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	680	2
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	700	2
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	720	2
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	740	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	760	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	780	2
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	800	2
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	820	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	840	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	860	2
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	880	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	900	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	920	2
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	940	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	960	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	980	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1000	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1020	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1040	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1060	2
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1080	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1100	2
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	3
1	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	20	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	40	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	60	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	80	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	100	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	120	3
1	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	140	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	160	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	180	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	200	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	220	3
0	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	240	3
1	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	260	3
0	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	280	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	300	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	320	3
0	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	340	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	360	3
0	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	380	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	400	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	420	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	440	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	460	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	480	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	500	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	520	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	540	3
1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	560	3
1	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	580	3
1	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	600	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	620	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	640	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	660	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	680	3
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	700	3
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	720	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	740	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	760	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	780	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	800	3
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	820	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	840	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	860	3
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	880	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	900	3
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	920	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	940	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	960	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	980	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1000	3
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1020	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1040	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1060	3
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1080	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1100	3
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	20	4
1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	40	4
0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	60	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	80	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	100	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	120	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	140	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	160	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	180	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	200	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	220	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	240	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	260	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	280	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	300	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	320	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	340	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	360	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	380	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	400	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	420	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	440	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	460	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	480	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	500	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	520	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	540	4
1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	560	4
1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	580	4
1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	600	4
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	620	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	640	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	660	4
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	680	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	700	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	720	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	740	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	760	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	780	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	800	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	820	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	840	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	860	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	880	4
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	900	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	920	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	940	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	960	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	980	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1000	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1020	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1040	4
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1060	4
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1080	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1100	4
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	5
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	20	5
1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	1	40	5
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	60	5
1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	1	80	5
1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	100	5
1	1	1	0	1	0	0	1	1	1	0	1	1	0	0	1	120	5
1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	1	140	5
1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	1	160	5
1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	1	180	5
1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	200	5
1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	220	5
0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	240	5
1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	260	5
1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	280	5
1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	300	5
1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	320	5
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	340	5
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	360	5
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	380	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	400	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	420	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	440	5
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	460	5
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	480	5
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	500	5
0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	520	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	540	5
0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	560	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	580	5
0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	600	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	620	5
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	640	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	660	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	680	5
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	700	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	720	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	740	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	760	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	780	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	800	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	820	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	840	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	860	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	880	5
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	900	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	920	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	940	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	960	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	980	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1000	5
0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1020	5
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1040	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1060	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1080	5
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1100	5
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	6
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	20	6
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	40	6
1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	60	6
1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	80	6
1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	100	6
1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	120	6
1	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	140	6
1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	160	6
1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	180	6
1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	200	6
1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	220	6
1	0	1	1	1	0	0	0	1	1	1	1	0	0	1	0	240	6
1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	260	6
1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	280	6
1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	300	6
1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	320	6
1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	340	6
1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	360	6
1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	380	6
1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	400	6
1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	420	6
1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	440	6
1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	460	6
1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	480	6
1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	500	6
1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	520	6
1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	540	6
1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	560	6
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	580	6
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	600	6
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	620	6
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	640	6
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	660	6
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	680	6
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	700	6
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	720	6
0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	740	6
0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	760	6
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	780	6
0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	800	6
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	820	6
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	840	6
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	860	6
1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	880	6
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	900	6
1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	920	6
