"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
500	0,5038997	0,0262069	0,1087214	0,2758524	0,9370611	0,2443028	0,9224070	0,6897938	0,9079993	0,7839819	0,1879351	0,7331984	0,6098732	0,7602318	0,5442931	0,6625434
520	0,5038984	0,0262066	0,1087833	0,2758519	0,9370702	0,2443399	0,9226142	0,6897984	0,9079426	0,7842141	0,1879587	0,7332399	0,6100340	0,7602917	0,5442492	0,6626167
540	0,5038971	0,0262064	0,1088257	0,2758515	0,9370759	0,2443622	0,9227634	0,6898014	0,9079050	0,7843696	0,1879728	0,7332648	0,6101377	0,7603274	0,5442222	0,6626622
560	0,5038962	0,0262063	0,1088546	0,2758513	0,9370797	0,2443756	0,9228707	0,6898035	0,9078799	0,7844739	0,1879814	0,7332800	0,6102048	0,7603492	0,5442055	0,6626907
580	0,5190941	0,4467769	0,1088320	0,2758494	0,9368405	0,2443438	0,9229067	0,6878729	0,8188890	0,7843744	0,1878667	0,7330975	0,6100344	0,7600543	0,5443234	0,6625418
600	0,5679096	0,6857078	0,1081283	0,2758199	0,9330114	0,2436794	0,9222260	0,6861584	0,7644449	0,7814724	0,1859276	0,7299132	0,6064232	0,7549161	0,5464541	0,6597444
620	0,6209971	0,8214471	0,1057740	0,2757308	0,9201172	0,2414238	0,9195136	0,6823382	0,7384862	0,7709949	0,1798585	0,7192600	0,5940133	0,7374786	0,5535132	0,6502755
640	0,6624163	0,8985621	0,1017680	0,2755980	0,8959438	0,2373171	0,9139381	0,6765206	0,7341821	0,7510112	0,1701806	0,7004871	0,5717326	0,7061730	0,5656957	0,6334746
660	0,6901456	0,9423720	0,0968658	0,2754593	0,8625814	0,2316603	0,9055677	0,6698178	0,7432362	0,7233993	0,1591646	0,6765825	0,5429020	0,6657655	0,5808577	0,6119461
680	0,7070041	0,9672609	0,0918628	0,2753411	0,8251404	0,2249132	0,8951525	0,6631704	0,7584988	0,6919845	0,1487775	0,6514788	0,5121066	0,6231412	0,5964844	0,5891488
