"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP
580	0,1870677	0,5735793	0,3704520	0,6373342	0,0455430	0,7389344	0,3751592	0,2243736	0,0102654	0,7816770	0,0354247	0,7181728	0,7573897	0,5440790	0,0062802	0,2185850
600	0,1135443	0,5780124	0,3916152	0,8753981	0,2464530	0,7080213	0,2716870	0,3308489	0,0029598	0,7562647	0,0179983	0,7966896	0,8078130	0,6465052	0,0184167	0,2482812
620	0,1108013	0,6104595	0,3919724	0,8068871	0,2393822	0,8924425	0,3308903	0,3379968	0,0066783	0,7347973	0,0300121	0,8551353	0,7492356	0,5111395	0,0101368	0,2400650
640	0,1690074	0,6179298	0,5383756	0,8085773	0,4217829	0,6474825	0,3536006	0,4648277	0,0126144	0,7647658	0,0205805	0,8222733	0,6699838	0,5329286	0,0077656	0,2077567
660	0,2308153	0,6250922	0,3521794	0,8164183	0,3866440	0,5433361	0,3677039	0,3326229	0,0098776	0,6748750	0,0351060	0,7619976	0,7128271	0,4892441	0,0048886	0,2391079
680	0,2305587	0,8411598	0,4046110	0,6554707	0,4291567	0,4576214	0,3037492	0,3923770	0,0147267	0,7131183	0,0372369	0,8925822	0,5989447	0,5980318	0,0143927	0,2371272
700	0,2221643	0,6663993	0,5180548	0,8709634	0,4257986	0,3019793	0,2377245	0,3310211	0,0335437	0,8820869	0,1195477	0,7940292	0,5952485	0,4428522	0,0117842	0,1717975
720	0,3112970	0,5732883	0,4316199	0,7173510	0,4123871	0,3104836	0,2817358	0,3311284	0,0227736	0,7652273	0,0676517	0,8794269	0,6556449	0,4464762	0,0235627	0,2261435
740	0,2127627	0,4864572	0,5071181	0,7822985	0,3310667	0,2625255	0,2320196	0,2729213	0,0143668	0,7659028	0,1176660	0,8008992	0,7058681	0,4520623	0,0481101	0,1913501
760	0,2748622	0,5726180	0,4448128	0,8836802	0,3567998	0,2308940	0,2161826	0,3049804	0,0086432	0,7286106	0,0964464	0,7917002	0,6383983	0,4215936	0,0317216	0,2391351
780	0,2794227	0,5917055	0,5333905	0,7911618	0,4109845	0,1934324	0,3070605	0,3596873	0,0112783	0,6539620	0,1197203	0,9794951	0,6105595	0,5042210	0,0195970	0,1633721
800	0,2019516	0,5608339	0,4252760	0,7992362	0,3346190	0,2662003	0,3308822	0,3626158	0,0111652	0,5855764	0,0881172	0,9187913	0,6655282	0,4999560	0,0104845	0,2231760
820	0,2305612	0,5251612	0,4884080	0,7473618	0,3797538	0,1638056	0,2692691	0,3697399	0,0059154	0,6684339	0,1075032	0,8258301	0,5054041	0,4754443	0,0106088	0,1645256
840	0,1814862	0,6161635	0,4448297	0,6884524	0,3955990	0,1796196	0,2399383	0,3044508	0,0206892	0,5899515	0,1442628	0,8545941	0,6807966	0,4092461	0,0185032	0,2555106
860	0,2472624	0,5776471	0,3632718	0,7421858	0,3325510	0,2063016	0,2024327	0,2988680	0,0101620	0,6615674	0,1095380	0,7200700	0,6248846	0,4535136	0,0137683	0,2378624
880	0,2557155	0,5068314	0,3306211	0,7023559	0,2451673	0,1979306	0,2428950	0,2902316	0,0111243	0,6371813	0,1399245	0,7634084	0,8164086	0,5869459	0,0106512	0,1947582
900	0,2588457	0,4791096	0,4387348	0,6599789	0,2775841	0,1874426	0,3140749	0,3129371	0,0358999	0,6982042	0,1148423	0,6708577	0,5997801	0,5401506	0,0044583	0,2853187
