"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
60	0,9499571	0,5892375	0,2293470	0,8341647	0,3451710	0,7031731	0,3185446	0,4210961	0,2190750	0,4415426	0,3869887	0,2456163	0,2373218	0,1482585	0,1585159	0,0321038
80	0,9920754	0,5826114	0,2070296	0,8873308	0,3490759	0,7280127	0,4121872	0,5936813	0,2592239	0,5897338	0,3051081	0,3045918	0,1837679	0,1675522	0,1861019	0,0321752
100	1,0120641	0,5960312	0,1941249	0,9585553	0,3652647	0,7404641	0,5212231	0,6399259	0,2638193	0,6121631	0,3072997	0,3347938	0,1374827	0,1461863	0,1674841	0,0343901
120	0,9349242	0,5435889	0,2159568	1,0007880	0,3364048	0,6890117	0,4831377	0,7247528	0,2621051	0,5969002	0,3091348	0,4095674	0,1166393	0,1664764	0,1483141	0,0306802
140	0,9981807	0,5556819	0,2341895	0,9276700	0,3157847	0,6917741	0,4942339	0,7872816	0,2808527	0,6103347	0,3074527	0,4726180	0,0928702	0,1672887	0,1169391	0,0346047
160	0,9952112	0,5862758	0,2515859	0,8543722	0,3224688	0,7016640	0,5542753	0,8126405	0,3007109	0,6630415	0,3283015	0,4802759	0,0810682	0,1768755	0,1319310	0,0320682
180	1,0286897	0,5671844	0,2417128	0,8164157	0,3358901	0,7061091	0,5103118	0,8572853	0,3617911	0,6357930	0,3217794	0,5012807	0,0638046	0,1837611	0,1501352	0,0278099
200	0,9616195	0,5770056	0,2288750	0,8314143	0,3745348	0,7559723	0,5206207	0,9544667	0,3098702	0,6374675	0,2845677	0,5353815	0,0591915	0,1786139	0,1565651	0,0399453
220	1,0224321	0,5645615	0,2078530	0,8737002	0,3724289	0,8035804	0,5438091	0,9065215	0,3036710	0,6549851	0,3009120	0,5823946	0,0504862	0,1510095	0,1636497	0,0509270
240	1,0593847	0,5387982	0,2644870	0,8362210	0,3716731	0,7495445	0,6186954	0,8919243	0,3168371	0,6620020	0,3105618	0,6531136	0,0352855	0,1514391	0,1539438	0,0493383
260	1,0116226	0,5560246	0,2560812	0,7915831	0,3641715	0,7132184	0,5896422	0,9144974	0,3390888	0,7125969	0,3294167	0,6455217	0,0284592	0,1501464	0,1567443	0,0414366
280	0,9434748	0,6115648	0,2387176	0,8136649	0,3113707	0,7191934	0,5456014	0,9221457	0,2915148	0,7864693	0,3719447	0,6517065	0,0295515	0,1374148	0,1756689	0,0443599
300	1,0106115	0,5797014	0,2415501	0,8898448	0,3571754	0,7801807	0,5630496	0,8479277	0,2663099	0,8113645	0,3933050	0,6408330	0,0236795	0,1447609	0,1886823	0,0539213
320	1,0609417	0,6118497	0,2449011	0,9663165	0,3192378	0,8218672	0,5623552	0,8903067	0,2605130	0,7692844	0,3753088	0,6469193	0,0214775	0,1816458	0,1858016	0,0658449
340	1,0768546	0,5811370	0,2278440	0,9756195	0,2998923	0,7743006	0,5608993	0,9418368	0,2480329	0,7628324	0,3373812	0,6799883	0,0242817	0,1964320	0,1767677	0,0578172
360	1,0298278	0,5938480	0,2339252	0,9877137	0,3528059	0,7416687	0,5763534	0,9593990	0,2690705	0,7238470	0,3856450	0,6945852	0,0302676	0,1921879	0,1982534	0,0460135
380	1,0276502	0,5782434	0,2500719	0,9966957	0,3697780	0,7810869	0,5603696	0,9412119	0,2817887	0,7292053	0,3859039	0,7156762	0,0375852	0,1929556	0,2109785	0,0467333
400	1,0152378	0,6233093	0,2289827	0,9214055	0,3788954	0,7885491	0,6078841	0,8998962	0,2737882	0,6944063	0,4117753	0,7837726	0,0355606	0,1906738	0,2029509	0,0414727
420	1,0819575	0,6307267	0,2680996	0,9681814	0,3471924	0,7341281	0,5221271	0,9321633	0,2687084	0,6876712	0,3898040	0,7559530	0,0351577	0,1636126	0,1960952	0,0413045
440	1,0831434	0,5504733	0,2572392	0,9084690	0,3502862	0,7622693	0,5326479	0,8884470	0,2313756	0,7278680	0,4188126	0,7342819	0,0286088	0,1555543	0,2154572	0,0388904
460	1,0598329	0,5314683	0,2563162	0,8606981	0,3329748	0,7358676	0,5749187	0,9963898	0,2411289	0,6492619	0,3805264	0,7486989	0,0253779	0,1427642	0,2106572	0,0369390
480	0,9905297	0,5519869	0,2308695	0,9014279	0,3484836	0,7827102	0,5477674	1,0233183	0,2237736	0,7248813	0,3578059	0,7530633	0,0203094	0,1159630	0,1843585	0,0393003
500	1,0212816	0,5761717	0,2252435	0,8877371	0,3682117	0,7174054	0,5034608	0,9360601	0,2340193	0,7546188	0,3657557	0,6530373	0,0227822	0,0983741	0,1399005	0,0382876
520	1,0384647	0,5487781	0,2439067	0,9770507	0,3905507	0,7570233	0,4900610	0,8983397	0,2253883	0,7131758	0,3686859	0,6535277	0,0296109	0,1167586	0,1380100	0,0392373
540	0,9735512	0,5484666	0,2709178	0,9628423	0,3609930	0,7493364	0,5179222	0,9205148	0,2798642	0,6880127	0,3601057	0,7207417	0,0249159	0,1524481	0,1260885	0,0286810
560	1,0083403	0,5131778	0,2630461	0,9582646	0,3649925	0,7453440	0,5064089	0,8624677	0,2853815	0,6975370	0,3682999	0,7334180	0,0157655	0,1664201	0,1304559	0,0190893
580	0,9753762	0,5103352	0,2739405	0,8716287	0,3460678	0,7322910	0,4586006	0,7967496	0,2980270	0,5492604	0,3791623	0,6869011	0,0309927	0,1724894	0,1302233	0,0261997
600	1,0096582	0,5657483	0,2800730	0,8727686	0,3382262	0,6645111	0,2994945	0,7031301	0,2833111	0,4158517	0,3960808	0,6044418	0,0963209	0,2049436	0,1471683	0,0334496
620	1,0747040	0,5425032	0,2952437	0,8991163	0,3316941	0,5869539	0,1886019	0,6024559	0,2789187	0,2862198	0,4132435	0,4967274	0,1335006	0,2068329	0,1491893	0,0253688
640	1,1010873	0,5556624	0,2867821	0,9799498	0,3110259	0,5230755	0,1124932	0,5043445	0,2695402	0,2412356	0,4097040	0,4075064	0,2012371	0,2012636	0,1732804	0,0352467
660	1,0474940	0,5517839	0,2369435	0,9690800	0,3369884	0,4535542	0,0747557	0,3905606	0,2776553	0,1817695	0,3969293	0,3144664	0,2591941	0,2046527	0,1948965	0,0412017
680	0,9690953	0,5622932	0,2595131	0,9205699	0,3455698	0,4383885	0,0593427	0,3011825	0,2703947	0,1234464	0,4253564	0,2854697	0,2815048	0,1854290	0,1916238	0,0464152
700	0,9991150	0,4910464	0,2378617	0,9768488	0,3576183	0,4172087	0,0437078	0,2322876	0,2601634	0,1238965	0,4079227	0,2252356	0,3198907	0,2082622	0,2009687	0,0370256
720	0,9674605	0,5543518	0,2477368	0,9083492	0,3106690	0,4466048	0,0347851	0,2057573	0,2402292	0,1216860	0,3968083	0,1840116	0,3516117	0,2022689	0,2101304	0,0370205
740	1,0648566	0,5796258	0,2839908	0,9709861	0,3242425	0,4634692	0,0173388	0,1698811	0,2664368	0,1113820	0,3748830	0,1434827	0,3605983	0,1930871	0,1919560	0,0310941
760	1,0117680	0,6032626	0,2641519	0,9194888	0,3494231	0,4941322	0,0062347	0,1416850	0,2812594	0,1229560	0,4205214	0,1103032	0,4017810	0,1792439	0,1741987	0,0489860
780	1,0260664	0,5955687	0,2392087	0,8957399	0,3733488	0,4582296	0,0088037	0,1153558	0,2681651	0,1041556	0,4283344	0,1145937	0,4194342	0,1802000	0,1955549	0,0606054
800	1,0202268	0,6047043	0,2507025	0,9399769	0,3643047	0,4141147	0,0095795	0,0907702	0,2584036	0,0959605	0,3942427	0,0974514	0,4138053	0,1818783	0,1878547	0,0592012
820	1,0367195	0,5622203	0,2411393	0,9121727	0,3619515	0,4107887	0,0078717	0,1032791	0,2946515	0,0946114	0,4277734	0,0631621	0,4461568	0,1719268	0,1797394	0,0617142
840	1,0332706	0,5564216	0,2397504	0,9514302	0,3473343	0,4078050	0,0145145	0,1258535	0,3027618	0,1148797	0,3995407	0,0639795	0,4254603	0,1679430	0,1841952	0,0547396
860	1,1014937	0,5133439	0,2291077	0,9571123	0,3228620	0,4229607	0,0116371	0,1080074	0,3126945	0,0773739	0,3711432	0,0488634	0,4061887	0,1878711	0,1331778	0,0525073
880	1,1143146	0,5167756	0,2360474	0,9159041	0,3408759	0,4100399	0,0145254	0,0836426	0,3080500	0,0720760	0,3754206	0,0389910	0,3894045	0,1600233	0,1279812	0,0464061
900	1,1413916	0,4876799	0,2577078	1,0098782	0,3096125	0,4203179	0,0054633	0,1047415	0,2584690	0,1048248	0,4214353	0,0270171	0,3910701	0,1335778	0,1270027	0,0472121
920	1,0867556	0,5357041	0,2200680	0,9758536	0,3083318	0,4047643	0,0128782	0,1108942	0,2121156	0,0891111	0,4360465	0,0279314	0,3705179	0,1203087	0,1347722	0,0284495
940	1,0602703	0,5298450	0,2329439	0,9346021	0,3929904	0,4102315	0,0161647	0,1213410	0,2078505	0,0914540	0,4292669	0,0270564	0,3707213	0,1312450	0,1673889	0,0263084
960	1,0815136	0,5405905	0,2922510	0,9608853	0,3636481	0,3943345	0,0241121	0,1039019	0,2273234	0,1051560	0,3955312	0,0194082	0,3764439	0,1343813	0,1452760	0,0362813
980	0,9870819	0,5327959	0,2648396	0,8960040	0,3359869	0,4030961	0,0174085	0,0916623	0,1957417	0,0938632	0,4037740	0,0208159	0,3864359	0,1460971	0,1620353	0,0372517
1000	0,9414916	0,4935988	0,2451111	0,9287892	0,3402106	0,4065561	0,0103538	0,1162159	0,1816798	0,1199487	0,3995934	0,0180780	0,3933627	0,1412202	0,1909590	0,0477095
1020	1,0080009	0,4515988	0,2616765	0,8728680	0,3260428	0,4048283	0,0127915	0,1065933	0,2145025	0,0927629	0,4171559	0,0133173	0,4119533	0,1476190	0,1981982	0,0501397
1040	1,0425677	0,4374628	0,2685516	0,8683545	0,3210907	0,4261967	0,0045868	0,1110779	0,2201195	0,0754869	0,4066958	0,0265565	0,4105955	0,1494088	0,1882735	0,0261170
1060	1,0981021	0,4811284	0,2649906	0,9195473	0,3428826	0,4677526	0,0135215	0,1027125	0,2452151	0,0839398	0,4039742	0,0265505	0,4652156	0,1576737	0,1896203	0,0318372
1080	1,0476756	0,5282092	0,2057669	0,9458807	0,3376421	0,4267783	0,0105736	0,1149258	0,2973706	0,1056734	0,4296731	0,0257924	0,4594478	0,1632801	0,2058895	0,0235089
1100	1,0320289	0,5331586	0,1685897	0,9184095	0,3641446	0,4530962	0,0082659	0,1068197	0,2948247	0,0776768	0,4007763	0,0186131	0,5193086	0,1547637	0,1937365	0,0318069

