"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
40	0,9484683	0,6057811	0,4697379	0,8328906	0,1853222	0,1425570	0,5539503	0,1353930	0,5134678	0,6103884	0,1927149	0,3231785	0,5824741	0,8584416	1,0255337	0,1329508
60	0,9404078	0,5836564	0,3954831	0,8678630	0,3215154	0,1735480	0,6651365	0,2280556	0,5197716	0,7527862	0,3321810	0,2405348	0,4173102	0,8217330	0,9949716	0,0868134
80	1,0767004	0,6384638	0,3057855	0,9041163	0,3782077	0,2165253	0,7534486	0,3146770	0,4652908	0,7308164	0,4066447	0,1400013	0,3286933	0,7340871	0,9928918	0,0697088
100	1,0370873	0,6306782	0,2357718	0,9039498	0,3998140	0,2262590	0,8031850	0,4760579	0,4067542	0,7557243	0,6161165	0,0907953	0,2437150	0,6139327	1,0498808	0,0499992
120	1,0098003	0,6206039	0,1941463	0,8714331	0,4131535	0,2717586	0,8645167	0,5347462	0,3673678	0,8426127	0,6962435	0,0536317	0,1806887	0,4900408	1,0377288	0,0479858
140	0,8758982	0,5954878	0,1804170	0,7695982	0,4566947	0,2875916	0,9759064	0,5868193	0,3412249	0,7978711	0,7475497	0,0283456	0,1522577	0,3650806	1,0190346	0,0347277
160	0,7559334	0,6276592	0,1456248	0,7689809	0,4975124	0,2994443	0,9690484	0,6332021	0,3208537	0,8355100	0,7467236	0,0164793	0,1095188	0,2879773	1,0186301	0,0631787
180	0,7089843	0,6126987	0,1321924	0,6492834	0,5144943	0,3024998	0,9498035	0,6044631	0,2926471	0,8637527	0,7145408	0,0130694	0,0808125	0,2647845	1,0659271	0,0788130
200	0,7048117	0,6127995	0,1359640	0,5282809	0,4830714	0,3117317	0,9722501	0,6493242	0,2982701	0,8671089	0,7547626	0,0068228	0,0731239	0,2406630	1,0474017	0,0671590
220	0,7808349	0,6939940	0,1305614	0,4544775	0,5010667	0,3126998	0,9443894	0,6550566	0,2553185	0,8836882	0,7251113	0,0116524	0,0681549	0,2022081	1,0270469	0,0596600
240	0,7974504	0,7099193	0,1085373	0,3622956	0,4637355	0,3250434	0,9346828	0,7185945	0,2192769	0,9589458	0,7418571	0,0027560	0,0632731	0,1957511	1,0394033	0,0939828
260	0,7442671	0,7156045	0,0858876	0,3336325	0,5238829	0,2945876	0,9088419	0,7404198	0,2194037	0,8752318	0,7146652	0,0042316	0,0887843	0,1688084	1,0440408	0,1190342
280	0,7380083	0,7379360	0,1247885	0,3259565	0,5041239	0,3111616	0,9511106	0,7730387	0,2619194	0,9396228	0,7338464	0,0030316	0,0554877	0,1577269	0,9447778	0,1158880
300	0,6934938	0,7376582	0,1010702	0,2818747	0,5131419	0,2870805	0,9124940	0,7290089	0,3146007	0,9891327	0,6787886	0,0005773	0,0706119	0,1678111	1,0024145	0,1089645
320	0,7285270	0,7785850	0,1008942	0,2258389	0,5527079	0,2877776	0,9222567	0,6891692	0,2899633	1,0319468	0,6085626	0,0029309	0,0799376	0,1793938	0,9408535	0,0947895
340	0,7926788	0,8028180	0,1030201	0,2015049	0,5140927	0,2801794	0,9163671	0,8055908	0,3099016	1,0391867	0,6057190	0,0017932	0,1064746	0,1639721	0,8969098	0,0896899
360	0,7416990	0,7897482	0,0989657	0,1475208	0,4798502	0,2881874	0,9108739	0,7677182	0,3132602	1,0479879	0,5685480	0,0000193	0,1009999	0,1487138	0,9204710	0,0966764
