"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
740	0,9079338	0,5385631	0,6549259	0,7845032	0,0362484	0,1035187	0,3592635	0,0121609	0,3917725	0,3538141	0,0069117	0,6802390	0,5309455	0,8092425	0,9570352	0,1277264
760	0,9037661	0,6006484	0,7046124	0,8160808	0,0277372	0,0987591	0,3697626	0,0110660	0,4063686	0,3341745	0,0018876	0,6907142	0,5168375	0,7977355	1,0325004	0,1408186
780	0,9099273	0,5944402	0,6724465	0,8486234	0,0254558	0,0982936	0,4148985	0,0074372	0,4275987	0,3520026	0,0124538	0,6411813	0,4965452	0,8192796	0,9949679	0,1672392
800	0,9609641	0,5943553	0,6452894	0,8621706	0,0172842	0,0844456	0,4196447	0,0057790	0,4226931	0,3701717	0,0151575	0,5949000	0,5559475	0,7925431	0,9405423	0,1504814
820	0,9373254	0,6611271	0,6217358	0,8596957	0,0207633	0,0841950	0,4798024	0,0106070	0,4107504	0,4091374	0,0129951	0,5545191	0,5772718	0,8552698	0,9426554	0,1335984
840	1,0239939	0,6797061	0,6569425	0,8111997	0,0411983	0,0863656	0,4747389	0,0086075	0,3803274	0,4223079	0,0128410	0,6242766	0,5745098	0,8243228	0,9398476	0,1297868
860	1,0043518	0,6824860	0,6499394	0,7880201	0,0247692	0,0918694	0,4660323	0,0126303	0,3790083	0,3713504	0,0086609	0,5877589	0,6080768	0,7905926	0,9550134	0,1364522
880	0,9776989	0,6522803	0,5896176	0,9072765	0,0117573	0,0821388	0,3827039	0,0091165	0,3388033	0,4054607	0,0059995	0,6126169	0,6356782	0,7977684	0,9278332	0,1531569
900	0,9934477	0,6203651	0,6236229	0,8634225	0,0312669	0,0735553	0,3894347	0,0057614	0,3925806	0,3952834	0,0176478	0,6062608	0,5528628	0,7966051	0,9559705	0,1433829
920	0,9904062	0,6318266	0,6275823	0,8863524	0,0330045	0,0741982	0,3858838	0,0031620	0,3528089	0,3731091	0,0123882	0,6634025	0,5384380	0,8163863	0,9481136	0,1624547
940	0,9131126	0,6782256	0,6234609	0,8852060	0,0226443	0,0563627	0,3725579	0,0056229	0,3535180	0,3436522	0,0090228	0,7368461	0,5302628	0,8009679	0,9946155	0,1679246
960	0,9659598	0,6268623	0,6800394	0,9128788	0,0130418	0,0735161	0,3596692	0,0052221	0,3467121	0,3284332	0,0096793	0,6564826	0,5921383	0,7966853	0,9552302	0,1914843
980	1,0164468	0,6249958	0,6490409	0,8943035	0,0255360	0,0763992	0,3530334	0,0044723	0,3787334	0,3113005	0,0157594	0,6330373	0,5639273	0,7868484	1,0234141	0,1988220
1000	1,0511823	0,6326058	0,6915087	0,8950855	0,0342633	0,1059949	0,3383400	0,0036742	0,4414450	0,3142068	0,0258387	0,6297551	0,4871889	0,8255470	1,0317104	0,1621489
1020	1,0296546	0,6146916	0,6470809	0,8802448	0,0261773	0,0939784	0,3135858	0,0050009	0,4219155	0,3349683	0,0084672	0,6786318	0,4943155	0,7727702	1,0197763	0,2018315
1040	0,9986769	0,5472998	0,6795880	0,8829161	0,0316330	0,0882737	0,3279024	0,0024329	0,4166957	0,3314579	0,0084367	0,6613390	0,4797449	0,8097519	0,9726842	0,1962986
1060	1,0326027	0,5147972	0,6188322	0,9263564	0,0240216	0,0929560	0,2989122	0,0041534	0,3978318	0,3185411	0,0132696	0,6355915	0,4030456	0,7930347	1,0370527	0,2022911
1080	0,9870127	0,5449506	0,6806698	0,9112526	0,0257886	0,1018442	0,2827019	0,0036851	0,3827475	0,3036922	0,0171690	0,6809408	0,4035454	0,8103120	0,9812334	0,1927670
1100	0,9503797	0,5516779	0,6754450	0,8823987	0,0277318	0,0947710	0,3155317	0,0034881	0,4075236	0,2867792	0,0189767	0,6236741	0,4903026	0,7527586	1,0074510	0,1975480

0	1,0278544	0,6278907	0,7209794	0,9147415	0,0239874	0,0854089	0,4799075	0,0058544	0,4959156	0,3867701	0,0196550	0,6377651	0,6928299	0,8934143	0,9091980	0,1622096
20	0,9915661	0,5529234	0,3974126	0,9095863	0,2986691	0,1611280	0,6001315	0,2397304	0,5079239	0,7019302	0,2538106	0,3423465	0,6132403	0,8738889	1,0137700	0,0775504
40	1,0440057	0,5710743	0,2785693	0,8315854	0,4120214	0,2013047	0,7499327	0,4222808	0,4461146	0,7844570	0,4151043	0,1923193	0,5040195	0,8590801	0,9773149	0,0622846
60	0,9925293	0,5694107	0,2230473	0,8909129	0,5078149	0,2256289	0,8646420	0,4897783	0,3451434	0,8897673	0,4823040	0,1063112	0,3524677	0,6994715	0,9927993	0,0439440
80	0,9453897	0,6228280	0,1842984	0,8517394	0,5191760	0,2796754	0,8792219	0,6049430	0,3151762	0,8653837	0,6103573	0,0580127	0,2726576	0,5664654	1,0404613	0,0453295
100	0,8970946	0,5348717	0,1434640	0,8189399	0,5355000	0,2991973	0,9366941	0,6840565	0,3104875	0,9162358	0,6990054	0,0397046	0,2008511	0,4181040	1,0040487	0,0447906
120	0,7600826	0,5329506	0,1350643	0,7316609	0,5461489	0,3173806	1,0461929	0,6939347	0,2527112	0,9539806	0,7216037	0,0246067	0,1574136	0,2957119	1,0610136	0,0532035
140	0,7230723	0,5528363	0,1176504	0,5990191	0,5685103	0,3468512	1,0608546	0,7416991	0,2608240	0,9495094	0,7635531	0,0149782	0,1353159	0,2169812	1,0422367	0,0609534
160	0,7554911	0,6484651	0,1130020	0,5198207	0,5084524	0,3564584	0,9846191	0,7257844	0,2523260	0,8756635	0,6879885	0,0088945	0,0957886	0,1965167	1,0587521	0,0655249
180	0,8360811	0,7314870	0,0975476	0,4246655	0,5443139	0,3279134	0,9967753	0,7129048	0,2233720	0,9240221	0,6498039	0,0067497	0,0834860	0,1875380	1,0271242	0,0812409
200	0,8019932	0,7978492	0,0910428	0,3498915	0,5395275	0,3099500	0,9439804	0,7657911	0,2590719	0,9475004	0,7269416	0,0026918	0,0805891	0,1515482	0,9698742	0,0703864
220	0,8448959	0,7745234	0,0965110	0,3474471	0,4974962	0,3071443	0,9628223	0,7781098	0,2478697	0,9314724	0,7413908	0,0008746	0,0965696	0,1606513	1,0292113	0,0809289
240	0,8111067	0,8130550	0,0961414	0,2712801	0,5276789	0,3069897	0,9893347	0,7772795	0,2404981	0,9278938	0,6639179	0,0032573	0,0712353	0,1610806	0,9785317	0,1142848
260	0,7916769	0,7979454	0,1171517	0,1960926	0,5748970	0,3339534	0,9482515	0,7039331	0,2588868	0,8997751	0,6051402	0,0001313	0,0726953	0,1429905	0,9493418	0,1116205
