"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD
820	0,6937989	0,3345595	0,3492908	0,6047662	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
840	0,6937989	0,3345595	0,3492908	0,6047673	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
860	0,6937989	0,3345595	0,3492908	0,6047683	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
880	0,6937989	0,3345595	0,3492908	0,6047692	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
900	0,6937989	0,3345595	0,3492908	0,6047700	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
920	0,6937989	0,3345595	0,3492908	0,6047706	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
940	0,6937989	0,3345595	0,3492908	0,6047712	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
960	0,6937989	0,3345595	0,3492908	0,6047717	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
980	0,6937989	0,3345595	0,3492908	0,6047721	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
1000	0,6937989	0,3345595	0,3492908	0,6047724	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
1020	0,6937989	0,3345595	0,3492908	0,6047727	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
1040	0,6937989	0,3345595	0,3492908	0,6047730	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
1060	0,6937989	0,3345595	0,3492908	0,6047732	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
1080	0,6937989	0,3345595	0,3492908	0,6047734	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
1100	0,6937989	0,3345595	0,3492908	0,6047736	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920

