"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
880	0,9952784	0,4461670	0,6084356	0,1601357	0,1497054	0,7262295	0,8447178	0,7105795	0,7141775	0,3826847	0,8130028	0,3880488	0,4313475	0,2549028	0,3700240	0,0423203
900	1,0591809	0,4214587	0,5772596	0,1104387	0,1519209	0,6947384	0,8581958	0,7027276	0,7186247	0,3982726	0,8745445	0,3988363	0,4448897	0,2619267	0,3654910	0,0383740
920	1,0286255	0,4249721	0,5476667	0,1144644	0,1252037	0,7210683	0,8093892	0,6982298	0,6738555	0,3917688	0,8493890	0,4386026	0,4469207	0,3014886	0,3768394	0,0179567
940	1,0435003	0,3945146	0,6181693	0,1201631	0,1387425	0,7664063	0,8712694	0,7536376	0,7062826	0,3919520	0,9151173	0,4520920	0,4741598	0,3151327	0,3823572	0,0176509
960	1,0693977	0,4211369	0,7085060	0,1264931	0,1502961	0,8361459	0,8660313	0,7028464	0,6853051	0,4069226	0,9120781	0,4730850	0,4059620	0,2901010	0,4171272	0,0289660
980	1,1017869	0,4249577	0,6710376	0,1853770	0,1565374	0,8536817	0,9196331	0,7282664	0,6309283	0,4478062	0,9411417	0,4471136	0,4352351	0,2469712	0,4192840	0,0191010
1000	1,0650770	0,4189300	0,6087473	0,1371799	0,1599632	0,8786026	0,9660635	0,7516661	0,6326624	0,4165325	0,8994980	0,3709770	0,4339285	0,2223917	0,4202444	0,0202943
1020	1,0774730	0,4277397	0,6265959	0,1192652	0,1716038	0,8919633	0,9815712	0,7521802	0,6149118	0,4521263	0,9068629	0,4088178	0,4227085	0,2303558	0,4396435	0,0277201
1040	1,0645809	0,4148251	0,6635527	0,1344140	0,1638804	0,8669416	0,9127808	0,7110311	0,6802161	0,4093385	0,8482803	0,3828157	0,4221388	0,3132165	0,4127277	0,0408305
1060	1,0388240	0,3779038	0,6665275	0,1029869	0,1548715	0,8219607	0,9367857	0,7145475	0,7131891	0,4413276	0,8089691	0,3940359	0,4586446	0,3170687	0,4099550	0,0401580
1080	1,0639244	0,3951772	0,6120286	0,1241814	0,1571996	0,7875633	0,9203852	0,7905157	0,7003206	0,3998934	0,7900981	0,3763689	0,4876687	0,2839238	0,3860603	0,0330602
