"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
60	0,8809546	0,4319150	0,1293145	0,6708384	0,2479768	0,7207024	0,2977488	0,5566157	0,2455916	0,4329968	0,1875388	0,3099411	0,0963021	0,1495410	0,1307209	0,0453822
80	0,7609024	0,4273505	0,1365939	0,8195957	0,2610718	0,5038150	0,5047863	0,6458481	0,2410257	0,4338507	0,2340852	0,3401739	0,0555672	0,0921361	0,1365984	0,0730874
100	0,8756238	0,4131239	0,1863617	0,7149870	0,3347641	0,5361066	0,3986130	0,6962216	0,1540729	0,5078349	0,2360637	0,3765201	0,0355582	0,1211720	0,1225167	0,0661134
120	0,7609069	0,3983007	0,1852261	0,6234001	0,2504527	0,5822290	0,3373902	0,7069500	0,1430834	0,4343755	0,2622333	0,2909801	0,0347495	0,1215913	0,1115188	0,0151336
140	0,8292765	0,4344992	0,2433842	0,7451884	0,3440082	0,4974307	0,4403063	0,6914846	0,2078367	0,4371440	0,2207406	0,4261646	0,0185330	0,1327254	0,0860593	0,0240902
160	0,6943636	0,4462953	0,2033826	0,6317338	0,2823379	0,5963961	0,4418389	0,7194996	0,3204040	0,5042258	0,1844115	0,5095878	0,0211240	0,2215529	0,1026261	0,0120063
180	0,8531399	0,3633909	0,2377326	0,7776965	0,2870262	0,6330974	0,3685438	0,7539650	0,1963031	0,5893099	0,2077493	0,5619127	0,0227088	0,1511978	0,1313432	0,0577784
200	0,8249499	0,5372305	0,1846702	0,6441167	0,3282890	0,5518503	0,4253283	0,6794947	0,1935696	0,5734578	0,2436037	0,5113688	0,0166999	0,1781218	0,1697529	0,0493333
220	0,7596872	0,4593404	0,1816495	0,6771765	0,3073745	0,5624771	0,4432829	0,7257830	0,2465294	0,4655621	0,2214545	0,5280959	0,0112938	0,1086573	0,0931275	0,0135902
240	0,6894535	0,3692385	0,2118454	0,5800594	0,2498962	0,6647612	0,3895910	0,8215248	0,2060142	0,5708595	0,2506469	0,5170022	0,0301265	0,1340035	0,1290187	0,0301032
260	0,7539704	0,4580160	0,1577004	0,7058347	0,1992885	0,5716578	0,4350970	0,7850997	0,1954087	0,5133234	0,2976088	0,5396475	0,0255142	0,1265317	0,1980219	0,0269217
280	0,8593479	0,5101482	0,1829119	0,6375400	0,3046685	0,6524416	0,4126405	0,7579695	0,2038839	0,5576528	0,2576756	0,4700052	0,0065328	0,1150379	0,1636677	0,0255138
300	0,7957417	0,4343851	0,2133415	0,7004050	0,2114883	0,7001597	0,4945136	0,6654453	0,2023309	0,5856412	0,3082151	0,4832060	0,0161279	0,1522302	0,1662045	0,0534016
320	0,8052891	0,4375221	0,1505325	0,7486623	0,2380733	0,5889104	0,3998883	0,7713845	0,1369146	0,6590893	0,3223488	0,5207777	0,0201104	0,1628795	0,1006136	0,0407901
340	0,8061535	0,4708832	0,2528363	0,7206569	0,2647582	0,5699219	0,3854842	0,7677859	0,1470952	0,5400120	0,3465309	0,4883931	0,0195490	0,0730160	0,1433105	0,0288235
360	0,8058718	0,4371604	0,2246415	0,8421864	0,2985397	0,4817839	0,3657998	0,7669946	0,2672161	0,4713560	0,2734534	0,4941820	0,0216722	0,1076009	0,1188607	0,0206703
380	0,7443043	0,4410816	0,1989740	0,6848986	0,2082035	0,6275128	0,3989747	0,6397092	0,1957741	0,6228251	0,2528265	0,6163996	0,0190165	0,0928809	0,1619258	0,0230209
400	0,9375614	0,4506387	0,2107290	0,7682222	0,1768322	0,6432284	0,5437401	0,7831946	0,2505532	0,5038719	0,3460933	0,5782687	0,0161823	0,0979594	0,1545052	0,0327572
420	0,8542581	0,4069633	0,2535448	0,6208512	0,2262968	0,4933797	0,4120005	0,8194791	0,2045677	0,5398855	0,2485156	0,5484129	0,0096807	0,0873683	0,1793287	0,0586854
440	0,7338710	0,3404282	0,1842022	0,5850697	0,2110847	0,5736143	0,4865615	0,5910990	0,2056137	0,5989502	0,2617980	0,4950040	0,0141489	0,0535479	0,1096919	0,0315792
460	0,8046919	0,3820020	0,2439292	0,6755342	0,2909590	0,5994985	0,4627833	0,6708314	0,2110402	0,4899497	0,2524418	0,5093052	0,0155322	0,0928244	0,2094551	0,0497001
480	0,7998765	0,4559096	0,2261845	0,6318821	0,2914084	0,5299288	0,4856104	0,8720027	0,2239619	0,5112323	0,3150228	0,5751557	0,0212285	0,0826218	0,1397488	0,0519031
500	0,7686326	0,3548607	0,2149272	0,7033824	0,2685489	0,7188322	0,3175415	0,8714180	0,2084406	0,5430866	0,2512613	0,5259298	0,0272912	0,1212267	0,1363251	0,0345433
520	0,7617687	0,4238871	0,1559702	0,7575601	0,1692359	0,5792061	0,3695229	0,6266971	0,1536517	0,5320101	0,3866967	0,6151909	0,0190363	0,1301907	0,1328695	0,0210326
540	0,8475660	0,3922052	0,1708444	0,7025106	0,2953795	0,5593599	0,4192781	0,8007175	0,1610390	0,5349511	0,2567469	0,5853904	0,0069637	0,1307377	0,1365272	0,0282878
560	0,8740148	0,4355134	0,2578702	0,7195406	0,2396328	0,6761745	0,5122578	0,5547590	0,1894773	0,5115751	0,2635196	0,5542164	0,0086055	0,1646819	0,1504652	0,0159942
580	0,7852384	0,4551545	0,1592376	0,7460803	0,2780927	0,4081865	0,1980760	0,4874192	0,1688074	0,3057056	0,2359030	0,4202504	0,1476369	0,1980917	0,1752748	0,0341274
600	0,8928157	0,4790828	0,1960856	0,6991449	0,2063169	0,4185299	0,1340165	0,3131865	0,1630440	0,2258070	0,3906767	0,3198986	0,2342623	0,1866386	0,1643859	0,0306476
620	0,8176263	0,4689045	0,1685492	0,6717014	0,1725538	0,2996473	0,1251054	0,2253554	0,1998184	0,1102304	0,3285385	0,2233761	0,2554447	0,1412739	0,1530620	0,0105654
640	0,8225237	0,3807552	0,1676219	0,6539837	0,3191232	0,2897944	0,0318821	0,1416768	0,1890019	0,1532582	0,3154604	0,1511248	0,2589786	0,1156523	0,1881617	0,0432830
660	0,8345915	0,3535500	0,1644465	0,7516890	0,2200154	0,3350248	0,0183141	0,0976830	0,1486305	0,0765723	0,3761170	0,1027991	0,2506811	0,1177853	0,1862580	0,0251636
680	0,8124157	0,3774766	0,1960512	0,7239229	0,2702601	0,3149442	0,0145238	0,1070364	0,1609120	0,0964913	0,4102586	0,0765678	0,2735626	0,1507940	0,1534116	0,0296175
