"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
1040	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0875388	0,3731962	0,0051858	0,4200956	0,3658559	0,0117582	0,6596725	0,5937609	0,8534963	0,9931085	0,1553054
1060	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0875292	0,3731962	0,0051825	0,4200956	0,3658544	0,0117582	0,6596725	0,5937609	0,8534959	0,9931085	0,1553054
1080	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0875233	0,3731962	0,0051802	0,4200956	0,3658536	0,0117582	0,6596725	0,5937609	0,8534957	0,9931085	0,1553054
1100	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0875197	0,3731962	0,0051786	0,4200956	0,3658531	0,0117581	0,6596725	0,5937609	0,8534955	0,9931085	0,1553054

0	0,9827490	0,6092637	0,6700277	0,8708502	0,0212108	0,0875140	0,3731946	0,0051747	0,4200808	0,3658557	0,0117581	0,6596693	0,5937662	0,8534887	0,9930246	0,1553732
20	0,9826441	0,6090257	0,6182651	0,8714301	0,0840221	0,0998932	0,4284248	0,0493980	0,4193695	0,4464476	0,0873033	0,5540570	0,5890979	0,8537234	0,9935269	0,1444602
40	0,9814092	0,6070262	0,5179247	0,8716375	0,1922594	0,1237927	0,5348477	0,1434949	0,4129037	0,5803322	0,2176030	0,3875584	0,5494953	0,8426905	0,9944626	0,1229504
60	0,9768308	0,6027038	0,4152928	0,8707711	0,2928243	0,1514518	0,6447971	0,2508403	0,3972290	0,6955641	0,3404934	0,2503129	0,4623222	0,7981267	0,9953795	0,1010827
80	0,9655444	0,5977048	0,3281506	0,8665227	0,3726715	0,1831005	0,7393600	0,3532647	0,3744084	0,7783494	0,4530209	0,1551366	0,3561306	0,7093497	0,9960635	0,0837135
100	0,9438770	0,5944731	0,2606846	0,8526011	0,4311631	0,2177147	0,8136780	0,4428516	0,3491917	0,8338086	0,5560663	0,0940582	0,2628540	0,5935043	0,9964123	0,0726632
120	0,9110263	0,5953085	0,2112862	0,8190724	0,4715210	0,2514852	0,8690695	0,5172159	0,3259378	0,8702220	0,6376560	0,0564663	0,1943010	0,4774488	0,9963735	0,0677685
140	0,8716844	0,6018376	0,1764435	0,7623349	0,4979799	0,2805055	0,9089471	0,5768208	0,3070554	0,8941790	0,6888949	0,0338941	0,1483724	0,3780008	0,9959246	0,0676533
160	0,8336590	0,6144208	0,1525148	0,6908860	0,5145489	0,3026138	0,9369670	0,6234214	0,2930494	0,9100617	0,7112397	0,0205477	0,1190014	0,3004181	0,9950777	0,0705548
180	0,8030241	0,6318950	0,1364071	0,6161111	0,5244841	0,3175677	0,9563070	0,6591881	0,2832966	0,9206430	0,7129447	0,0127339	0,1006474	0,2433861	0,9938880	0,0749288
200	0,7818677	0,6520221	0,1257325	0,5449150	0,5301817	0,3263890	0,9694759	0,6862525	0,2767796	0,9276876	0,7032717	0,0081890	0,0893082	0,2030987	0,9924513	0,0796881
220	0,7691235	0,6723263	0,1187476	0,4797311	0,5332850	0,3306127	0,9783477	0,7065031	0,2725181	0,9323489	0,6892395	0,0055570	0,0823429	0,1754268	0,9908870	0,0841875
240	0,7623885	0,6907939	0,1142257	0,4207053	0,5348629	0,3317619	0,9842734	0,7215179	0,2697397	0,9354005	0,6750354	0,0040372	0,0780768	0,1568068	0,9893132	0,0881128
260	0,7592824	0,7062030	0,1113252	0,3672885	0,5355811	0,3310863	0,9882034	0,7325672	0,2679012	0,9373701	0,6626502	0,0031614	0,0754679	0,1444710	0,9878267	0,0913623
