"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
80	0,1365227	0,8357325	0,3006045	0,2134671	0,0000000	0,3620918	0,0183478	0,0375957	0,0279894	0,0585569	0,0621894	0,1727254	0,0969964	0,0007652	0,0726950	0,0703231
100	0,1931993	0,6995564	0,3742995	0,2832389	0,0000089	0,3313722	0,0100717	0,0263041	0,0679037	0,0367597	0,0526332	0,1929106	0,1150073	0,0000015	0,0856576	0,0541276
120	0,1438404	0,6815961	0,3007433	0,2426023	0,0000526	0,3470702	0,0112581	0,0187786	0,0322761	0,0532419	0,0855978	0,1341165	0,0751421	0,0004928	0,0844907	0,0527312
140	0,1146423	0,6561886	0,2858188	0,2415091	0,0000000	0,3363006	0,0051369	0,0625522	0,0411070	0,0368645	0,0557599	0,1451847	0,1322597	0,0006142	0,1736162	0,0858757
160	0,1448003	0,8767269	0,2412497	0,3750887	0,0000000	0,3439597	0,0057635	0,0349035	0,0328706	0,0499092	0,0888173	0,2259339	0,0863758	0,0000217	0,0946455	0,0984319
180	0,1932797	0,7767564	0,2638506	0,2137521	0,0000000	0,2930513	0,0034415	0,0823370	0,0401989	0,0350815	0,1045788	0,2212614	0,1740834	0,0009206	0,0740969	0,0649841
200	0,2633234	0,6190660	0,2541553	0,2410648	0,0000079	0,3795259	0,0164290	0,0362985	0,0416601	0,0397183	0,0728021	0,1830631	0,2189358	0,0003167	0,0804261	0,0603645
220	0,2205026	0,8692322	0,3698246	0,2783480	0,0002554	0,4582652	0,0103923	0,0291094	0,0303230	0,0356587	0,1234013	0,2448064	0,1166492	0,0013331	0,0679975	0,0867926
240	0,1748198	0,8252178	0,3263531	0,2917020	0,0000000	0,3281502	0,0133332	0,0167304	0,0269187	0,0367245	0,0566117	0,1997714	0,1738083	0,0002691	0,0860261	0,0396117
260	0,1822991	0,6839570	0,2287433	0,3445329	0,0005794	0,2841221	0,0150533	0,0149868	0,0472820	0,0647691	0,0865563	0,1898762	0,1361593	0,0004877	0,1029237	0,1095507
280	0,1418109	0,7436566	0,2464287	0,2121941	0,0008024	0,3328993	0,0193722	0,0104046	0,0376399	0,0483542	0,0751978	0,2247709	0,2276567	0,0000000	0,0601531	0,0748807
300	0,1512519	0,7370297	0,3133991	0,2504653	0,0009201	0,3640516	0,0207452	0,0246069	0,0248630	0,0425491	0,0883778	0,1648282	0,1685415	0,0000123	0,0864846	0,0840326
320	0,1889827	0,6799954	0,2585962	0,2574011	0,0004972	0,3607698	0,0085210	0,0195598	0,0257300	0,0445837	0,0845572	0,2194023	0,1254023	0,0000182	0,1174738	0,0877637
340	0,1999679	0,7780988	0,2787153	0,2928210	0,0042887	0,2914097	0,0150805	0,0378447	0,0521587	0,0455255	0,0475186	0,1766060	0,2078936	0,0008730	0,1407278	0,0666003
360	0,2347392	0,7751125	0,2413445	0,2975920	0,0010890	0,3554325	0,0110329	0,0374744	0,0306252	0,0483200	0,0751700	0,2129989	0,2255737	0,0000427	0,0955559	0,0898505
380	0,0944634	0,7187342	0,3832384	0,2651763	0,0004140	0,3172885	0,0154326	0,0368556	0,0539673	0,0317232	0,0745872	0,2470313	0,1995411	0,0002737	0,0740922	0,1107263
400	0,2212777	0,8713257	0,3099402	0,2612001	0,0000630	0,3982401	0,0192327	0,0388256	0,0499060	0,0621447	0,0788523	0,2465203	0,1655784	0,0006453	0,0800332	0,0674069
420	0,1388126	0,7486688	0,3074335	0,2665750	0,0003821	0,3839505	0,0130774	0,0180280	0,0363621	0,0534482	0,1093265	0,1746447	0,1617155	0,0036940	0,1094567	0,0908268
440	0,1772207	0,7094913	0,3269686	0,3129588	0,0000250	0,3272488	0,0162921	0,0276974	0,0222987	0,0414753	0,0718099	0,2674924	0,1263191	0,0006179	0,0804159	0,0874048
460	0,1247819	0,6691085	0,3441762	0,3180422	0,0006201	0,3867156	0,0065311	0,0248836	0,0326827	0,0381371	0,0972246	0,1696329	0,1399471	0,0003431	0,0798093	0,0342454
480	0,1598434	0,8394182	0,2709027	0,2387549	0,0003854	0,3128733	0,0032648	0,0125291	0,0590829	0,0866512	0,0534977	0,2493450	0,1583926	0,0013232	0,1002756	0,0540519
500	0,1284854	0,6766872	0,2595335	0,2775164	0,0005468	0,2681726	0,0118962	0,0161685	0,0644856	0,0410768	0,0657645	0,1840166	0,1252057	0,0013510	0,0597486	0,0615503
520	0,1331224	0,7813475	0,3370652	0,2432930	0,0008022	0,2881145	0,0186737	0,0130584	0,0470924	0,0306995	0,0655106	0,2733107	0,1366198	0,0001347	0,0833386	0,0552964
540	0,1288747	0,8744031	0,2856424	0,2834283	0,0013383	0,4319610	0,0245940	0,0422768	0,0538657	0,0713122	0,1102988	0,3325672	0,1390717	0,0001338	0,0609650	0,0740606
