"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
860	0,9827484	0,6092276	0,6700287	0,8734532	0,0212108	0,0877400	0,3731962	0,0052179	0,4200956	0,3658584	0,0117603	0,6596725	0,5937609	0,8535105	0,9931085	0,1553054
880	0,9827484	0,6092276	0,6700287	0,8734532	0,0212108	0,0876480	0,3731962	0,0052045	0,4200956	0,3658552	0,0117594	0,6596725	0,5937609	0,8535046	0,9931085	0,1553054
900	0,9827484	0,6092276	0,6700287	0,8734532	0,0212108	0,0875934	0,3731962	0,0051952	0,4200956	0,3658537	0,0117588	0,6596725	0,5937609	0,8535010	0,9931085	0,1553054
920	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0875611	0,3731962	0,0051888	0,4200956	0,3658530	0,0117585	0,6596725	0,5937609	0,8534988	0,9931085	0,1553054
940	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0875419	0,3731962	0,0051844	0,4200956	0,3658527	0,0117584	0,6596725	0,5937609	0,8534975	0,9931085	0,1553054
960	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0875306	0,3731962	0,0051814	0,4200956	0,3658526	0,0117583	0,6596725	0,5937609	0,8534966	0,9931085	0,1553054
980	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0875238	0,3731962	0,0051793	0,4200956	0,3658525	0,0117582	0,6596725	0,5937609	0,8534961	0,9931085	0,1553054
1000	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0875198	0,3731962	0,0051779	0,4200956	0,3658525	0,0117582	0,6596725	0,5937609	0,8534958	0,9931085	0,1553054
1020	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0875174	0,3731962	0,0051769	0,4200956	0,3658525	0,0117582	0,6596725	0,5937609	0,8534956	0,9931085	0,1553054
1040	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0875160	0,3731962	0,0051762	0,4200956	0,3658525	0,0117581	0,6596725	0,5937609	0,8534955	0,9931085	0,1553054
1060	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0875152	0,3731962	0,0051757	0,4200956	0,3658525	0,0117581	0,6596725	0,5937609	0,8534954	0,9931085	0,1553054
1080	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0875147	0,3731962	0,0051754	0,4200956	0,3658524	0,0117581	0,6596725	0,5937609	0,8534954	0,9931085	0,1553054
1100	0,9827484	0,6092276	0,6700287	0,8734533	0,0212108	0,0875144	0,3731962	0,0051752	0,4200956	0,3658524	0,0117581	0,6596725	0,5937609	0,8534954	0,9931085	0,1553054

0	0,9827484	0,6092280	0,6700277	0,8724777	0,0212108	0,0875140	0,3731965	0,0051747	0,4200959	0,3658530	0,0117581	0,6596712	0,5937642	0,8534952	0,9930908	0,1553088
20	0,9818911	0,6066947	0,4552402	0,8725101	0,3170645	0,1386271	0,5818707	0,2410475	0,4124832	0,6748106	0,2594883	0,3796561	0,5792550	0,8504212	0,9950978	0,1026368
40	0,9766869	0,5975834	0,3195296	0,8713080	0,4442635	0,1725990	0,7225583	0,4034482	0,3829143	0,8131272	0,4027533	0,2187980	0,5096248	0,8026469	0,9963251	0,0714672
