"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
0	0,8278361	0,8435341	0,6175816	0,0547483	0,0275584	1,0430477	0,0942697	0,9319880	0,0999668	0,0670418	0,0589161	0,0139284	0,1704736	1,0555162	0,0015955	1,0000903
20	0,7166296	0,8143903	0,6530717	0,0312698	0,1248225	0,9448697	0,1048635	0,9488903	0,5537712	0,0860733	0,0665942	0,1926919	0,1061608	0,7531469	0,0213771	0,9543219
40	0,7040617	0,8425825	0,6100464	0,0326009	0,2173172	0,9756433	0,1187705	0,9550987	0,7812037	0,1158638	0,0609799	0,2746616	0,1440186	0,5622208	0,0136660	0,9902988
60	0,6925660	0,9117520	0,6360195	0,0351831	0,2970582	0,9279743	0,1157011	0,9525391	0,8113241	0,1434304	0,0781037	0,3986044	0,1556875	0,4070137	0,0129000	0,9850226
80	0,6747965	0,9521563	0,6780105	0,0394759	0,3355466	0,9988762	0,0900723	0,9240424	0,9222541	0,1379486	0,1018568	0,3976720	0,2227087	0,3338594	0,0156458	0,9877200
100	0,7481562	0,9437713	0,6566055	0,0726241	0,3600541	0,9500422	0,0854859	0,9137132	0,9199569	0,1926938	0,0938678	0,3892276	0,2538079	0,2894312	0,0243173	1,0325429
120	0,7790491	0,8712322	0,5964711	0,1184327	0,4374074	1,0053325	0,0829095	0,9394082	0,9493654	0,2167460	0,1175161	0,4589312	0,3492948	0,2405595	0,0560000	1,0805609
140	0,7827969	0,8746700	0,6504972	0,2606226	0,4325285	0,9913377	0,0689465	0,8876180	0,9302298	0,2373017	0,1204284	0,5036201	0,4329770	0,1732729	0,1040107	0,9546474
160	0,7708640	0,8665040	0,6379812	0,3515182	0,5226395	0,9138124	0,0781301	0,8462568	0,9239101	0,2499447	0,1320649	0,5373240	0,4730172	0,1414850	0,1122699	1,0243398
180	0,8440975	0,8756339	0,6380399	0,4233109	0,5581880	0,8786041	0,1079564	0,8514093	1,0735361	0,2791877	0,1213149	0,5693447	0,5202923	0,0874645	0,1844099	0,9834740
