"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
500	0,5039213	0,0262225	0,1085957	0,2758507	0,9369855	0,2438862	0,9182837	0,6896918	0,9081656	0,7807723	0,1878691	0,7323558	0,6076729	0,7563062	0,5456776	0,6607722
520	0,5039131	0,0262159	0,1086971	0,2758512	0,9370269	0,2440641	0,9193566	0,6897344	0,9080542	0,7818921	0,1879194	0,7326818	0,6084940	0,7574480	0,5452343	0,6613681
540	0,5039074	0,0262120	0,1087666	0,2758514	0,9370507	0,2441813	0,9202023	0,6897611	0,9079796	0,7826999	0,1879494	0,7328971	0,6090668	0,7582738	0,5449196	0,6617870
560	0,5039034	0,0262097	0,1088142	0,2758514	0,9370647	0,2442579	0,9208657	0,6897780	0,9079297	0,7832793	0,1879673	0,7330387	0,6094641	0,7588695	0,5446973	0,6620800
580	0,5057106	0,1286971	0,1088403	0,2758512	0,9370447	0,2443041	0,9213821	0,6892897	0,8780519	0,7836813	0,1879597	0,7331162	0,6097223	0,7592803	0,5445491	0,6622728
600	0,5198153	0,3181765	0,1086478	0,2758462	0,9361303	0,2442139	0,9217068	0,6883849	0,8265520	0,7835440	0,1873727	0,7326397	0,6093339	0,7589397	0,5447355	0,6620076
620	0,5484273	0,5029151	0,1075746	0,2758205	0,9313244	0,2435630	0,9215332	0,6867170	0,7826533	0,7812349	0,1844990	0,7297255	0,6062144	0,7554720	0,5463083	0,6598177
640	0,5839810	0,6531482	0,1050861	0,2757615	0,9191706	0,2418487	0,9203447	0,6837020	0,7559318	0,7744810	0,1782271	0,7222023	0,5978197	0,7458097	0,5504984	0,6539121
660	0,6189289	0,7650933	0,1012901	0,2756728	0,8980907	0,2388077	0,9176641	0,6793138	0,7462637	0,7618364	0,1692241	0,7092850	0,5830577	0,7283606	0,5577690	0,6435028
680	0,6489282	0,8443118	0,0967378	0,2755691	0,8693333	0,2344484	0,9132512	0,6739735	0,7492412	0,7433808	0,1591170	0,6918775	0,5627498	0,7037956	0,5676577	0,6291280
700	0,6724933	0,8984919	0,0920389	0,2754659	0,8363462	0,2289776	0,9071608	0,6682103	0,7596668	0,7204859	0,1494011	0,6718788	0,5389255	0,6744232	0,5791628	0,6121800
720	0,6898658	0,9346614	0,0876466	0,2753739	0,8031823	0,2227473	0,8996890	0,6624541	0,7732858	0,6951512	0,1409790	0,6513416	0,5138990	0,6430896	0,5911841	0,5942772
740	0,7020657	0,9583749	0,0838136	0,2752983	0,7730781	0,2161966	0,8912686	0,6569884	0,7872540	0,6693791	0,1341862	0,6319264	0,4896400	0,6123254	0,6028033	0,5768236
760	0,7103029	0,9737060	0,0806311	0,2752400	0,7478520	0,2097683	0,8823686	0,6519840	0,7999752	0,6447898	0,1289880	0,6146981	0,4675116	0,5839438	0,6133925	0,5608129
780	0,7156827	0,9835078	0,0780860	0,2751973	0,7280131	0,2038272	0,8734216	0,6475419	0,8107469	0,6224779	0,1251660	0,6001563	0,4482627	0,5589870	0,6226103	0,5468099
